




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4437524 Released 2021-01-01
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	arabidopsis_bg.txt (Arabidopsis thaliana)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	arabidopsis_bg.txt - REFLIST (14244)	upload_1 (773)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
maintenance of protein location in nucleus (GO:0051457)	1	0	.05	-	 < 0.01	9.47E-01
monopolar spindle attachment to meiosis I kinetochore (GO:0051455)	2	0	.11	-	 < 0.01	8.97E-01
regulation of t-circle formation (GO:1904429)	1	0	.05	-	 < 0.01	9.47E-01
intracellular pH reduction (GO:0051452)	6	0	.33	-	 < 0.01	7.22E-01
positive regulation of GTP binding (GO:1904426)	1	0	.05	-	 < 0.01	9.47E-01
regulation of GTP binding (GO:1904424)	1	0	.05	-	 < 0.01	9.47E-01
tRNA N1-guanine methylation (GO:0002939)	2	0	.11	-	 < 0.01	8.97E-01
regulation of cellular response to alkaline pH (GO:1900067)	1	0	.05	-	 < 0.01	9.47E-01
hexitol metabolic process (GO:0006059)	1	0	.05	-	 < 0.01	9.47E-01
mannoprotein biosynthetic process (GO:0006057)	2	0	.11	-	 < 0.01	8.97E-01
negative regulation of ceramide biosynthetic process (GO:1900060)	1	0	.05	-	 < 0.01	9.47E-01
mannoprotein metabolic process (GO:0006056)	2	0	.11	-	 < 0.01	8.97E-01
negative regulation of meiotic cell cycle (GO:0051447)	5	0	.27	-	 < 0.01	7.62E-01
positive regulation of meiotic cell cycle (GO:0051446)	6	0	.33	-	 < 0.01	7.22E-01
regulation of meiotic cell cycle (GO:0051445)	14	0	.76	-	 < 0.01	4.68E-01
negative regulation of ubiquitin-protein transferase activity (GO:0051444)	1	0	.05	-	 < 0.01	9.47E-01
N-terminal peptidyl-glycine N-myristoylation (GO:0018008)	1	0	.05	-	 < 0.01	9.47E-01
N-terminal peptidyl-glutamic acid acetylation (GO:0018002)	1	0	.05	-	 < 0.01	9.47E-01
negative regulation of transposition (GO:0010529)	2	0	.11	-	 < 0.01	8.97E-01
regulation of transposition (GO:0010528)	2	0	.11	-	 < 0.01	8.97E-01
tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation (GO:0002926)	2	0	.11	-	 < 0.01	8.97E-01
regulation of reciprocal meiotic recombination (GO:0010520)	3	0	.16	-	 < 0.01	8.50E-01
UDP-N-acetylglucosamine biosynthetic process (GO:0006048)	6	0	.33	-	 < 0.01	7.22E-01
positive regulation of histone exchange (GO:1900051)	1	0	.05	-	 < 0.01	9.47E-01
UDP-N-acetylglucosamine metabolic process (GO:0006047)	6	0	.33	-	 < 0.01	7.22E-01
regulation of ubiquitin-protein transferase activity (GO:0051438)	1	0	.05	-	 < 0.01	9.47E-01
karyogamy (GO:0000741)	18	0	.98	-	 < 0.01	3.76E-01
nuclear membrane fusion (GO:0000740)	1	0	.05	-	 < 0.01	9.47E-01
ketone body metabolic process (GO:1902224)	1	0	.05	-	 < 0.01	9.47E-01
regulation of histone exchange (GO:1900049)	2	0	.11	-	 < 0.01	8.97E-01
spermidine metabolic process (GO:0008216)	12	0	.65	-	 < 0.01	5.21E-01
protein dealkylation (GO:0008214)	5	0	.27	-	 < 0.01	7.62E-01
DNA catabolic process, exonucleolytic (GO:0000738)	2	0	.11	-	 < 0.01	8.97E-01
removal of nonhomologous ends (GO:0000735)	1	0	.05	-	 < 0.01	9.47E-01
Golgi to lysosome transport (GO:0090160)	1	0	.05	-	 < 0.01	9.47E-01
chitin catabolic process (GO:0006032)	5	0	.27	-	 < 0.01	7.62E-01
DNA synthesis involved in DNA repair (GO:0000731)	8	0	.43	-	 < 0.01	6.48E-01
chitin metabolic process (GO:0006030)	5	0	.27	-	 < 0.01	7.62E-01
DNA recombinase assembly (GO:0000730)	3	0	.16	-	 < 0.01	8.50E-01
negative regulation of autophagy (GO:0010507)	4	0	.22	-	 < 0.01	8.05E-01
positive regulation of cellular response to hypoxia (GO:1900039)	1	0	.05	-	 < 0.01	9.47E-01
positive regulation of cellular response to heat (GO:1900036)	5	0	.27	-	 < 0.01	7.62E-01
transmitting tissue development (GO:0010500)	1	0	.05	-	 < 0.01	9.47E-01
regulation of cellular response to heat (GO:1900034)	6	0	.33	-	 < 0.01	7.22E-01
proteoglycan metabolic process (GO:0006029)	9	0	.49	-	 < 0.01	6.14E-01
cellular sphingolipid homeostasis (GO:0090156)	1	0	.05	-	 < 0.01	9.47E-01
DNA double-strand break processing (GO:0000729)	4	0	.22	-	 < 0.01	8.05E-01
negative regulation of sphingolipid biosynthetic process (GO:0090155)	1	0	.05	-	 < 0.01	9.47E-01
double-strand break repair via break-induced replication (GO:0000727)	7	0	.38	-	 < 0.01	6.84E-01
aminoglycan catabolic process (GO:0006026)	5	0	.27	-	 < 0.01	7.62E-01
regulation of sphingolipid biosynthetic process (GO:0090153)	1	0	.05	-	 < 0.01	9.47E-01
non-recombinational repair (GO:0000726)	12	0	.65	-	 < 0.01	5.21E-01
glycosaminoglycan biosynthetic process (GO:0006024)	4	0	.22	-	 < 0.01	8.05E-01
establishment of protein localization to mitochondrial membrane (GO:0090151)	22	0	1.19	-	 < 0.01	3.03E-01
aminoglycan biosynthetic process (GO:0006023)	4	0	.22	-	 < 0.01	8.05E-01
telomere maintenance (GO:0000723)	23	0	1.25	-	 < 0.01	2.87E-01
aminoglycan metabolic process (GO:0006022)	9	0	.49	-	 < 0.01	6.14E-01
telomere maintenance via recombination (GO:0000722)	3	0	.16	-	 < 0.01	8.50E-01
inositol biosynthetic process (GO:0006021)	5	0	.27	-	 < 0.01	7.62E-01
pyrimidine dimer repair by nucleotide-excision repair (GO:0000720)	1	0	.05	-	 < 0.01	9.47E-01
membrane fission (GO:0090148)	2	0	.11	-	 < 0.01	8.97E-01
photoreactive repair (GO:0000719)	5	0	.27	-	 < 0.01	7.62E-01
nucleotide-excision repair, DNA duplex unwinding (GO:0000717)	1	0	.05	-	 < 0.01	9.47E-01
nucleoid organization (GO:0090143)	3	0	.16	-	 < 0.01	8.50E-01
D-ribose metabolic process (GO:0006014)	1	0	.05	-	 < 0.01	9.47E-01
mannose metabolic process (GO:0006013)	5	0	.27	-	 < 0.01	7.62E-01
resolution of meiotic recombination intermediates (GO:0000712)	10	0	.54	-	 < 0.01	5.81E-01
UDP-glucose metabolic process (GO:0006011)	4	0	.22	-	 < 0.01	8.05E-01
meiotic mismatch repair (GO:0000710)	6	0	.33	-	 < 0.01	7.22E-01
negative regulation of cell fate specification (GO:0009996)	1	0	.05	-	 < 0.01	9.47E-01
protection from non-homologous end joining at telomere (GO:0031848)	1	0	.05	-	 < 0.01	9.47E-01
glucose catabolic process (GO:0006007)	2	0	.11	-	 < 0.01	8.97E-01
cellular water homeostasis (GO:0009992)	2	0	.11	-	 < 0.01	8.97E-01
meiotic DNA recombinase assembly (GO:0000707)	1	0	.05	-	 < 0.01	9.47E-01
meiotic DNA double-strand break processing (GO:0000706)	4	0	.22	-	 < 0.01	8.05E-01
L-fucose biosynthetic process (GO:0006005)	1	0	.05	-	 < 0.01	9.47E-01
fructose 2,6-bisphosphate metabolic process (GO:0006003)	1	0	.05	-	 < 0.01	9.47E-01
fructose metabolic process (GO:0006000)	11	0	.60	-	 < 0.01	5.50E-01
cellular response to paraquat (GO:0072756)	1	0	.05	-	 < 0.01	9.47E-01
cellular response to benomyl (GO:0072755)	1	0	.05	-	 < 0.01	9.47E-01
glucosinolate catabolic process (GO:0019762)	34	0	1.85	-	 < 0.01	1.58E-01
cadmium ion transmembrane transport (GO:0070574)	2	0	.11	-	 < 0.01	8.97E-01
regulation of anthocyanin catabolic process (GO:1900000)	1	0	.05	-	 < 0.01	9.47E-01
cell fate commitment involved in formation of primary germ layer (GO:0060795)	1	0	.05	-	 < 0.01	9.47E-01
glycosinolate catabolic process (GO:0019759)	34	0	1.85	-	 < 0.01	1.58E-01
one-carbon compound transport (GO:0019755)	7	0	.38	-	 < 0.01	6.84E-01
COPII-coated vesicle budding (GO:0090114)	4	0	.22	-	 < 0.01	8.05E-01
anastral spindle assembly involved in male meiosis (GO:0009971)	1	0	.05	-	 < 0.01	9.47E-01
regulation of ER to Golgi vesicle-mediated transport by GTP hydrolysis (GO:0090113)	2	0	.11	-	 < 0.01	8.97E-01
COPII-coated vesicle cargo loading (GO:0090110)	4	0	.22	-	 < 0.01	8.05E-01
regulation of isoprenoid metabolic process (GO:0019747)	17	0	.92	-	 < 0.01	3.97E-01
cellular response to calcium ion starvation (GO:0072732)	1	0	.05	-	 < 0.01	9.47E-01
negative regulation of flavonoid biosynthetic process (GO:0009964)	1	0	.05	-	 < 0.01	9.47E-01
response to 1-aminocyclopropane-1-carboxylic acid (GO:0009961)	3	0	.16	-	 < 0.01	8.50E-01
endosperm development (GO:0009960)	21	0	1.14	-	 < 0.01	3.20E-01
auxin mediated signaling pathway involved in phyllotactic patterning (GO:0060774)	3	0	.16	-	 < 0.01	8.50E-01
leaf phyllotactic patterning (GO:0060772)	3	0	.16	-	 < 0.01	8.50E-01
phyllotactic patterning (GO:0060771)	3	0	.16	-	 < 0.01	8.50E-01
positive regulation of lipid catabolic process (GO:0050996)	2	0	.11	-	 < 0.01	8.97E-01
regulation of lipid catabolic process (GO:0050994)	9	0	.49	-	 < 0.01	6.14E-01
response to amitrole (GO:0072722)	1	0	.05	-	 < 0.01	9.47E-01
negative gravitropism (GO:0009959)	8	0	.43	-	 < 0.01	6.48E-01
epidermal cell fate specification (GO:0009957)	3	0	.16	-	 < 0.01	8.50E-01
response to fatty acid (GO:0070542)	4	0	.22	-	 < 0.01	8.05E-01
negative regulation of anion transmembrane transport (GO:1903960)	3	0	.16	-	 < 0.01	8.50E-01
proximal/distal pattern formation (GO:0009954)	7	0	.38	-	 < 0.01	6.84E-01
dorsal/ventral pattern formation (GO:0009953)	1	0	.05	-	 < 0.01	9.47E-01
detection of mechanical stimulus (GO:0050982)	2	0	.11	-	 < 0.01	8.97E-01
Mo-molybdopterin cofactor metabolic process (GO:0019720)	4	0	.22	-	 < 0.01	8.05E-01
protein K63-linked deubiquitination (GO:0070536)	2	0	.11	-	 < 0.01	8.97E-01
centrolateral axis specification (GO:0009947)	1	0	.05	-	 < 0.01	9.47E-01
cellular response to sorbitol (GO:0072709)	1	0	.05	-	 < 0.01	9.47E-01
response to sorbitol (GO:0072708)	2	0	.11	-	 < 0.01	8.97E-01
response to methyl methanesulfonate (GO:0072702)	1	0	.05	-	 < 0.01	9.47E-01
S-adenosylmethioninamine metabolic process (GO:0046499)	3	0	.16	-	 < 0.01	8.50E-01
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	1	0	.05	-	 < 0.01	9.47E-01
negative regulation of gibberellic acid mediated signaling pathway (GO:0009938)	15	0	.81	-	 < 0.01	4.43E-01
lipid A metabolic process (GO:0046493)	2	0	.11	-	 < 0.01	8.97E-01
positive regulation of heterochromatin organization (GO:0120263)	3	0	.16	-	 < 0.01	8.50E-01
glyoxylate metabolic process (GO:0046487)	4	0	.22	-	 < 0.01	8.05E-01
ether lipid metabolic process (GO:0046485)	1	0	.05	-	 < 0.01	9.47E-01
oxazole or thiazole metabolic process (GO:0046484)	1	0	.05	-	 < 0.01	9.47E-01
para-aminobenzoic acid metabolic process (GO:0046482)	5	0	.27	-	 < 0.01	7.62E-01
cell plate formation involved in plant-type cell wall biogenesis (GO:0009920)	7	0	.38	-	 < 0.01	6.84E-01
hydrocarbon catabolic process (GO:0120253)	9	0	.49	-	 < 0.01	6.14E-01
anther wall tapetum development (GO:0048658)	9	0	.49	-	 < 0.01	6.14E-01
anther wall tapetum cell differentiation (GO:0048657)	3	0	.16	-	 < 0.01	8.50E-01
anther wall tapetum formation (GO:0048656)	3	0	.16	-	 < 0.01	8.50E-01
calcium ion import (GO:0070509)	9	0	.49	-	 < 0.01	6.14E-01
anther wall tapetum morphogenesis (GO:0048655)	4	0	.22	-	 < 0.01	8.05E-01
anther morphogenesis (GO:0048654)	4	0	.22	-	 < 0.01	8.05E-01
regulation of microtubule cytoskeleton organization (GO:0070507)	13	0	.71	-	 < 0.01	4.94E-01
prephenate(2-) biosynthetic process (GO:1901747)	3	0	.16	-	 < 0.01	8.50E-01
phloem sucrose loading (GO:0009915)	2	0	.11	-	 < 0.01	8.97E-01
prephenate(2-) metabolic process (GO:1901745)	3	0	.16	-	 < 0.01	8.50E-01
circadian regulation of translation (GO:0097167)	1	0	.05	-	 < 0.01	9.47E-01
ammonium ion metabolic process (GO:0097164)	4	0	.22	-	 < 0.01	8.05E-01
dynamin family protein polymerization involved in mitochondrial fission (GO:0003374)	1	0	.05	-	 < 0.01	9.47E-01
dynamin family protein polymerization involved in membrane fission (GO:0003373)	1	0	.05	-	 < 0.01	9.47E-01
negative regulation of developmental growth (GO:0048640)	6	0	.33	-	 < 0.01	7.22E-01
maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase II promoter (GO:0001193)	2	0	.11	-	 < 0.01	8.97E-01
maintenance of transcriptional fidelity during DNA-templated transcription elongation (GO:0001192)	2	0	.11	-	 < 0.01	8.97E-01
acylglycerol catabolic process (GO:0046464)	3	0	.16	-	 < 0.01	8.50E-01
monoacylglycerol metabolic process (GO:0046462)	1	0	.05	-	 < 0.01	9.47E-01
neutral lipid catabolic process (GO:0046461)	3	0	.16	-	 < 0.01	8.50E-01
anther dehiscence (GO:0009901)	19	0	1.03	-	 < 0.01	3.56E-01
positive regulation of developmental growth (GO:0048639)	4	0	.22	-	 < 0.01	8.05E-01
cell wall disassembly (GO:0044277)	3	0	.16	-	 < 0.01	8.50E-01
sulfur compound catabolic process (GO:0044273)	44	0	2.39	-	 < 0.01	9.15E-02
negative regulation of ribonuclease activity (GO:0060701)	1	0	.05	-	 < 0.01	9.47E-01
regulation of ribonuclease activity (GO:0060700)	1	0	.05	-	 < 0.01	9.47E-01
protein localization to phagophore assembly site (GO:0034497)	3	0	.16	-	 < 0.01	8.50E-01
DNA-templated transcriptional start site selection (GO:0001173)	1	0	.05	-	 < 0.01	9.47E-01
FMN metabolic process (GO:0046444)	1	0	.05	-	 < 0.01	9.47E-01
FAD metabolic process (GO:0046443)	3	0	.16	-	 < 0.01	8.50E-01
L-lysine metabolic process (GO:0046440)	3	0	.16	-	 < 0.01	8.50E-01
L-cysteine metabolic process (GO:0046439)	1	0	.05	-	 < 0.01	9.47E-01
D-amino acid biosynthetic process (GO:0046437)	2	0	.11	-	 < 0.01	8.97E-01
U5 snRNA 3'-end processing (GO:0034476)	2	0	.11	-	 < 0.01	8.97E-01
U4 snRNA 3'-end processing (GO:0034475)	5	0	.27	-	 < 0.01	7.62E-01
U1 snRNA 3'-end processing (GO:0034473)	2	0	.11	-	 < 0.01	8.97E-01
snRNA 3'-end processing (GO:0034472)	6	0	.33	-	 < 0.01	7.22E-01
ncRNA 5'-end processing (GO:0034471)	3	0	.16	-	 < 0.01	8.50E-01
D-amino acid metabolic process (GO:0046416)	3	0	.16	-	 < 0.01	8.50E-01
urate metabolic process (GO:0046415)	2	0	.11	-	 < 0.01	8.97E-01
negative regulation of cellular amino acid biosynthetic process (GO:2000283)	1	0	.05	-	 < 0.01	9.47E-01
regulation of cellular amino acid biosynthetic process (GO:2000282)	2	0	.11	-	 < 0.01	8.97E-01
positive regulation of protein polymerization (GO:0032273)	19	0	1.03	-	 < 0.01	3.56E-01
negative regulation of protein polymerization (GO:0032272)	14	0	.76	-	 < 0.01	4.68E-01
regulation of protein polymerization (GO:0032271)	32	0	1.74	-	 < 0.01	1.76E-01
negative regulation of DNA biosynthetic process (GO:2000279)	4	0	.22	-	 < 0.01	8.05E-01
regulation of DNA biosynthetic process (GO:2000278)	6	0	.33	-	 < 0.01	7.22E-01
metal incorporation into metallo-molybdopterin complex (GO:0042040)	3	0	.16	-	 < 0.01	8.50E-01
IMP salvage (GO:0032264)	1	0	.05	-	 < 0.01	9.47E-01
pyrimidine nucleotide salvage (GO:0032262)	6	0	.33	-	 < 0.01	7.22E-01
response to jasmonic acid stimulus involved in jasmonic acid and ethylene-dependent systemic resistance (GO:0032260)	3	0	.16	-	 < 0.01	8.50E-01
CTP salvage (GO:0044211)	5	0	.27	-	 < 0.01	7.62E-01
sterol esterification (GO:0034434)	1	0	.05	-	 < 0.01	9.47E-01
steroid esterification (GO:0034433)	1	0	.05	-	 < 0.01	9.47E-01
'de novo' AMP biosynthetic process (GO:0044208)	1	0	.05	-	 < 0.01	9.47E-01
UMP salvage (GO:0044206)	6	0	.33	-	 < 0.01	7.22E-01
'de novo' UMP biosynthetic process (GO:0044205)	6	0	.33	-	 < 0.01	7.22E-01
nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5' (GO:0034427)	8	0	.43	-	 < 0.01	6.48E-01
tRNA 3'-trailer cleavage, endonucleolytic (GO:0034414)	2	0	.11	-	 < 0.01	8.97E-01
vesicle transport along actin filament (GO:0030050)	17	0	.92	-	 < 0.01	3.97E-01
regulation of embryonic development (GO:0045995)	13	0	.71	-	 < 0.01	4.94E-01
positive regulation of rRNA processing (GO:2000234)	1	0	.05	-	 < 0.01	9.47E-01
regulation of rRNA processing (GO:2000232)	2	0	.11	-	 < 0.01	8.97E-01
response to sodium phosphate (GO:1904383)	1	0	.05	-	 < 0.01	9.47E-01
recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex (GO:0034402)	2	0	.11	-	 < 0.01	8.97E-01
plasmodesmata-mediated intercellular transport (GO:0010497)	14	0	.76	-	 < 0.01	4.68E-01
intercellular transport (GO:0010496)	20	0	1.09	-	 < 0.01	3.38E-01
long-distance posttranscriptional gene silencing (GO:0010495)	2	0	.11	-	 < 0.01	8.97E-01
Lewis a epitope biosynthetic process (GO:0010493)	2	0	.11	-	 < 0.01	8.97E-01
actin filament depolymerization (GO:0030042)	13	0	.71	-	 < 0.01	4.94E-01
actin filament polymerization (GO:0030041)	8	0	.43	-	 < 0.01	6.48E-01
positive regulation of telomere maintenance via telomerase (GO:0032212)	1	0	.05	-	 < 0.01	9.47E-01
negative regulation of telomere maintenance via telomerase (GO:0032211)	1	0	.05	-	 < 0.01	9.47E-01
microsporocyte differentiation (GO:0010480)	2	0	.11	-	 < 0.01	8.97E-01
regulation of telomere maintenance via telomerase (GO:0032210)	4	0	.22	-	 < 0.01	8.05E-01
cellular detoxification of cadmium ion (GO:0098849)	2	0	.11	-	 < 0.01	8.97E-01
cell projection assembly (GO:0030031)	2	0	.11	-	 < 0.01	8.97E-01
cell projection organization (GO:0030030)	2	0	.11	-	 < 0.01	8.97E-01
negative regulation of proline metabolic process (GO:2000215)	1	0	.05	-	 < 0.01	9.47E-01
regulation of proline metabolic process (GO:2000214)	1	0	.05	-	 < 0.01	9.47E-01
positive regulation of sclerenchyma cell differentiation (GO:1904369)	1	0	.05	-	 < 0.01	9.47E-01
regulation of sclerenchyma cell differentiation (GO:1904368)	1	0	.05	-	 < 0.01	9.47E-01
positive regulation of shoot apical meristem development (GO:1902185)	1	0	.05	-	 < 0.01	9.47E-01
response to sulfur dioxide (GO:0010477)	1	0	.05	-	 < 0.01	9.47E-01
positive regulation of telomere maintenance (GO:0032206)	1	0	.05	-	 < 0.01	9.47E-01
negative regulation of telomere maintenance (GO:0032205)	1	0	.05	-	 < 0.01	9.47E-01
regulation of telomere maintenance (GO:0032204)	7	0	.38	-	 < 0.01	6.84E-01
telomere organization (GO:0032200)	23	0	1.25	-	 < 0.01	2.87E-01
cellular manganese ion homeostasis (GO:0030026)	13	0	.71	-	 < 0.01	4.94E-01
kinetochore organization (GO:0051383)	3	0	.16	-	 < 0.01	8.50E-01
positive regulation of telomere maintenance via telomere lengthening (GO:1904358)	1	0	.05	-	 < 0.01	9.47E-01
kinetochore assembly (GO:0051382)	2	0	.11	-	 < 0.01	8.97E-01
negative regulation of telomere maintenance via telomere lengthening (GO:1904357)	1	0	.05	-	 < 0.01	9.47E-01
regulation of telomere maintenance via telomere lengthening (GO:1904356)	4	0	.22	-	 < 0.01	8.05E-01
negative regulation of peptidase activity (GO:0010466)	10	0	.54	-	 < 0.01	5.81E-01
regulation of tocopherol cyclase activity (GO:1902171)	2	0	.11	-	 < 0.01	8.97E-01
mRNA destabilization (GO:0061157)	5	0	.27	-	 < 0.01	7.62E-01
cellular response to reactive nitrogen species (GO:1902170)	13	0	.71	-	 < 0.01	4.94E-01
protein maturation by protein folding (GO:0022417)	1	0	.05	-	 < 0.01	9.47E-01
establishment of cell polarity (GO:0030010)	3	0	.16	-	 < 0.01	8.50E-01
positive regulation of mitotic recombination (GO:0045951)	2	0	.11	-	 < 0.01	8.97E-01
negative regulation of cell fate commitment (GO:0010454)	1	0	.05	-	 < 0.01	9.47E-01
histone H3-K36 methylation (GO:0010452)	1	0	.05	-	 < 0.01	9.47E-01
floral meristem growth (GO:0010451)	1	0	.05	-	 < 0.01	9.47E-01
actin polymerization or depolymerization (GO:0008154)	22	0	1.19	-	 < 0.01	3.03E-01
inflorescence meristem growth (GO:0010450)	2	0	.11	-	 < 0.01	8.97E-01
para-aminobenzoic acid biosynthetic process (GO:0008153)	2	0	.11	-	 < 0.01	8.97E-01
positive regulation of translational initiation (GO:0045948)	3	0	.16	-	 < 0.01	8.50E-01
cell cycle phase (GO:0022403)	4	0	.22	-	 < 0.01	8.05E-01
positive regulation of transcription by RNA polymerase I (GO:0045943)	3	0	.16	-	 < 0.01	8.50E-01
cellular response to potassium ion starvation (GO:0051365)	7	0	.38	-	 < 0.01	6.84E-01
root meristem growth (GO:0010449)	11	0	.60	-	 < 0.01	5.50E-01
response to acidic pH (GO:0010447)	4	0	.22	-	 < 0.01	8.05E-01
response to alkaline pH (GO:0010446)	1	0	.05	-	 < 0.01	9.47E-01
guard mother cell differentiation (GO:0010444)	7	0	.38	-	 < 0.01	6.84E-01
guard cell morphogenesis (GO:0010442)	2	0	.11	-	 < 0.01	8.97E-01
guard cell development (GO:0010441)	2	0	.11	-	 < 0.01	8.97E-01
stomatal lineage progression (GO:0010440)	13	0	.71	-	 < 0.01	4.94E-01
positive regulation of mitotic cell cycle (GO:0045931)	12	0	.65	-	 < 0.01	5.21E-01
positive regulation of oxidoreductase activity (GO:0051353)	3	0	.16	-	 < 0.01	8.50E-01
regulation of glucosinolate biosynthetic process (GO:0010439)	5	0	.27	-	 < 0.01	7.62E-01
cellular response to sulfur starvation (GO:0010438)	1	0	.05	-	 < 0.01	9.47E-01
box H/ACA RNA metabolic process (GO:0033979)	1	0	.05	-	 < 0.01	9.47E-01
bract formation (GO:0010434)	3	0	.16	-	 < 0.01	8.50E-01
bract morphogenesis (GO:0010433)	3	0	.16	-	 < 0.01	8.50E-01
bract development (GO:0010432)	4	0	.22	-	 < 0.01	8.05E-01
fatty acid omega-oxidation (GO:0010430)	1	0	.05	-	 < 0.01	9.47E-01
regulation of peptide transport (GO:0090087)	6	0	.33	-	 < 0.01	7.22E-01
negative regulation of transferase activity (GO:0051348)	15	0	.81	-	 < 0.01	4.43E-01
negative regulation of hydrolase activity (GO:0051346)	14	0	.76	-	 < 0.01	4.68E-01
positive regulation of fatty acid metabolic process (GO:0045923)	4	0	.22	-	 < 0.01	8.05E-01
negative regulation of fatty acid metabolic process (GO:0045922)	1	0	.05	-	 < 0.01	9.47E-01
DNA methylation on cytosine within a CNG sequence (GO:0010425)	1	0	.05	-	 < 0.01	9.47E-01
box C/D RNA metabolic process (GO:0033967)	3	0	.16	-	 < 0.01	8.50E-01
DNA methylation on cytosine within a CG sequence (GO:0010424)	6	0	.33	-	 < 0.01	7.22E-01
regulation of brassinosteroid biosynthetic process (GO:0010422)	2	0	.11	-	 < 0.01	8.97E-01
hydrogen peroxide-mediated programmed cell death (GO:0010421)	2	0	.11	-	 < 0.01	8.97E-01
P-body assembly (GO:0033962)	9	0	.49	-	 < 0.01	6.14E-01
histone H3-K9 deacetylation (GO:1990619)	1	0	.05	-	 < 0.01	9.47E-01
regulation of lyase activity (GO:0051339)	1	0	.05	-	 < 0.01	9.47E-01
negative regulation of ribosome biogenesis (GO:0090071)	2	0	.11	-	 < 0.01	8.97E-01
negative regulation of carbohydrate metabolic process (GO:0045912)	8	0	.43	-	 < 0.01	6.48E-01
positive regulation of DNA recombination (GO:0045911)	3	0	.16	-	 < 0.01	8.50E-01
negative regulation of DNA recombination (GO:0045910)	11	0	.60	-	 < 0.01	5.50E-01
meiotic G2 phase (GO:0051331)	1	0	.05	-	 < 0.01	9.47E-01
protein localization to cortical microtubule cytoskeleton (GO:0072699)	2	0	.11	-	 < 0.01	8.97E-01
protein localization to microtubule cytoskeleton (GO:0072698)	5	0	.27	-	 < 0.01	7.62E-01
protein localization to cell cortex (GO:0072697)	2	0	.11	-	 < 0.01	8.97E-01
mitochondrial DNA inheritance (GO:0033955)	1	0	.05	-	 < 0.01	9.47E-01
mannan metabolic process (GO:0010412)	1	0	.05	-	 < 0.01	9.47E-01
regulation of ribosome biogenesis (GO:0090069)	4	0	.22	-	 < 0.01	8.05E-01
positive regulation of cell cycle process (GO:0090068)	20	0	1.09	-	 < 0.01	3.38E-01
positive regulation of microtubule nucleation (GO:0090063)	2	0	.11	-	 < 0.01	8.97E-01
mitotic interphase (GO:0051329)	2	0	.11	-	 < 0.01	8.97E-01
meiotic interphase (GO:0051328)	1	0	.05	-	 < 0.01	9.47E-01
positive regulation of translational termination (GO:0045905)	3	0	.16	-	 < 0.01	8.50E-01
positive regulation of translational fidelity (GO:0045903)	4	0	.22	-	 < 0.01	8.05E-01
interphase (GO:0051325)	3	0	.16	-	 < 0.01	8.50E-01
prophase (GO:0051324)	2	0	.11	-	 < 0.01	8.97E-01
positive regulation of translational elongation (GO:0045901)	3	0	.16	-	 < 0.01	8.50E-01
negative regulation of translational elongation (GO:0045900)	1	0	.05	-	 < 0.01	9.47E-01
S phase (GO:0051320)	2	0	.11	-	 < 0.01	8.97E-01
choline metabolic process (GO:0019695)	3	0	.16	-	 < 0.01	8.50E-01
mitochondrial tRNA 3'-trailer cleavage, endonucleolytic (GO:0072684)	2	0	.11	-	 < 0.01	8.97E-01
positive regulation of organelle assembly (GO:1902117)	4	0	.22	-	 < 0.01	8.05E-01
extensin metabolic process (GO:0010409)	1	0	.05	-	 < 0.01	9.47E-01
deoxyribose phosphate metabolic process (GO:0019692)	7	0	.38	-	 < 0.01	6.84E-01
regulation of organelle assembly (GO:1902115)	8	0	.43	-	 < 0.01	6.48E-01
arabinogalactan protein metabolic process (GO:0010405)	8	0	.43	-	 < 0.01	6.48E-01
cell wall hydroxyproline-rich glycoprotein metabolic process (GO:0010404)	9	0	.49	-	 < 0.01	6.14E-01
pectic galactan metabolic process (GO:0010401)	1	0	.05	-	 < 0.01	9.47E-01
protoxylem development (GO:0090059)	3	0	.16	-	 < 0.01	8.50E-01
rhamnogalacturonan I side chain metabolic process (GO:0010400)	2	0	.11	-	 < 0.01	8.97E-01
root radial pattern formation (GO:0090057)	7	0	.38	-	 < 0.01	6.84E-01
G2 phase (GO:0051319)	3	0	.16	-	 < 0.01	8.50E-01
G1 phase (GO:0051318)	2	0	.11	-	 < 0.01	8.97E-01
attachment of spindle microtubules to kinetochore involved in meiotic chromosome segregation (GO:0051316)	2	0	.11	-	 < 0.01	8.97E-01
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	3	0	.16	-	 < 0.01	8.50E-01
metaphase plate congression (GO:0051310)	3	0	.16	-	 < 0.01	8.50E-01
photosynthesis, dark reaction (GO:0019685)	15	0	.81	-	 < 0.01	4.43E-01
negative regulation of metaphase/anaphase transition of meiotic cell cycle (GO:1902103)	1	0	.05	-	 < 0.01	9.47E-01
