




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Saccharomyces cerevisiae)
Reference List:	yeast_background.txt (Saccharomyces cerevisiae)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	yeast_background.txt - REFLIST (4661)	upload_1 (3776)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
regulation of autophagy of mitochondrion (GO:1903146)	7	5	5.67	-	.88	5.00E-01
cellular response to pH (GO:0071467)	7	5	5.67	-	.88	5.00E-01
protein demethylation (GO:0006482)	7	5	5.67	-	.88	5.00E-01
C-terminal protein amino acid modification (GO:0018410)	7	5	5.67	-	.88	5.00E-01
thioester biosynthetic process (GO:0035384)	7	5	5.67	-	.88	5.00E-01
mannose transmembrane transport (GO:0015761)	14	10	11.34	-	.88	4.20E-01
pentose-phosphate shunt, oxidative branch (GO:0009051)	7	5	5.67	-	.88	5.00E-01
regulation of mitochondrion organization (GO:0010821)	14	10	11.34	-	.88	4.20E-01
heterochromatin organization involved in chromatin silencing (GO:0070868)	7	5	5.67	-	.88	5.00E-01
cyclic-nucleotide-mediated signaling (GO:0019935)	7	5	5.67	-	.88	5.00E-01
cAMP-mediated signaling (GO:0019933)	7	5	5.67	-	.88	5.00E-01
meiotic nuclear division (GO:0140013)	77	55	62.38	-	.88	1.91E-01
nucleobase-containing small molecule catabolic process (GO:0034656)	7	5	5.67	-	.88	5.00E-01
negative regulation of chromatin silencing at telomere (GO:0031939)	14	10	11.34	-	.88	4.20E-01
regulation of meiotic cell cycle (GO:0051445)	35	25	28.35	-	.88	3.03E-01
protein dealkylation (GO:0008214)	7	5	5.67	-	.88	5.00E-01
stress-activated MAPK cascade (GO:0051403)	14	10	11.34	-	.88	4.20E-01
fructose metabolic process (GO:0006000)	7	5	5.67	-	.88	5.00E-01
phosphatidylcholine metabolic process (GO:0046470)	14	10	11.34	-	.88	4.20E-01
acylglycerol catabolic process (GO:0046464)	7	5	5.67	-	.88	5.00E-01
transcriptional start site selection at RNA polymerase II promoter (GO:0001174)	7	5	5.67	-	.88	5.00E-01
DNA-templated transcriptional start site selection (GO:0001173)	7	5	5.67	-	.88	5.00E-01
kinetochore assembly (GO:0051382)	7	5	5.67	-	.88	5.00E-01
mRNA destabilization (GO:0061157)	7	5	5.67	-	.88	5.00E-01
negative regulation of growth (GO:0045926)	7	5	5.67	-	.88	5.00E-01
meiotic chromosome separation (GO:0051307)	14	10	11.34	-	.88	4.20E-01
regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045898)	14	10	11.34	-	.88	4.20E-01
dicarboxylic acid catabolic process (GO:0043649)	7	5	5.67	-	.88	5.00E-01
RNA destabilization (GO:0050779)	7	5	5.67	-	.88	5.00E-01
triglyceride catabolic process (GO:0019433)	7	5	5.67	-	.88	5.00E-01
nuclear envelope organization (GO:0006998)	7	5	5.67	-	.88	5.00E-01
modified amino acid transport (GO:0072337)	7	5	5.67	-	.88	5.00E-01
regulation of nucleosome density (GO:0060303)	7	5	5.67	-	.88	5.00E-01
protein catabolic process (GO:0030163)	255	182	206.58	-	.88	4.04E-02
glycerolipid metabolic process (GO:0046486)	118	84	95.59	-	.88	1.24E-01
Golgi vesicle transport (GO:0048193)	190	135	153.92	-	.88	6.25E-02
positive regulation of molecular function (GO:0044093)	207	147	167.70	-	.88	5.31E-02
fungal-type cell wall biogenesis (GO:0009272)	69	49	55.90	-	.88	1.96E-01
positive regulation of cellular protein metabolic process (GO:0032270)	138	98	111.80	-	.88	9.90E-02
reproductive process in single-celled organism (GO:0022413)	100	71	81.01	-	.88	1.42E-01
iron ion transport (GO:0006826)	31	22	25.11	-	.88	3.09E-01
regulation of carbohydrate biosynthetic process (GO:0043255)	31	22	25.11	-	.88	3.09E-01
rRNA catabolic process (GO:0016075)	31	22	25.11	-	.88	3.09E-01
regulation of small GTPase mediated signal transduction (GO:0051056)	31	22	25.11	-	.88	3.09E-01
positive regulation of catalytic activity (GO:0043085)	196	139	158.78	-	.88	5.67E-02
ascospore formation (GO:0030437)	79	56	64.00	-	.88	1.73E-01
cell development (GO:0048468)	79	56	64.00	-	.88	1.73E-01
regulation of microtubule cytoskeleton organization (GO:0070507)	24	17	19.44	-	.87	3.41E-01
regulation of vesicle-mediated transport (GO:0060627)	48	34	38.89	-	.87	2.44E-01
organic hydroxy compound catabolic process (GO:1901616)	24	17	19.44	-	.87	3.41E-01
RNA polyadenylation (GO:0043631)	24	17	19.44	-	.87	3.41E-01
glycerophospholipid metabolic process (GO:0006650)	106	75	85.87	-	.87	1.28E-01
regulation of signaling (GO:0023051)	123	87	99.65	-	.87	1.07E-01
positive regulation of protein kinase activity (GO:0045860)	41	29	33.22	-	.87	2.64E-01
positive regulation of protein metabolic process (GO:0051247)	140	99	113.42	-	.87	9.02E-02
electron transport chain (GO:0022900)	58	41	46.99	-	.87	2.13E-01
reproduction of a single-celled organism (GO:0032505)	143	101	115.85	-	.87	8.57E-02
dephosphorylation (GO:0016311)	119	84	96.41	-	.87	1.08E-01
stress-activated protein kinase signaling cascade (GO:0031098)	17	12	13.77	-	.87	3.81E-01
base-excision repair (GO:0006284)	17	12	13.77	-	.87	3.81E-01
cell morphogenesis (GO:0000902)	17	12	13.77	-	.87	3.81E-01
chromosome separation (GO:0051304)	17	12	13.77	-	.87	3.81E-01
mRNA cleavage involved in mRNA processing (GO:0098787)	17	12	13.77	-	.87	3.81E-01
nicotinamide nucleotide biosynthetic process (GO:0019359)	17	12	13.77	-	.87	3.81E-01
proteolysis (GO:0006508)	326	230	264.10	-	.87	1.47E-02
actin filament-based process (GO:0030029)	112	79	90.73	-	.87	1.15E-01
regulation of signal transduction (GO:0009966)	122	86	98.84	-	.87	1.02E-01
proteolysis involved in cellular protein catabolic process (GO:0051603)	230	162	186.33	-	.87	3.46E-02
anatomical structure homeostasis (GO:0060249)	54	38	43.75	-	.87	2.15E-01
telomere maintenance (GO:0000723)	54	38	43.75	-	.87	2.15E-01
positive regulation of hydrolase activity (GO:0051345)	108	76	87.49	-	.87	1.16E-01
lipid transport (GO:0006869)	64	45	51.85	-	.87	1.89E-01
protein dephosphorylation (GO:0006470)	64	45	51.85	-	.87	1.89E-01
cell budding (GO:0007114)	47	33	38.08	-	.87	2.32E-01
asexual reproduction (GO:0019954)	47	33	38.08	-	.87	2.32E-01
developmental process involved in reproduction (GO:0003006)	100	70	81.01	-	.86	1.17E-01
nuclear-transcribed mRNA poly(A) tail shortening (GO:0000289)	10	7	8.10	-	.86	4.39E-01
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	30	21	24.30	-	.86	2.92E-01
ATP biosynthetic process (GO:0006754)	20	14	16.20	-	.86	3.49E-01
cell wall integrity MAPK cascade (GO:0000196)	10	7	8.10	-	.86	4.39E-01
flavin-containing compound metabolic process (GO:0042726)	10	7	8.10	-	.86	4.39E-01
ATP synthesis coupled proton transport (GO:0015986)	20	14	16.20	-	.86	3.49E-01
energy coupled proton transport, down electrochemical gradient (GO:0015985)	20	14	16.20	-	.86	3.49E-01
mitotic chromosome condensation (GO:0007076)	10	7	8.10	-	.86	4.39E-01
positive regulation of attachment of spindle microtubules to kinetochore (GO:0051987)	10	7	8.10	-	.86	4.39E-01
tryptophan catabolic process (GO:0006569)	10	7	8.10	-	.86	4.39E-01
regulation of GTPase activity (GO:0043087)	60	42	48.61	-	.86	1.90E-01
arginine biosynthetic process (GO:0006526)	10	7	8.10	-	.86	4.39E-01
indole-containing compound catabolic process (GO:0042436)	10	7	8.10	-	.86	4.39E-01
cellular response to carbohydrate stimulus (GO:0071322)	10	7	8.10	-	.86	4.39E-01
protein insertion into mitochondrial outer membrane (GO:0045040)	10	7	8.10	-	.86	4.39E-01
regulation of organelle organization (GO:0033043)	250	175	202.53	-	.86	2.36E-02
response to amino acid starvation (GO:1990928)	10	7	8.10	-	.86	4.39E-01
negative regulation of gene silencing (GO:0060969)	20	14	16.20	-	.86	3.49E-01
negative regulation of meiotic cell cycle (GO:0051447)	20	14	16.20	-	.86	3.49E-01
early endosome to Golgi transport (GO:0034498)	10	7	8.10	-	.86	4.39E-01
positive regulation of gene expression, epigenetic (GO:0045815)	20	14	16.20	-	.86	3.49E-01
response to glucose (GO:0009749)	10	7	8.10	-	.86	4.39E-01
response to hexose (GO:0009746)	10	7	8.10	-	.86	4.39E-01
response to monosaccharide (GO:0034284)	10	7	8.10	-	.86	4.39E-01
indolalkylamine catabolic process (GO:0046218)	10	7	8.10	-	.86	4.39E-01
cellular response to amino acid starvation (GO:0034198)	10	7	8.10	-	.86	4.39E-01
regulation of secretion (GO:0051046)	10	7	8.10	-	.86	4.39E-01
regulation of transcription involved in meiotic cell cycle (GO:0051037)	10	7	8.10	-	.86	4.39E-01
regulation of secretion by cell (GO:1903530)	10	7	8.10	-	.86	4.39E-01
regulation of intracellular signal transduction (GO:1902531)	83	58	67.24	-	.86	1.40E-01
inorganic cation transmembrane transport (GO:0098662)	146	102	118.28	-	.86	6.78E-02
negative regulation of cell communication (GO:0010648)	53	37	42.94	-	.86	2.04E-01
organelle membrane fusion (GO:0090174)	43	30	34.84	-	.86	2.34E-01
modification-dependent macromolecule catabolic process (GO:0043632)	228	159	184.71	-	.86	2.66E-02
actin cytoskeleton organization (GO:0030036)	109	76	88.30	-	.86	9.98E-02
positive regulation of autophagy (GO:0010508)	33	23	26.73	-	.86	2.72E-01
regulation of mitotic cell cycle (GO:0007346)	122	85	98.84	-	.86	8.47E-02
regulation of DNA-templated transcription, initiation (GO:2000142)	23	16	18.63	-	.86	3.21E-01
cellular response to nutrient (GO:0031670)	46	32	37.27	-	.86	2.19E-01
negative regulation of cell cycle (GO:0045786)	105	73	85.06	-	.86	1.00E-01
mitotic cell cycle checkpoint (GO:0007093)	59	41	47.80	-	.86	1.80E-01
endoplasmic reticulum organization (GO:0007029)	36	25	29.16	-	.86	2.53E-01
actin filament organization (GO:0007015)	62	43	50.23	-	.86	1.70E-01
cell cycle checkpoint (GO:0000075)	78	54	63.19	-	.85	1.34E-01
maintenance of location in cell (GO:0051651)	39	27	31.59	-	.85	2.36E-01
positive regulation of phosphorus metabolic process (GO:0010562)	78	54	63.19	-	.85	1.34E-01
positive regulation of phosphate metabolic process (GO:0045937)	78	54	63.19	-	.85	1.34E-01
regulation of conjugation with cellular fusion (GO:0031137)	52	36	42.13	-	.85	1.93E-01
positive regulation of microtubule polymerization (GO:0031116)	13	9	10.53	-	.85	3.93E-01
positive regulation of microtubule polymerization or depolymerization (GO:0031112)	13	9	10.53	-	.85	3.93E-01
reticulophagy (GO:0061709)	13	9	10.53	-	.85	3.93E-01
regulation of conjugation (GO:0046999)	52	36	42.13	-	.85	1.93E-01
postreplication repair (GO:0006301)	26	18	21.06	-	.85	2.96E-01
regulation of multi-organism process (GO:0043900)	52	36	42.13	-	.85	1.93E-01
negative regulation of signaling (GO:0023057)	52	36	42.13	-	.85	1.93E-01
signal transduction by protein phosphorylation (GO:0023014)	26	18	21.06	-	.85	2.96E-01
negative regulation of signal transduction (GO:0009968)	52	36	42.13	-	.85	1.93E-01
regulation of reproductive process (GO:2000241)	104	72	84.25	-	.85	9.54E-02
iron coordination entity transport (GO:1901678)	13	9	10.53	-	.85	3.93E-01
positive regulation of cellular protein localization (GO:1903829)	13	9	10.53	-	.85	3.93E-01
protein depolymerization (GO:0051261)	13	9	10.53	-	.85	3.93E-01
response to biotic stimulus (GO:0009607)	13	9	10.53	-	.85	3.93E-01
endocytosis (GO:0006897)	113	78	91.54	-	.85	8.12E-02
cytokinesis (GO:0000910)	71	49	57.52	-	.85	1.42E-01
mitotic cytokinesis (GO:0000281)	58	40	46.99	-	.85	1.71E-01
ubiquitin-dependent ERAD pathway (GO:0030433)	45	31	36.46	-	.85	2.07E-01
regulation of protein polymerization (GO:0032271)	45	31	36.46	-	.85	2.07E-01
positive regulation of kinase activity (GO:0033674)	45	31	36.46	-	.85	2.07E-01
catabolite repression (GO:0061984)	16	11	12.96	-	.85	3.57E-01
cellular component morphogenesis (GO:0032989)	48	33	38.89	-	.85	1.94E-01
protein targeting to peroxisome (GO:0006625)	16	11	12.96	-	.85	3.57E-01
positive regulation of conjugation with cellular fusion (GO:0031139)	48	33	38.89	-	.85	1.94E-01
positive regulation of conjugation (GO:0031136)	48	33	38.89	-	.85	1.94E-01
actin filament bundle organization (GO:0061572)	16	11	12.96	-	.85	3.57E-01
regulation of gluconeogenesis (GO:0006111)	16	11	12.96	-	.85	3.57E-01
positive regulation of multi-organism process (GO:0043902)	48	33	38.89	-	.85	1.94E-01
negative regulation of Ras protein signal transduction (GO:0046580)	16	11	12.96	-	.85	3.57E-01
establishment of protein localization to peroxisome (GO:0072663)	16	11	12.96	-	.85	3.57E-01
protein localization to peroxisome (GO:0072662)	16	11	12.96	-	.85	3.57E-01
pre-mRNA cleavage required for polyadenylation (GO:0098789)	16	11	12.96	-	.85	3.57E-01
positive regulation of DNA-templated transcription, initiation (GO:2000144)	16	11	12.96	-	.85	3.57E-01
actin filament bundle assembly (GO:0051017)	16	11	12.96	-	.85	3.57E-01
cell wall assembly (GO:0070726)	35	24	28.35	-	.85	2.38E-01
fungal-type cell wall assembly (GO:0071940)	35	24	28.35	-	.85	2.38E-01
mRNA polyadenylation (GO:0006378)	19	13	15.39	-	.84	3.26E-01
negative regulation of chromatin silencing (GO:0031936)	19	13	15.39	-	.84	3.26E-01
positive regulation of GTPase activity (GO:0043547)	57	39	46.18	-	.84	1.61E-01
regulation of actin filament organization (GO:0110053)	38	26	30.78	-	.84	2.22E-01
positive regulation of cell cycle (GO:0045787)	79	54	64.00	-	.84	1.14E-01
positive regulation of cellular catabolic process (GO:0031331)	60	41	48.61	-	.84	1.52E-01
positive regulation of catabolic process (GO:0009896)	63	43	51.04	-	.84	1.43E-01
regulation of transcription initiation from RNA polymerase II promoter (GO:0060260)	22	15	17.82	-	.84	3.00E-01
histone deacetylation (GO:0016575)	22	15	17.82	-	.84	3.00E-01
protein deacetylation (GO:0006476)	22	15	17.82	-	.84	3.00E-01
vesicle-mediated transport (GO:0016192)	391	266	316.76	-	.84	1.27E-03
response to nutrient (GO:0007584)	50	34	40.51	-	.84	1.72E-01
protein deubiquitination (GO:0016579)	28	19	22.68	-	.84	2.57E-01
mitotic spindle checkpoint (GO:0071174)	28	19	22.68	-	.84	2.57E-01
negative regulation of reproductive process (GO:2000242)	28	19	22.68	-	.84	2.57E-01
spindle checkpoint (GO:0031577)	28	19	22.68	-	.84	2.57E-01
cytoskeleton-dependent cytokinesis (GO:0061640)	59	40	47.80	-	.84	1.43E-01
regulation of actin filament polymerization (GO:0030833)	31	21	25.11	-	.84	2.39E-01
regulation of actin filament length (GO:0030832)	31	21	25.11	-	.84	2.39E-01
regulation of actin polymerization or depolymerization (GO:0008064)	31	21	25.11	-	.84	2.39E-01
regulation of cell cycle phase transition (GO:1901987)	99	67	80.20	-	.84	7.29E-02
ascospore wall assembly (GO:0030476)	34	23	27.54	-	.84	2.23E-01
maintenance of protein location in cell (GO:0032507)	34	23	27.54	-	.84	2.23E-01
ncRNA catabolic process (GO:0034661)	34	23	27.54	-	.84	2.23E-01
spore wall assembly (GO:0042244)	34	23	27.54	-	.84	2.23E-01
ascospore wall biogenesis (GO:0070591)	34	23	27.54	-	.84	2.23E-01
spore wall biogenesis (GO:0070590)	34	23	27.54	-	.84	2.23E-01
modification-dependent protein catabolic process (GO:0019941)	207	140	167.70	-	.83	1.41E-02
monovalent inorganic cation transport (GO:0015672)	108	73	87.49	-	.83	6.20E-02
negative regulation of cell cycle process (GO:0010948)	77	52	62.38	-	.83	1.01E-01
vesicle fusion (GO:0006906)	40	27	32.41	-	.83	1.95E-01
endomembrane system organization (GO:0010256)	83	56	67.24	-	.83	9.04E-02
protein modification by small protein conjugation (GO:0032446)	126	85	102.08	-	.83	4.51E-02
response to pheromone triggering conjugation with cellular fusion (GO:0000749)	43	29	34.84	-	.83	1.83E-01
negative regulation of mitotic cell cycle phase transition (GO:1901991)	49	33	39.70	-	.83	1.61E-01
negative regulation of cell cycle phase transition (GO:1901988)	49	33	39.70	-	.83	1.61E-01
autophagy (GO:0006914)	153	103	123.95	-	.83	2.83E-02
positive regulation of reproductive process (GO:2000243)	61	41	49.42	-	.83	1.27E-01
lipid localization (GO:0010876)	70	47	56.71	-	.83	1.07E-01
positive regulation of cell cycle process (GO:0090068)	70	47	56.71	-	.83	1.07E-01
positive regulation of protein modification process (GO:0031401)	88	59	71.29	-	.83	7.62E-02
regulation of mitotic cell cycle phase transition (GO:1901990)	97	65	78.58	-	.83	6.47E-02
regulation of supramolecular fiber organization (GO:1902903)	54	36	43.75	-	.82	1.34E-01
DNA damage checkpoint (GO:0000077)	27	18	21.87	-	.82	2.40E-01
protein autophosphorylation (GO:0046777)	27	18	21.87	-	.82	2.40E-01
mitochondrion localization (GO:0051646)	27	18	21.87	-	.82	2.40E-01
positive regulation of cellular component biogenesis (GO:0044089)	78	52	63.19	-	.82	8.45E-02
alcohol catabolic process (GO:0046164)	21	14	17.01	-	.82	2.79E-01
response to anoxia (GO:0034059)	3	2	2.43	-	.82	5.62E-01
receptor-mediated endocytosis (GO:0006898)	15	10	12.15	-	.82	3.31E-01
Golgi to plasma membrane transport (GO:0006893)	33	22	26.73	-	.82	2.08E-01
regulation of protein binding (GO:0043393)	3	2	2.43	-	.82	5.62E-01
deadenylation-dependent decapping of nuclear-transcribed mRNA (GO:0000290)	12	8	9.72	-	.82	3.65E-01
manganese ion transport (GO:0006828)	9	6	7.29	-	.82	4.07E-01
regulation of initiation of mating projection growth (GO:0031384)	3	2	2.43	-	.82	5.62E-01
ubiquitin-dependent endocytosis (GO:0070086)	12	8	9.72	-	.82	3.65E-01
histone lysine demethylation (GO:0070076)	6	4	4.86	-	.82	4.65E-01
citrulline biosynthetic process (GO:0019240)	3	2	2.43	-	.82	5.62E-01
gamma-aminobutyric acid catabolic process (GO:0009450)	3	2	2.43	-	.82	5.62E-01
positive regulation of transcription initiation from RNA polymerase II promoter (GO:0060261)	15	10	12.15	-	.82	3.31E-01
gamma-aminobutyric acid metabolic process (GO:0009448)	3	2	2.43	-	.82	5.62E-01
pyridoxal 5'-phosphate salvage (GO:0009443)	3	2	2.43	-	.82	5.62E-01
regulation of flocculation (GO:0060256)	3	2	2.43	-	.82	5.62E-01
methylglyoxal metabolic process (GO:0009438)	6	4	4.86	-	.82	4.65E-01
meiosis II cell cycle process (GO:0061983)	15	10	12.15	-	.82	3.31E-01
histone deubiquitination (GO:0016578)	6	4	4.86	-	.82	4.65E-01
histone demethylation (GO:0016577)	6	4	4.86	-	.82	4.65E-01
NADP biosynthetic process (GO:0006741)	3	2	2.43	-	.82	5.62E-01
positive regulation of ion transport (GO:0043270)	3	2	2.43	-	.82	5.62E-01
tryptophan biosynthetic process (GO:0000162)	6	4	4.86	-	.82	4.65E-01
phosphorelay signal transduction system (GO:0000160)	6	4	4.86	-	.82	4.65E-01
tRNA 3'-end processing (GO:0042780)	6	4	4.86	-	.82	4.65E-01
negative regulation of meiotic DNA double-strand break formation (GO:1903342)	3	2	2.43	-	.82	5.62E-01
signal transduction in response to DNA damage (GO:0042770)	3	2	2.43	-	.82	5.62E-01
protein localization to microtubule organizing center (GO:1905508)	3	2	2.43	-	.82	5.62E-01
meiosis II (GO:0007135)	15	10	12.15	-	.82	3.31E-01
regulation of cytokinetic process (GO:0032954)	18	12	14.58	-	.82	3.03E-01
negative regulation of transcription by RNA polymerase III (GO:0016480)	3	2	2.43	-	.82	5.62E-01
sulfur amino acid catabolic process (GO:0000098)	3	2	2.43	-	.82	5.62E-01
positive regulation of cell cycle G1/S phase transition (GO:1902808)	12	8	9.72	-	.82	3.65E-01
citrulline metabolic process (GO:0000052)	3	2	2.43	-	.82	5.62E-01
regulation of mitotic recombination (GO:0000019)	6	4	4.86	-	.82	4.65E-01
mRNA transcription (GO:0009299)	3	2	2.43	-	.82	5.62E-01
mitotic DNA replication checkpoint (GO:0033314)	9	6	7.29	-	.82	4.07E-01
sister chromatid biorientation (GO:0031134)	9	6	7.29	-	.82	4.07E-01
mitotic G2 DNA damage checkpoint (GO:0007095)	3	2	2.43	-	.82	5.62E-01
traversing start control point of mitotic cell cycle (GO:0007089)	12	8	9.72	-	.82	3.65E-01
inositol phosphate catabolic process (GO:0071545)	9	6	7.29	-	.82	4.07E-01
phospholipid homeostasis (GO:0055091)	3	2	2.43	-	.82	5.62E-01
acylglycerol homeostasis (GO:0055090)	3	2	2.43	-	.82	5.62E-01
tyrosine catabolic process (GO:0006572)	3	2	2.43	-	.82	5.62E-01
anion homeostasis (GO:0055081)	6	4	4.86	-	.82	4.65E-01
pheromone response MAPK cascade (GO:0071507)	3	2	2.43	-	.82	5.62E-01
methylglyoxal catabolic process to lactate (GO:0061727)	6	4	4.86	-	.82	4.65E-01
leucine catabolic process (GO:0006552)	3	2	2.43	-	.82	5.62E-01
endoplasmic reticulum membrane fusion (GO:0016320)	3	2	2.43	-	.82	5.62E-01
glutamate catabolic process (GO:0006538)	3	2	2.43	-	.82	5.62E-01
SNARE complex disassembly (GO:0035494)	3	2	2.43	-	.82	5.62E-01
positive regulation of phosphatidylcholine metabolic process (GO:0150173)	3	2	2.43	-	.82	5.62E-01
ubiquitin-dependent protein catabolic process (GO:0006511)	201	134	162.84	-	.82	1.00E-02
positive regulation of phosphatidylcholine biosynthetic process (GO:2001247)	3	2	2.43	-	.82	5.62E-01
histone-threonine phosphorylation (GO:0035405)	3	2	2.43	-	.82	5.62E-01
histone-serine phosphorylation (GO:0035404)	3	2	2.43	-	.82	5.62E-01
cyclic nucleotide metabolic process (GO:0009187)	3	2	2.43	-	.82	5.62E-01
phenylalanine transport (GO:0015823)	3	2	2.43	-	.82	5.62E-01
ribosome disassembly (GO:0032790)	6	4	4.86	-	.82	4.65E-01
negative regulation of double-strand break repair (GO:2000780)	3	2	2.43	-	.82	5.62E-01
tetrahydrofolylpolyglutamate biosynthetic process (GO:0046901)	3	2	2.43	-	.82	5.62E-01
tetrahydrofolylpolyglutamate metabolic process (GO:0046900)	3	2	2.43	-	.82	5.62E-01
cellular response to xenobiotic stimulus (GO:0071466)	6	4	4.86	-	.82	4.65E-01
free ubiquitin chain depolymerization (GO:0010995)	3	2	2.43	-	.82	5.62E-01
cellular response to anoxia (GO:0071454)	3	2	2.43	-	.82	5.62E-01
cellular magnesium ion homeostasis (GO:0010961)	3	2	2.43	-	.82	5.62E-01
magnesium ion homeostasis (GO:0010960)	3	2	2.43	-	.82	5.62E-01
negative regulation of macroautophagy (GO:0016242)	9	6	7.29	-	.82	4.07E-01
cellular response to methylmercury (GO:0071406)	3	2	2.43	-	.82	5.62E-01
apoptotic mitochondrial changes (GO:0008637)	3	2	2.43	-	.82	5.62E-01
cellular component assembly involved in morphogenesis (GO:0010927)	45	30	36.46	-	.82	1.61E-01
glycerol to glycerone phosphate metabolic process (GO:0061610)	3	2	2.43	-	.82	5.62E-01
negative regulation of filamentous growth of a population of unicellular organisms (GO:1900429)	6	4	4.86	-	.82	4.65E-01
protein neddylation (GO:0045116)	6	4	4.86	-	.82	4.65E-01
UDP-glucose transmembrane transport (GO:0015786)	3	2	2.43	-	.82	5.62E-01
regulation of glycogen catabolic process (GO:0005981)	3	2	2.43	-	.82	5.62E-01
positive regulation of RNA splicing (GO:0033120)	3	2	2.43	-	.82	5.62E-01
5-amino-1-ribofuranosylimidazole-4-carboxamide transmembrane transport (GO:1903088)	3	2	2.43	-	.82	5.62E-01
mitochondrial double-strand break repair via homologous recombination (GO:0097552)	3	2	2.43	-	.82	5.62E-01
mitochondrial double-strand break repair (GO:0097551)	3	2	2.43	-	.82	5.62E-01
inositol phosphate dephosphorylation (GO:0046855)	9	6	7.29	-	.82	4.07E-01
phospholipid dephosphorylation (GO:0046839)	9	6	7.29	-	.82	4.07E-01
negative regulation of small molecule metabolic process (GO:0062014)	15	10	12.15	-	.82	3.31E-01
positive regulation of transcription regulatory region DNA binding (GO:2000679)	3	2	2.43	-	.82	5.62E-01
indole-containing compound biosynthetic process (GO:0042435)	6	4	4.86	-	.82	4.65E-01
spindle pole body duplication (GO:0030474)	9	6	7.29	-	.82	4.07E-01
cellular response to glucose stimulus (GO:0071333)	9	6	7.29	-	.82	4.07E-01
cellular response to hexose stimulus (GO:0071331)	9	6	7.29	-	.82	4.07E-01
cellular response to monosaccharide stimulus (GO:0071326)	9	6	7.29	-	.82	4.07E-01
pyrimidine nucleotide-sugar transmembrane transport (GO:0090481)	3	2	2.43	-	.82	5.62E-01
regulation of protein exit from endoplasmic reticulum (GO:0070861)	3	2	2.43	-	.82	5.62E-01
magnesium ion transport (GO:0015693)	6	4	4.86	-	.82	4.65E-01
cadmium ion transport (GO:0015691)	6	4	4.86	-	.82	4.65E-01
mitochondrial magnesium ion transmembrane transport (GO:0045016)	3	2	2.43	-	.82	5.62E-01
misfolded protein transport (GO:0070843)	3	2	2.43	-	.82	5.62E-01
positive regulation of cellular response to drug (GO:2001040)	3	2	2.43	-	.82	5.62E-01
regulation of cellular response to drug (GO:2001038)	3	2	2.43	-	.82	5.62E-01
positive regulation of response to drug (GO:2001025)	3	2	2.43	-	.82	5.62E-01
positive regulation of ATP-dependent microtubule motor activity, plus-end-directed (GO:2000582)	3	2	2.43	-	.82	5.62E-01
regulation of ATP-dependent microtubule motor activity, plus-end-directed (GO:2000580)	3	2	2.43	-	.82	5.62E-01
positive regulation of microtubule motor activity (GO:2000576)	3	2	2.43	-	.82	5.62E-01
regulation of microtubule motor activity (GO:2000574)	3	2	2.43	-	.82	5.62E-01
fructose 1,6-bisphosphate metabolic process (GO:0030388)	3	2	2.43	-	.82	5.62E-01
regulation of mRNA export from nucleus (GO:0010793)	3	2	2.43	-	.82	5.62E-01
positive regulation of phosphoprotein phosphatase activity (GO:0032516)	3	2	2.43	-	.82	5.62E-01
regulation of ubiquitin protein ligase activity (GO:1904666)	6	4	4.86	-	.82	4.65E-01
nucleotide-excision repair, DNA gap filling (GO:0006297)	3	2	2.43	-	.82	5.62E-01
xenobiotic detoxification by transmembrane export across the plasma membrane (GO:1990961)	18	12	14.58	-	.82	3.03E-01
chloride transmembrane transport (GO:1902476)	3	2	2.43	-	.82	5.62E-01
peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine (GO:0018231)	6	4	4.86	-	.82	4.65E-01
peptidyl-L-cysteine S-palmitoylation (GO:0018230)	6	4	4.86	-	.82	4.65E-01
mitochondrial DNA replication (GO:0006264)	3	2	2.43	-	.82	5.62E-01
positive regulation of transcription from RNA polymerase II promoter in response to ethanol (GO:0061410)	3	2	2.43	-	.82	5.62E-01
positive regulation of transcription from RNA polymerase II promoter in response to acidic pH (GO:0061402)	3	2	2.43	-	.82	5.62E-01
UTP biosynthetic process (GO:0006228)	3	2	2.43	-	.82	5.62E-01
negative regulation of growth of unicellular organism as a thread of attached cells (GO:0070785)	6	4	4.86	-	.82	4.65E-01
vesicle cytoskeletal trafficking (GO:0099518)	6	4	4.86	-	.82	4.65E-01
negative regulation of cAMP-dependent protein kinase activity (GO:2000480)	3	2	2.43	-	.82	5.62E-01
regulation of cAMP-dependent protein kinase activity (GO:2000479)	3	2	2.43	-	.82	5.62E-01
cellular modified amino acid catabolic process (GO:0042219)	9	6	7.29	-	.82	4.07E-01
establishment of protein localization to chromatin (GO:0071169)	3	2	2.43	-	.82	5.62E-01
response to methylmercury (GO:0051597)	3	2	2.43	-	.82	5.62E-01
methylglyoxal catabolic process (GO:0051596)	6	4	4.86	-	.82	4.65E-01
