




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Neurospora crassa)
Reference List:	neurospora_background.txt (Neurospora crassa)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	neurospora_background.txt - REFLIST (9213)	upload_1 (169)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
regulation of plasma membrane bounded cell projection organization (GO:0120035)	5	0	.09	-	 < 0.01	9.12E-01
regulation of plasma membrane bounded cell projection assembly (GO:0120032)	5	0	.09	-	 < 0.01	9.12E-01
regulation of alpha-glucan biosynthetic process (GO:0032949)	1	0	.02	-	 < 0.01	9.82E-01
fucosylation (GO:0036065)	1	0	.02	-	 < 0.01	9.82E-01
regulation of alpha-glucan metabolic process (GO:0032948)	1	0	.02	-	 < 0.01	9.82E-01
dimethylallyl diphosphate metabolic process (GO:0050993)	1	0	.02	-	 < 0.01	9.82E-01
dimethylallyl diphosphate biosynthetic process (GO:0050992)	1	0	.02	-	 < 0.01	9.82E-01
lactate metabolic process (GO:0006089)	6	0	.11	-	 < 0.01	8.96E-01
N-terminal peptidyl-glycine methylation (GO:0018013)	1	0	.02	-	 < 0.01	9.82E-01
secretion by cell (GO:0032940)	35	0	.64	-	 < 0.01	5.26E-01
RNA acetylation (GO:1990884)	1	0	.02	-	 < 0.01	9.82E-01
acetate metabolic process (GO:0006083)	2	0	.04	-	 < 0.01	9.64E-01
cell-cell fusion (GO:0140253)	15	0	.28	-	 < 0.01	7.59E-01
rRNA acetylation (GO:1990882)	1	0	.02	-	 < 0.01	9.82E-01
cellular aldehyde metabolic process (GO:0006081)	14	0	.26	-	 < 0.01	7.73E-01
mitotic cytokinesis, site selection (GO:1902408)	2	0	.04	-	 < 0.01	9.64E-01
assembly of actomyosin apparatus involved in mitotic cytokinesis (GO:1902407)	7	0	.13	-	 < 0.01	8.79E-01
substituted mannan metabolic process (GO:0006080)	1	0	.02	-	 < 0.01	9.82E-01
mitotic actomyosin contractile ring contraction (GO:1902404)	1	0	.02	-	 < 0.01	9.82E-01
signal transduction involved in mitotic DNA integrity checkpoint (GO:1902403)	2	0	.04	-	 < 0.01	9.64E-01
signal transduction involved in mitotic DNA damage checkpoint (GO:1902402)	2	0	.04	-	 < 0.01	9.64E-01
proton export across plasma membrane (GO:0120029)	1	0	.02	-	 < 0.01	9.82E-01
establishment or maintenance of cell polarity (GO:0007163)	36	0	.66	-	 < 0.01	5.16E-01
SREBP signaling pathway (GO:0032933)	5	0	.09	-	 < 0.01	9.12E-01
N-terminal peptidyl-glutamic acid acetylation (GO:0018002)	1	0	.02	-	 < 0.01	9.82E-01
(1->6)-beta-D-glucan biosynthetic process (GO:0006078)	1	0	.02	-	 < 0.01	9.82E-01
protection from non-homologous end joining at telomere (GO:0031848)	2	0	.04	-	 < 0.01	9.64E-01
(1->6)-beta-D-glucan metabolic process (GO:0006077)	1	0	.02	-	 < 0.01	9.82E-01
(1->3)-beta-D-glucan biosynthetic process (GO:0006075)	6	0	.11	-	 < 0.01	8.96E-01
(1->3)-beta-D-glucan metabolic process (GO:0006074)	6	0	.11	-	 < 0.01	8.96E-01
regulation of eIF2 alpha phosphorylation by amino acid starvation (GO:0060733)	2	0	.04	-	 < 0.01	9.64E-01
glycerol-3-phosphate metabolic process (GO:0006072)	4	0	.07	-	 < 0.01	9.29E-01
glycerol metabolic process (GO:0006071)	6	0	.11	-	 < 0.01	8.96E-01
regulation of transposition (GO:0010528)	1	0	.02	-	 < 0.01	9.82E-01
generation of neurons (GO:0048699)	1	0	.02	-	 < 0.01	9.82E-01
peptidyl-lysine desuccinylation (GO:0036049)	1	0	.02	-	 < 0.01	9.82E-01
protein desuccinylation (GO:0036048)	1	0	.02	-	 < 0.01	9.82E-01
regulation of transposition, RNA-mediated (GO:0010525)	1	0	.02	-	 < 0.01	9.82E-01
peptidyl-lysine demalonylation (GO:0036047)	1	0	.02	-	 < 0.01	9.82E-01
endoplasmic reticulum-plasma membrane tethering (GO:0061817)	4	0	.07	-	 < 0.01	9.29E-01
positive regulation of calcium ion transport into cytosol (GO:0010524)	1	0	.02	-	 < 0.01	9.82E-01
protein demalonylation (GO:0036046)	1	0	.02	-	 < 0.01	9.82E-01
regulation of calcium ion transport into cytosol (GO:0010522)	1	0	.02	-	 < 0.01	9.82E-01
cell adhesion (GO:0007155)	2	0	.04	-	 < 0.01	9.64E-01
regulation of reciprocal meiotic recombination (GO:0010520)	1	0	.02	-	 < 0.01	9.82E-01
ethanol oxidation (GO:0006069)	1	0	.02	-	 < 0.01	9.82E-01
ethanol metabolic process (GO:0006067)	1	0	.02	-	 < 0.01	9.82E-01
tRNA threonylcarbamoyladenosine modification (GO:0002949)	3	0	.06	-	 < 0.01	9.46E-01
UDP-glucuronate biosynthetic process (GO:0006065)	2	0	.04	-	 < 0.01	9.64E-01
tRNA N2-guanine methylation (GO:0002940)	1	0	.02	-	 < 0.01	9.82E-01
cell morphogenesis involved in conjugation (GO:0000767)	2	0	.04	-	 < 0.01	9.64E-01
negative regulation of induction of conjugation with cellular fusion (GO:0010515)	2	0	.04	-	 < 0.01	9.64E-01
positive regulation of phosphatidylinositol biosynthetic process (GO:0010513)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of phosphatidylinositol biosynthetic process (GO:0010512)	1	0	.02	-	 < 0.01	9.82E-01
regulation of phosphatidylinositol biosynthetic process (GO:0010511)	2	0	.04	-	 < 0.01	9.64E-01
tRNA N1-guanine methylation (GO:0002939)	1	0	.02	-	 < 0.01	9.82E-01
N-acetylneuraminate metabolic process (GO:0006054)	1	0	.02	-	 < 0.01	9.82E-01
TORC2 signaling (GO:0038203)	4	0	.07	-	 < 0.01	9.29E-01
TORC1 signaling (GO:0038202)	3	0	.06	-	 < 0.01	9.46E-01
response to radiation (GO:0009314)	25	0	.46	-	 < 0.01	6.32E-01
oligosaccharide catabolic process (GO:0009313)	6	0	.11	-	 < 0.01	8.96E-01
cytogamy (GO:0000755)	4	0	.07	-	 < 0.01	9.29E-01
oligosaccharide biosynthetic process (GO:0009312)	2	0	.04	-	 < 0.01	9.64E-01
cell morphogenesis involved in conjugation with cellular fusion (GO:0000753)	2	0	.04	-	 < 0.01	9.64E-01
polyamine homeostasis (GO:0010509)	1	0	.02	-	 < 0.01	9.82E-01
amine catabolic process (GO:0009310)	10	0	.18	-	 < 0.01	8.32E-01
positive regulation of autophagy (GO:0010508)	5	0	.09	-	 < 0.01	9.12E-01
negative regulation of autophagy (GO:0010507)	1	0	.02	-	 < 0.01	9.82E-01
mitotic cell cycle G1 arrest in response to pheromone (GO:0000751)	1	0	.02	-	 < 0.01	9.82E-01
pheromone-dependent signal transduction involved in conjugation with cellular fusion (GO:0000750)	6	0	.11	-	 < 0.01	8.96E-01
meiosis II (GO:0007135)	5	0	.09	-	 < 0.01	9.12E-01
UDP-N-acetylglucosamine biosynthetic process (GO:0006048)	7	0	.13	-	 < 0.01	8.79E-01
reciprocal meiotic recombination (GO:0007131)	19	0	.35	-	 < 0.01	7.05E-01
UDP-N-acetylglucosamine metabolic process (GO:0006047)	7	0	.13	-	 < 0.01	8.79E-01
vesicle-mediated transport to the plasma membrane (GO:0098876)	17	0	.31	-	 < 0.01	7.32E-01
S-adenosylmethioninamine metabolic process (GO:0046499)	1	0	.02	-	 < 0.01	9.82E-01
synaptonemal complex assembly (GO:0007130)	2	0	.04	-	 < 0.01	9.64E-01
nicotinate nucleotide metabolic process (GO:0046497)	2	0	.04	-	 < 0.01	9.64E-01
nicotinamide nucleotide metabolic process (GO:0046496)	24	0	.44	-	 < 0.01	6.44E-01
tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation (GO:0002926)	2	0	.04	-	 < 0.01	9.64E-01
glucosamine catabolic process (GO:0006043)	1	0	.02	-	 < 0.01	9.82E-01
nicotinamide riboside metabolic process (GO:0046495)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of ribonuclease activity (GO:0060701)	1	0	.02	-	 < 0.01	9.82E-01
regulation of ribonuclease activity (GO:0060700)	1	0	.02	-	 < 0.01	9.82E-01
glucosamine metabolic process (GO:0006041)	1	0	.02	-	 < 0.01	9.82E-01
isopentenyl diphosphate metabolic process (GO:0046490)	4	0	.07	-	 < 0.01	9.29E-01
amine biosynthetic process (GO:0009309)	12	0	.22	-	 < 0.01	8.02E-01
amine metabolic process (GO:0009308)	27	0	.50	-	 < 0.01	6.09E-01
response to pheromone triggering conjugation with cellular fusion (GO:0000749)	7	0	.13	-	 < 0.01	8.79E-01
protein secretion (GO:0009306)	9	0	.17	-	 < 0.01	8.48E-01
conjugation with cellular fusion (GO:0000747)	15	0	.28	-	 < 0.01	7.59E-01
protein biotinylation (GO:0009305)	1	0	.02	-	 < 0.01	9.82E-01
conjugation (GO:0000746)	15	0	.28	-	 < 0.01	7.59E-01
homogentisate metabolic process (GO:1901999)	1	0	.02	-	 < 0.01	9.82E-01
tRNA transcription (GO:0009304)	2	0	.04	-	 < 0.01	9.64E-01
rRNA transcription (GO:0009303)	8	0	.15	-	 < 0.01	8.63E-01
nuclear migration involved in conjugation with cellular fusion (GO:0000743)	2	0	.04	-	 < 0.01	9.64E-01
spermidine metabolic process (GO:0008216)	2	0	.04	-	 < 0.01	9.64E-01
positive regulation of meiotic cell cycle phase transition (GO:1901995)	1	0	.02	-	 < 0.01	9.82E-01
karyogamy involved in conjugation with cellular fusion (GO:0000742)	2	0	.04	-	 < 0.01	9.64E-01
spermine metabolic process (GO:0008215)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of meiotic cell cycle phase transition (GO:1901994)	1	0	.02	-	 < 0.01	9.82E-01
karyogamy (GO:0000741)	2	0	.04	-	 < 0.01	9.64E-01
protein dealkylation (GO:0008214)	7	0	.13	-	 < 0.01	8.79E-01
regulation of meiotic cell cycle phase transition (GO:1901993)	2	0	.04	-	 < 0.01	9.64E-01
nuclear membrane fusion (GO:0000740)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of mitotic cell cycle phase transition (GO:1901992)	13	0	.24	-	 < 0.01	7.88E-01
homologous chromosome pairing at meiosis (GO:0007129)	2	0	.04	-	 < 0.01	9.64E-01
negative regulation of mitotic cell cycle phase transition (GO:1901991)	29	0	.53	-	 < 0.01	5.87E-01
neuron fate specification (GO:0048665)	1	0	.02	-	 < 0.01	9.82E-01
meiosis I (GO:0007127)	27	0	.50	-	 < 0.01	6.09E-01
regulation of mitotic cell cycle phase transition (GO:1901990)	53	0	.97	-	 < 0.01	3.77E-01
neuron fate commitment (GO:0048663)	1	0	.02	-	 < 0.01	9.82E-01
cell wall chitin biosynthetic process (GO:0006038)	5	0	.09	-	 < 0.01	9.12E-01
phosphatidylinositol metabolic process (GO:0046488)	53	0	.97	-	 < 0.01	3.77E-01
glyoxylate metabolic process (GO:0046487)	3	0	.06	-	 < 0.01	9.46E-01
nuclear migration by microtubule mediated pushing forces (GO:0098863)	3	0	.06	-	 < 0.01	9.46E-01
chitin catabolic process (GO:0006032)	13	0	.24	-	 < 0.01	7.88E-01
chitin biosynthetic process (GO:0006031)	7	0	.13	-	 < 0.01	8.79E-01
oxazole or thiazole metabolic process (GO:0046484)	1	0	.02	-	 < 0.01	9.82E-01
para-aminobenzoic acid metabolic process (GO:0046482)	2	0	.04	-	 < 0.01	9.64E-01
DNA catabolic process, endonucleolytic (GO:0000737)	3	0	.06	-	 < 0.01	9.46E-01
positive regulation of cell cycle phase transition (GO:1901989)	13	0	.24	-	 < 0.01	7.88E-01
double-strand break repair via single-strand annealing, removal of nonhomologous ends (GO:0000736)	1	0	.02	-	 < 0.01	9.82E-01
removal of nonhomologous ends (GO:0000735)	2	0	.04	-	 < 0.01	9.64E-01
negative regulation of cell cycle phase transition (GO:1901988)	29	0	.53	-	 < 0.01	5.87E-01
regulation of cell cycle phase transition (GO:1901987)	54	0	.99	-	 < 0.01	3.70E-01
gene conversion at mating-type locus, DNA repair synthesis (GO:0000734)	1	0	.02	-	 < 0.01	9.82E-01
DNA strand renaturation (GO:0000733)	2	0	.04	-	 < 0.01	9.64E-01
positive regulation of protein acetylation (GO:1901985)	5	0	.09	-	 < 0.01	9.12E-01
DNA synthesis involved in DNA repair (GO:0000731)	13	0	.24	-	 < 0.01	7.88E-01
ergosterol metabolic process (GO:0008204)	25	0	.46	-	 < 0.01	6.32E-01
DNA recombinase assembly (GO:0000730)	4	0	.07	-	 < 0.01	9.29E-01
cholesterol metabolic process (GO:0008203)	1	0	.02	-	 < 0.01	9.82E-01
steroid metabolic process (GO:0008202)	39	0	.72	-	 < 0.01	4.88E-01
budding cell apical bud growth (GO:0007118)	1	0	.02	-	 < 0.01	9.82E-01
budding cell bud growth (GO:0007117)	2	0	.04	-	 < 0.01	9.64E-01
positive regulation of transcription from RNA polymerase II promoter in response to stress (GO:0036003)	2	0	.04	-	 < 0.01	9.64E-01
cell budding (GO:0007114)	2	0	.04	-	 < 0.01	9.64E-01
glycosaminoglycan catabolic process (GO:0006027)	1	0	.02	-	 < 0.01	9.82E-01
aminoglycan catabolic process (GO:0006026)	14	0	.26	-	 < 0.01	7.73E-01
glycosphingolipid catabolic process (GO:0046479)	1	0	.02	-	 < 0.01	9.82E-01
glycosaminoglycan biosynthetic process (GO:0006024)	2	0	.04	-	 < 0.01	9.64E-01
glycosylceramide catabolic process (GO:0046477)	1	0	.02	-	 < 0.01	9.82E-01
aminoglycan biosynthetic process (GO:0006023)	9	0	.17	-	 < 0.01	8.48E-01
glycosylceramide biosynthetic process (GO:0046476)	1	0	.02	-	 < 0.01	9.82E-01
basic amino acid transmembrane transport (GO:1990822)	8	0	.15	-	 < 0.01	8.63E-01
glycerophospholipid biosynthetic process (GO:0046474)	64	0	1.17	-	 < 0.01	3.08E-01
inositol biosynthetic process (GO:0006021)	2	0	.04	-	 < 0.01	9.64E-01
phosphatidic acid metabolic process (GO:0046473)	9	0	.17	-	 < 0.01	8.48E-01
inositol metabolic process (GO:0006020)	6	0	.11	-	 < 0.01	8.96E-01
phosphatidylglycerol metabolic process (GO:0046471)	7	0	.13	-	 < 0.01	8.79E-01
cytoskeleton-dependent intracellular transport (GO:0030705)	18	0	.33	-	 < 0.01	7.19E-01
phosphatidylcholine metabolic process (GO:0046470)	7	0	.13	-	 < 0.01	8.79E-01
DNA double-strand break processing (GO:0000729)	5	0	.09	-	 < 0.01	9.12E-01
double-strand break repair via break-induced replication (GO:0000727)	12	0	.22	-	 < 0.01	8.02E-01
non-recombinational repair (GO:0000726)	14	0	.26	-	 < 0.01	7.73E-01
recombinational repair (GO:0000725)	45	0	.83	-	 < 0.01	4.37E-01
double-strand break repair via homologous recombination (GO:0000724)	42	0	.77	-	 < 0.01	4.62E-01
regulation of cell cycle checkpoint (GO:1901976)	3	0	.06	-	 < 0.01	9.46E-01
telomere maintenance via recombination (GO:0000722)	2	0	.04	-	 < 0.01	9.64E-01
membrane addition at site of cytokinesis (GO:0007107)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of mitotic sister chromatid separation (GO:1901970)	9	0	.17	-	 < 0.01	8.48E-01
one-carbon compound transport (GO:0019755)	1	0	.02	-	 < 0.01	9.82E-01
cytokinesis, site selection (GO:0007105)	3	0	.06	-	 < 0.01	9.46E-01
L-arginine transmembrane export from vacuole (GO:1990818)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of chemotaxis (GO:0050921)	1	0	.02	-	 < 0.01	9.82E-01
regulation of chemotaxis (GO:0050920)	1	0	.02	-	 < 0.01	9.82E-01
mitotic centrosome separation (GO:0007100)	1	0	.02	-	 < 0.01	9.82E-01
5-phosphoribose 1-diphosphate biosynthetic process (GO:0006015)	4	0	.07	-	 < 0.01	9.29E-01
D-ribose metabolic process (GO:0006014)	2	0	.04	-	 < 0.01	9.64E-01
mannose metabolic process (GO:0006013)	2	0	.04	-	 < 0.01	9.64E-01
membrane lipid catabolic process (GO:0046466)	8	0	.15	-	 < 0.01	8.63E-01
galactose metabolic process (GO:0006012)	7	0	.13	-	 < 0.01	8.79E-01
dolichyl diphosphate metabolic process (GO:0046465)	1	0	.02	-	 < 0.01	9.82E-01
protein localization to cell division site after cytokinesis (GO:0098841)	1	0	.02	-	 < 0.01	9.82E-01
acylglycerol catabolic process (GO:0046464)	3	0	.06	-	 < 0.01	9.46E-01
acylglycerol biosynthetic process (GO:0046463)	5	0	.09	-	 < 0.01	9.12E-01
microtubule anchoring at mitotic spindle pole body (GO:1990810)	1	0	.02	-	 < 0.01	9.82E-01
monoacylglycerol metabolic process (GO:0046462)	1	0	.02	-	 < 0.01	9.82E-01
neutral lipid catabolic process (GO:0046461)	4	0	.07	-	 < 0.01	9.29E-01
neutral lipid biosynthetic process (GO:0046460)	5	0	.09	-	 < 0.01	9.12E-01
protein processing (GO:0016485)	23	0	.42	-	 < 0.01	6.55E-01
L-proline biosynthetic process (GO:0055129)	3	0	.06	-	 < 0.01	9.46E-01
photoreactive repair (GO:0000719)	1	0	.02	-	 < 0.01	9.82E-01
nucleotide-excision repair, DNA duplex unwinding (GO:0000717)	1	0	.02	-	 < 0.01	9.82E-01
cytosolic transport (GO:0016482)	30	0	.55	-	 < 0.01	5.76E-01
nucleotide-excision repair, DNA damage recognition (GO:0000715)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of transcription by RNA polymerase III (GO:0016480)	2	0	.04	-	 < 0.01	9.64E-01
resolution of meiotic recombination intermediates (GO:0000712)	11	0	.20	-	 < 0.01	8.17E-01
positive regulation of developmental growth (GO:0048639)	1	0	.02	-	 < 0.01	9.82E-01
regulation of developmental growth (GO:0048638)	1	0	.02	-	 < 0.01	9.82E-01
meiotic mismatch repair (GO:0000710)	6	0	.11	-	 < 0.01	8.96E-01
secondary metabolic process (GO:0019748)	34	0	.62	-	 < 0.01	5.35E-01
S-adenosyl-L-methionine transmembrane transport (GO:1901962)	2	0	.04	-	 < 0.01	9.64E-01
cellular water homeostasis (GO:0009992)	1	0	.02	-	 < 0.01	9.82E-01
regulation of isoprenoid metabolic process (GO:0019747)	2	0	.04	-	 < 0.01	9.64E-01
endoplasmic reticulum tubular network membrane organization (GO:1990809)	1	0	.02	-	 < 0.01	9.82E-01
glucose catabolic process (GO:0006007)	4	0	.07	-	 < 0.01	9.29E-01
nitrogen utilization (GO:0019740)	5	0	.09	-	 < 0.01	9.12E-01
short-chain fatty acid metabolic process (GO:0046459)	3	0	.06	-	 < 0.01	9.46E-01
glucose metabolic process (GO:0006006)	20	0	.37	-	 < 0.01	6.93E-01
fucose metabolic process (GO:0006004)	1	0	.02	-	 < 0.01	9.82E-01
fructose 2,6-bisphosphate metabolic process (GO:0006003)	4	0	.07	-	 < 0.01	9.29E-01
fructose 6-phosphate metabolic process (GO:0006002)	4	0	.07	-	 < 0.01	9.29E-01
fructose metabolic process (GO:0006000)	6	0	.11	-	 < 0.01	8.96E-01
dihydrofolate metabolic process (GO:0046452)	1	0	.02	-	 < 0.01	9.82E-01
diaminopimelate metabolic process (GO:0046451)	2	0	.04	-	 < 0.01	9.64E-01
meiotic strand invasion (GO:0000708)	1	0	.02	-	 < 0.01	9.82E-01
cell wall disassembly (GO:0044277)	5	0	.09	-	 < 0.01	9.12E-01
meiotic DNA recombinase assembly (GO:0000707)	1	0	.02	-	 < 0.01	9.82E-01
meiotic DNA double-strand break processing (GO:0000706)	2	0	.04	-	 < 0.01	9.64E-01
sulfur compound catabolic process (GO:0044273)	11	0	.20	-	 < 0.01	8.17E-01
mitochondrial RNA modification (GO:1900864)	4	0	.07	-	 < 0.01	9.29E-01
peptidyl-cysteine modification to L-cysteine persulfide (GO:0098822)	1	0	.02	-	 < 0.01	9.82E-01
FMN metabolic process (GO:0046444)	2	0	.04	-	 < 0.01	9.64E-01
FAD metabolic process (GO:0046443)	1	0	.02	-	 < 0.01	9.82E-01
L-lysine metabolic process (GO:0046440)	1	0	.02	-	 < 0.01	9.82E-01
cytidine deamination (GO:0009972)	1	0	.02	-	 < 0.01	9.82E-01
nucleoside salvage (GO:0043174)	5	0	.09	-	 < 0.01	9.12E-01
nucleotide salvage (GO:0043173)	7	0	.13	-	 < 0.01	8.79E-01
peptide catabolic process (GO:0043171)	9	0	.17	-	 < 0.01	8.48E-01
calcium-mediated signaling (GO:0019722)	4	0	.07	-	 < 0.01	9.29E-01
Mo-molybdopterin cofactor metabolic process (GO:0019720)	6	0	.11	-	 < 0.01	8.96E-01
L-cysteine metabolic process (GO:0046439)	1	0	.02	-	 < 0.01	9.82E-01
D-amino acid biosynthetic process (GO:0046437)	1	0	.02	-	 < 0.01	9.82E-01
establishment of protein localization to extracellular region (GO:0035592)	9	0	.17	-	 < 0.01	8.48E-01
gene silencing (GO:0016458)	32	0	.59	-	 < 0.01	5.55E-01
calcineurin-mediated signaling (GO:0097720)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of signal transduction (GO:0009968)	15	0	.28	-	 < 0.01	7.59E-01
negative regulation of DNA biosynthetic process (GO:2000279)	1	0	.02	-	 < 0.01	9.82E-01
regulation of DNA biosynthetic process (GO:2000278)	4	0	.07	-	 < 0.01	9.29E-01
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162)	12	0	.22	-	 < 0.01	8.02E-01
ergosterol biosynthetic process (GO:0006696)	23	0	.42	-	 < 0.01	6.55E-01
late endosome to Golgi transport (GO:0034499)	1	0	.02	-	 < 0.01	9.82E-01
steroid biosynthetic process (GO:0006694)	32	0	.59	-	 < 0.01	5.55E-01
farnesyl diphosphate metabolic process (GO:0045338)	5	0	.09	-	 < 0.01	9.12E-01
early endosome to Golgi transport (GO:0034498)	1	0	.02	-	 < 0.01	9.82E-01
protein localization to phagophore assembly site (GO:0034497)	7	0	.13	-	 < 0.01	8.79E-01
farnesyl diphosphate biosynthetic process (GO:0045337)	4	0	.07	-	 < 0.01	9.29E-01
multivesicular body membrane disassembly (GO:0034496)	1	0	.02	-	 < 0.01	9.82E-01
cellular respiration (GO:0045333)	59	0	1.08	-	 < 0.01	3.38E-01
phospholipid translocation (GO:0045332)	7	0	.13	-	 < 0.01	8.79E-01
neutral amino acid transmembrane import into vacuole (GO:0034491)	1	0	.02	-	 < 0.01	9.82E-01
basic amino acid transmembrane import into vacuole (GO:0034490)	1	0	.02	-	 < 0.01	9.82E-01
posttranscriptional gene silencing (GO:0016441)	8	0	.15	-	 < 0.01	8.63E-01
negative regulation of conidium formation (GO:0075308)	1	0	.02	-	 < 0.01	9.82E-01
regulation of conidium formation (GO:0075306)	2	0	.04	-	 < 0.01	9.64E-01
chorismate metabolic process (GO:0046417)	7	0	.13	-	 < 0.01	8.79E-01
D-amino acid metabolic process (GO:0046416)	3	0	.06	-	 < 0.01	9.46E-01
glycosphingolipid biosynthetic process (GO:0006688)	2	0	.04	-	 < 0.01	9.64E-01
urate metabolic process (GO:0046415)	1	0	.02	-	 < 0.01	9.82E-01
glycosphingolipid metabolic process (GO:0006687)	3	0	.06	-	 < 0.01	9.46E-01
sphingomyelin catabolic process (GO:0006685)	1	0	.02	-	 < 0.01	9.82E-01
sphingomyelin metabolic process (GO:0006684)	1	0	.02	-	 < 0.01	9.82E-01
vacuolar transmembrane transport (GO:0034486)	4	0	.07	-	 < 0.01	9.29E-01
late endosome to vacuole transport (GO:0045324)	25	0	.46	-	 < 0.01	6.32E-01
glucosylceramide catabolic process (GO:0006680)	1	0	.02	-	 < 0.01	9.82E-01
regulation of membrane lipid metabolic process (GO:1905038)	2	0	.04	-	 < 0.01	9.64E-01
positive regulation of exoribonuclease activity (GO:1901919)	1	0	.02	-	 < 0.01	9.82E-01
regulation of peptide transport (GO:0090087)	11	0	.20	-	 < 0.01	8.17E-01
negative regulation of exoribonuclease activity (GO:1901918)	1	0	.02	-	 < 0.01	9.82E-01
regulation of exoribonuclease activity (GO:1901917)	1	0	.02	-	 < 0.01	9.82E-01
regulation of protein deubiquitination (GO:0090085)	1	0	.02	-	 < 0.01	9.82E-01
snoRNA processing (GO:0043144)	16	0	.29	-	 < 0.01	7.45E-01
adenosine 5'-(hexahydrogen pentaphosphate) catabolic process (GO:1901911)	1	0	.02	-	 < 0.01	9.82E-01
adenosine 5'-(hexahydrogen pentaphosphate) metabolic process (GO:1901910)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of actin cytoskeleton reorganization (GO:2000250)	1	0	.02	-	 < 0.01	9.82E-01
glucosylceramide biosynthetic process (GO:0006679)	1	0	.02	-	 < 0.01	9.82E-01
glucosylceramide metabolic process (GO:0006678)	2	0	.04	-	 < 0.01	9.64E-01
glycosylceramide metabolic process (GO:0006677)	2	0	.04	-	 < 0.01	9.64E-01
mannosyl-inositol phosphorylceramide metabolic process (GO:0006675)	1	0	.02	-	 < 0.01	9.82E-01
inositol phosphoceramide metabolic process (GO:0006673)	5	0	.09	-	 < 0.01	9.12E-01
U6 snRNA 3'-end processing (GO:0034477)	1	0	.02	-	 < 0.01	9.82E-01
U5 snRNA 3'-end processing (GO:0034476)	3	0	.06	-	 < 0.01	9.46E-01
U4 snRNA 3'-end processing (GO:0034475)	8	0	.15	-	 < 0.01	8.63E-01
sphingosine metabolic process (GO:0006670)	6	0	.11	-	 < 0.01	8.96E-01
U1 snRNA 3'-end processing (GO:0034473)	3	0	.06	-	 < 0.01	9.46E-01
putrescine biosynthetic process from arginine, using agmatinase (GO:0033389)	3	0	.06	-	 < 0.01	9.46E-01
snRNA 3'-end processing (GO:0034472)	9	0	.17	-	 < 0.01	8.48E-01
putrescine biosynthetic process from arginine (GO:0033388)	3	0	.06	-	 < 0.01	9.46E-01
ncRNA 5'-end processing (GO:0034471)	12	0	.22	-	 < 0.01	8.02E-01
putrescine biosynthetic process from ornithine (GO:0033387)	1	0	.02	-	 < 0.01	9.82E-01
geranylgeranyl diphosphate biosynthetic process (GO:0033386)	1	0	.02	-	 < 0.01	9.82E-01
diadenosine hexaphosphate catabolic process (GO:1901909)	1	0	.02	-	 < 0.01	9.82E-01
geranylgeranyl diphosphate metabolic process (GO:0033385)	1	0	.02	-	 < 0.01	9.82E-01
diadenosine hexaphosphate metabolic process (GO:1901908)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of ribosomal DNA heterochromatin assembly (GO:0061188)	2	0	.04	-	 < 0.01	9.64E-01
geranyl diphosphate biosynthetic process (GO:0033384)	2	0	.04	-	 < 0.01	9.64E-01
diadenosine pentaphosphate catabolic process (GO:1901907)	1	0	.02	-	 < 0.01	9.82E-01
regulation of ribosomal DNA heterochromatin assembly (GO:0061187)	3	0	.06	-	 < 0.01	9.46E-01
geranyl diphosphate metabolic process (GO:0033383)	2	0	.04	-	 < 0.01	9.64E-01
diadenosine pentaphosphate metabolic process (GO:1901906)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of silent mating-type cassette heterochromatin assembly (GO:0061186)	2	0	.04	-	 < 0.01	9.64E-01
regulation of actin cytoskeleton reorganization (GO:2000249)	1	0	.02	-	 < 0.01	9.82E-01
DNA replication, removal of RNA primer (GO:0043137)	4	0	.07	-	 < 0.01	9.29E-01
positive regulation of establishment or maintenance of bipolar cell polarity regulating cell shape (GO:2000247)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of reproductive process (GO:2000243)	8	0	.15	-	 < 0.01	8.63E-01
NAD transport (GO:0043132)	2	0	.04	-	 < 0.01	9.64E-01
negative regulation of reproductive process (GO:2000242)	4	0	.07	-	 < 0.01	9.29E-01
regulation of reproductive process (GO:2000241)	16	0	.29	-	 < 0.01	7.45E-01
fluid transport (GO:0042044)	1	0	.02	-	 < 0.01	9.82E-01
