




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	fly_background.txt (Drosophila melanogaster)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	fly_background.txt - REFLIST (5878)	upload_1 (995)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
strand invasion (GO:0042148)	3	0	.51	-	 < 0.01	6.02E-01
positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity (GO:2000373)	2	0	.34	-	 < 0.01	7.13E-01
regulation of DNA topoisomerase (ATP-hydrolyzing) activity (GO:2000371)	2	0	.34	-	 < 0.01	7.13E-01
late meiotic recombination nodule assembly (GO:0042140)	1	0	.17	-	 < 0.01	8.44E-01
intracellular cholesterol transport (GO:0032367)	5	0	.85	-	 < 0.01	4.29E-01
intracellular sterol transport (GO:0032366)	5	0	.85	-	 < 0.01	4.29E-01
protein K6-linked deubiquitination (GO:0044313)	1	0	.17	-	 < 0.01	8.44E-01
early meiotic recombination nodule assembly (GO:0042139)	1	0	.17	-	 < 0.01	8.44E-01
meiotic DNA double-strand break formation (GO:0042138)	3	0	.51	-	 < 0.01	6.02E-01
neurotransmitter biosynthetic process (GO:0042136)	4	0	.68	-	 < 0.01	5.08E-01
neurotransmitter catabolic process (GO:0042135)	1	0	.17	-	 < 0.01	8.44E-01
neurotransmitter metabolic process (GO:0042133)	5	0	.85	-	 < 0.01	4.29E-01
positive regulation of hormone metabolic process (GO:0032352)	4	0	.68	-	 < 0.01	5.08E-01
regulation of DNA-dependent DNA replication initiation (GO:0030174)	3	0	.51	-	 < 0.01	6.02E-01
protein polyglycylation (GO:0018094)	3	0	.51	-	 < 0.01	6.02E-01
postsynaptic actin cytoskeleton organization (GO:0098974)	1	0	.17	-	 < 0.01	8.44E-01
anterograde dendritic transport of neurotransmitter receptor complex (GO:0098971)	2	0	.34	-	 < 0.01	7.13E-01
mitochondrial unfolded protein response (GO:0034514)	2	0	.34	-	 < 0.01	7.13E-01
positive regulation of phospholipid biosynthetic process (GO:0071073)	1	0	.17	-	 < 0.01	8.44E-01
protein localization to ciliary transition zone (GO:1904491)	2	0	.34	-	 < 0.01	7.13E-01
negative regulation of phospholipid biosynthetic process (GO:0071072)	1	0	.17	-	 < 0.01	8.44E-01
regulation of phospholipid biosynthetic process (GO:0071071)	2	0	.34	-	 < 0.01	7.13E-01
neurotransmitter receptor transport to postsynaptic membrane (GO:0098969)	2	0	.34	-	 < 0.01	7.13E-01
neurotransmitter receptor transport postsynaptic membrane to endosome (GO:0098968)	2	0	.34	-	 < 0.01	7.13E-01
regulation of postsynaptic neurotransmitter receptor activity (GO:0098962)	2	0	.34	-	 < 0.01	7.13E-01
protein localization to kinetochore (GO:0034501)	7	0	1.18	-	 < 0.01	3.06E-01
sphingolipid catabolic process (GO:0030149)	3	0	.51	-	 < 0.01	6.02E-01
spermidine biosynthetic process (GO:0008295)	2	0	.34	-	 < 0.01	7.13E-01
acetylcholine biosynthetic process (GO:0008292)	1	0	.17	-	 < 0.01	8.44E-01
acetylcholine metabolic process (GO:0008291)	2	0	.34	-	 < 0.01	7.13E-01
retrograde axonal transport of mitochondrion (GO:0098958)	2	0	.34	-	 < 0.01	7.13E-01
anterograde axonal transport of mitochondrion (GO:0098957)	1	0	.17	-	 < 0.01	8.44E-01
pre-replicative complex assembly involved in cell cycle DNA replication (GO:1902299)	7	0	1.18	-	 < 0.01	3.06E-01
cytochrome c-heme linkage (GO:0018063)	1	0	.17	-	 < 0.01	8.44E-01
cell cycle DNA replication maintenance of fidelity (GO:1902298)	1	0	.17	-	 < 0.01	8.44E-01
polyadenylation-dependent snoRNA 3'-end processing (GO:0071051)	6	0	1.02	-	 < 0.01	3.62E-01
DNA strand elongation involved in cell cycle DNA replication (GO:1902296)	1	0	.17	-	 < 0.01	8.44E-01
cell cycle DNA replication initiation (GO:1902292)	5	0	.85	-	 < 0.01	4.29E-01
nuclear retention of pre-mRNA with aberrant 3'-ends at the site of transcription (GO:0071049)	2	0	.34	-	 < 0.01	7.13E-01
nuclear retention of unspliced pre-mRNA at the site of transcription (GO:0071048)	2	0	.34	-	 < 0.01	7.13E-01
negative regulation of filopodium assembly (GO:0051490)	3	0	.51	-	 < 0.01	6.02E-01
polyadenylation-dependent mRNA catabolic process (GO:0071047)	2	0	.34	-	 < 0.01	7.13E-01
nuclear polyadenylation-dependent ncRNA catabolic process (GO:0071046)	6	0	1.02	-	 < 0.01	3.62E-01
peptidyl-lysine biotinylation (GO:0018054)	2	0	.34	-	 < 0.01	7.13E-01
histone mRNA catabolic process (GO:0071044)	1	0	.17	-	 < 0.01	8.44E-01
CUT metabolic process (GO:0071043)	3	0	.51	-	 < 0.01	6.02E-01
nuclear polyadenylation-dependent mRNA catabolic process (GO:0071042)	2	0	.34	-	 < 0.01	7.13E-01
semaphorin-plexin signaling pathway involved in axon guidance (GO:1902287)	2	0	.34	-	 < 0.01	7.13E-01
icosanoid secretion (GO:0032309)	3	0	.51	-	 < 0.01	6.02E-01
antisense RNA transcript catabolic process (GO:0071041)	1	0	.17	-	 < 0.01	8.44E-01
regulation of adenylate cyclase activity involved in G protein-coupled receptor signaling pathway (GO:0010578)	1	0	.17	-	 < 0.01	8.44E-01
nuclear polyadenylation-dependent antisense transcript catabolic process (GO:0071040)	1	0	.17	-	 < 0.01	8.44E-01
semaphorin-plexin signaling pathway involved in neuron projection guidance (GO:1902285)	2	0	.34	-	 < 0.01	7.13E-01
positive regulation of nuclear cell cycle DNA replication (GO:0010571)	1	0	.17	-	 < 0.01	8.44E-01
anterograde dendritic transport (GO:0098937)	2	0	.34	-	 < 0.01	7.13E-01
dendritic transport (GO:0098935)	2	0	.34	-	 < 0.01	7.13E-01
semaphorin-plexin signaling pathway involved in regulation of photoreceptor cell axon guidance (GO:2000305)	1	0	.17	-	 < 0.01	8.44E-01
positive regulation of ceramide biosynthetic process (GO:2000304)	1	0	.17	-	 < 0.01	8.44E-01
regulation of ceramide biosynthetic process (GO:2000303)	4	0	.68	-	 < 0.01	5.08E-01
positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway (GO:0051482)	3	0	.51	-	 < 0.01	6.02E-01
nuclear polyadenylation-dependent CUT catabolic process (GO:0071039)	1	0	.17	-	 < 0.01	8.44E-01
nuclear polyadenylation-dependent tRNA catabolic process (GO:0071038)	5	0	.85	-	 < 0.01	4.29E-01
negative regulation of neuronal action potential (GO:1904456)	1	0	.17	-	 < 0.01	8.44E-01
nuclear polyadenylation-dependent snRNA catabolic process (GO:0071037)	1	0	.17	-	 < 0.01	8.44E-01
nuclear polyadenylation-dependent snoRNA catabolic process (GO:0071036)	1	0	.17	-	 < 0.01	8.44E-01
nuclear polyadenylation-dependent rRNA catabolic process (GO:0071035)	5	0	.85	-	 < 0.01	4.29E-01
CUT catabolic process (GO:0071034)	3	0	.51	-	 < 0.01	6.02E-01
nuclear retention of pre-mRNA at the site of transcription (GO:0071033)	5	0	.85	-	 < 0.01	4.29E-01
regulation of double-strand break repair via homologous recombination (GO:0010569)	2	0	.34	-	 < 0.01	7.13E-01
nuclear mRNA surveillance of mRNA 3'-end processing (GO:0071031)	2	0	.34	-	 < 0.01	7.13E-01
nuclear mRNA surveillance of spliceosomal pre-mRNA splicing (GO:0071030)	2	0	.34	-	 < 0.01	7.13E-01
regulation of ketone biosynthetic process (GO:0010566)	5	0	.85	-	 < 0.01	4.29E-01
postsynaptic signal transduction (GO:0098926)	2	0	.34	-	 < 0.01	7.13E-01
retrograde trans-synaptic signaling by endocannabinoid (GO:0098921)	1	0	.17	-	 < 0.01	8.44E-01
retrograde trans-synaptic signaling by lipid (GO:0098920)	1	0	.17	-	 < 0.01	8.44E-01
nuclear ncRNA surveillance (GO:0071029)	6	0	1.02	-	 < 0.01	3.62E-01
nuclear mRNA surveillance (GO:0071028)	10	0	1.69	-	 < 0.01	1.84E-01
positive regulation of G1/S transition of mitotic cell cycle (GO:1900087)	6	0	1.02	-	 < 0.01	3.62E-01
positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902255)	1	0	.17	-	 < 0.01	8.44E-01
negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902254)	2	0	.34	-	 < 0.01	7.13E-01
regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902253)	3	0	.51	-	 < 0.01	6.02E-01
uronic acid metabolic process (GO:0006063)	1	0	.17	-	 < 0.01	8.44E-01
maintenance of protein location in nucleus (GO:0051457)	4	0	.68	-	 < 0.01	5.08E-01
monopolar spindle attachment to meiosis I kinetochore (GO:0051455)	1	0	.17	-	 < 0.01	8.44E-01
intracellular pH elevation (GO:0051454)	1	0	.17	-	 < 0.01	8.44E-01
positive regulation of calcium ion transmembrane transport (GO:1904427)	1	0	.17	-	 < 0.01	8.44E-01
myoblast migration (GO:0051451)	2	0	.34	-	 < 0.01	7.13E-01
N-terminal peptidyl-proline dimethylation (GO:0018016)	1	0	.17	-	 < 0.01	8.44E-01
positive regulation of transposition (GO:0010530)	1	0	.17	-	 < 0.01	8.44E-01
negative regulation of ceramide biosynthetic process (GO:1900060)	1	0	.17	-	 < 0.01	8.44E-01
N-acetylneuraminate metabolic process (GO:0006054)	1	0	.17	-	 < 0.01	8.44E-01
positive regulation of meiotic cell cycle (GO:0051446)	6	0	1.02	-	 < 0.01	3.62E-01
negative regulation of ubiquitin-protein transferase activity (GO:0051444)	2	0	.34	-	 < 0.01	7.13E-01
positive regulation of ubiquitin-protein transferase activity (GO:0051443)	3	0	.51	-	 < 0.01	6.02E-01
N-terminal peptidyl-L-cysteine N-palmitoylation (GO:0018009)	1	0	.17	-	 < 0.01	8.44E-01
N-terminal peptidyl-glycine N-myristoylation (GO:0018008)	1	0	.17	-	 < 0.01	8.44E-01
N-terminal peptidyl-glutamic acid acetylation (GO:0018002)	1	0	.17	-	 < 0.01	8.44E-01
negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902236)	1	0	.17	-	 < 0.01	8.44E-01
regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902235)	1	0	.17	-	 < 0.01	8.44E-01
negative regulation of transposition, RNA-mediated (GO:0010526)	5	0	.85	-	 < 0.01	4.29E-01
regulation of transposition, RNA-mediated (GO:0010525)	5	0	.85	-	 < 0.01	4.29E-01
positive regulation of calcium ion transport into cytosol (GO:0010524)	1	0	.17	-	 < 0.01	8.44E-01
positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage (GO:1902231)	1	0	.17	-	 < 0.01	8.44E-01
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage (GO:1902230)	2	0	.34	-	 < 0.01	7.13E-01
UDP-N-acetylglucosamine biosynthetic process (GO:0006048)	3	0	.51	-	 < 0.01	6.02E-01
positive regulation of histone exchange (GO:1900051)	1	0	.17	-	 < 0.01	8.44E-01
N-acetylglucosamine catabolic process (GO:0006046)	1	0	.17	-	 < 0.01	8.44E-01
N-acetylglucosamine metabolic process (GO:0006044)	5	0	.85	-	 < 0.01	4.29E-01
glucosamine catabolic process (GO:0006043)	1	0	.17	-	 < 0.01	8.44E-01
glucosamine metabolic process (GO:0006041)	1	0	.17	-	 < 0.01	8.44E-01
karyogamy (GO:0000741)	4	0	.68	-	 < 0.01	5.08E-01
regulation of intrinsic apoptotic signaling pathway in response to DNA damage (GO:1902229)	3	0	.51	-	 < 0.01	6.02E-01
ketone body metabolic process (GO:1902224)	1	0	.17	-	 < 0.01	8.44E-01
regulation of histone exchange (GO:1900049)	1	0	.17	-	 < 0.01	8.44E-01
positive regulation of phosphatidylinositol biosynthetic process (GO:0010513)	1	0	.17	-	 < 0.01	8.44E-01
negative regulation of hemostasis (GO:1900047)	1	0	.17	-	 < 0.01	8.44E-01
spermidine metabolic process (GO:0008216)	2	0	.34	-	 < 0.01	7.13E-01
regulation of hemostasis (GO:1900046)	1	0	.17	-	 < 0.01	8.44E-01
regulation of phosphatidylinositol biosynthetic process (GO:0010511)	1	0	.17	-	 < 0.01	8.44E-01
spermine metabolic process (GO:0008215)	1	0	.17	-	 < 0.01	8.44E-01
presynaptic active zone organization (GO:1990709)	13	0	2.20	-	 < 0.01	1.10E-01
DNA catabolic process, exonucleolytic (GO:0000738)	5	0	.85	-	 < 0.01	4.29E-01
estrogen metabolic process (GO:0008210)	1	0	.17	-	 < 0.01	8.44E-01
establishment of epithelial cell planar polarity (GO:0090163)	4	0	.68	-	 < 0.01	5.08E-01
cuticle chitin biosynthetic process (GO:0006035)	3	0	.51	-	 < 0.01	6.02E-01
chitin biosynthetic process (GO:0006031)	3	0	.51	-	 < 0.01	6.02E-01
DNA recombinase assembly (GO:0000730)	3	0	.51	-	 < 0.01	6.02E-01
androgen metabolic process (GO:0008209)	1	0	.17	-	 < 0.01	8.44E-01
negative regulation of cellular response to hypoxia (GO:1900038)	1	0	.17	-	 < 0.01	8.44E-01
regulation of cellular response to hypoxia (GO:1900037)	3	0	.51	-	 < 0.01	6.02E-01
endoplasmic reticulum membrane organization (GO:0090158)	2	0	.34	-	 < 0.01	7.13E-01
cholesterol metabolic process (GO:0008203)	2	0	.34	-	 < 0.01	7.13E-01
cellular sphingolipid homeostasis (GO:0090156)	1	0	.17	-	 < 0.01	8.44E-01
DNA double-strand break processing (GO:0000729)	5	0	.85	-	 < 0.01	4.29E-01
negative regulation of sphingolipid biosynthetic process (GO:0090155)	1	0	.17	-	 < 0.01	8.44E-01
positive regulation of sphingolipid biosynthetic process (GO:0090154)	2	0	.34	-	 < 0.01	7.13E-01
regulation of sphingolipid biosynthetic process (GO:0090153)	5	0	.85	-	 < 0.01	4.29E-01
double-strand break repair via break-induced replication (GO:0000727)	13	0	2.20	-	 < 0.01	1.10E-01
glycosaminoglycan biosynthetic process (GO:0006024)	6	0	1.02	-	 < 0.01	3.62E-01
microtubule nucleation by microtubule organizing center (GO:0051418)	7	0	1.18	-	 < 0.01	3.06E-01
aminoglycan biosynthetic process (GO:0006023)	9	0	1.52	-	 < 0.01	2.18E-01
telomere maintenance via recombination (GO:0000722)	2	0	.34	-	 < 0.01	7.13E-01
microtubule nucleation by interphase microtubule organizing center (GO:0051415)	5	0	.85	-	 < 0.01	4.29E-01
membrane fission (GO:0090148)	3	0	.51	-	 < 0.01	6.02E-01
photoreactive repair (GO:0000719)	1	0	.17	-	 < 0.01	8.44E-01
nucleotide-excision repair, DNA duplex unwinding (GO:0000717)	1	0	.17	-	 < 0.01	8.44E-01
nucleotide-excision repair, DNA damage recognition (GO:0000715)	2	0	.34	-	 < 0.01	7.13E-01
D-ribose metabolic process (GO:0006014)	1	0	.17	-	 < 0.01	8.44E-01
UDP-glucose metabolic process (GO:0006011)	1	0	.17	-	 < 0.01	8.44E-01
meiotic DNA repair synthesis (GO:0000711)	3	0	.51	-	 < 0.01	6.02E-01
neuron apoptotic process (GO:0051402)	2	0	.34	-	 < 0.01	7.13E-01
mitochondrion morphogenesis (GO:0070584)	8	0	1.35	-	 < 0.01	2.58E-01
regulation of actin cytoskeleton organization by cell-cell adhesion (GO:0090138)	1	0	.17	-	 < 0.01	8.44E-01
protection from non-homologous end joining at telomere (GO:0031848)	3	0	.51	-	 < 0.01	6.02E-01
meiotic DNA recombinase assembly (GO:0000707)	1	0	.17	-	 < 0.01	8.44E-01
meiotic DNA double-strand break processing (GO:0000706)	5	0	.85	-	 < 0.01	4.29E-01
fucose metabolic process (GO:0006004)	1	0	.17	-	 < 0.01	8.44E-01
negative regulation of eating behavior (GO:1903999)	1	0	.17	-	 < 0.01	8.44E-01
regulation of eating behavior (GO:1903998)	1	0	.17	-	 < 0.01	8.44E-01
positive regulation of dendrite development (GO:1900006)	2	0	.34	-	 < 0.01	7.13E-01
cell-cell recognition (GO:0009988)	1	0	.17	-	 < 0.01	8.44E-01
positive regulation of synapse maturation (GO:0090129)	1	0	.17	-	 < 0.01	8.44E-01
positive regulation of neuron projection regeneration (GO:0070572)	7	0	1.18	-	 < 0.01	3.06E-01
positive regulation of serine-type endopeptidase activity (GO:1900005)	1	0	.17	-	 < 0.01	8.44E-01
negative regulation of serine-type endopeptidase activity (GO:1900004)	1	0	.17	-	 < 0.01	8.44E-01
negative regulation of neuron projection regeneration (GO:0070571)	1	0	.17	-	 < 0.01	8.44E-01
regulation of neuron projection regeneration (GO:0070570)	8	0	1.35	-	 < 0.01	2.58E-01
regulation of serine-type endopeptidase activity (GO:1900003)	2	0	.34	-	 < 0.01	7.13E-01
transforming growth factor beta receptor signaling pathway involved in endodermal cell fate specification (GO:0060799)	2	0	.34	-	 < 0.01	7.13E-01
transforming growth factor beta receptor signaling pathway involved in primary germ layer cell fate commitment (GO:0060797)	2	0	.34	-	 < 0.01	7.13E-01
cell fate commitment involved in formation of primary germ layer (GO:0060795)	18	0	3.05	-	 < 0.01	4.73E-02
protein localization to cell division site (GO:0072741)	2	0	.34	-	 < 0.01	7.13E-01
regulation of apoptosis involved in tissue homeostasis (GO:0060785)	1	0	.17	-	 < 0.01	8.44E-01
positive regulation of glial cell migration (GO:1903977)	2	0	.34	-	 < 0.01	7.13E-01
regulation of glial cell migration (GO:1903975)	2	0	.34	-	 < 0.01	7.13E-01
positive regulation of signal transduction by p53 class mediator (GO:1901798)	1	0	.17	-	 < 0.01	8.44E-01
negative regulation of signal transduction by p53 class mediator (GO:1901797)	2	0	.34	-	 < 0.01	7.13E-01
regulation of signal transduction by p53 class mediator (GO:1901796)	3	0	.51	-	 < 0.01	6.02E-01
rDNA condensation (GO:0070550)	1	0	.17	-	 < 0.01	8.44E-01
negative regulation of epithelial cell proliferation involved in prostate gland development (GO:0060770)	1	0	.17	-	 < 0.01	8.44E-01
positive regulation of lipid catabolic process (GO:0050996)	5	0	.85	-	 < 0.01	4.29E-01
antifungal humoral response (GO:0019732)	3	0	.51	-	 < 0.01	6.02E-01
arachidonate transport (GO:1903963)	3	0	.51	-	 < 0.01	6.02E-01
positive regulation of axon extension involved in regeneration (GO:0048691)	4	0	.68	-	 < 0.01	5.08E-01
regulation of axon extension involved in regeneration (GO:0048690)	4	0	.68	-	 < 0.01	5.08E-01
regulation of epithelial cell proliferation involved in prostate gland development (GO:0060768)	1	0	.17	-	 < 0.01	8.44E-01
negative regulation of response to cytokine stimulus (GO:0060761)	1	0	.17	-	 < 0.01	8.44E-01
positive regulation of sprouting of injured axon (GO:0048687)	4	0	.68	-	 < 0.01	5.08E-01
detection of mechanical stimulus (GO:0050982)	13	0	2.20	-	 < 0.01	1.10E-01
regulation of sprouting of injured axon (GO:0048686)	4	0	.68	-	 < 0.01	5.08E-01
protein K63-linked deubiquitination (GO:0070536)	3	0	.51	-	 < 0.01	6.02E-01
sprouting of injured axon (GO:0048682)	4	0	.68	-	 < 0.01	5.08E-01
negative regulation of axon regeneration (GO:0048681)	1	0	.17	-	 < 0.01	8.44E-01
positive regulation of axon regeneration (GO:0048680)	7	0	1.18	-	 < 0.01	3.06E-01
proximal/distal axis specification (GO:0009946)	3	0	.51	-	 < 0.01	6.02E-01
extrinsic apoptotic signaling pathway in absence of ligand (GO:0097192)	2	0	.34	-	 < 0.01	7.13E-01
extrinsic apoptotic signaling pathway (GO:0097191)	3	0	.51	-	 < 0.01	6.02E-01
detection of mechanical stimulus involved in sensory perception of touch (GO:0050976)	4	0	.68	-	 < 0.01	5.08E-01
regulation of axon regeneration (GO:0048679)	8	0	1.35	-	 < 0.01	2.58E-01
detection of mechanical stimulus involved in sensory perception (GO:0050974)	9	0	1.52	-	 < 0.01	2.18E-01
collateral sprouting of injured axon (GO:0048674)	3	0	.51	-	 < 0.01	6.02E-01
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	1	0	.17	-	 < 0.01	8.44E-01
S-adenosylhomocysteine metabolic process (GO:0046498)	1	0	.17	-	 < 0.01	8.44E-01
nicotinamide nucleotide metabolic process (GO:0046496)	3	0	.51	-	 < 0.01	6.02E-01
negative regulation of heterochromatin organization (GO:0120262)	2	0	.34	-	 < 0.01	7.13E-01
detection of chemical stimulus involved in sensory perception of pain (GO:0050968)	1	0	.17	-	 < 0.01	8.44E-01
detection of mechanical stimulus involved in sensory perception of pain (GO:0050966)	4	0	.68	-	 < 0.01	5.08E-01
detection of temperature stimulus involved in sensory perception of pain (GO:0050965)	4	0	.68	-	 < 0.01	5.08E-01
collateral sprouting (GO:0048668)	3	0	.51	-	 < 0.01	6.02E-01
detection of temperature stimulus involved in sensory perception (GO:0050961)	4	0	.68	-	 < 0.01	5.08E-01
detection of temperature stimulus involved in thermoception (GO:0050960)	2	0	.34	-	 < 0.01	7.13E-01
glyoxylate metabolic process (GO:0046487)	2	0	.34	-	 < 0.01	7.13E-01
ether lipid metabolic process (GO:0046485)	1	0	.17	-	 < 0.01	8.44E-01
negative regulation of histone H4-K20 methylation (GO:0070511)	1	0	.17	-	 < 0.01	8.44E-01
regulation of histone H4-K20 methylation (GO:0070510)	1	0	.17	-	 < 0.01	8.44E-01
thermoception (GO:0050955)	2	0	.34	-	 < 0.01	7.13E-01
sensory perception of temperature stimulus (GO:0050951)	4	0	.68	-	 < 0.01	5.08E-01
establishment or maintenance of cytoskeleton polarity involved in gastrulation (GO:0003380)	3	0	.51	-	 < 0.01	6.02E-01
phosphatidic acid metabolic process (GO:0046473)	3	0	.51	-	 < 0.01	6.02E-01
circadian regulation of translation (GO:0097167)	1	0	.17	-	 < 0.01	8.44E-01
hormone transport (GO:0009914)	1	0	.17	-	 < 0.01	8.44E-01
establishment of cell polarity involved in gastrulation cell migration (GO:0003379)	3	0	.51	-	 < 0.01	6.02E-01
dynamin family protein polymerization involved in mitochondrial fission (GO:0003374)	3	0	.51	-	 < 0.01	6.02E-01
negative regulation of pigment cell differentiation (GO:0050941)	1	0	.17	-	 < 0.01	8.44E-01
dynamin family protein polymerization involved in membrane fission (GO:0003373)	3	0	.51	-	 < 0.01	6.02E-01
establishment or maintenance of cytoskeleton polarity involved in ameboidal cell migration (GO:0003371)	3	0	.51	-	 < 0.01	6.02E-01
regulation of myoblast fusion (GO:1901739)	8	0	1.35	-	 < 0.01	2.58E-01
membrane lipid catabolic process (GO:0046466)	3	0	.51	-	 < 0.01	6.02E-01
response to photoperiod, blue light (GO:0009906)	1	0	.17	-	 < 0.01	8.44E-01
regulation of receptor clustering (GO:1903909)	1	0	.17	-	 < 0.01	8.44E-01
establishment of cell polarity involved in ameboidal cell migration (GO:0003365)	3	0	.51	-	 < 0.01	6.02E-01
positive regulation of muscle organ development (GO:0048636)	6	0	1.02	-	 < 0.01	3.62E-01
regulation of pigment cell differentiation (GO:0050932)	1	0	.17	-	 < 0.01	8.44E-01
negative regulation of muscle organ development (GO:0048635)	3	0	.51	-	 < 0.01	6.02E-01
pigment cell differentiation (GO:0050931)	2	0	.34	-	 < 0.01	7.13E-01
regulation of muscle organ development (GO:0048634)	13	0	2.20	-	 < 0.01	1.10E-01
RNA polymerase I preinitiation complex assembly (GO:0001188)	1	0	.17	-	 < 0.01	8.44E-01
short-chain fatty acid metabolic process (GO:0046459)	1	0	.17	-	 < 0.01	8.44E-01
positive regulation of viral life cycle (GO:1903902)	2	0	.34	-	 < 0.01	7.13E-01
prostanoid biosynthetic process (GO:0046457)	1	0	.17	-	 < 0.01	8.44E-01
regulation of viral life cycle (GO:1903900)	7	0	1.18	-	 < 0.01	3.06E-01
icosanoid biosynthetic process (GO:0046456)	1	0	.17	-	 < 0.01	8.44E-01
dihydrofolate metabolic process (GO:0046452)	1	0	.17	-	 < 0.01	8.44E-01
sulfur compound catabolic process (GO:0044273)	2	0	.34	-	 < 0.01	7.13E-01
negative regulation of endoribonuclease activity (GO:0060702)	2	0	.34	-	 < 0.01	7.13E-01
negative regulation of ribonuclease activity (GO:0060701)	2	0	.34	-	 < 0.01	7.13E-01
regulation of ribonuclease activity (GO:0060700)	2	0	.34	-	 < 0.01	7.13E-01
early endosome to Golgi transport (GO:0034498)	2	0	.34	-	 < 0.01	7.13E-01
regulation of cilium beat frequency (GO:0003356)	1	0	.17	-	 < 0.01	8.44E-01
myoblast development (GO:0048627)	2	0	.34	-	 < 0.01	7.13E-01
negative regulation of chemotaxis (GO:0050922)	2	0	.34	-	 < 0.01	7.13E-01
post-embryonic digestive tract morphogenesis (GO:0048621)	1	0	.17	-	 < 0.01	8.44E-01
transcriptional start site selection at RNA polymerase II promoter (GO:0001174)	1	0	.17	-	 < 0.01	8.44E-01
DNA-templated transcriptional start site selection (GO:0001173)	1	0	.17	-	 < 0.01	8.44E-01
sensory perception of salty taste (GO:0050914)	3	0	.51	-	 < 0.01	6.02E-01
sensory perception of bitter taste (GO:0050913)	8	0	1.35	-	 < 0.01	2.58E-01
embryonic foregut morphogenesis (GO:0048617)	3	0	.51	-	 < 0.01	6.02E-01
pericardium morphogenesis (GO:0003344)	2	0	.34	-	 < 0.01	7.13E-01
detection of mechanical stimulus involved in sensory perception of sound (GO:0050910)	1	0	.17	-	 < 0.01	8.44E-01
L-glutamine biosynthetic process (GO:1901704)	1	0	.17	-	 < 0.01	8.44E-01
detection of calcium ion (GO:0005513)	1	0	.17	-	 < 0.01	8.44E-01
U5 snRNA 3'-end processing (GO:0034476)	2	0	.34	-	 < 0.01	7.13E-01
U4 snRNA 3'-end processing (GO:0034475)	7	0	1.18	-	 < 0.01	3.06E-01
U2 snRNA 3'-end processing (GO:0034474)	1	0	.17	-	 < 0.01	8.44E-01
U1 snRNA 3'-end processing (GO:0034473)	2	0	.34	-	 < 0.01	7.13E-01
snRNA 3'-end processing (GO:0034472)	21	0	3.55	-	 < 0.01	2.84E-02
ncRNA 5'-end processing (GO:0034471)	2	0	.34	-	 < 0.01	7.13E-01
axon ensheathment in central nervous system (GO:0032291)	3	0	.51	-	 < 0.01	6.02E-01
neurexin clustering involved in presynaptic membrane assembly (GO:0097115)	1	0	.17	-	 < 0.01	8.44E-01
AMPA glutamate receptor clustering (GO:0097113)	2	0	.34	-	 < 0.01	7.13E-01
gamma-aminobutyric acid receptor clustering (GO:0097112)	1	0	.17	-	 < 0.01	8.44E-01
regulation of catecholamine metabolic process (GO:0042069)	3	0	.51	-	 < 0.01	6.02E-01
lipid digestion (GO:0044241)	1	0	.17	-	 < 0.01	8.44E-01
long-term strengthening of neuromuscular junction (GO:0042062)	2	0	.34	-	 < 0.01	7.13E-01
postsynaptic density assembly (GO:0097107)	1	0	.17	-	 < 0.01	8.44E-01
postsynaptic density organization (GO:0097106)	2	0	.34	-	 < 0.01	7.13E-01
regulation of dopamine metabolic process (GO:0042053)	2	0	.34	-	 < 0.01	7.13E-01
cardioblast migration to the midline involved in heart rudiment formation (GO:0003319)	1	0	.17	-	 < 0.01	8.44E-01
cell migration to the midline involved in heart development (GO:0003318)	1	0	.17	-	 < 0.01	8.44E-01
microtubule anchoring at centrosome (GO:0034454)	5	0	.85	-	 < 0.01	4.29E-01
heart rudiment formation (GO:0003315)	1	0	.17	-	 < 0.01	8.44E-01
heart rudiment morphogenesis (GO:0003314)	1	0	.17	-	 < 0.01	8.44E-01
heart rudiment development (GO:0003313)	1	0	.17	-	 < 0.01	8.44E-01
myeloid cell differentiation (GO:0030099)	1	0	.17	-	 < 0.01	8.44E-01
protein repair (GO:0030091)	3	0	.51	-	 < 0.01	6.02E-01
cardiac muscle atrophy (GO:0014899)	1	0	.17	-	 < 0.01	8.44E-01
negative regulation of signaling receptor activity (GO:2000272)	4	0	.68	-	 < 0.01	5.08E-01
striated muscle atrophy (GO:0014891)	1	0	.17	-	 < 0.01	8.44E-01
