




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	human_background.txt - REFLIST (16250)	upload_1 (830)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules (GO:0016338)	20	0	1.02	-	 < 0.01	3.60E-01
positive regulation of hyaluronan biosynthetic process (GO:1900127)	4	0	.20	-	 < 0.01	8.15E-01
establishment or maintenance of polarity of follicular epithelium (GO:0016334)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of hyaluronan biosynthetic process (GO:1900126)	4	0	.20	-	 < 0.01	8.15E-01
morphogenesis of follicular epithelium (GO:0016333)	1	0	.05	-	 < 0.01	9.50E-01
regulation of hyaluronan biosynthetic process (GO:1900125)	8	0	.41	-	 < 0.01	6.65E-01
establishment or maintenance of polarity of embryonic epithelium (GO:0016332)	1	0	.05	-	 < 0.01	9.50E-01
vesicle fusion with vesicle (GO:0061782)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of receptor binding (GO:1900122)	10	0	.51	-	 < 0.01	6.00E-01
positive regulation of DNA repair by transcription from RNA polymerase II promoter (GO:0100026)	2	0	.10	-	 < 0.01	9.03E-01
negative regulation of execution phase of apoptosis (GO:1900118)	9	0	.46	-	 < 0.01	6.31E-01
neuron remodeling (GO:0016322)	12	0	.61	-	 < 0.01	5.42E-01
xenobiotic transport across blood-nerve barrier (GO:0061772)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of histone H3-K9 trimethylation (GO:1900114)	3	0	.15	-	 < 0.01	8.58E-01
negative regulation of histone H3-K9 trimethylation (GO:1900113)	5	0	.26	-	 < 0.01	7.75E-01
endoplasmic reticulum membrane fusion (GO:0016320)	2	0	.10	-	 < 0.01	9.03E-01
regulation of histone H3-K9 trimethylation (GO:1900112)	10	0	.51	-	 < 0.01	6.00E-01
positive regulation of histone H3-K9 dimethylation (GO:1900111)	2	0	.10	-	 < 0.01	9.03E-01
negative regulation of histone H3-K9 dimethylation (GO:1900110)	2	0	.10	-	 < 0.01	9.03E-01
regulation of histone H3-K9 dimethylation (GO:1900109)	4	0	.20	-	 < 0.01	8.15E-01
negative regulation of lung blood pressure (GO:0061767)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of nodal signaling pathway (GO:1900108)	3	0	.15	-	 < 0.01	8.58E-01
regulation of nodal signaling pathway (GO:1900107)	6	0	.31	-	 < 0.01	7.36E-01
regulation of heart induction by canonical Wnt signaling pathway (GO:0100012)	1	0	.05	-	 < 0.01	9.50E-01
multivesicular body-lysosome fusion (GO:0061763)	2	0	.10	-	 < 0.01	9.03E-01
CAMKK-AMPK signaling cascade (GO:0061762)	3	0	.15	-	 < 0.01	8.58E-01
antifungal innate immune response (GO:0061760)	4	0	.20	-	 < 0.01	8.15E-01
positive regulation of plasma cell differentiation (GO:1900100)	3	0	.15	-	 < 0.01	8.58E-01
low-density lipoprotein particle mediated signaling (GO:0055096)	3	0	.15	-	 < 0.01	8.58E-01
lipoprotein particle mediated signaling (GO:0055095)	3	0	.15	-	 < 0.01	8.58E-01
response to hyperoxia (GO:0055093)	22	0	1.12	-	 < 0.01	3.25E-01
leukocyte adhesion to arterial endothelial cell (GO:0061757)	1	0	.05	-	 < 0.01	9.50E-01
leukocyte adhesion to vascular endothelial cell (GO:0061756)	21	0	1.07	-	 < 0.01	3.42E-01
negative regulation of protein kinase activity by protein phosphorylation (GO:0100002)	1	0	.05	-	 < 0.01	9.50E-01
regulation of skeletal muscle contraction by action potential (GO:0100001)	1	0	.05	-	 < 0.01	9.50E-01
substrate localization to autophagosome (GO:0061753)	1	0	.05	-	 < 0.01	9.50E-01
fatty acid homeostasis (GO:0055089)	14	0	.72	-	 < 0.01	4.89E-01
motor behavior (GO:0061744)	10	0	.51	-	 < 0.01	6.00E-01
motor learning (GO:0061743)	6	0	.31	-	 < 0.01	7.36E-01
sodium ion homeostasis (GO:0055078)	35	0	1.79	-	 < 0.01	1.67E-01
potassium ion homeostasis (GO:0055075)	29	0	1.48	-	 < 0.01	2.27E-01
cadmium ion homeostasis (GO:0055073)	3	0	.15	-	 < 0.01	8.58E-01
manganese ion homeostasis (GO:0055071)	3	0	.15	-	 < 0.01	8.58E-01
copper ion homeostasis (GO:0055070)	17	0	.87	-	 < 0.01	4.19E-01
carnosine biosynthetic process (GO:0035499)	1	0	.05	-	 < 0.01	9.50E-01
carnosine metabolic process (GO:0035498)	1	0	.05	-	 < 0.01	9.50E-01
protein lipidation involved in autophagosome assembly (GO:0061739)	3	0	.15	-	 < 0.01	8.58E-01
SNARE complex disassembly (GO:0035494)	3	0	.15	-	 < 0.01	8.58E-01
leukotriene signaling pathway (GO:0061737)	5	0	.26	-	 < 0.01	7.75E-01
engulfment of target by autophagosome (GO:0061736)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of leukotriene production involved in inflammatory response (GO:0035491)	1	0	.05	-	 < 0.01	9.50E-01
parkin-mediated stimulation of mitophagy in response to mitochondrial depolarization (GO:0061734)	4	0	.20	-	 < 0.01	8.15E-01
regulation of leukotriene production involved in inflammatory response (GO:0035490)	1	0	.05	-	 < 0.01	9.50E-01
zinc ion homeostasis (GO:0055069)	33	0	1.69	-	 < 0.01	1.85E-01
pyrimidine nucleoside salvage (GO:0043097)	10	0	.51	-	 < 0.01	6.00E-01
purine nucleobase salvage (GO:0043096)	3	0	.15	-	 < 0.01	8.58E-01
regulation of GTP cyclohydrolase I activity (GO:0043095)	1	0	.05	-	 < 0.01	9.50E-01
gastric emptying (GO:0035483)	2	0	.10	-	 < 0.01	9.03E-01
methylglyoxal catabolic process to lactate (GO:0061727)	4	0	.20	-	 < 0.01	8.15E-01
gastric motility (GO:0035482)	2	0	.10	-	 < 0.01	9.03E-01
positive regulation of Notch signaling pathway involved in heart induction (GO:0035481)	4	0	.20	-	 < 0.01	8.15E-01
regulation of Notch signaling pathway involved in heart induction (GO:0035480)	4	0	.20	-	 < 0.01	8.15E-01
glycophagy (GO:0061723)	2	0	.10	-	 < 0.01	9.03E-01
penile erection (GO:0043084)	3	0	.15	-	 < 0.01	8.58E-01
miRNA 2'-O-methylation (GO:0061715)	1	0	.05	-	 < 0.01	9.50E-01
anterior neural tube closure (GO:0061713)	1	0	.05	-	 < 0.01	9.50E-01
drug transport (GO:0015893)	10	0	.51	-	 < 0.01	6.00E-01
siderophore transport (GO:0015891)	3	0	.15	-	 < 0.01	8.58E-01
anastral spindle assembly (GO:0055048)	1	0	.05	-	 < 0.01	9.50E-01
determination of pancreatic left/right asymmetry (GO:0035469)	5	0	.26	-	 < 0.01	7.75E-01
cobalamin transport (GO:0015889)	7	0	.36	-	 < 0.01	6.99E-01
thiamine transport (GO:0015888)	4	0	.20	-	 < 0.01	8.15E-01
folic acid transport (GO:0015884)	8	0	.41	-	 < 0.01	6.65E-01
FAD transport (GO:0015883)	2	0	.10	-	 < 0.01	9.03E-01
L-ascorbic acid transmembrane transport (GO:0015882)	2	0	.10	-	 < 0.01	9.03E-01
creatine transmembrane transport (GO:0015881)	3	0	.15	-	 < 0.01	8.58E-01
coenzyme A transport (GO:0015880)	2	0	.10	-	 < 0.01	9.03E-01
cellular response to interferon-beta (GO:0035458)	20	0	1.02	-	 < 0.01	3.60E-01
response to interferon-beta (GO:0035456)	29	0	1.48	-	 < 0.01	2.27E-01
intercellular bridge organization (GO:0043063)	1	0	.05	-	 < 0.01	9.50E-01
carnitine transport (GO:0015879)	4	0	.20	-	 < 0.01	8.15E-01
acetyl-CoA transport (GO:0015876)	1	0	.05	-	 < 0.01	9.50E-01
norepinephrine transport (GO:0015874)	7	0	.36	-	 < 0.01	6.99E-01
dopamine transport (GO:0015872)	12	0	.61	-	 < 0.01	5.42E-01
choline transport (GO:0015871)	7	0	.36	-	 < 0.01	6.99E-01
acetylcholine transport (GO:0015870)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of cardiac muscle tissue development (GO:0055026)	2	0	.10	-	 < 0.01	9.03E-01
positive regulation of cardiac muscle tissue development (GO:0055025)	2	0	.10	-	 < 0.01	9.03E-01
regulation of cardiac muscle tissue development (GO:0055024)	5	0	.26	-	 < 0.01	7.75E-01
positive regulation of cardiac muscle fiber development (GO:0055020)	1	0	.05	-	 < 0.01	9.50E-01
borate transmembrane transport (GO:0035445)	1	0	.05	-	 < 0.01	9.50E-01
nickel cation transmembrane transport (GO:0035444)	1	0	.05	-	 < 0.01	9.50E-01
tripeptide transmembrane transport (GO:0035443)	5	0	.26	-	 < 0.01	7.75E-01
dipeptide transmembrane transport (GO:0035442)	5	0	.26	-	 < 0.01	7.75E-01
cell migration involved in vasculogenesis (GO:0035441)	4	0	.20	-	 < 0.01	8.15E-01
deadenylation-independent decapping of nuclear-transcribed mRNA (GO:0031087)	5	0	.26	-	 < 0.01	7.75E-01
nuclear-transcribed mRNA catabolic process, deadenylation-independent decay (GO:0031086)	7	0	.36	-	 < 0.01	6.99E-01
ADP transport (GO:0015866)	7	0	.36	-	 < 0.01	6.99E-01
pyrimidine nucleoside transport (GO:0015864)	5	0	.26	-	 < 0.01	7.75E-01
uridine transport (GO:0015862)	5	0	.26	-	 < 0.01	7.75E-01
cytidine transport (GO:0015861)	1	0	.05	-	 < 0.01	9.50E-01
purine nucleoside transmembrane transport (GO:0015860)	4	0	.20	-	 < 0.01	8.15E-01
regulation of cardiac muscle fiber development (GO:0055018)	1	0	.05	-	 < 0.01	9.50E-01
ventricular cardiac muscle cell development (GO:0055015)	11	0	.56	-	 < 0.01	5.70E-01
atrial cardiac muscle cell development (GO:0055014)	2	0	.10	-	 < 0.01	9.03E-01
ventricular cardiac muscle cell differentiation (GO:0055012)	17	0	.87	-	 < 0.01	4.19E-01
atrial cardiac muscle cell differentiation (GO:0055011)	2	0	.10	-	 < 0.01	9.03E-01
pyrimidine deoxyribonucleoside diphosphate biosynthetic process (GO:0009197)	1	0	.05	-	 < 0.01	9.50E-01
otic placode formation (GO:0043049)	1	0	.05	-	 < 0.01	9.50E-01
pyrimidine deoxyribonucleoside diphosphate metabolic process (GO:0009196)	1	0	.05	-	 < 0.01	9.50E-01
dolichyl monophosphate biosynthetic process (GO:0043048)	1	0	.05	-	 < 0.01	9.50E-01
pyrimidine ribonucleoside diphosphate catabolic process (GO:0009195)	2	0	.10	-	 < 0.01	9.03E-01
pyrimidine ribonucleoside diphosphate metabolic process (GO:0009193)	2	0	.10	-	 < 0.01	9.03E-01
DNA methylation involved in embryo development (GO:0043045)	6	0	.31	-	 < 0.01	7.36E-01
deoxyribonucleoside diphosphate catabolic process (GO:0009192)	1	0	.05	-	 < 0.01	9.50E-01
ribonucleoside diphosphate catabolic process (GO:0009191)	7	0	.36	-	 < 0.01	6.99E-01
copper ion transmembrane transport (GO:0035434)	6	0	.31	-	 < 0.01	7.36E-01
amino acid activation for nonribosomal peptide biosynthetic process (GO:0043041)	1	0	.05	-	 < 0.01	9.50E-01
nucleoside transport (GO:0015858)	7	0	.36	-	 < 0.01	6.99E-01
pyrimidine nucleobase transport (GO:0015855)	5	0	.26	-	 < 0.01	7.75E-01
guanine transport (GO:0015854)	1	0	.05	-	 < 0.01	9.50E-01
atrial cardiac muscle tissue morphogenesis (GO:0055009)	6	0	.31	-	 < 0.01	7.36E-01
ventricular cardiac myofibril assembly (GO:0055005)	3	0	.15	-	 < 0.01	8.58E-01
deoxyribonucleoside diphosphate biosynthetic process (GO:0009189)	3	0	.15	-	 < 0.01	8.58E-01
ribonucleoside diphosphate biosynthetic process (GO:0009188)	6	0	.31	-	 < 0.01	7.36E-01
deoxyribonucleoside diphosphate metabolic process (GO:0009186)	4	0	.20	-	 < 0.01	8.15E-01
purine deoxyribonucleoside diphosphate catabolic process (GO:0009184)	1	0	.05	-	 < 0.01	9.50E-01
purine deoxyribonucleoside diphosphate biosynthetic process (GO:0009183)	2	0	.10	-	 < 0.01	9.03E-01
purine deoxyribonucleoside diphosphate metabolic process (GO:0009182)	3	0	.15	-	 < 0.01	8.58E-01
autocrine signaling (GO:0035425)	8	0	.41	-	 < 0.01	6.65E-01
purine ribonucleoside diphosphate catabolic process (GO:0009181)	4	0	.20	-	 < 0.01	8.15E-01
purine ribonucleoside diphosphate biosynthetic process (GO:0009180)	6	0	.31	-	 < 0.01	7.36E-01
negative regulation of histone deacetylation (GO:0031064)	5	0	.26	-	 < 0.01	7.75E-01
polyamine transport (GO:0015846)	2	0	.10	-	 < 0.01	9.03E-01
monoamine transport (GO:0015844)	20	0	1.02	-	 < 0.01	3.60E-01
aminergic neurotransmitter loading into synaptic vesicle (GO:0015842)	4	0	.20	-	 < 0.01	8.15E-01
pyrimidine deoxyribonucleoside monophosphate catabolic process (GO:0009178)	1	0	.05	-	 < 0.01	9.50E-01
pyrimidine deoxyribonucleoside monophosphate biosynthetic process (GO:0009177)	4	0	.20	-	 < 0.01	8.15E-01
pyrimidine deoxyribonucleoside monophosphate metabolic process (GO:0009176)	5	0	.26	-	 < 0.01	7.75E-01
pyrimidine ribonucleoside monophosphate biosynthetic process (GO:0009174)	10	0	.51	-	 < 0.01	6.00E-01
pyrimidine ribonucleoside monophosphate metabolic process (GO:0009173)	10	0	.51	-	 < 0.01	6.00E-01
purine deoxyribonucleoside monophosphate biosynthetic process (GO:0009171)	2	0	.10	-	 < 0.01	9.03E-01
purine deoxyribonucleoside monophosphate metabolic process (GO:0009170)	3	0	.15	-	 < 0.01	8.58E-01
amino-acid betaine transport (GO:0015838)	6	0	.31	-	 < 0.01	7.36E-01
amine transport (GO:0015837)	8	0	.41	-	 < 0.01	6.65E-01
peptidoglycan transport (GO:0015835)	3	0	.15	-	 < 0.01	8.58E-01
chromosome breakage (GO:0031052)	2	0	.10	-	 < 0.01	9.03E-01
purine ribonucleoside monophosphate catabolic process (GO:0009169)	3	0	.15	-	 < 0.01	8.58E-01
histone H3-Y41 phosphorylation (GO:0035409)	1	0	.05	-	 < 0.01	9.50E-01
nucleoside catabolic process (GO:0009164)	30	0	1.53	-	 < 0.01	2.16E-01
histone H3-T6 phosphorylation (GO:0035408)	2	0	.10	-	 < 0.01	9.03E-01
nucleoside biosynthetic process (GO:0009163)	34	0	1.74	-	 < 0.01	1.76E-01
deoxyribonucleoside monophosphate metabolic process (GO:0009162)	11	0	.56	-	 < 0.01	5.70E-01
histone-tyrosine phosphorylation (GO:0035406)	1	0	.05	-	 < 0.01	9.50E-01
histone-serine phosphorylation (GO:0035404)	11	0	.56	-	 < 0.01	5.70E-01
regulation of fusion of sperm to egg plasma membrane (GO:0043012)	1	0	.05	-	 < 0.01	9.50E-01
programmed DNA elimination (GO:0031049)	2	0	.10	-	 < 0.01	9.03E-01
heterochromatin assembly by small RNA (GO:0031048)	2	0	.10	-	 < 0.01	9.03E-01
valine transport (GO:0015829)	1	0	.05	-	 < 0.01	9.50E-01
tryptophan transport (GO:0015827)	5	0	.26	-	 < 0.01	7.75E-01
threonine transport (GO:0015826)	1	0	.05	-	 < 0.01	9.50E-01
proline transport (GO:0015824)	10	0	.51	-	 < 0.01	6.00E-01
phenylalanine transport (GO:0015823)	2	0	.10	-	 < 0.01	9.03E-01
ornithine transport (GO:0015822)	7	0	.36	-	 < 0.01	6.99E-01
methionine transport (GO:0015821)	1	0	.05	-	 < 0.01	9.50E-01
leucine transport (GO:0015820)	6	0	.31	-	 < 0.01	7.36E-01
deoxyribonucleoside monophosphate catabolic process (GO:0009159)	2	0	.10	-	 < 0.01	9.03E-01
ribonucleoside monophosphate catabolic process (GO:0009158)	3	0	.15	-	 < 0.01	8.58E-01
deoxyribonucleoside monophosphate biosynthetic process (GO:0009157)	8	0	.41	-	 < 0.01	6.65E-01
purine deoxyribonucleotide catabolic process (GO:0009155)	6	0	.31	-	 < 0.01	7.36E-01
purine ribonucleotide catabolic process (GO:0009154)	29	0	1.48	-	 < 0.01	2.27E-01
maintenance of rDNA (GO:0043007)	2	0	.10	-	 < 0.01	9.03E-01
purine deoxyribonucleotide biosynthetic process (GO:0009153)	5	0	.26	-	 < 0.01	7.75E-01
activation of phospholipase A2 activity by calcium-mediated signaling (GO:0043006)	1	0	.05	-	 < 0.01	9.50E-01
purine deoxyribonucleotide metabolic process (GO:0009151)	11	0	.56	-	 < 0.01	5.70E-01
cytoplasmic sequestering of CFTR protein (GO:0043004)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of Golgi to plasma membrane CFTR protein transport (GO:0043002)	1	0	.05	-	 < 0.01	9.50E-01
Golgi to plasma membrane CFTR protein transport (GO:0043000)	2	0	.10	-	 < 0.01	9.03E-01
lysine transport (GO:0015819)	1	0	.05	-	 < 0.01	9.50E-01
isoleucine transport (GO:0015818)	1	0	.05	-	 < 0.01	9.50E-01
histidine transport (GO:0015817)	2	0	.10	-	 < 0.01	9.03E-01
glycine transport (GO:0015816)	11	0	.56	-	 < 0.01	5.70E-01
myosin filament assembly (GO:0031034)	3	0	.15	-	 < 0.01	8.58E-01
myosin filament organization (GO:0031033)	3	0	.15	-	 < 0.01	8.58E-01
L-cystine transport (GO:0015811)	4	0	.20	-	 < 0.01	8.15E-01
pyrimidine nucleoside triphosphate catabolic process (GO:0009149)	2	0	.10	-	 < 0.01	9.03E-01
pyrimidine nucleoside triphosphate biosynthetic process (GO:0009148)	14	0	.72	-	 < 0.01	4.89E-01
pyrimidine nucleoside triphosphate metabolic process (GO:0009147)	17	0	.87	-	 < 0.01	4.19E-01
purine nucleoside triphosphate catabolic process (GO:0009146)	6	0	.31	-	 < 0.01	7.36E-01
negative regulation of hemoglobin biosynthetic process (GO:0046986)	1	0	.05	-	 < 0.01	9.50E-01
nucleoside triphosphate catabolic process (GO:0009143)	12	0	.61	-	 < 0.01	5.42E-01
pyrimidine nucleoside diphosphate catabolic process (GO:0009140)	2	0	.10	-	 < 0.01	9.03E-01
L-alanine transport (GO:0015808)	10	0	.51	-	 < 0.01	6.00E-01
S-adenosyl-L-methionine transport (GO:0015805)	1	0	.05	-	 < 0.01	9.50E-01
nuclear migration along microfilament (GO:0031022)	2	0	.10	-	 < 0.01	9.03E-01
pyrimidine nucleoside diphosphate biosynthetic process (GO:0009139)	1	0	.05	-	 < 0.01	9.50E-01
pyrimidine nucleoside diphosphate metabolic process (GO:0009138)	3	0	.15	-	 < 0.01	8.58E-01
purine nucleoside diphosphate catabolic process (GO:0009137)	4	0	.20	-	 < 0.01	8.15E-01
purine nucleoside diphosphate biosynthetic process (GO:0009136)	6	0	.31	-	 < 0.01	7.36E-01
nucleoside diphosphate catabolic process (GO:0009134)	12	0	.61	-	 < 0.01	5.42E-01
nucleoside diphosphate biosynthetic process (GO:0009133)	8	0	.41	-	 < 0.01	6.65E-01
pyrimidine nucleoside monophosphate catabolic process (GO:0009131)	1	0	.05	-	 < 0.01	9.50E-01
pyrimidine nucleoside monophosphate biosynthetic process (GO:0009130)	14	0	.72	-	 < 0.01	4.89E-01
endocrine pancreas development (GO:0031018)	39	0	1.99	-	 < 0.01	1.36E-01
pyrimidine nucleoside monophosphate metabolic process (GO:0009129)	15	0	.77	-	 < 0.01	4.65E-01
purine nucleoside monophosphate catabolic process (GO:0009128)	4	0	.20	-	 < 0.01	8.15E-01
peptide antigen transport (GO:0046968)	3	0	.15	-	 < 0.01	8.58E-01
nucleoside monophosphate catabolic process (GO:0009125)	6	0	.31	-	 < 0.01	7.36E-01
3'-phosphoadenosine 5'-phosphosulfate transport (GO:0046963)	2	0	.10	-	 < 0.01	9.03E-01
deoxyribonucleoside metabolic process (GO:0009120)	8	0	.41	-	 < 0.01	6.65E-01
sensitization (GO:0046960)	2	0	.10	-	 < 0.01	9.03E-01
response to caffeine (GO:0031000)	17	0	.87	-	 < 0.01	4.19E-01
habituation (GO:0046959)	5	0	.26	-	 < 0.01	7.75E-01
R-loop disassembly (GO:0062176)	4	0	.20	-	 < 0.01	8.15E-01
nonassociative learning (GO:0046958)	7	0	.36	-	 < 0.01	6.99E-01
xanthine catabolic process (GO:0009115)	2	0	.10	-	 < 0.01	9.03E-01
purine nucleobase biosynthetic process (GO:0009113)	9	0	.46	-	 < 0.01	6.31E-01
brexanolone metabolic process (GO:0062173)	1	0	.05	-	 < 0.01	9.50E-01
vitamin catabolic process (GO:0009111)	12	0	.61	-	 < 0.01	5.42E-01
ketone body catabolic process (GO:0046952)	4	0	.20	-	 < 0.01	8.15E-01
ketone body biosynthetic process (GO:0046951)	8	0	.41	-	 < 0.01	6.65E-01
cellular ketone body metabolic process (GO:0046950)	10	0	.51	-	 < 0.01	6.00E-01
behavioral response to starvation (GO:0042595)	2	0	.10	-	 < 0.01	9.03E-01
G protein-coupled receptor signaling pathway involved in heart process (GO:0086103)	7	0	.36	-	 < 0.01	6.99E-01
mitochondrial protein processing (GO:0034982)	11	0	.56	-	 < 0.01	5.70E-01
regulation of chromatin-mediated maintenance of transcription (GO:1904499)	1	0	.05	-	 < 0.01	9.50E-01
lipoate biosynthetic process (GO:0009107)	1	0	.05	-	 < 0.01	9.50E-01
lipoate metabolic process (GO:0009106)	1	0	.05	-	 < 0.01	9.50E-01
hydroxylysine biosynthetic process (GO:0046947)	2	0	.10	-	 < 0.01	9.03E-01
hydroxylysine metabolic process (GO:0046946)	2	0	.10	-	 < 0.01	9.03E-01
lipopolysaccharide catabolic process (GO:0009104)	1	0	.05	-	 < 0.01	9.50E-01
protein localization to ciliary transition zone (GO:1904491)	8	0	.41	-	 < 0.01	6.65E-01
vascular endothelial cell response to fluid shear stress (GO:0097699)	1	0	.05	-	 < 0.01	9.50E-01
telomere maintenance via base-excision repair (GO:0097698)	1	0	.05	-	 < 0.01	9.50E-01
establishment of protein-containing complex localization to telomere (GO:0097695)	2	0	.10	-	 < 0.01	9.03E-01
establishment of RNA localization to telomere (GO:0097694)	2	0	.10	-	 < 0.01	9.03E-01
histone H3-R26 methylation (GO:0034972)	1	0	.05	-	 < 0.01	9.50E-01
histone H3-R17 methylation (GO:0034971)	1	0	.05	-	 < 0.01	9.50E-01
histone H3-R2 methylation (GO:0034970)	1	0	.05	-	 < 0.01	9.50E-01
response to 17alpha-ethynylestradiol (GO:1904486)	3	0	.15	-	 < 0.01	8.58E-01
cellular response to tetrahydrofolate (GO:1904482)	1	0	.05	-	 < 0.01	9.50E-01
response to tetrahydrofolate (GO:1904481)	1	0	.05	-	 < 0.01	9.50E-01
glutamate receptor clustering (GO:0097688)	4	0	.20	-	 < 0.01	8.15E-01
retinal metabolic process (GO:0042574)	13	0	.66	-	 < 0.01	5.15E-01
double-strand break repair via alternative nonhomologous end joining (GO:0097681)	3	0	.15	-	 < 0.01	8.58E-01
double-strand break repair via classical nonhomologous end joining (GO:0097680)	6	0	.31	-	 < 0.01	7.36E-01
box C/D snoRNA processing (GO:0034963)	2	0	.10	-	 < 0.01	9.03E-01
negative regulation of transport across blood-brain barrier (GO:0150202)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of transport across blood-brain barrier (GO:0150201)	1	0	.05	-	 < 0.01	9.50E-01
regulation of transport across blood-brain barrier (GO:0150200)	1	0	.05	-	 < 0.01	9.50E-01
detection of stimulus involved in sensory perception of pain (GO:0062149)	25	0	1.28	-	 < 0.01	2.79E-01
negative regulation of intestinal absorption (GO:1904479)	3	0	.15	-	 < 0.01	8.58E-01
negative regulation of neurotransmitter secretion (GO:0046929)	11	0	.56	-	 < 0.01	5.70E-01
positive regulation of Ras GTPase binding (GO:1904477)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of Ras GTPase binding (GO:1904476)	1	0	.05	-	 < 0.01	9.50E-01
regulation of Ras GTPase binding (GO:1904475)	4	0	.20	-	 < 0.01	8.15E-01
positive regulation of endothelin production (GO:1904472)	2	0	.10	-	 < 0.01	9.03E-01
regulation of endothelin production (GO:1904470)	2	0	.10	-	 < 0.01	9.03E-01
endothelin maturation (GO:0034959)	1	0	.05	-	 < 0.01	9.50E-01
pteridine-containing compound catabolic process (GO:0042560)	3	0	.15	-	 < 0.01	8.58E-01
neutrophil chemotaxis (GO:0030593)	73	0	3.73	-	 < 0.01	2.38E-02
DNA ADP-ribosylation (GO:0030592)	3	0	.15	-	 < 0.01	8.58E-01
positive regulation of matrix metallopeptidase secretion (GO:1904466)	3	0	.15	-	 < 0.01	8.58E-01
negative regulation of matrix metallopeptidase secretion (GO:1904465)	2	0	.10	-	 < 0.01	9.03E-01
regulation of matrix metallopeptidase secretion (GO:1904464)	6	0	.31	-	 < 0.01	7.36E-01
superoxide anion generation (GO:0042554)	14	0	.72	-	 < 0.01	4.89E-01
symbiont intracellular protein transport in host (GO:0030581)	2	0	.10	-	 < 0.01	9.03E-01
positive regulation of neuronal action potential (GO:1904457)	1	0	.05	-	 < 0.01	9.50E-01
fatty acid primary amide metabolic process (GO:0062126)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of neuronal action potential (GO:1904456)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of aspartate secretion (GO:1904450)	2	0	.10	-	 < 0.01	9.03E-01
tetrahydrofolylpolyglutamate biosynthetic process (GO:0046901)	1	0	.05	-	 < 0.01	9.50E-01
negative regulation of plasma cell differentiation (GO:1900099)	1	0	.05	-	 < 0.01	9.50E-01
regulation of plasma cell differentiation (GO:1900098)	4	0	.20	-	 < 0.01	8.15E-01
tetrahydrofolylpolyglutamate metabolic process (GO:0046900)	2	0	.10	-	 < 0.01	9.03E-01
regulation of dosage compensation by inactivation of X chromosome (GO:1900095)	1	0	.05	-	 < 0.01	9.50E-01
cell wall biogenesis (GO:0042546)	1	0	.05	-	 < 0.01	9.50E-01
regulation of transcription from RNA polymerase II promoter involved in determination of left/right symmetry (GO:1900094)	3	0	.15	-	 < 0.01	8.58E-01
protein N-linked glycosylation via arginine (GO:0042543)	1	0	.05	-	 < 0.01	9.50E-01
hemoglobin biosynthetic process (GO:0042541)	6	0	.31	-	 < 0.01	7.36E-01
collagen catabolic process (GO:0030574)	41	0	2.09	-	 < 0.01	1.23E-01
bile acid catabolic process (GO:0030573)	2	0	.10	-	 < 0.01	9.03E-01
regulation of translational initiation by eIF2 alpha phosphorylation (GO:0010998)	4	0	.20	-	 < 0.01	8.15E-01
regulation of aspartate secretion (GO:1904448)	2	0	.10	-	 < 0.01	9.03E-01
folate import across plasma membrane (GO:1904447)	5	0	.26	-	 < 0.01	7.75E-01
response to auditory stimulus (GO:0010996)	23	0	1.17	-	 < 0.01	3.09E-01
free ubiquitin chain polymerization (GO:0010994)	5	0	.26	-	 < 0.01	7.75E-01
fatty acid primary amide biosynthetic process (GO:0062112)	1	0	.05	-	 < 0.01	9.50E-01
ubiquitin recycling (GO:0010992)	8	0	.41	-	 < 0.01	6.65E-01
negative regulation of thyroid gland epithelial cell proliferation (GO:1904442)	1	0	.05	-	 < 0.01	9.50E-01
zinc ion import into organelle (GO:0062111)	1	0	.05	-	 < 0.01	9.50E-01
regulation of thyroid gland epithelial cell proliferation (GO:1904441)	1	0	.05	-	 < 0.01	9.50E-01
positive regulation of iron ion import across plasma membrane (GO:1904440)	2	0	.10	-	 < 0.01	9.03E-01
amylin receptor signaling pathway (GO:0097647)	7	0	.36	-	 < 0.01	6.99E-01
hypotonic salinity response (GO:0042539)	2	0	.10	-	 < 0.01	9.03E-01
calcitonin family receptor signaling pathway (GO:0097646)	8	0	.41	-	 < 0.01	6.65E-01
hyperosmotic salinity response (GO:0042538)	7	0	.36	-	 < 0.01	6.99E-01
positive regulation of peptidyl-tyrosine autophosphorylation (GO:1900086)	5	0	.26	-	 < 0.01	7.75E-01
