




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4437524 Released 2021-01-01
Analyzed List:	upload_1 (Mus musculus)
Reference List:	mouse_bg.txt (Mus musculus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	mouse_bg.txt - REFLIST (18060)	upload_1 (421)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
L-histidine import across plasma membrane (GO:1903810)	1	0	.02	-	 < 0.01	9.77E-01
ectopic germ cell programmed cell death (GO:0035234)	9	0	.21	-	 < 0.01	8.11E-01
glycine import across plasma membrane (GO:1903804)	2	0	.05	-	 < 0.01	9.54E-01
L-glutamine import across plasma membrane (GO:1903803)	1	0	.02	-	 < 0.01	9.77E-01
L-leucine import across plasma membrane (GO:1903801)	3	0	.07	-	 < 0.01	9.32E-01
positive regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903800)	12	0	.28	-	 < 0.01	7.56E-01
positive regulation of glutamate-cysteine ligase activity (GO:0035229)	1	0	.02	-	 < 0.01	9.77E-01
regulation of glutamate-cysteine ligase activity (GO:0035227)	1	0	.02	-	 < 0.01	9.77E-01
neuron-glial cell signaling (GO:0150099)	5	0	.12	-	 < 0.01	8.90E-01
glial cell-neuron signaling (GO:0150098)	4	0	.09	-	 < 0.01	9.11E-01
amyloid-beta clearance by transcytosis (GO:0150093)	7	0	.16	-	 < 0.01	8.49E-01
cell competition in a multicellular organism (GO:0035212)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of neuroinflammatory response (GO:0150078)	8	0	.19	-	 < 0.01	8.30E-01
neuroinflammatory response (GO:0150076)	8	0	.19	-	 < 0.01	8.30E-01
positive regulation of protein-glutamine gamma-glutamyltransferase activity (GO:0150074)	1	0	.02	-	 < 0.01	9.77E-01
regulation of protein-glutamine gamma-glutamyltransferase activity (GO:0150073)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of arginase activity (GO:0150072)	1	0	.02	-	 < 0.01	9.77E-01
regulation of arginase activity (GO:0150070)	1	0	.02	-	 < 0.01	9.77E-01
transport of virus (GO:0046794)	8	0	.19	-	 < 0.01	8.30E-01
negative regulation of deacetylase activity (GO:0150066)	2	0	.05	-	 < 0.01	9.54E-01
regulation of deacetylase activity (GO:0150065)	11	0	.26	-	 < 0.01	7.74E-01
vertebrate eye-specific patterning (GO:0150064)	3	0	.07	-	 < 0.01	9.32E-01
complement-mediated synapse pruning (GO:0150062)	4	0	.09	-	 < 0.01	9.11E-01
viral replication complex formation and maintenance (GO:0046786)	1	0	.02	-	 < 0.01	9.77E-01
microtubule polymerization (GO:0046785)	33	0	.77	-	 < 0.01	4.63E-01
viral mRNA export from host cell nucleus (GO:0046784)	7	0	.16	-	 < 0.01	8.49E-01
regulation of viral transcription (GO:0046782)	21	0	.49	-	 < 0.01	6.13E-01
negative regulation of protein localization to lysosome (GO:0150033)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of protein localization to lysosome (GO:0150032)	1	0	.02	-	 < 0.01	9.77E-01
regulation of protein localization to lysosome (GO:0150031)	2	0	.05	-	 < 0.01	9.54E-01
viral budding (GO:0046755)	14	0	.33	-	 < 0.01	7.21E-01
phosphagen biosynthetic process (GO:0042396)	4	0	.09	-	 < 0.01	9.11E-01
oxidised low-density lipoprotein particle clearance (GO:0150024)	1	0	.02	-	 < 0.01	9.77E-01
basal dendrite arborization (GO:0150020)	3	0	.07	-	 < 0.01	9.32E-01
regulation of transcytosis (GO:1904298)	2	0	.05	-	 < 0.01	9.54E-01
positive regulation of ERAD pathway (GO:1904294)	13	0	.30	-	 < 0.01	7.38E-01
viral capsid secondary envelopment (GO:0046745)	1	0	.02	-	 < 0.01	9.77E-01
negative regulation of ERAD pathway (GO:1904293)	6	0	.14	-	 < 0.01	8.69E-01
regulation of ERAD pathway (GO:1904292)	19	0	.44	-	 < 0.01	6.42E-01
protein localization to non-motile cilium (GO:0097499)	12	0	.28	-	 < 0.01	7.56E-01
endothelial tube lumen extension (GO:0097498)	2	0	.05	-	 < 0.01	9.54E-01
negative regulation of mitotic DNA damage checkpoint (GO:1904290)	1	0	.02	-	 < 0.01	9.77E-01
blood vessel endothelial cell delamination (GO:0097497)	1	0	.02	-	 < 0.01	9.77E-01
regulation of vesicle size (GO:0097494)	10	0	.23	-	 < 0.01	7.92E-01
response to histamine (GO:0034776)	12	0	.28	-	 < 0.01	7.56E-01
sympathetic neuron projection guidance (GO:0097491)	4	0	.09	-	 < 0.01	9.11E-01
histone H4-K20 trimethylation (GO:0034773)	5	0	.12	-	 < 0.01	8.90E-01
sympathetic neuron projection extension (GO:0097490)	4	0	.09	-	 < 0.01	9.11E-01
histone H4-K20 methylation (GO:0034770)	7	0	.16	-	 < 0.01	8.49E-01
basal dendrite morphogenesis (GO:0150019)	3	0	.07	-	 < 0.01	9.32E-01
basal dendrite development (GO:0150018)	3	0	.07	-	 < 0.01	9.32E-01
regulation of mitotic DNA damage checkpoint (GO:1904289)	1	0	.02	-	 < 0.01	9.77E-01
negative regulation of antigen processing and presentation of endogenous peptide antigen via MHC class I (GO:1904283)	1	0	.02	-	 < 0.01	9.77E-01
regulation of antigen processing and presentation of endogenous peptide antigen via MHC class I (GO:1904282)	1	0	.02	-	 < 0.01	9.77E-01
basement membrane disassembly (GO:0034769)	3	0	.07	-	 < 0.01	9.32E-01
vitamin K catabolic process (GO:0042377)	3	0	.07	-	 < 0.01	9.32E-01
phylloquinone catabolic process (GO:0042376)	4	0	.09	-	 < 0.01	9.11E-01
phylloquinone metabolic process (GO:0042374)	4	0	.09	-	 < 0.01	9.11E-01
vitamin K metabolic process (GO:0042373)	6	0	.14	-	 < 0.01	8.69E-01
vitamin K biosynthetic process (GO:0042371)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of iron ion transmembrane transport (GO:0034761)	2	0	.05	-	 < 0.01	9.54E-01
negative regulation of iron ion transmembrane transport (GO:0034760)	5	0	.12	-	 < 0.01	8.90E-01
clathrin-dependent synaptic vesicle endocytosis (GO:0150007)	3	0	.07	-	 < 0.01	9.32E-01
regulation of spontaneous synaptic transmission (GO:0150003)	6	0	.14	-	 < 0.01	8.69E-01
positive regulation by virus of viral protein levels in host cell (GO:0046726)	3	0	.07	-	 < 0.01	9.32E-01
tricellular tight junction assembly (GO:1904274)	1	0	.02	-	 < 0.01	9.77E-01
negative regulation by virus of viral protein levels in host cell (GO:0046725)	2	0	.05	-	 < 0.01	9.54E-01
oxalic acid secretion (GO:0046724)	2	0	.05	-	 < 0.01	9.54E-01
L-alanine import across plasma membrane (GO:1904273)	3	0	.07	-	 < 0.01	9.32E-01
lactic acid secretion (GO:0046722)	1	0	.02	-	 < 0.01	9.77E-01
pyroptosome complex assembly (GO:1904270)	1	0	.02	-	 < 0.01	9.77E-01
lateral motor column neuron migration (GO:0097477)	3	0	.07	-	 < 0.01	9.32E-01
citric acid secretion (GO:0046720)	1	0	.02	-	 < 0.01	9.77E-01
vitamin D catabolic process (GO:0042369)	3	0	.07	-	 < 0.01	9.32E-01
spinal cord motor neuron migration (GO:0097476)	4	0	.09	-	 < 0.01	9.11E-01
regulation of iron ion transmembrane transport (GO:0034759)	7	0	.16	-	 < 0.01	8.49E-01
vitamin D biosynthetic process (GO:0042368)	3	0	.07	-	 < 0.01	9.32E-01
motor neuron migration (GO:0097475)	6	0	.14	-	 < 0.01	8.69E-01
positive regulation of iron ion transport (GO:0034758)	2	0	.05	-	 < 0.01	9.54E-01
retinal cone cell apoptotic process (GO:0097474)	2	0	.05	-	 < 0.01	9.54E-01
negative regulation of iron ion transport (GO:0034757)	5	0	.12	-	 < 0.01	8.90E-01
cobalamin catabolic process (GO:0042366)	1	0	.02	-	 < 0.01	9.77E-01
regulation of iron ion transport (GO:0034756)	9	0	.21	-	 < 0.01	8.11E-01
retinal rod cell apoptotic process (GO:0097473)	1	0	.02	-	 < 0.01	9.77E-01
water-soluble vitamin catabolic process (GO:0042365)	2	0	.05	-	 < 0.01	9.54E-01
water-soluble vitamin biosynthetic process (GO:0042364)	7	0	.16	-	 < 0.01	8.49E-01
iron ion transmembrane transport (GO:0034755)	11	0	.26	-	 < 0.01	7.74E-01
fat-soluble vitamin catabolic process (GO:0042363)	11	0	.26	-	 < 0.01	7.74E-01
fat-soluble vitamin biosynthetic process (GO:0042362)	5	0	.12	-	 < 0.01	8.90E-01
menaquinone catabolic process (GO:0042361)	3	0	.07	-	 < 0.01	9.32E-01
vitamin E metabolic process (GO:0042360)	2	0	.05	-	 < 0.01	9.54E-01
regulation by virus of viral protein levels in host cell (GO:0046719)	5	0	.12	-	 < 0.01	8.90E-01
positive regulation of Schwann cell chemotaxis (GO:1904268)	1	0	.02	-	 < 0.01	9.77E-01
regulation of Schwann cell chemotaxis (GO:1904266)	1	0	.02	-	 < 0.01	9.77E-01
muscle cell cellular homeostasis (GO:0046716)	21	0	.49	-	 < 0.01	6.13E-01
positive regulation of TORC1 signaling (GO:1904263)	17	0	.40	-	 < 0.01	6.73E-01
borate transport (GO:0046713)	1	0	.02	-	 < 0.01	9.77E-01
GDP catabolic process (GO:0046712)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of basement membrane assembly involved in embryonic body morphogenesis (GO:1904261)	5	0	.12	-	 < 0.01	8.90E-01
GDP biosynthetic process (GO:0046711)	1	0	.02	-	 < 0.01	9.77E-01
GDP metabolic process (GO:0046710)	2	0	.05	-	 < 0.01	9.54E-01
ubiquitin-dependent glycoprotein ERAD pathway (GO:0097466)	6	0	.14	-	 < 0.01	8.69E-01
thiamine diphosphate metabolic process (GO:0042357)	2	0	.05	-	 < 0.01	9.54E-01
'de novo' GDP-L-fucose biosynthetic process (GO:0042351)	2	0	.05	-	 < 0.01	9.54E-01
GDP-L-fucose biosynthetic process (GO:0042350)	2	0	.05	-	 < 0.01	9.54E-01
fructosamine metabolic process (GO:0030389)	2	0	.05	-	 < 0.01	9.54E-01
sperm mitochondrion organization (GO:0030382)	4	0	.09	-	 < 0.01	9.11E-01
regulation of basement membrane assembly involved in embryonic body morphogenesis (GO:1904259)	5	0	.12	-	 < 0.01	8.90E-01
IDP catabolic process (GO:0046709)	2	0	.05	-	 < 0.01	9.54E-01
positive regulation of iron ion transmembrane transporter activity (GO:1904256)	1	0	.02	-	 < 0.01	9.77E-01
IDP metabolic process (GO:0046707)	2	0	.05	-	 < 0.01	9.54E-01
CDP biosynthetic process (GO:0046705)	1	0	.02	-	 < 0.01	9.77E-01
regulation of iron ion transmembrane transporter activity (GO:1904254)	1	0	.02	-	 < 0.01	9.77E-01
CDP metabolic process (GO:0046704)	1	0	.02	-	 < 0.01	9.77E-01
negative regulation of bile acid metabolic process (GO:1904252)	2	0	.05	-	 < 0.01	9.54E-01
regulation of multivesicular body size involved in endosome transport (GO:0010797)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of polynucleotide adenylyltransferase activity (GO:1904247)	1	0	.02	-	 < 0.01	9.77E-01
regulation of multivesicular body size (GO:0010796)	3	0	.07	-	 < 0.01	9.32E-01
negative regulation of polynucleotide adenylyltransferase activity (GO:1904246)	1	0	.02	-	 < 0.01	9.77E-01
regulation of ubiquinone biosynthetic process (GO:0010795)	2	0	.05	-	 < 0.01	9.54E-01
regulation of polynucleotide adenylyltransferase activity (GO:1904245)	2	0	.05	-	 < 0.01	9.54E-01
positive regulation of pancreatic trypsinogen secretion (GO:1904244)	1	0	.02	-	 < 0.01	9.77E-01
DNA double-strand break processing involved in repair via single-strand annealing (GO:0010792)	4	0	.09	-	 < 0.01	9.11E-01
monoterpenoid metabolic process (GO:0016098)	2	0	.05	-	 < 0.01	9.54E-01
regulation of pancreatic trypsinogen secretion (GO:1904242)	1	0	.02	-	 < 0.01	9.77E-01
negative regulation of VCP-NPL4-UFD1 AAA ATPase complex assembly (GO:1904240)	1	0	.02	-	 < 0.01	9.77E-01
polyprenol catabolic process (GO:0016095)	3	0	.07	-	 < 0.01	9.32E-01
keratan sulfate metabolic process (GO:0042339)	2	0	.05	-	 < 0.01	9.54E-01
polyprenol biosynthetic process (GO:0016094)	3	0	.07	-	 < 0.01	9.32E-01
histone H3-K79 methylation (GO:0034729)	1	0	.02	-	 < 0.01	9.77E-01
polyprenol metabolic process (GO:0016093)	8	0	.19	-	 < 0.01	8.30E-01
piecemeal microautophagy of the nucleus (GO:0034727)	5	0	.12	-	 < 0.01	8.90E-01
cuticle development (GO:0042335)	2	0	.05	-	 < 0.01	9.54E-01
DNA replication-independent nucleosome organization (GO:0034724)	15	0	.35	-	 < 0.01	7.05E-01
DNA replication-dependent nucleosome organization (GO:0034723)	8	0	.19	-	 < 0.01	8.30E-01
meiotic sister chromatid cohesion involved in meiosis I (GO:0010789)	1	0	.02	-	 < 0.01	9.77E-01
regulation of VCP-NPL4-UFD1 AAA ATPase complex assembly (GO:1904239)	1	0	.02	-	 < 0.01	9.77E-01
pericyte cell differentiation (GO:1904238)	6	0	.14	-	 < 0.01	8.69E-01
positive regulation of substrate-dependent cell migration, cell attachment to substrate (GO:1904237)	3	0	.07	-	 < 0.01	9.32E-01
regulation of substrate-dependent cell migration, cell attachment to substrate (GO:1904235)	3	0	.07	-	 < 0.01	9.32E-01
positive regulation of aconitate hydratase activity (GO:1904234)	3	0	.07	-	 < 0.01	9.32E-01
regulation of aconitate hydratase activity (GO:1904232)	3	0	.07	-	 < 0.01	9.32E-01
positive regulation of succinate dehydrogenase activity (GO:1904231)	2	0	.05	-	 < 0.01	9.54E-01
synaptic vesicle priming (GO:0016082)	20	0	.47	-	 < 0.01	6.27E-01
synaptic vesicle docking (GO:0016081)	12	0	.28	-	 < 0.01	7.56E-01
synaptic vesicle targeting (GO:0016080)	4	0	.09	-	 < 0.01	9.11E-01
negative regulation of circadian sleep/wake cycle, non-REM sleep (GO:0042323)	2	0	.05	-	 < 0.01	9.54E-01
negative regulation of circadian sleep/wake cycle, REM sleep (GO:0042322)	3	0	.07	-	 < 0.01	9.32E-01
negative regulation of circadian sleep/wake cycle, sleep (GO:0042321)	7	0	.16	-	 < 0.01	8.49E-01
regulation of circadian sleep/wake cycle, REM sleep (GO:0042320)	7	0	.16	-	 < 0.01	8.49E-01
regulation of succinate dehydrogenase activity (GO:1904229)	3	0	.07	-	 < 0.01	9.32E-01
negative regulation of glycogen synthase activity, transferring glucose-1-phosphate (GO:1904227)	1	0	.02	-	 < 0.01	9.77E-01
regulation of glycogen synthase activity, transferring glucose-1-phosphate (GO:1904226)	1	0	.02	-	 < 0.01	9.77E-01
synaptic vesicle exocytosis (GO:0016079)	55	0	1.28	-	 < 0.01	2.77E-01
tRNA catabolic process (GO:0016078)	8	0	.19	-	 < 0.01	8.30E-01
sno(s)RNA catabolic process (GO:0016077)	2	0	.05	-	 < 0.01	9.54E-01
negative regulation of serine C-palmitoyltransferase activity (GO:1904221)	1	0	.02	-	 < 0.01	9.77E-01
protein maturation by iron-sulfur cluster transfer (GO:0097428)	9	0	.21	-	 < 0.01	8.11E-01
snRNA catabolic process (GO:0016076)	2	0	.05	-	 < 0.01	9.54E-01
rRNA catabolic process (GO:0016075)	16	0	.37	-	 < 0.01	6.89E-01
sno(s)RNA metabolic process (GO:0016074)	13	0	.30	-	 < 0.01	7.38E-01
snRNA metabolic process (GO:0016073)	31	0	.72	-	 < 0.01	4.85E-01
penicillin metabolic process (GO:0042316)	1	0	.02	-	 < 0.01	9.77E-01
liver regeneration (GO:0097421)	13	0	.30	-	 < 0.01	7.38E-01
protein kinase C deactivation (GO:0042313)	1	0	.02	-	 < 0.01	9.77E-01
regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage (GO:0010767)	1	0	.02	-	 < 0.01	9.77E-01
negative regulation of sodium ion transport (GO:0010766)	18	0	.42	-	 < 0.01	6.57E-01
negative regulation of fibroblast migration (GO:0010764)	9	0	.21	-	 < 0.01	8.11E-01
negative regulation of iodide transmembrane transport (GO:1904213)	1	0	.02	-	 < 0.01	9.77E-01
regulation of iodide transmembrane transport (GO:1904212)	1	0	.02	-	 < 0.01	9.77E-01
membrane protein proteolysis involved in retrograde protein transport, ER to cytosol (GO:1904211)	1	0	.02	-	 < 0.01	9.77E-01
negative regulation of macrophage chemotaxis (GO:0010760)	7	0	.16	-	 < 0.01	8.49E-01
homoiothermy (GO:0042309)	2	0	.05	-	 < 0.01	9.54E-01
negative regulation of protein import into nucleus (GO:0042308)	15	0	.35	-	 < 0.01	7.05E-01
immunoglobulin mediated immune response (GO:0016064)	78	0	1.82	-	 < 0.01	1.62E-01
adaptation of rhodopsin mediated signaling (GO:0016062)	2	0	.05	-	 < 0.01	9.54E-01
hypoxia-inducible factor-1alpha signaling pathway (GO:0097411)	4	0	.09	-	 < 0.01	9.11E-01
DNA damage response, signal transduction by p53 class mediator (GO:0030330)	31	0	.72	-	 < 0.01	4.85E-01
positive regulation of plasminogen activation (GO:0010756)	5	0	.12	-	 < 0.01	8.90E-01
positive regulation of skeletal muscle hypertrophy (GO:1904206)	1	0	.02	-	 < 0.01	9.77E-01
negative regulation of skeletal muscle hypertrophy (GO:1904205)	1	0	.02	-	 < 0.01	9.77E-01
regulation of skeletal muscle hypertrophy (GO:1904204)	2	0	.05	-	 < 0.01	9.54E-01
positive regulation of cGMP-mediated signaling (GO:0010753)	9	0	.21	-	 < 0.01	8.11E-01
negative regulation of iodide transport (GO:1904202)	1	0	.02	-	 < 0.01	9.77E-01
regulation of iodide transport (GO:1904201)	1	0	.02	-	 < 0.01	9.77E-01
rhodopsin mediated signaling pathway (GO:0016056)	6	0	.14	-	 < 0.01	8.69E-01
positive regulation of nitric oxide mediated signal transduction (GO:0010750)	4	0	.09	-	 < 0.01	9.11E-01
iodide transmembrane transport (GO:1904200)	1	0	.02	-	 < 0.01	9.77E-01
cellular response to raffinose (GO:0097403)	1	0	.02	-	 < 0.01	9.77E-01
neuroblast migration (GO:0097402)	3	0	.07	-	 < 0.01	9.32E-01
synaptic vesicle lumen acidification (GO:0097401)	2	0	.05	-	 < 0.01	9.54E-01
interleukin-17-mediated signaling pathway (GO:0097400)	4	0	.09	-	 < 0.01	9.11E-01
prenylcysteine metabolic process (GO:0030329)	2	0	.05	-	 < 0.01	9.54E-01
prenylcysteine catabolic process (GO:0030328)	2	0	.05	-	 < 0.01	9.54E-01
prenylated protein catabolic process (GO:0030327)	3	0	.07	-	 < 0.01	9.32E-01
transepithelial chloride transport (GO:0030321)	6	0	.14	-	 < 0.01	8.69E-01
cellular monovalent inorganic anion homeostasis (GO:0030320)	13	0	.30	-	 < 0.01	7.38E-01
positive regulation of long-chain fatty acid import across plasma membrane (GO:0010747)	3	0	.07	-	 < 0.01	9.32E-01
negative regulation of macrophage derived foam cell differentiation (GO:0010745)	10	0	.23	-	 < 0.01	7.92E-01
positive regulation of macrophage derived foam cell differentiation (GO:0010744)	13	0	.30	-	 < 0.01	7.38E-01
regulation of macrophage derived foam cell differentiation (GO:0010743)	23	0	.54	-	 < 0.01	5.85E-01
macrophage derived foam cell differentiation (GO:0010742)	5	0	.12	-	 < 0.01	8.90E-01
detection of fungus (GO:0016046)	1	0	.02	-	 < 0.01	9.77E-01
osteoclast differentiation (GO:0030316)	45	0	1.05	-	 < 0.01	3.50E-01
positive regulation of protein kinase A signaling (GO:0010739)	10	0	.23	-	 < 0.01	7.92E-01
protein kinase A signaling (GO:0010737)	12	0	.28	-	 < 0.01	7.56E-01
positive regulation of transcription via serum response element binding (GO:0010735)	3	0	.07	-	 < 0.01	9.32E-01
negative regulation of protein glutathionylation (GO:0010734)	1	0	.02	-	 < 0.01	9.77E-01
regulation of protein glutathionylation (GO:0010732)	1	0	.02	-	 < 0.01	9.77E-01
cellular response to phosphate starvation (GO:0016036)	2	0	.05	-	 < 0.01	9.54E-01
negative regulation of hydrogen peroxide biosynthetic process (GO:0010730)	4	0	.09	-	 < 0.01	9.11E-01
memory T cell proliferation (GO:0061485)	1	0	.02	-	 < 0.01	9.77E-01
tRNA import into mitochondrion (GO:0016031)	2	0	.05	-	 < 0.01	9.54E-01
response to TNF agonist (GO:0061481)	1	0	.02	-	 < 0.01	9.77E-01
regulation of intestinal cholesterol absorption (GO:0030300)	11	0	.26	-	 < 0.01	7.74E-01
positive regulation of hydrogen peroxide biosynthetic process (GO:0010729)	4	0	.09	-	 < 0.01	9.11E-01
regulation of hydrogen peroxide biosynthetic process (GO:0010728)	8	0	.19	-	 < 0.01	8.30E-01
negative regulation of hydrogen peroxide metabolic process (GO:0010727)	7	0	.16	-	 < 0.01	8.49E-01
positive regulation of hydrogen peroxide metabolic process (GO:0010726)	5	0	.12	-	 < 0.01	8.90E-01
regulation of primitive erythrocyte differentiation (GO:0010725)	3	0	.07	-	 < 0.01	9.32E-01
regulation of definitive erythrocyte differentiation (GO:0010724)	4	0	.09	-	 < 0.01	9.11E-01
regulation of ferrochelatase activity (GO:0010722)	1	0	.02	-	 < 0.01	9.77E-01
response to anticoagulant (GO:0061476)	1	0	.02	-	 < 0.01	9.77E-01
CDP-diacylglycerol biosynthetic process (GO:0016024)	2	0	.05	-	 < 0.01	9.54E-01
T follicular helper cell differentiation (GO:0061470)	6	0	.14	-	 < 0.01	8.69E-01
negative regulation of extracellular matrix disassembly (GO:0010716)	2	0	.05	-	 < 0.01	9.54E-01
regulation of extracellular matrix disassembly (GO:0010715)	14	0	.33	-	 < 0.01	7.21E-01
positive regulation of collagen metabolic process (GO:0010714)	32	0	.75	-	 < 0.01	4.74E-01
negative regulation of collagen metabolic process (GO:0010713)	17	0	.40	-	 < 0.01	6.73E-01
negative regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903799)	15	0	.35	-	 < 0.01	7.05E-01
regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903798)	25	0	.58	-	 < 0.01	5.58E-01
regulation of collagen catabolic process (GO:0010710)	3	0	.07	-	 < 0.01	9.32E-01
positive regulation of inorganic anion transmembrane transport (GO:1903797)	4	0	.09	-	 < 0.01	9.11E-01
negative regulation of inorganic anion transmembrane transport (GO:1903796)	2	0	.05	-	 < 0.01	9.54E-01
regulation of inorganic anion transmembrane transport (GO:1903795)	8	0	.19	-	 < 0.01	8.30E-01
guanine nucleotide transmembrane transport (GO:1903790)	1	0	.02	-	 < 0.01	9.77E-01
glycolysis from storage polysaccharide through glucose-1-phosphate (GO:0093001)	1	0	.02	-	 < 0.01	9.77E-01
globoside biosynthetic process via lactosylceramide (GO:0010707)	1	0	.02	-	 < 0.01	9.77E-01
ganglioside biosynthetic process via lactosylceramide (GO:0010706)	5	0	.12	-	 < 0.01	8.90E-01
meiotic DNA double-strand break processing involved in reciprocal meiotic recombination (GO:0010705)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of norepinephrine secretion (GO:0010701)	6	0	.14	-	 < 0.01	8.69E-01
positive regulation of glutathione biosynthetic process (GO:1903788)	2	0	.05	-	 < 0.01	9.54E-01
regulation of glutathione biosynthetic process (GO:1903786)	3	0	.07	-	 < 0.01	9.32E-01
retrotrapezoid nucleus neuron differentiation (GO:0061452)	1	0	.02	-	 < 0.01	9.77E-01
retrotrapezoid nucleus development (GO:0061451)	1	0	.02	-	 < 0.01	9.77E-01
trophoblast cell migration (GO:0061450)	1	0	.02	-	 < 0.01	9.77E-01
charged-tRNA amino acid modification (GO:0019988)	1	0	.02	-	 < 0.01	9.77E-01
translesion synthesis (GO:0019985)	14	0	.33	-	 < 0.01	7.21E-01
protein localization to vacuolar membrane (GO:1903778)	1	0	.02	-	 < 0.01	9.77E-01
endocardial cushion cell fate commitment (GO:0061445)	1	0	.02	-	 < 0.01	9.77E-01
regulation of DNA double-strand break processing (GO:1903775)	2	0	.05	-	 < 0.01	9.54E-01
endocardial cushion cell development (GO:0061444)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of viral budding via host ESCRT complex (GO:1903774)	3	0	.07	-	 < 0.01	9.32E-01
endocardial cushion cell differentiation (GO:0061443)	2	0	.05	-	 < 0.01	9.54E-01
regulation of viral budding via host ESCRT complex (GO:1903772)	4	0	.09	-	 < 0.01	9.11E-01
renal artery morphogenesis (GO:0061441)	1	0	.02	-	 < 0.01	9.77E-01
kidney vasculature development (GO:0061440)	18	0	.42	-	 < 0.01	6.57E-01
negative regulation of beta-galactosidase activity (GO:1903770)	1	0	.02	-	 < 0.01	9.77E-01
kidney vasculature morphogenesis (GO:0061439)	7	0	.16	-	 < 0.01	8.49E-01
renal system vasculature morphogenesis (GO:0061438)	7	0	.16	-	 < 0.01	8.49E-01
negative regulation of cell proliferation in bone marrow (GO:1903769)	1	0	.02	-	 < 0.01	9.77E-01
renal system vasculature development (GO:0061437)	18	0	.42	-	 < 0.01	6.57E-01
establishment of skin barrier (GO:0061436)	26	0	.61	-	 < 0.01	5.45E-01
positive regulation of potassium ion export across plasma membrane (GO:1903766)	3	0	.07	-	 < 0.01	9.32E-01
negative regulation of potassium ion export across plasma membrane (GO:1903765)	2	0	.05	-	 < 0.01	9.54E-01
regulation of potassium ion export across plasma membrane (GO:1903764)	6	0	.14	-	 < 0.01	8.69E-01
cellular response to caloric restriction (GO:0061433)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization (GO:1903762)	1	0	.02	-	 < 0.01	9.77E-01
regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization (GO:1903760)	2	0	.05	-	 < 0.01	9.54E-01
negative regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061428)	4	0	.09	-	 < 0.01	9.11E-01
positive regulation of SUMO transferase activity (GO:1903755)	1	0	.02	-	 < 0.01	9.77E-01
negative regulation of RIG-I signaling pathway (GO:0039536)	7	0	.16	-	 < 0.01	8.49E-01
regulation of RIG-I signaling pathway (GO:0039535)	15	0	.35	-	 < 0.01	7.05E-01
negative regulation of MDA-5 signaling pathway (GO:0039534)	3	0	.07	-	 < 0.01	9.32E-01
regulation of MDA-5 signaling pathway (GO:0039533)	5	0	.12	-	 < 0.01	8.90E-01
negative regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway (GO:0039532)	9	0	.21	-	 < 0.01	8.11E-01
regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway (GO:0039531)	17	0	.40	-	 < 0.01	6.73E-01
MDA-5 signaling pathway (GO:0039530)	1	0	.02	-	 < 0.01	9.77E-01
positive regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061419)	6	0	.14	-	 < 0.01	8.69E-01
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	13	0	.30	-	 < 0.01	7.38E-01
positive regulation of establishment of protein localization to mitochondrion (GO:1903749)	10	0	.23	-	 < 0.01	7.92E-01
positive regulation of anterograde synaptic vesicle transport (GO:1903744)	1	0	.02	-	 < 0.01	9.77E-01
negative regulation of anterograde synaptic vesicle transport (GO:1903743)	1	0	.02	-	 < 0.01	9.77E-01
regulation of anterograde synaptic vesicle transport (GO:1903742)	2	0	.05	-	 < 0.01	9.54E-01
modulation by virus of host apoptotic process (GO:0039526)	4	0	.09	-	 < 0.01	9.11E-01
suppression by virus of host autophagy (GO:0039521)	1	0	.02	-	 < 0.01	9.77E-01
induction by virus of host autophagy (GO:0039520)	2	0	.05	-	 < 0.01	9.54E-01
post-embryonic hemopoiesis (GO:0035166)	6	0	.14	-	 < 0.01	8.69E-01
embryonic hemopoiesis (GO:0035162)	28	0	.65	-	 < 0.01	5.20E-01
positive regulation of transcription from RNA polymerase II promoter in response to calcium ion (GO:0061400)	1	0	.02	-	 < 0.01	9.77E-01
