




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4437524 Released 2021-01-01
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	arabidopsis_bg.txt (Arabidopsis thaliana)
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	arabidopsis_bg.txt - REFLIST (14244)	upload_1 (1540)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
negative regulation of sphingolipid biosynthetic process (GO:0090155)	1	0	.11	-	 < 0.01	8.98E-01
regulation of pectin biosynthetic process (GO:1900030)	2	0	.22	-	 < 0.01	8.06E-01
double-strand break repair via break-induced replication (GO:0000727)	7	0	.76	-	 < 0.01	4.69E-01
aminoglycan catabolic process (GO:0006026)	5	0	.54	-	 < 0.01	5.82E-01
regulation of sphingolipid biosynthetic process (GO:0090153)	1	0	.11	-	 < 0.01	8.98E-01
glycosaminoglycan biosynthetic process (GO:0006024)	4	0	.43	-	 < 0.01	6.49E-01
aminoglycan biosynthetic process (GO:0006023)	4	0	.43	-	 < 0.01	6.49E-01
aminoglycan metabolic process (GO:0006022)	9	0	.97	-	 < 0.01	3.78E-01
telomere maintenance via recombination (GO:0000722)	3	0	.32	-	 < 0.01	7.23E-01
inositol biosynthetic process (GO:0006021)	5	0	.54	-	 < 0.01	5.82E-01
pyrimidine dimer repair by nucleotide-excision repair (GO:0000720)	1	0	.11	-	 < 0.01	8.98E-01
detoxification of nitrogen compound (GO:0051410)	5	0	.54	-	 < 0.01	5.82E-01
nucleotide-excision repair, DNA duplex unwinding (GO:0000717)	1	0	.11	-	 < 0.01	8.98E-01
nucleoid organization (GO:0090143)	3	0	.32	-	 < 0.01	7.23E-01
5-phosphoribose 1-diphosphate biosynthetic process (GO:0006015)	5	0	.54	-	 < 0.01	5.82E-01
D-ribose metabolic process (GO:0006014)	1	0	.11	-	 < 0.01	8.98E-01
UDP-glucose metabolic process (GO:0006011)	4	0	.43	-	 < 0.01	6.49E-01
meiotic mismatch repair (GO:0000710)	6	0	.65	-	 < 0.01	5.23E-01
negative regulation of cell fate specification (GO:0009996)	1	0	.11	-	 < 0.01	8.98E-01
cellular water homeostasis (GO:0009992)	2	0	.22	-	 < 0.01	8.06E-01
L-fucose biosynthetic process (GO:0006005)	1	0	.11	-	 < 0.01	8.98E-01
fucose metabolic process (GO:0006004)	3	0	.32	-	 < 0.01	7.23E-01
fructose 2,6-bisphosphate metabolic process (GO:0006003)	1	0	.11	-	 < 0.01	8.98E-01
cellular response to paraquat (GO:0072756)	1	0	.11	-	 < 0.01	8.98E-01
cellular response to benomyl (GO:0072755)	1	0	.11	-	 < 0.01	8.98E-01
cell-cell recognition (GO:0009988)	2	0	.22	-	 < 0.01	8.06E-01
regulation of anthocyanin catabolic process (GO:1900000)	1	0	.11	-	 < 0.01	8.98E-01
cell fate commitment involved in formation of primary germ layer (GO:0060795)	1	0	.11	-	 < 0.01	8.98E-01
C-5 methylation of cytosine (GO:0090116)	5	0	.54	-	 < 0.01	5.82E-01
COPII-coated vesicle budding (GO:0090114)	4	0	.43	-	 < 0.01	6.49E-01
anastral spindle assembly involved in male meiosis (GO:0009971)	1	0	.11	-	 < 0.01	8.98E-01
regulation of ER to Golgi vesicle-mediated transport by GTP hydrolysis (GO:0090113)	2	0	.22	-	 < 0.01	8.06E-01
COPII-coated vesicle cargo loading (GO:0090110)	4	0	.43	-	 < 0.01	6.49E-01
regulation of isoprenoid metabolic process (GO:0019747)	17	0	1.84	-	 < 0.01	1.59E-01
cellular response to calcium ion starvation (GO:0072732)	1	0	.11	-	 < 0.01	8.98E-01
xyloglucan biosynthetic process (GO:0009969)	18	0	1.95	-	 < 0.01	1.43E-01
negative regulation of flavonoid biosynthetic process (GO:0009964)	1	0	.11	-	 < 0.01	8.98E-01
positive regulation of flavonoid biosynthetic process (GO:0009963)	3	0	.32	-	 < 0.01	7.23E-01
response to 1-aminocyclopropane-1-carboxylic acid (GO:0009961)	3	0	.32	-	 < 0.01	7.23E-01
simple leaf morphogenesis (GO:0060776)	3	0	.32	-	 < 0.01	7.23E-01
auxin mediated signaling pathway involved in phyllotactic patterning (GO:0060774)	3	0	.32	-	 < 0.01	7.23E-01
leaf phyllotactic patterning (GO:0060772)	3	0	.32	-	 < 0.01	7.23E-01
phyllotactic patterning (GO:0060771)	3	0	.32	-	 < 0.01	7.23E-01
positive regulation of lipid catabolic process (GO:0050996)	2	0	.22	-	 < 0.01	8.06E-01
response to amitrole (GO:0072722)	1	0	.11	-	 < 0.01	8.98E-01
positive regulation of anion transmembrane transport (GO:1903961)	3	0	.32	-	 < 0.01	7.23E-01
negative regulation of anion transmembrane transport (GO:1903960)	3	0	.32	-	 < 0.01	7.23E-01
proximal/distal pattern formation (GO:0009954)	7	0	.76	-	 < 0.01	4.69E-01
detection of mechanical stimulus (GO:0050982)	2	0	.22	-	 < 0.01	8.06E-01
Mo-molybdopterin cofactor metabolic process (GO:0019720)	4	0	.43	-	 < 0.01	6.49E-01
protein K63-linked deubiquitination (GO:0070536)	2	0	.22	-	 < 0.01	8.06E-01
protein K63-linked ubiquitination (GO:0070534)	10	0	1.08	-	 < 0.01	3.39E-01
centrolateral axis specification (GO:0009947)	1	0	.11	-	 < 0.01	8.98E-01
cellular response to sorbitol (GO:0072709)	1	0	.11	-	 < 0.01	8.98E-01
response to sorbitol (GO:0072708)	2	0	.22	-	 < 0.01	8.06E-01
response to methyl methanesulfonate (GO:0072702)	1	0	.11	-	 < 0.01	8.98E-01
S-adenosylmethioninamine metabolic process (GO:0046499)	3	0	.32	-	 < 0.01	7.23E-01
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	1	0	.11	-	 < 0.01	8.98E-01
lipid A metabolic process (GO:0046493)	2	0	.22	-	 < 0.01	8.06E-01
positive regulation of heterochromatin organization (GO:0120263)	3	0	.32	-	 < 0.01	7.23E-01
regulation of heterochromatin organization (GO:0120261)	4	0	.43	-	 < 0.01	6.49E-01
ether lipid metabolic process (GO:0046485)	1	0	.11	-	 < 0.01	8.98E-01
cell plate formation involved in plant-type cell wall biogenesis (GO:0009920)	7	0	.76	-	 < 0.01	4.69E-01
anther wall tapetum development (GO:0048658)	9	0	.97	-	 < 0.01	3.78E-01
anther wall tapetum cell differentiation (GO:0048657)	3	0	.32	-	 < 0.01	7.23E-01
anther wall tapetum formation (GO:0048656)	3	0	.32	-	 < 0.01	7.23E-01
calcium ion import (GO:0070509)	9	0	.97	-	 < 0.01	3.78E-01
anther wall tapetum morphogenesis (GO:0048655)	4	0	.43	-	 < 0.01	6.49E-01
anther morphogenesis (GO:0048654)	4	0	.43	-	 < 0.01	6.49E-01
regulation of microtubule cytoskeleton organization (GO:0070507)	13	0	1.41	-	 < 0.01	2.45E-01
glycerophospholipid catabolic process (GO:0046475)	3	0	.32	-	 < 0.01	7.23E-01
phosphatidic acid metabolic process (GO:0046473)	7	0	.76	-	 < 0.01	4.69E-01
circadian regulation of translation (GO:0097167)	1	0	.11	-	 < 0.01	8.98E-01
sphingosine-1-phosphate receptor signaling pathway (GO:0003376)	1	0	.11	-	 < 0.01	8.98E-01
dynamin family protein polymerization involved in mitochondrial fission (GO:0003374)	1	0	.11	-	 < 0.01	8.98E-01
dynamin family protein polymerization involved in membrane fission (GO:0003373)	1	0	.11	-	 < 0.01	8.98E-01
negative regulation of developmental growth (GO:0048640)	6	0	.65	-	 < 0.01	5.23E-01
membrane lipid catabolic process (GO:0046466)	2	0	.22	-	 < 0.01	8.06E-01
maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase II promoter (GO:0001193)	2	0	.22	-	 < 0.01	8.06E-01
maintenance of transcriptional fidelity during DNA-templated transcription elongation (GO:0001192)	2	0	.22	-	 < 0.01	8.06E-01
acylglycerol catabolic process (GO:0046464)	3	0	.32	-	 < 0.01	7.23E-01
monoacylglycerol metabolic process (GO:0046462)	1	0	.11	-	 < 0.01	8.98E-01
neutral lipid catabolic process (GO:0046461)	3	0	.32	-	 < 0.01	7.23E-01
short-chain fatty acid metabolic process (GO:0046459)	3	0	.32	-	 < 0.01	7.23E-01
cell wall disassembly (GO:0044277)	3	0	.32	-	 < 0.01	7.23E-01
protein localization to phagophore assembly site (GO:0034497)	3	0	.32	-	 < 0.01	7.23E-01
DNA-templated transcriptional start site selection (GO:0001173)	1	0	.11	-	 < 0.01	8.98E-01
FMN metabolic process (GO:0046444)	1	0	.11	-	 < 0.01	8.98E-01
L-lysine metabolic process (GO:0046440)	3	0	.32	-	 < 0.01	7.23E-01
raffinose catabolic process (GO:0034484)	1	0	.11	-	 < 0.01	8.98E-01
L-cysteine metabolic process (GO:0046439)	1	0	.11	-	 < 0.01	8.98E-01
D-amino acid biosynthetic process (GO:0046437)	2	0	.22	-	 < 0.01	8.06E-01
U5 snRNA 3'-end processing (GO:0034476)	2	0	.22	-	 < 0.01	8.06E-01
U4 snRNA 3'-end processing (GO:0034475)	5	0	.54	-	 < 0.01	5.82E-01
U1 snRNA 3'-end processing (GO:0034473)	2	0	.22	-	 < 0.01	8.06E-01
snRNA 3'-end processing (GO:0034472)	6	0	.65	-	 < 0.01	5.23E-01
D-amino acid metabolic process (GO:0046416)	3	0	.32	-	 < 0.01	7.23E-01
urate metabolic process (GO:0046415)	2	0	.22	-	 < 0.01	8.06E-01
negative regulation of cellular amino acid biosynthetic process (GO:2000283)	1	0	.11	-	 < 0.01	8.98E-01
regulation of cellular amino acid biosynthetic process (GO:2000282)	2	0	.22	-	 < 0.01	8.06E-01
negative regulation of DNA biosynthetic process (GO:2000279)	4	0	.43	-	 < 0.01	6.49E-01
IMP salvage (GO:0032264)	1	0	.11	-	 < 0.01	8.98E-01
sterol esterification (GO:0034434)	1	0	.11	-	 < 0.01	8.98E-01
steroid esterification (GO:0034433)	1	0	.11	-	 < 0.01	8.98E-01
'de novo' AMP biosynthetic process (GO:0044208)	1	0	.11	-	 < 0.01	8.98E-01
'de novo' UMP biosynthetic process (GO:0044205)	6	0	.65	-	 < 0.01	5.23E-01
DNA endoreduplication (GO:0042023)	16	0	1.73	-	 < 0.01	1.77E-01
tRNA 3'-trailer cleavage, endonucleolytic (GO:0034414)	2	0	.22	-	 < 0.01	8.06E-01
vesicle transport along actin filament (GO:0030050)	17	0	1.84	-	 < 0.01	1.59E-01
positive regulation of rRNA processing (GO:2000234)	1	0	.11	-	 < 0.01	8.98E-01
regulation of rRNA processing (GO:2000232)	2	0	.22	-	 < 0.01	8.06E-01
response to sodium phosphate (GO:1904383)	1	0	.11	-	 < 0.01	8.98E-01
recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex (GO:0034402)	2	0	.22	-	 < 0.01	8.06E-01
long-distance posttranscriptional gene silencing (GO:0010495)	2	0	.22	-	 < 0.01	8.06E-01
Lewis a epitope biosynthetic process (GO:0010493)	2	0	.22	-	 < 0.01	8.06E-01
actin filament-based movement (GO:0030048)	20	0	2.16	-	 < 0.01	1.15E-01
actin filament polymerization (GO:0030041)	8	0	.86	-	 < 0.01	4.21E-01
pollen tube reception (GO:0010483)	5	0	.54	-	 < 0.01	5.82E-01
regulation of epidermal cell division (GO:0010482)	3	0	.32	-	 < 0.01	7.23E-01
positive regulation of telomere maintenance via telomerase (GO:0032212)	1	0	.11	-	 < 0.01	8.98E-01
negative regulation of telomere maintenance via telomerase (GO:0032211)	1	0	.11	-	 < 0.01	8.98E-01
regulation of telomere maintenance via telomerase (GO:0032210)	4	0	.43	-	 < 0.01	6.49E-01
cellular detoxification of cadmium ion (GO:0098849)	2	0	.22	-	 < 0.01	8.06E-01
cell projection assembly (GO:0030031)	2	0	.22	-	 < 0.01	8.06E-01
cell projection organization (GO:0030030)	2	0	.22	-	 < 0.01	8.06E-01
negative regulation of proline metabolic process (GO:2000215)	1	0	.11	-	 < 0.01	8.98E-01
regulation of proline metabolic process (GO:2000214)	1	0	.11	-	 < 0.01	8.98E-01
positive regulation of sclerenchyma cell differentiation (GO:1904369)	1	0	.11	-	 < 0.01	8.98E-01
regulation of sclerenchyma cell differentiation (GO:1904368)	1	0	.11	-	 < 0.01	8.98E-01
positive regulation of shoot apical meristem development (GO:1902185)	1	0	.11	-	 < 0.01	8.98E-01
response to sulfur dioxide (GO:0010477)	1	0	.11	-	 < 0.01	8.98E-01
positive regulation of telomere maintenance (GO:0032206)	1	0	.11	-	 < 0.01	8.98E-01
negative regulation of telomere maintenance (GO:0032205)	1	0	.11	-	 < 0.01	8.98E-01
shoot apical meristem development (GO:1902182)	3	0	.32	-	 < 0.01	7.23E-01
regulation of telomere maintenance (GO:0032204)	7	0	.76	-	 < 0.01	4.69E-01
kinetochore organization (GO:0051383)	3	0	.32	-	 < 0.01	7.23E-01
positive regulation of telomere maintenance via telomere lengthening (GO:1904358)	1	0	.11	-	 < 0.01	8.98E-01
kinetochore assembly (GO:0051382)	2	0	.22	-	 < 0.01	8.06E-01
negative regulation of telomere maintenance via telomere lengthening (GO:1904357)	1	0	.11	-	 < 0.01	8.98E-01
regulation of telomere maintenance via telomere lengthening (GO:1904356)	4	0	.43	-	 < 0.01	6.49E-01
regulation of tocopherol cyclase activity (GO:1902171)	2	0	.22	-	 < 0.01	8.06E-01
cellular response to reactive nitrogen species (GO:1902170)	13	0	1.41	-	 < 0.01	2.45E-01
protein maturation by protein folding (GO:0022417)	1	0	.11	-	 < 0.01	8.98E-01
establishment of cell polarity (GO:0030010)	3	0	.32	-	 < 0.01	7.23E-01
positive regulation of mitotic recombination (GO:0045951)	2	0	.22	-	 < 0.01	8.06E-01
positive regulation of cell fate commitment (GO:0010455)	2	0	.22	-	 < 0.01	8.06E-01
negative regulation of cell fate commitment (GO:0010454)	1	0	.11	-	 < 0.01	8.98E-01
regulation of cell fate commitment (GO:0010453)	6	0	.65	-	 < 0.01	5.23E-01
floral meristem growth (GO:0010451)	1	0	.11	-	 < 0.01	8.98E-01
para-aminobenzoic acid biosynthetic process (GO:0008153)	2	0	.22	-	 < 0.01	8.06E-01
positive regulation of translational initiation (GO:0045948)	3	0	.32	-	 < 0.01	7.23E-01
cell cycle phase (GO:0022403)	4	0	.43	-	 < 0.01	6.49E-01
root meristem growth (GO:0010449)	11	0	1.19	-	 < 0.01	3.04E-01
response to alkaline pH (GO:0010446)	1	0	.11	-	 < 0.01	8.98E-01
negative regulation of phosphate metabolic process (GO:0045936)	15	0	1.62	-	 < 0.01	1.97E-01
positive regulation of oxidoreductase activity (GO:0051353)	3	0	.32	-	 < 0.01	7.23E-01
regulation of glucosinolate biosynthetic process (GO:0010439)	5	0	.54	-	 < 0.01	5.82E-01
cellular response to sulfur starvation (GO:0010438)	1	0	.11	-	 < 0.01	8.98E-01
box H/ACA RNA metabolic process (GO:0033979)	1	0	.11	-	 < 0.01	8.98E-01
bract formation (GO:0010434)	3	0	.32	-	 < 0.01	7.23E-01
bract morphogenesis (GO:0010433)	3	0	.32	-	 < 0.01	7.23E-01
bract development (GO:0010432)	4	0	.43	-	 < 0.01	6.49E-01
fatty acid omega-oxidation (GO:0010430)	1	0	.11	-	 < 0.01	8.98E-01
regulation of peptide transport (GO:0090087)	6	0	.65	-	 < 0.01	5.23E-01
negative regulation of growth (GO:0045926)	18	0	1.95	-	 < 0.01	1.43E-01
negative regulation of transferase activity (GO:0051348)	15	0	1.62	-	 < 0.01	1.97E-01
positive regulation of fatty acid metabolic process (GO:0045923)	4	0	.43	-	 < 0.01	6.49E-01
negative regulation of fatty acid metabolic process (GO:0045922)	1	0	.11	-	 < 0.01	8.98E-01
DNA methylation on cytosine within a CHH sequence (GO:0010426)	1	0	.11	-	 < 0.01	8.98E-01
DNA methylation on cytosine within a CNG sequence (GO:0010425)	1	0	.11	-	 < 0.01	8.98E-01
box C/D RNA metabolic process (GO:0033967)	3	0	.32	-	 < 0.01	7.23E-01
DNA methylation on cytosine within a CG sequence (GO:0010424)	6	0	.65	-	 < 0.01	5.23E-01
regulation of brassinosteroid biosynthetic process (GO:0010422)	2	0	.22	-	 < 0.01	8.06E-01
hydrogen peroxide-mediated programmed cell death (GO:0010421)	2	0	.22	-	 < 0.01	8.06E-01
P-body assembly (GO:0033962)	9	0	.97	-	 < 0.01	3.78E-01
histone H3-K9 deacetylation (GO:1990619)	1	0	.11	-	 < 0.01	8.98E-01
negative regulation of ribosome biogenesis (GO:0090071)	2	0	.22	-	 < 0.01	8.06E-01
positive regulation of DNA recombination (GO:0045911)	3	0	.32	-	 < 0.01	7.23E-01
negative regulation of DNA recombination (GO:0045910)	11	0	1.19	-	 < 0.01	3.04E-01
meiotic G2 phase (GO:0051331)	1	0	.11	-	 < 0.01	8.98E-01
protein localization to cortical microtubule cytoskeleton (GO:0072699)	2	0	.22	-	 < 0.01	8.06E-01
protein localization to microtubule cytoskeleton (GO:0072698)	5	0	.54	-	 < 0.01	5.82E-01
protein localization to cell cortex (GO:0072697)	2	0	.22	-	 < 0.01	8.06E-01
glucuronoxylan biosynthetic process (GO:0010417)	12	0	1.30	-	 < 0.01	2.73E-01
glucuronoxylan metabolic process (GO:0010413)	12	0	1.30	-	 < 0.01	2.73E-01
mitochondrial DNA inheritance (GO:0033955)	1	0	.11	-	 < 0.01	8.98E-01
mannan metabolic process (GO:0010412)	1	0	.11	-	 < 0.01	8.98E-01
regulation of production of siRNA involved in RNA interference (GO:0090065)	5	0	.54	-	 < 0.01	5.82E-01
positive regulation of microtubule nucleation (GO:0090063)	2	0	.22	-	 < 0.01	8.06E-01
mitotic interphase (GO:0051329)	2	0	.22	-	 < 0.01	8.06E-01
meiotic interphase (GO:0051328)	1	0	.11	-	 < 0.01	8.98E-01
positive regulation of translational termination (GO:0045905)	3	0	.32	-	 < 0.01	7.23E-01
positive regulation of translational fidelity (GO:0045903)	4	0	.43	-	 < 0.01	6.49E-01
interphase (GO:0051325)	3	0	.32	-	 < 0.01	7.23E-01
prophase (GO:0051324)	2	0	.22	-	 < 0.01	8.06E-01
positive regulation of translational elongation (GO:0045901)	3	0	.32	-	 < 0.01	7.23E-01
S phase (GO:0051320)	2	0	.22	-	 < 0.01	8.06E-01
mitochondrial tRNA 3'-trailer cleavage, endonucleolytic (GO:0072684)	2	0	.22	-	 < 0.01	8.06E-01
positive regulation of organelle assembly (GO:1902117)	4	0	.43	-	 < 0.01	6.49E-01
extensin metabolic process (GO:0010409)	1	0	.11	-	 < 0.01	8.98E-01
deoxyribose phosphate metabolic process (GO:0019692)	7	0	.76	-	 < 0.01	4.69E-01
pectic galactan metabolic process (GO:0010401)	1	0	.11	-	 < 0.01	8.98E-01
rhamnogalacturonan I side chain metabolic process (GO:0010400)	2	0	.22	-	 < 0.01	8.06E-01
metaxylem development (GO:0090058)	2	0	.22	-	 < 0.01	8.06E-01
root radial pattern formation (GO:0090057)	7	0	.76	-	 < 0.01	4.69E-01
G2 phase (GO:0051319)	3	0	.32	-	 < 0.01	7.23E-01
G1 phase (GO:0051318)	2	0	.22	-	 < 0.01	8.06E-01
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	3	0	.32	-	 < 0.01	7.23E-01
metaphase plate congression (GO:0051310)	3	0	.32	-	 < 0.01	7.23E-01
negative regulation of metaphase/anaphase transition of meiotic cell cycle (GO:1902103)	1	0	.11	-	 < 0.01	8.98E-01
regulation of metaphase/anaphase transition of meiotic cell cycle (GO:1902102)	1	0	.11	-	 < 0.01	8.98E-01
mitotic sister chromatid separation (GO:0051306)	1	0	.11	-	 < 0.01	8.98E-01
establishment of chromosome localization (GO:0051303)	5	0	.54	-	 < 0.01	5.82E-01
NAD catabolic process (GO:0019677)	1	0	.11	-	 < 0.01	8.98E-01
maintenance of protein location in plasma membrane (GO:0072660)	1	0	.11	-	 < 0.01	8.98E-01
detection of hypoxia (GO:0070483)	3	0	.32	-	 < 0.01	7.23E-01
nuclear-transcribed mRNA catabolic process, non-stop decay (GO:0070481)	2	0	.22	-	 < 0.01	8.06E-01
regulation of steroid hormone biosynthetic process (GO:0090030)	2	0	.22	-	 < 0.01	8.06E-01
maintenance of protein location in membrane (GO:0072658)	1	0	.11	-	 < 0.01	8.98E-01
nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay (GO:0070478)	2	0	.22	-	 < 0.01	8.06E-01
positive regulation of plant epidermal cell differentiation (GO:1903890)	1	0	.11	-	 < 0.01	8.98E-01
negative regulation of plant epidermal cell differentiation (GO:1903889)	1	0	.11	-	 < 0.01	8.98E-01
regulation of plant epidermal cell differentiation (GO:1903888)	2	0	.22	-	 < 0.01	8.06E-01
jasmonic acid and ethylene-dependent systemic resistance, ethylene mediated signaling pathway (GO:0009871)	4	0	.43	-	 < 0.01	6.49E-01
tyramine biosynthetic process (GO:1901695)	1	0	.11	-	 < 0.01	8.98E-01
positive regulation of anther dehiscence (GO:0120195)	1	0	.11	-	 < 0.01	8.98E-01
regulation of anther dehiscence (GO:0120194)	1	0	.11	-	 < 0.01	8.98E-01
shikimate metabolic process (GO:0019632)	3	0	.32	-	 < 0.01	7.23E-01
multicellular organismal water homeostasis (GO:0050891)	1	0	.11	-	 < 0.01	8.98E-01
palisade mesophyll development (GO:1903866)	1	0	.11	-	 < 0.01	8.98E-01
pollen hydration (GO:0009859)	3	0	.32	-	 < 0.01	7.23E-01
oxidative photosynthetic carbon pathway (GO:0009854)	6	0	.65	-	 < 0.01	5.23E-01
arsenate ion transmembrane transport (GO:1901684)	3	0	.32	-	 < 0.01	7.23E-01
positive regulation of protein localization to chromatin (GO:0120187)	1	0	.11	-	 < 0.01	8.98E-01
urate catabolic process (GO:0019628)	2	0	.22	-	 < 0.01	8.06E-01
urea metabolic process (GO:0019627)	4	0	.43	-	 < 0.01	6.49E-01
iron coordination entity transport (GO:1901678)	5	0	.54	-	 < 0.01	5.82E-01
positive regulation of superoxide dismutase activity (GO:1901671)	1	0	.11	-	 < 0.01	8.98E-01
regulation of body fluid levels (GO:0050878)	1	0	.11	-	 < 0.01	8.98E-01
positive regulation of long-day photoperiodism, flowering (GO:0048578)	3	0	.32	-	 < 0.01	7.23E-01
positive regulation of short-day photoperiodism, flowering (GO:0048576)	1	0	.11	-	 < 0.01	8.98E-01
short-day photoperiodism, flowering (GO:0048575)	3	0	.32	-	 < 0.01	7.23E-01
long-day photoperiodism, flowering (GO:0048574)	11	0	1.19	-	 < 0.01	3.04E-01
short-day photoperiodism (GO:0048572)	3	0	.32	-	 < 0.01	7.23E-01
UDP-glucuronate metabolic process (GO:0046398)	5	0	.54	-	 < 0.01	5.82E-01
regulation of superoxide dismutase activity (GO:1901668)	1	0	.11	-	 < 0.01	8.98E-01
D-galacturonate metabolic process (GO:0046396)	1	0	.11	-	 < 0.01	8.98E-01
5-phosphoribose 1-diphosphate metabolic process (GO:0046391)	5	0	.54	-	 < 0.01	5.82E-01
plant-type cell wall modification involved in multidimensional cell growth (GO:0009831)	4	0	.43	-	 < 0.01	6.49E-01
cell wall modification involved in abscission (GO:0009830)	3	0	.32	-	 < 0.01	7.23E-01
butyrate metabolic process (GO:0019605)	2	0	.22	-	 < 0.01	8.06E-01
deoxyribose phosphate catabolic process (GO:0046386)	2	0	.22	-	 < 0.01	8.06E-01
deoxyribose phosphate biosynthetic process (GO:0046385)	6	0	.65	-	 < 0.01	5.23E-01
dTDP-rhamnose metabolic process (GO:0046383)	2	0	.22	-	 < 0.01	8.06E-01
cellular response to peptide (GO:1901653)	1	0	.11	-	 < 0.01	8.98E-01
response to peptide (GO:1901652)	3	0	.32	-	 < 0.01	7.23E-01
alkaloid metabolic process (GO:0009820)	1	0	.11	-	 < 0.01	8.98E-01
positive regulation of cellular protein localization (GO:1903829)	1	0	.11	-	 < 0.01	8.98E-01
negative regulation of cellular protein localization (GO:1903828)	1	0	.11	-	 < 0.01	8.98E-01
arginine transmembrane transport (GO:1903826)	3	0	.32	-	 < 0.01	7.23E-01
positive regulation of calcium-mediated signaling (GO:0050850)	1	0	.11	-	 < 0.01	8.98E-01
drought recovery (GO:0009819)	7	0	.76	-	 < 0.01	4.69E-01
L-arabinose metabolic process (GO:0046373)	2	0	.22	-	 < 0.01	8.06E-01
nucleoside transmembrane transport (GO:1901642)	8	0	.86	-	 < 0.01	4.21E-01
regulation of ER to Golgi vesicle-mediated transport (GO:0060628)	4	0	.43	-	 < 0.01	6.49E-01
regulation of calcium-mediated signaling (GO:0050848)	1	0	.11	-	 < 0.01	8.98E-01
galactose biosynthetic process (GO:0046369)	1	0	.11	-	 < 0.01	8.98E-01
GDP-L-fucose metabolic process (GO:0046368)	5	0	.54	-	 < 0.01	5.82E-01
lignan biosynthetic process (GO:0009807)	6	0	.65	-	 < 0.01	5.23E-01
lignan metabolic process (GO:0009806)	6	0	.65	-	 < 0.01	5.23E-01
coumarin biosynthetic process (GO:0009805)	5	0	.54	-	 < 0.01	5.82E-01
selenocysteinyl-tRNA(Sec) biosynthetic process (GO:0097056)	2	0	.22	-	 < 0.01	8.06E-01
cinnamic acid ester biosynthetic process (GO:0009802)	1	0	.11	-	 < 0.01	8.98E-01
L-glutamate biosynthetic process (GO:0097054)	3	0	.32	-	 < 0.01	7.23E-01
cinnamic acid ester metabolic process (GO:0009801)	2	0	.22	-	 < 0.01	8.06E-01
fruit morphogenesis (GO:0048530)	4	0	.43	-	 < 0.01	6.49E-01
positive regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903800)	2	0	.22	-	 < 0.01	8.06E-01
response to copper ion starvation (GO:0120126)	2	0	.22	-	 < 0.01	8.06E-01
telomere tethering at nuclear periphery (GO:0034398)	2	0	.22	-	 < 0.01	8.06E-01
telomere localization (GO:0034397)	2	0	.22	-	 < 0.01	8.06E-01
amino sugar catabolic process (GO:0046348)	5	0	.54	-	 < 0.01	5.82E-01
negative regulation of behavior (GO:0048521)	1	0	.11	-	 < 0.01	8.98E-01
regulation of plasma membrane sterol distribution (GO:0097036)	2	0	.22	-	 < 0.01	8.06E-01
diacylglycerol catabolic process (GO:0046340)	1	0	.11	-	 < 0.01	8.98E-01
lipid droplet organization (GO:0034389)	10	0	1.08	-	 < 0.01	3.39E-01
regulation of steroid biosynthetic process (GO:0050810)	2	0	.22	-	 < 0.01	8.06E-01
strigolactone biosynthetic process (GO:1901601)	3	0	.32	-	 < 0.01	7.23E-01
strigolactone metabolic process (GO:1901600)	3	0	.32	-	 < 0.01	7.23E-01
histone H3-K14 acetylation (GO:0044154)	2	0	.22	-	 < 0.01	8.06E-01
regulation of synapse structure or activity (GO:0050803)	1	0	.11	-	 < 0.01	8.98E-01
transposition, RNA-mediated (GO:0032197)	1	0	.11	-	 < 0.01	8.98E-01
transposition (GO:0032196)	1	0	.11	-	 < 0.01	8.98E-01
antibiotic metabolic process (GO:0016999)	1	0	.11	-	 < 0.01	8.98E-01
positive regulation of fatty acid oxidation (GO:0046321)	2	0	.22	-	 < 0.01	8.06E-01
eukaryotic translation initiation factor 4F complex assembly (GO:0097010)	1	0	.11	-	 < 0.01	8.98E-01
energy homeostasis (GO:0097009)	1	0	.11	-	 < 0.01	8.98E-01
regulation of phosphate transmembrane transport (GO:2000185)	1	0	.11	-	 < 0.01	8.98E-01
NAD salvage (GO:0034355)	2	0	.22	-	 < 0.01	8.06E-01
poly(A)+ mRNA export from nucleus (GO:0016973)	9	0	.97	-	 < 0.01	3.78E-01
mRNA cleavage involved in gene silencing (GO:0098795)	3	0	.32	-	 < 0.01	7.23E-01
development of symbiont involved in interaction with host (GO:0044115)	1	0	.11	-	 < 0.01	8.98E-01
development involved in symbiotic interaction (GO:0044111)	1	0	.11	-	 < 0.01	8.98E-01
cell junction organization (GO:0034330)	9	0	.97	-	 < 0.01	3.78E-01
