




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	fly_background.txt (Drosophila melanogaster)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	BINOMIAL
Correction:	NONE
GO biological process complete	fly_background.txt - REFLIST (5878)	upload_1 (1025)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
purine ribonucleoside monophosphate catabolic process (GO:0009169)	2	0	.35	-	 < 0.01	7.06E-01
nucleotide catabolic process (GO:0009166)	8	0	1.40	-	 < 0.01	2.48E-01
deoxyribonucleoside monophosphate metabolic process (GO:0009162)	2	0	.35	-	 < 0.01	7.06E-01
glycine transport (GO:0015816)	1	0	.17	-	 < 0.01	8.40E-01
ciliary transition zone assembly (GO:1905349)	4	0	.70	-	 < 0.01	4.98E-01
ketone body catabolic process (GO:0046952)	1	0	.17	-	 < 0.01	8.40E-01
meiotic DNA integrity checkpoint (GO:0044778)	1	0	.17	-	 < 0.01	8.40E-01
cellular ketone body metabolic process (GO:0046950)	1	0	.17	-	 < 0.01	8.40E-01
gamma-aminobutyric acid transport (GO:0015812)	2	0	.35	-	 < 0.01	7.06E-01
protein localization to cleavage furrow (GO:1905345)	2	0	.35	-	 < 0.01	7.06E-01
mitotic DNA damage checkpoint (GO:0044773)	17	0	2.96	-	 < 0.01	5.14E-02
meiotic cell cycle phase transition (GO:0044771)	3	0	.52	-	 < 0.01	5.93E-01
ribonucleoside monophosphate catabolic process (GO:0009158)	3	0	.52	-	 < 0.01	5.93E-01
deoxyribonucleoside monophosphate biosynthetic process (GO:0009157)	2	0	.35	-	 < 0.01	7.06E-01
purine deoxyribonucleotide catabolic process (GO:0009155)	1	0	.17	-	 < 0.01	8.40E-01
purine ribonucleotide catabolic process (GO:0009154)	5	0	.87	-	 < 0.01	4.18E-01
purine deoxyribonucleotide metabolic process (GO:0009151)	1	0	.17	-	 < 0.01	8.40E-01
acrosome assembly (GO:0001675)	2	0	.35	-	 < 0.01	7.06E-01
arginine transport (GO:0015809)	1	0	.17	-	 < 0.01	8.40E-01
L-arginine import across plasma membrane (GO:0097638)	1	0	.17	-	 < 0.01	8.40E-01
neutral amino acid transport (GO:0015804)	5	0	.87	-	 < 0.01	4.18E-01
branched-chain amino acid transport (GO:0015803)	3	0	.52	-	 < 0.01	5.93E-01
basic amino acid transport (GO:0015802)	1	0	.17	-	 < 0.01	8.40E-01
multi-organism cellular process (GO:0044764)	1	0	.17	-	 < 0.01	8.40E-01
pyrimidine nucleoside triphosphate catabolic process (GO:0009149)	1	0	.17	-	 < 0.01	8.40E-01
purine nucleoside triphosphate catabolic process (GO:0009146)	1	0	.17	-	 < 0.01	8.40E-01
nucleoside triphosphate catabolic process (GO:0009143)	2	0	.35	-	 < 0.01	7.06E-01
conditioned taste aversion (GO:0001661)	3	0	.52	-	 < 0.01	5.93E-01
pore complex assembly (GO:0046931)	4	0	.70	-	 < 0.01	4.98E-01
negative regulation of autophagy of mitochondrion (GO:1903147)	1	0	.17	-	 < 0.01	8.40E-01
nucleoside diphosphate catabolic process (GO:0009134)	1	0	.17	-	 < 0.01	8.40E-01
histone H3-R2 methylation (GO:0034970)	1	0	.17	-	 < 0.01	8.40E-01
pyrimidine nucleoside monophosphate biosynthetic process (GO:0009130)	4	0	.70	-	 < 0.01	4.98E-01
positive regulation of CREB transcription factor activity (GO:0032793)	1	0	.17	-	 < 0.01	8.40E-01
ribosome disassembly (GO:0032790)	3	0	.52	-	 < 0.01	5.93E-01
mature miRNA 3'-end processing (GO:0044747)	1	0	.17	-	 < 0.01	8.40E-01
pyrimidine nucleoside monophosphate metabolic process (GO:0009129)	4	0	.70	-	 < 0.01	4.98E-01
purine nucleoside monophosphate catabolic process (GO:0009128)	2	0	.35	-	 < 0.01	7.06E-01
nucleoside monophosphate catabolic process (GO:0009125)	3	0	.52	-	 < 0.01	5.93E-01
box C/D snoRNA processing (GO:0034963)	1	0	.17	-	 < 0.01	8.40E-01
positive regulation of ATPase activity (GO:0032781)	5	0	.87	-	 < 0.01	4.18E-01
positive regulation of cohesin loading (GO:1905309)	1	0	.17	-	 < 0.01	8.40E-01
positive regulation of cardiac myofibril assembly (GO:1905306)	1	0	.17	-	 < 0.01	8.40E-01
regulation of cardiac myofibril assembly (GO:1905304)	1	0	.17	-	 < 0.01	8.40E-01
positive regulation of autophagosome assembly (GO:2000786)	1	0	.17	-	 < 0.01	8.40E-01
regulation of autophagosome assembly (GO:2000785)	4	0	.70	-	 < 0.01	4.98E-01
negative regulation of double-strand break repair (GO:2000780)	1	0	.17	-	 < 0.01	8.40E-01
xanthine catabolic process (GO:0009115)	1	0	.17	-	 < 0.01	8.40E-01
purine nucleobase biosynthetic process (GO:0009113)	3	0	.52	-	 < 0.01	5.93E-01
vitamin biosynthetic process (GO:0009110)	6	0	1.05	-	 < 0.01	3.51E-01
DNA methylation or demethylation (GO:0044728)	3	0	.52	-	 < 0.01	5.93E-01
tetrahydrofolylpolyglutamate metabolic process (GO:0046900)	2	0	.35	-	 < 0.01	7.06E-01
negative regulation of imaginal disc-derived wing size (GO:0044720)	1	0	.17	-	 < 0.01	8.40E-01
positive regulation of actin filament-based movement (GO:1903116)	2	0	.35	-	 < 0.01	7.06E-01
regulation of actin filament-based movement (GO:1903115)	2	0	.35	-	 < 0.01	7.06E-01
hemoglobin biosynthetic process (GO:0042541)	1	0	.17	-	 < 0.01	8.40E-01
lipoate biosynthetic process (GO:0009107)	1	0	.17	-	 < 0.01	8.40E-01
lipoate metabolic process (GO:0009106)	1	0	.17	-	 < 0.01	8.40E-01
p38MAPK cascade (GO:0038066)	3	0	.52	-	 < 0.01	5.93E-01
NIK/NF-kappaB signaling (GO:0038061)	3	0	.52	-	 < 0.01	5.93E-01
hypotonic salinity response (GO:0042539)	1	0	.17	-	 < 0.01	8.40E-01
hyperosmotic salinity response (GO:0042538)	1	0	.17	-	 < 0.01	8.40E-01
benzene-containing compound metabolic process (GO:0042537)	4	0	.70	-	 < 0.01	4.98E-01
negative regulation of tyrosine phosphorylation of STAT protein (GO:0042532)	1	0	.17	-	 < 0.01	8.40E-01
negative regulation of BMP signaling pathway by negative regulation of BMP secretion (GO:0038056)	1	0	.17	-	 < 0.01	8.40E-01
ubiquitin-dependent SMAD protein catabolic process (GO:0030579)	1	0	.17	-	 < 0.01	8.40E-01
Cajal body organization (GO:0030576)	5	0	.87	-	 < 0.01	4.18E-01
collagen catabolic process (GO:0030574)	2	0	.35	-	 < 0.01	7.06E-01
positive regulation of peptidyl-lysine acetylation (GO:2000758)	3	0	.52	-	 < 0.01	5.93E-01
negative regulation of peptidyl-lysine acetylation (GO:2000757)	1	0	.17	-	 < 0.01	8.40E-01
regulation of peptidyl-lysine acetylation (GO:2000756)	10	0	1.74	-	 < 0.01	1.75E-01
cellular hypotonic salinity response (GO:0071477)	1	0	.17	-	 < 0.01	8.40E-01
cellular hypotonic response (GO:0071476)	1	0	.17	-	 < 0.01	8.40E-01
cellular hyperosmotic salinity response (GO:0071475)	1	0	.17	-	 < 0.01	8.40E-01
cellular hyperosmotic response (GO:0071474)	1	0	.17	-	 < 0.01	8.40E-01
cellular response to salt stress (GO:0071472)	2	0	.35	-	 < 0.01	7.06E-01
cellular response to osmotic stress (GO:0071470)	3	0	.52	-	 < 0.01	5.93E-01
regulation of tyrosine phosphorylation of STAT protein (GO:0042509)	1	0	.17	-	 < 0.01	8.40E-01
cellular response to desiccation (GO:0071465)	1	0	.17	-	 < 0.01	8.40E-01
regulation of translational initiation by eIF2 alpha phosphorylation (GO:0010998)	3	0	.52	-	 < 0.01	5.93E-01
response to auditory stimulus (GO:0010996)	5	0	.87	-	 < 0.01	4.18E-01
free ubiquitin chain depolymerization (GO:0010995)	1	0	.17	-	 < 0.01	8.40E-01
ubiquitin recycling (GO:0010992)	2	0	.35	-	 < 0.01	7.06E-01
cellular response to superoxide (GO:0071451)	4	0	.70	-	 < 0.01	4.98E-01
cellular response to oxygen radical (GO:0071450)	4	0	.70	-	 < 0.01	4.98E-01
membrane depolarization (GO:0051899)	3	0	.52	-	 < 0.01	5.93E-01
negative regulation of focal adhesion assembly (GO:0051895)	1	0	.17	-	 < 0.01	8.40E-01
regulation of focal adhesion assembly (GO:0051893)	2	0	.35	-	 < 0.01	7.06E-01
cellular response to pheromone (GO:0071444)	1	0	.17	-	 < 0.01	8.40E-01
excitatory synapse assembly (GO:1904861)	1	0	.17	-	 < 0.01	8.40E-01
positive regulation of receptor localization to synapse (GO:1902685)	1	0	.17	-	 < 0.01	8.40E-01
netrin-activated signaling pathway (GO:0038007)	2	0	.35	-	 < 0.01	7.06E-01
regulation of receptor localization to synapse (GO:1902683)	1	0	.17	-	 < 0.01	8.40E-01
epidermal growth factor receptor ligand maturation (GO:0038004)	6	0	1.05	-	 < 0.01	3.51E-01
endocrine signaling (GO:0038002)	2	0	.35	-	 < 0.01	7.06E-01
positive regulation of G2/M transition of mitotic cell cycle (GO:0010971)	5	0	.87	-	 < 0.01	4.18E-01
N-terminal protein myristoylation (GO:0006499)	1	0	.17	-	 < 0.01	8.40E-01
N-terminal protein lipidation (GO:0006498)	2	0	.35	-	 < 0.01	7.06E-01
oligosaccharide-lipid intermediate biosynthetic process (GO:0006490)	3	0	.52	-	 < 0.01	5.93E-01
tRNA-containing ribonucleoprotein complex export from nucleus (GO:0071431)	1	0	.17	-	 < 0.01	8.40E-01
regulation of microtubule nucleation (GO:0010968)	1	0	.17	-	 < 0.01	8.40E-01
selenocysteine biosynthetic process (GO:0016260)	2	0	.35	-	 < 0.01	7.06E-01
dolichol-linked oligosaccharide biosynthetic process (GO:0006488)	2	0	.35	-	 < 0.01	7.06E-01
positive regulation of transforming growth factor beta receptor signaling pathway (GO:0030511)	1	0	.17	-	 < 0.01	8.40E-01
C-terminal protein methylation (GO:0006481)	1	0	.17	-	 < 0.01	8.40E-01
N-terminal protein amino acid methylation (GO:0006480)	1	0	.17	-	 < 0.01	8.40E-01
selenocysteine metabolic process (GO:0016259)	2	0	.35	-	 < 0.01	7.06E-01
attachment of GPI anchor to protein (GO:0016255)	3	0	.52	-	 < 0.01	5.93E-01
pyrimidine-containing compound salvage (GO:0008655)	1	0	.17	-	 < 0.01	8.40E-01
chemorepulsion of axon (GO:0061643)	3	0	.52	-	 < 0.01	5.93E-01
negative regulation of macroautophagy (GO:0016242)	8	0	1.40	-	 < 0.01	2.48E-01
negative regulation of phosphatidylinositol 3-kinase signaling (GO:0014067)	8	0	1.40	-	 < 0.01	2.48E-01
regulation of protein complex stability (GO:0061635)	1	0	.17	-	 < 0.01	8.40E-01
positive regulation of necrotic cell death (GO:0010940)	3	0	.52	-	 < 0.01	5.93E-01
phosphatidylinositol 3-kinase signaling (GO:0014065)	6	0	1.05	-	 < 0.01	3.51E-01
DNA synthesis involved in DNA replication (GO:0090592)	2	0	.35	-	 < 0.01	7.06E-01
modulation by host of symbiont process (GO:0051851)	2	0	.35	-	 < 0.01	7.06E-01
protein localization to microtubule plus-end (GO:1904825)	1	0	.17	-	 < 0.01	8.40E-01
regulation of necrotic cell death (GO:0010939)	4	0	.70	-	 < 0.01	4.98E-01
lysosomal microautophagy (GO:0016237)	4	0	.70	-	 < 0.01	4.98E-01
establishment of epithelial cell apical/basal polarity (GO:0045198)	5	0	.87	-	 < 0.01	4.18E-01
telomere capping (GO:0016233)	11	0	1.92	-	 < 0.01	1.47E-01
activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c (GO:0008635)	1	0	.17	-	 < 0.01	8.40E-01
translational readthrough (GO:0006451)	2	0	.35	-	 < 0.01	7.06E-01
regulation of translational fidelity (GO:0006450)	1	0	.17	-	 < 0.01	8.40E-01
positive regulation of receptor internalization (GO:0002092)	5	0	.87	-	 < 0.01	4.18E-01
regulation of receptor internalization (GO:0002090)	6	0	1.05	-	 < 0.01	3.51E-01
extrinsic apoptotic signaling pathway via death domain receptors (GO:0008625)	1	0	.17	-	 < 0.01	8.40E-01
dsDNA loop formation (GO:0090579)	3	0	.52	-	 < 0.01	5.93E-01
regulation of translational termination (GO:0006449)	1	0	.17	-	 < 0.01	8.40E-01
negative regulation of neuron maturation (GO:0014043)	1	0	.17	-	 < 0.01	8.40E-01
negative regulation of neuron remodeling (GO:1904800)	1	0	.17	-	 < 0.01	8.40E-01
protein depalmitoylation (GO:0002084)	1	0	.17	-	 < 0.01	8.40E-01
positive regulation of isomerase activity (GO:0010912)	2	0	.35	-	 < 0.01	7.06E-01
pyridoxine biosynthetic process (GO:0008615)	1	0	.17	-	 < 0.01	8.40E-01
regulation of isomerase activity (GO:0010911)	2	0	.35	-	 < 0.01	7.06E-01
pyridoxine metabolic process (GO:0008614)	1	0	.17	-	 < 0.01	8.40E-01
peptidyl-lysine modification to peptidyl-hypusine (GO:0008612)	1	0	.17	-	 < 0.01	8.40E-01
ether lipid biosynthetic process (GO:0008611)	1	0	.17	-	 < 0.01	8.40E-01
phenylalanyl-tRNA aminoacylation (GO:0006432)	2	0	.35	-	 < 0.01	7.06E-01
positive regulation of glucose metabolic process (GO:0010907)	4	0	.70	-	 < 0.01	4.98E-01
regulation of striated muscle tissue development (GO:0016202)	5	0	.87	-	 < 0.01	4.18E-01
synaptic target inhibition (GO:0016201)	13	0	2.27	-	 < 0.01	1.03E-01
regulation of Roundabout signaling pathway (GO:0035386)	1	0	.17	-	 < 0.01	8.40E-01
modulation of process of other organism involved in symbiotic interaction (GO:0051817)	2	0	.35	-	 < 0.01	7.06E-01
Roundabout signaling pathway (GO:0035385)	3	0	.52	-	 < 0.01	5.93E-01
neuron death (GO:0070997)	2	0	.35	-	 < 0.01	7.06E-01
neuroblast development (GO:0014019)	19	0	3.31	-	 < 0.01	3.62E-02
alanyl-tRNA aminoacylation (GO:0006419)	1	0	.17	-	 < 0.01	8.40E-01
tRNA aminoacylation for protein translation (GO:0006418)	3	0	.52	-	 < 0.01	5.93E-01
protein localization to microtubule (GO:0035372)	1	0	.17	-	 < 0.01	8.40E-01
oxidative demethylation (GO:0070989)	1	0	.17	-	 < 0.01	8.40E-01
error-free translesion synthesis (GO:0070987)	1	0	.17	-	 < 0.01	8.40E-01
left/right axis specification (GO:0070986)	1	0	.17	-	 < 0.01	8.40E-01
glial cell proliferation (GO:0014009)	3	0	.52	-	 < 0.01	5.93E-01
meiotic sister chromatid segregation (GO:0045144)	8	0	1.40	-	 < 0.01	2.48E-01
basement membrane assembly involved in embryonic body morphogenesis (GO:2001197)	1	0	.17	-	 < 0.01	8.40E-01
tRNA export from nucleus (GO:0006409)	1	0	.17	-	 < 0.01	8.40E-01
RNA import into nucleus (GO:0006404)	1	0	.17	-	 < 0.01	8.40E-01
positive regulation of histone ubiquitination (GO:0033184)	1	0	.17	-	 < 0.01	8.40E-01
negative regulation of cellular response to oxidative stress (GO:1900408)	1	0	.17	-	 < 0.01	8.40E-01
protein localization to endoplasmic reticulum exit site (GO:0070973)	1	0	.17	-	 < 0.01	8.40E-01
smooth septate junction assembly (GO:0090528)	2	0	.35	-	 < 0.01	7.06E-01
actin filament reorganization (GO:0090527)	7	0	1.22	-	 < 0.01	2.95E-01
vesicle tethering involved in exocytosis (GO:0090522)	4	0	.70	-	 < 0.01	4.98E-01
cardiac muscle cell-cardiac muscle cell adhesion (GO:0086042)	1	0	.17	-	 < 0.01	8.40E-01
nuclear-transcribed mRNA catabolic process, no-go decay (GO:0070966)	1	0	.17	-	 < 0.01	8.40E-01
positive regulation of ATP biosynthetic process (GO:2001171)	2	0	.35	-	 < 0.01	7.06E-01
UDP-xylose transmembrane transport (GO:0015790)	2	0	.35	-	 < 0.01	7.06E-01
histone H3-K9 demethylation (GO:0033169)	3	0	.52	-	 < 0.01	5.93E-01
conversion of ds siRNA to ss siRNA involved in RNA interference (GO:0033168)	1	0	.17	-	 < 0.01	8.40E-01
positive regulation of histone H2B ubiquitination (GO:2001168)	1	0	.17	-	 < 0.01	8.40E-01
UDP-glucuronic acid transmembrane transport (GO:0015787)	1	0	.17	-	 < 0.01	8.40E-01
UDP-glucose transmembrane transport (GO:0015786)	1	0	.17	-	 < 0.01	8.40E-01
epiboly involved in wound healing (GO:0090505)	4	0	.70	-	 < 0.01	4.98E-01
epiboly (GO:0090504)	4	0	.70	-	 < 0.01	4.98E-01
GDP-fucose transmembrane transport (GO:0015783)	2	0	.35	-	 < 0.01	7.06E-01
long-chain fatty-acyl-CoA biosynthetic process (GO:0035338)	1	0	.17	-	 < 0.01	8.40E-01
Notch receptor processing, ligand-dependent (GO:0035333)	3	0	.52	-	 < 0.01	5.93E-01
regulation of translation at postsynapse (GO:0140245)	1	0	.17	-	 < 0.01	8.40E-01
regulation of translation at synapse (GO:0140243)	1	0	.17	-	 < 0.01	8.40E-01
hippo signaling (GO:0035329)	9	0	1.57	-	 < 0.01	2.08E-01
sucrose transport (GO:0015770)	1	0	.17	-	 < 0.01	8.40E-01
postsynaptic endocytosis (GO:0140239)	1	0	.17	-	 < 0.01	8.40E-01
positive regulation of intracellular estrogen receptor signaling pathway (GO:0033148)	1	0	.17	-	 < 0.01	8.40E-01
regulation of intracellular estrogen receptor signaling pathway (GO:0033146)	1	0	.17	-	 < 0.01	8.40E-01
trehalose catabolic process (GO:0005993)	1	0	.17	-	 < 0.01	8.40E-01
positive regulation of intracellular steroid hormone receptor signaling pathway (GO:0033145)	2	0	.35	-	 < 0.01	7.06E-01
trehalose biosynthetic process (GO:0005992)	1	0	.17	-	 < 0.01	8.40E-01
negative regulation of intracellular steroid hormone receptor signaling pathway (GO:0033144)	1	0	.17	-	 < 0.01	8.40E-01
trehalose metabolic process (GO:0005991)	3	0	.52	-	 < 0.01	5.93E-01
regulation of intracellular steroid hormone receptor signaling pathway (GO:0033143)	4	0	.70	-	 < 0.01	4.98E-01
membrane depolarization during action potential (GO:0086010)	3	0	.52	-	 < 0.01	5.93E-01
3'-UTR-mediated mRNA stabilization (GO:0070935)	1	0	.17	-	 < 0.01	8.40E-01
histone H4 deacetylation (GO:0070933)	1	0	.17	-	 < 0.01	8.40E-01
histone H3 deacetylation (GO:0070932)	3	0	.52	-	 < 0.01	5.93E-01
clathrin-dependent synaptic vesicle endocytosis (GO:0150007)	7	0	1.22	-	 < 0.01	2.95E-01
imaginal disc-derived wing hair outgrowth (GO:0035318)	1	0	.17	-	 < 0.01	8.40E-01
scab formation (GO:0035314)	2	0	.35	-	 < 0.01	7.06E-01
wound healing, spreading of epidermal cells (GO:0035313)	3	0	.52	-	 < 0.01	5.93E-01
sucrose biosynthetic process (GO:0005986)	1	0	.17	-	 < 0.01	8.40E-01
positive regulation of peptidyl-serine phosphorylation (GO:0033138)	1	0	.17	-	 < 0.01	8.40E-01
wing cell fate specification (GO:0035311)	3	0	.52	-	 < 0.01	5.93E-01
sucrose metabolic process (GO:0005985)	1	0	.17	-	 < 0.01	8.40E-01
notum cell fate specification (GO:0035310)	5	0	.87	-	 < 0.01	4.18E-01
disaccharide metabolic process (GO:0005984)	4	0	.70	-	 < 0.01	4.98E-01
regulation of peptidyl-serine phosphorylation (GO:0033135)	1	0	.17	-	 < 0.01	8.40E-01
siRNA loading onto RISC involved in chromatin silencing by small RNA (GO:0070923)	2	0	.35	-	 < 0.01	7.06E-01
small RNA loading onto RISC (GO:0070922)	9	0	1.57	-	 < 0.01	2.08E-01
negative regulation of endocytic recycling (GO:2001136)	2	0	.35	-	 < 0.01	7.06E-01
regulation of production of small RNA involved in gene silencing by RNA (GO:0070920)	3	0	.52	-	 < 0.01	5.93E-01
regulation of endocytic recycling (GO:2001135)	4	0	.70	-	 < 0.01	4.98E-01
wing and notum subfield formation (GO:0035309)	12	0	2.09	-	 < 0.01	1.23E-01
glycogen biosynthetic process (GO:0005978)	3	0	.52	-	 < 0.01	5.93E-01
positive regulation of histone phosphorylation (GO:0033129)	1	0	.17	-	 < 0.01	8.40E-01
negative regulation of histone phosphorylation (GO:0033128)	2	0	.35	-	 < 0.01	7.06E-01
regulation of histone phosphorylation (GO:0033127)	3	0	.52	-	 < 0.01	5.93E-01
aromatic amino acid family biosynthetic process, prephenate pathway (GO:0009095)	1	0	.17	-	 < 0.01	8.40E-01
production of small RNA involved in gene silencing by RNA (GO:0070918)	15	0	2.62	-	 < 0.01	7.29E-02
UV-damage excision repair (GO:0070914)	3	0	.52	-	 < 0.01	5.93E-01
positive regulation of hormone secretion (GO:0046887)	8	0	1.40	-	 < 0.01	2.48E-01
positive regulation of hormone biosynthetic process (GO:0046886)	4	0	.70	-	 < 0.01	4.98E-01
regulation of hormone biosynthetic process (GO:0046885)	8	0	1.40	-	 < 0.01	2.48E-01
citrate transport (GO:0015746)	3	0	.52	-	 < 0.01	5.93E-01
positive regulation of CENP-A containing nucleosome assembly (GO:1903099)	1	0	.17	-	 < 0.01	8.40E-01
regulation of CENP-A containing nucleosome assembly (GO:1903097)	1	0	.17	-	 < 0.01	8.40E-01
lysine biosynthetic process (GO:0009085)	1	0	.17	-	 < 0.01	8.40E-01
hormone secretion (GO:0046879)	1	0	.17	-	 < 0.01	8.40E-01
quinolinate metabolic process (GO:0046874)	1	0	.17	-	 < 0.01	8.40E-01
taurine transport (GO:0015734)	1	0	.17	-	 < 0.01	8.40E-01
aromatic amino acid family biosynthetic process (GO:0009073)	1	0	.17	-	 < 0.01	8.40E-01
serine family amino acid catabolic process (GO:0009071)	1	0	.17	-	 < 0.01	8.40E-01
carotenoid transport (GO:0046867)	1	0	.17	-	 < 0.01	8.40E-01
tetraterpenoid transport (GO:0046866)	1	0	.17	-	 < 0.01	8.40E-01
terpenoid transport (GO:0046865)	2	0	.35	-	 < 0.01	7.06E-01
isoprenoid transport (GO:0046864)	2	0	.35	-	 < 0.01	7.06E-01
formate transport (GO:0015724)	1	0	.17	-	 < 0.01	8.40E-01
mitochondrial double-strand break repair via homologous recombination (GO:0097552)	1	0	.17	-	 < 0.01	8.40E-01
mitochondrial double-strand break repair (GO:0097551)	1	0	.17	-	 < 0.01	8.40E-01
negative regulation of protein localization to plasma membrane (GO:1903077)	1	0	.17	-	 < 0.01	8.40E-01
aspartate family amino acid catabolic process (GO:0009068)	1	0	.17	-	 < 0.01	8.40E-01
monocarboxylic acid transport (GO:0015718)	15	0	2.62	-	 < 0.01	7.29E-02
detection of chemical stimulus involved in sensory perception of sweet taste (GO:0001582)	2	0	.35	-	 < 0.01	7.06E-01
regulation of modification of synaptic structure (GO:1905244)	1	0	.17	-	 < 0.01	8.40E-01
positive regulation of protein lipidation (GO:1903061)	2	0	.35	-	 < 0.01	7.06E-01
pentose-phosphate shunt, oxidative branch (GO:0009051)	1	0	.17	-	 < 0.01	8.40E-01
regulation of protein lipidation (GO:1903059)	2	0	.35	-	 < 0.01	7.06E-01
negative regulation of eye photoreceptor cell development (GO:0042480)	3	0	.52	-	 < 0.01	5.93E-01
response to protozoan (GO:0001562)	2	0	.35	-	 < 0.01	7.06E-01
negative regulation of acetylcholine-gated cation channel activity (GO:1903049)	1	0	.17	-	 < 0.01	8.40E-01
regulation of acetylcholine-gated cation channel activity (GO:1903048)	1	0	.17	-	 < 0.01	8.40E-01
oocyte maturation (GO:0001556)	4	0	.70	-	 < 0.01	4.98E-01
oocyte growth (GO:0001555)	6	0	1.05	-	 < 0.01	3.51E-01
positive regulation of protein export from nucleus (GO:0046827)	1	0	.17	-	 < 0.01	8.40E-01
histone H3-K4 dimethylation (GO:0044648)	1	0	.17	-	 < 0.01	8.40E-01
negative regulation of small molecule metabolic process (GO:0062014)	1	0	.17	-	 < 0.01	8.40E-01
mannosylation (GO:0097502)	2	0	.35	-	 < 0.01	7.06E-01
positive regulation of cellular response to X-ray (GO:2000685)	2	0	.35	-	 < 0.01	7.06E-01
regulation of cellular response to X-ray (GO:2000683)	4	0	.70	-	 < 0.01	4.98E-01
positive regulation of glycoprotein metabolic process (GO:1903020)	2	0	.35	-	 < 0.01	7.06E-01
heteroduplex formation (GO:0030491)	1	0	.17	-	 < 0.01	8.40E-01
regulation of glycoprotein metabolic process (GO:1903018)	3	0	.52	-	 < 0.01	5.93E-01
negative regulation of motor neuron apoptotic process (GO:2000672)	1	0	.17	-	 < 0.01	8.40E-01
regulation of motor neuron apoptotic process (GO:2000671)	1	0	.17	-	 < 0.01	8.40E-01
ethanolamine-containing compound metabolic process (GO:0042439)	3	0	.52	-	 < 0.01	5.93E-01
melanin biosynthetic process (GO:0042438)	4	0	.70	-	 < 0.01	4.98E-01
indole-containing compound catabolic process (GO:0042436)	2	0	.35	-	 < 0.01	7.06E-01
indole-containing compound biosynthetic process (GO:0042435)	4	0	.70	-	 < 0.01	4.98E-01
positive regulation of protein deubiquitination (GO:1903003)	1	0	.17	-	 < 0.01	8.40E-01
indole-containing compound metabolic process (GO:0042430)	7	0	1.22	-	 < 0.01	2.95E-01
prostaglandin biosynthetic process (GO:0001516)	1	0	.17	-	 < 0.01	8.40E-01
selenocysteine incorporation (GO:0001514)	1	0	.17	-	 < 0.01	8.40E-01
nuclear migration along microtubule (GO:0030473)	1	0	.17	-	 < 0.01	8.40E-01
protein deadenylylation (GO:0044602)	1	0	.17	-	 < 0.01	8.40E-01
serotonin metabolic process (GO:0042428)	2	0	.35	-	 < 0.01	7.06E-01
protein denucleotidylation (GO:0044601)	1	0	.17	-	 < 0.01	8.40E-01
serotonin biosynthetic process (GO:0042427)	2	0	.35	-	 < 0.01	7.06E-01
choline catabolic process (GO:0042426)	1	0	.17	-	 < 0.01	8.40E-01
catecholamine catabolic process (GO:0042424)	3	0	.52	-	 < 0.01	5.93E-01
positive regulation of sodium ion transmembrane transporter activity (GO:2000651)	1	0	.17	-	 < 0.01	8.40E-01
negative regulation of sodium ion transmembrane transporter activity (GO:2000650)	1	0	.17	-	 < 0.01	8.40E-01
norepinephrine biosynthetic process (GO:0042421)	2	0	.35	-	 < 0.01	7.06E-01
dopamine catabolic process (GO:0042420)	2	0	.35	-	 < 0.01	7.06E-01
action potential (GO:0001508)	6	0	1.05	-	 < 0.01	3.51E-01
acetylcholine catabolic process in synaptic cleft (GO:0001507)	1	0	.17	-	 < 0.01	8.40E-01
neurotransmitter uptake (GO:0001504)	3	0	.52	-	 < 0.01	5.93E-01
regulation of sodium ion transmembrane transporter activity (GO:2000649)	2	0	.35	-	 < 0.01	7.06E-01
norepinephrine metabolic process (GO:0042415)	2	0	.35	-	 < 0.01	7.06E-01
cristae formation (GO:0042407)	2	0	.35	-	 < 0.01	7.06E-01
regulation of asymmetric protein localization involved in cell fate determination (GO:1904785)	1	0	.17	-	 < 0.01	8.40E-01
protein myristoylation (GO:0018377)	1	0	.17	-	 < 0.01	8.40E-01
cellular biogenic amine catabolic process (GO:0042402)	3	0	.52	-	 < 0.01	5.93E-01
positive regulation of triglyceride catabolic process (GO:0010898)	5	0	.87	-	 < 0.01	4.18E-01
negative regulation of triglyceride catabolic process (GO:0010897)	3	0	.52	-	 < 0.01	5.93E-01
regulation of triglyceride catabolic process (GO:0010896)	8	0	1.40	-	 < 0.01	2.48E-01
positive regulation of steroid biosynthetic process (GO:0010893)	4	0	.70	-	 < 0.01	4.98E-01
positive regulation of transcription by transcription factor localization (GO:0061586)	2	0	.35	-	 < 0.01	7.06E-01
negative regulation of sequestering of triglyceride (GO:0010891)	2	0	.35	-	 < 0.01	7.06E-01
positive regulation of sequestering of triglyceride (GO:0010890)	3	0	.52	-	 < 0.01	5.93E-01
positive regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:2000624)	1	0	.17	-	 < 0.01	8.40E-01
positive regulation of protein localization to cell cortex (GO:1904778)	1	0	.17	-	 < 0.01	8.40E-01
