




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Neurospora crassa)
Reference List:	neurospora_background.txt (Neurospora crassa)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	neurospora_background.txt - REFLIST (9213)	upload_1 (169)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
posttranscriptional gene silencing (GO:0016441)	5	0	.09	-	 < 0.01	9.12E-01
regulation of gene silencing (GO:0060968)	5	0	.09	-	 < 0.01	9.12E-01
chloride transmembrane transport (GO:1902476)	1	0	.02	-	 < 0.01	9.82E-01
L-alpha-amino acid transmembrane transport (GO:1902475)	5	0	.09	-	 < 0.01	9.12E-01
positive regulation of conjugation with cellular fusion (GO:0031139)	2	0	.04	-	 < 0.01	9.64E-01
mRNA polyadenylation (GO:0006378)	15	0	.28	-	 < 0.01	7.59E-01
response to toxic substance (GO:0009636)	31	0	.57	-	 < 0.01	5.66E-01
mRNA splice site selection (GO:0006376)	4	0	.07	-	 < 0.01	9.29E-01
negative regulation of chromosome segregation (GO:0051985)	6	0	.11	-	 < 0.01	8.96E-01
regulation of chromosome segregation (GO:0051983)	15	0	.28	-	 < 0.01	7.59E-01
DNA double-strand break processing (GO:0000729)	2	0	.04	-	 < 0.01	9.64E-01
double-strand break repair via break-induced replication (GO:0000727)	10	0	.18	-	 < 0.01	8.32E-01
non-recombinational repair (GO:0000726)	10	0	.18	-	 < 0.01	8.32E-01
recombinational repair (GO:0000725)	35	0	.64	-	 < 0.01	5.26E-01
mitotic G2/M transition checkpoint (GO:0044818)	8	0	.15	-	 < 0.01	8.63E-01
double-strand break repair via homologous recombination (GO:0000724)	32	0	.59	-	 < 0.01	5.55E-01
telomere maintenance (GO:0000723)	16	0	.29	-	 < 0.01	7.45E-01
actin filament depolymerization (GO:0030042)	6	0	.11	-	 < 0.01	8.96E-01
actin filament polymerization (GO:0030041)	15	0	.28	-	 < 0.01	7.59E-01
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	6	0	.11	-	 < 0.01	8.96E-01
regulation of telomere maintenance via telomerase (GO:0032210)	1	0	.02	-	 < 0.01	9.82E-01
organelle fission (GO:0048285)	134	0	2.46	-	 < 0.01	8.41E-02
response to abiotic stimulus (GO:0009628)	20	0	.37	-	 < 0.01	6.93E-01
glucose metabolic process (GO:0006006)	13	0	.24	-	 < 0.01	7.88E-01
transcription elongation from RNA polymerase II promoter (GO:0006368)	12	0	.22	-	 < 0.01	8.02E-01
transcription initiation from RNA polymerase II promoter (GO:0006367)	25	0	.46	-	 < 0.01	6.32E-01
mRNA 3'-end processing (GO:0031124)	21	0	.39	-	 < 0.01	6.80E-01
RNA 3'-end processing (GO:0031123)	34	0	.62	-	 < 0.01	5.35E-01
cytoplasmic microtubule organization (GO:0031122)	10	0	.18	-	 < 0.01	8.32E-01
transcription by RNA polymerase I (GO:0006360)	11	0	.20	-	 < 0.01	8.17E-01
lipid homeostasis (GO:0055088)	6	0	.11	-	 < 0.01	8.96E-01
actin cytoskeleton organization (GO:0030036)	35	0	.64	-	 < 0.01	5.26E-01
resolution of meiotic recombination intermediates (GO:0000712)	8	0	.15	-	 < 0.01	8.63E-01
cell projection assembly (GO:0030031)	5	0	.09	-	 < 0.01	9.12E-01
cell projection organization (GO:0030030)	6	0	.11	-	 < 0.01	8.96E-01
homologous recombination (GO:0035825)	11	0	.20	-	 < 0.01	8.17E-01
regulation of telomere maintenance (GO:0032204)	1	0	.02	-	 < 0.01	9.82E-01
inorganic anion transport (GO:0015698)	13	0	.24	-	 < 0.01	7.88E-01
quaternary ammonium group transport (GO:0015697)	1	0	.02	-	 < 0.01	9.82E-01
telomere organization (GO:0032200)	16	0	.29	-	 < 0.01	7.45E-01
organic cation transport (GO:0015695)	3	0	.06	-	 < 0.01	9.46E-01
protein maturation (GO:0051604)	27	0	.50	-	 < 0.01	6.09E-01
DNA-templated transcription, elongation (GO:0006354)	17	0	.31	-	 < 0.01	7.32E-01
DNA-templated transcription, initiation (GO:0006352)	34	0	.62	-	 < 0.01	5.35E-01
regulation of actin filament organization (GO:0110053)	16	0	.29	-	 < 0.01	7.45E-01
regulation of microtubule polymerization or depolymerization (GO:0031110)	3	0	.06	-	 < 0.01	9.46E-01
actin filament-based process (GO:0030029)	35	0	.64	-	 < 0.01	5.26E-01
regulation of apoptotic process (GO:0042981)	2	0	.04	-	 < 0.01	9.64E-01
copper ion homeostasis (GO:0055070)	5	0	.09	-	 < 0.01	9.12E-01
regulation of secretion by cell (GO:1903530)	3	0	.06	-	 < 0.01	9.46E-01
response to biotic stimulus (GO:0009607)	1	0	.02	-	 < 0.01	9.82E-01
microtubule polymerization or depolymerization (GO:0031109)	12	0	.22	-	 < 0.01	8.02E-01
chromatin silencing at telomere (GO:0006348)	8	0	.15	-	 < 0.01	8.63E-01
negative regulation of signal transduction (GO:0009968)	7	0	.13	-	 < 0.01	8.79E-01
piecemeal microautophagy of the nucleus (GO:0034727)	8	0	.15	-	 < 0.01	8.63E-01
septin ring organization (GO:0031106)	2	0	.04	-	 < 0.01	9.64E-01
DNA replication-independent nucleosome organization (GO:0034724)	5	0	.09	-	 < 0.01	9.12E-01
chromatin silencing (GO:0006342)	15	0	.28	-	 < 0.01	7.59E-01
establishment of cell polarity (GO:0030010)	8	0	.15	-	 < 0.01	8.63E-01
regulation of receptor-mediated endocytosis (GO:0048259)	1	0	.02	-	 < 0.01	9.82E-01
mitochondrial translation (GO:0032543)	12	0	.22	-	 < 0.01	8.02E-01
mRNA stabilization (GO:0048255)	1	0	.02	-	 < 0.01	9.82E-01
chromatin remodeling (GO:0006338)	41	0	.75	-	 < 0.01	4.71E-01
ergosterol biosynthetic process (GO:0006696)	5	0	.09	-	 < 0.01	9.12E-01
steroid biosynthetic process (GO:0006694)	14	0	.26	-	 < 0.01	7.73E-01
icosanoid metabolic process (GO:0006690)	1	0	.02	-	 < 0.01	9.82E-01
central nervous system development (GO:0007417)	1	0	.02	-	 < 0.01	9.82E-01
regulation of cellular component size (GO:0032535)	19	0	.35	-	 < 0.01	7.05E-01
liposaccharide metabolic process (GO:1903509)	24	0	.44	-	 < 0.01	6.44E-01
positive regulation of nucleic acid-templated transcription (GO:1903508)	77	0	1.41	-	 < 0.01	2.42E-01
membrane protein proteolysis (GO:0033619)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of nucleic acid-templated transcription (GO:1903507)	47	0	.86	-	 < 0.01	4.21E-01
mitochondrial cytochrome c oxidase assembly (GO:0033617)	11	0	.20	-	 < 0.01	8.17E-01
mitochondrial proton-transporting ATP synthase complex assembly (GO:0033615)	5	0	.09	-	 < 0.01	9.12E-01
regulation of microtubule-based process (GO:0032886)	4	0	.07	-	 < 0.01	9.29E-01
mitochondrial outer membrane translocase complex assembly (GO:0070096)	5	0	.09	-	 < 0.01	9.12E-01
regulation of protein localization (GO:0032880)	9	0	.17	-	 < 0.01	8.48E-01
mitotic recombination (GO:0006312)	7	0	.13	-	 < 0.01	8.79E-01
DNA recombination (GO:0006310)	51	0	.94	-	 < 0.01	3.91E-01
cytoplasmic mRNA processing body assembly (GO:0033962)	8	0	.15	-	 < 0.01	8.63E-01
regulation of localization (GO:0032879)	22	0	.40	-	 < 0.01	6.68E-01
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	13	0	.24	-	 < 0.01	7.88E-01
negative regulation of response to stimulus (GO:0048585)	8	0	.15	-	 < 0.01	8.63E-01
cellular response to hormone stimulus (GO:0032870)	1	0	.02	-	 < 0.01	9.82E-01
nucleotide transmembrane transport (GO:1901679)	2	0	.04	-	 < 0.01	9.64E-01
double-strand break repair via nonhomologous end joining (GO:0006303)	8	0	.15	-	 < 0.01	8.63E-01
double-strand break repair (GO:0006302)	48	0	.88	-	 < 0.01	4.14E-01
glycolipid metabolic process (GO:0006664)	24	0	.44	-	 < 0.01	6.44E-01
postreplication repair (GO:0006301)	12	0	.22	-	 < 0.01	8.02E-01
phosphatidylinositol biosynthetic process (GO:0006661)	22	0	.40	-	 < 0.01	6.68E-01
vesicle transport along microtubule (GO:0047496)	5	0	.09	-	 < 0.01	9.12E-01
microtubule-based protein transport (GO:0099118)	1	0	.02	-	 < 0.01	9.82E-01
protein stabilization (GO:0050821)	6	0	.11	-	 < 0.01	8.96E-01
microtubule-based transport (GO:0099111)	11	0	.20	-	 < 0.01	8.17E-01
endosome transport via multivesicular body sorting pathway (GO:0032509)	17	0	.31	-	 < 0.01	7.32E-01
DNA duplex unwinding (GO:0032508)	10	0	.18	-	 < 0.01	8.32E-01
cellular response to insulin stimulus (GO:0032869)	1	0	.02	-	 < 0.01	9.82E-01
IMP metabolic process (GO:0046040)	6	0	.11	-	 < 0.01	8.96E-01
cytokinetic process (GO:0032506)	1	0	.02	-	 < 0.01	9.82E-01
response to insulin (GO:0032868)	1	0	.02	-	 < 0.01	9.82E-01
multicellular organismal process (GO:0032501)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of cell cycle G2/M phase transition (GO:1902750)	8	0	.15	-	 < 0.01	8.63E-01
regulation of cellular response to stress (GO:0080135)	13	0	.24	-	 < 0.01	7.88E-01
regulation of response to stress (GO:0080134)	13	0	.24	-	 < 0.01	7.88E-01
AMP metabolic process (GO:0046033)	4	0	.07	-	 < 0.01	9.29E-01
carboxylic acid catabolic process (GO:0046395)	59	0	1.08	-	 < 0.01	3.38E-01
regulation of cell cycle G2/M phase transition (GO:1902749)	12	0	.22	-	 < 0.01	8.02E-01
ATP synthesis coupled proton transport (GO:0015986)	27	0	.50	-	 < 0.01	6.09E-01
energy coupled proton transport, down electrochemical gradient (GO:0015985)	27	0	.50	-	 < 0.01	6.09E-01
energy derivation by oxidation of organic compounds (GO:0015980)	40	0	.73	-	 < 0.01	4.79E-01
triglyceride metabolic process (GO:0006641)	4	0	.07	-	 < 0.01	9.29E-01
cellular response to peptide (GO:1901653)	1	0	.02	-	 < 0.01	9.82E-01
response to peptide (GO:1901652)	1	0	.02	-	 < 0.01	9.82E-01
establishment of protein localization to endoplasmic reticulum (GO:0072599)	15	0	.28	-	 < 0.01	7.59E-01
positive regulation of protein modification process (GO:0031401)	15	0	.28	-	 < 0.01	7.59E-01
negative regulation of protein modification process (GO:0031400)	8	0	.15	-	 < 0.01	8.63E-01
establishment of protein localization to organelle (GO:0072594)	107	0	1.96	-	 < 0.01	1.39E-01
acylglycerol metabolic process (GO:0006639)	4	0	.07	-	 < 0.01	9.29E-01
neutral lipid metabolic process (GO:0006638)	5	0	.09	-	 < 0.01	9.12E-01
nuclear envelope organization (GO:0006998)	5	0	.09	-	 < 0.01	9.12E-01
mRNA cis splicing, via spliceosome (GO:0045292)	7	0	.13	-	 < 0.01	8.79E-01
fatty acid beta-oxidation (GO:0006635)	11	0	.20	-	 < 0.01	8.17E-01
nucleus organization (GO:0006997)	18	0	.33	-	 < 0.01	7.19E-01
chaperone-mediated protein folding (GO:0061077)	10	0	.18	-	 < 0.01	8.32E-01
reproductive process (GO:0022414)	51	0	.94	-	 < 0.01	3.91E-01
positive regulation of cell growth (GO:0030307)	1	0	.02	-	 < 0.01	9.82E-01
clathrin-dependent endocytosis (GO:0072583)	4	0	.07	-	 < 0.01	9.29E-01
negative regulation of chromosome organization (GO:2001251)	9	0	.17	-	 < 0.01	8.48E-01
developmental process involved in reproduction (GO:0003006)	3	0	.06	-	 < 0.01	9.46E-01
protein targeting to mitochondrion (GO:0006626)	23	0	.42	-	 < 0.01	6.55E-01
protein targeting to peroxisome (GO:0006625)	13	0	.24	-	 < 0.01	7.88E-01
vacuolar protein processing (GO:0006624)	4	0	.07	-	 < 0.01	9.29E-01
protein targeting to vacuole (GO:0006623)	14	0	.26	-	 < 0.01	7.73E-01
posttranslational protein targeting to endoplasmic reticulum membrane (GO:0006620)	5	0	.09	-	 < 0.01	9.12E-01
negative regulation of mitotic cell cycle phase transition (GO:1901991)	15	0	.28	-	 < 0.01	7.59E-01
regulation of mitotic cell cycle phase transition (GO:1901990)	27	0	.50	-	 < 0.01	6.09E-01
cell cycle phase (GO:0022403)	16	0	.29	-	 < 0.01	7.45E-01
cell cycle process (GO:0022402)	143	0	2.62	-	 < 0.01	7.11E-02
cellular response to light stimulus (GO:0071482)	3	0	.06	-	 < 0.01	9.46E-01
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	1	0	.02	-	 < 0.01	9.82E-01
regulation of intrinsic apoptotic signaling pathway (GO:2001242)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of cell cycle phase transition (GO:1901988)	15	0	.28	-	 < 0.01	7.59E-01
regulation of cell cycle phase transition (GO:1901987)	27	0	.50	-	 < 0.01	6.09E-01
interstrand cross-link repair (GO:0036297)	6	0	.11	-	 < 0.01	8.96E-01
protein targeting to membrane (GO:0006612)	22	0	.40	-	 < 0.01	6.68E-01
cellular response to DNA damage stimulus (GO:0006974)	136	0	2.49	-	 < 0.01	8.10E-02
response to decreased oxygen levels (GO:0036293)	2	0	.04	-	 < 0.01	9.64E-01
response to osmotic stress (GO:0006970)	1	0	.02	-	 < 0.01	9.82E-01
cellular response to osmotic stress (GO:0071470)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of apoptotic signaling pathway (GO:2001234)	1	0	.02	-	 < 0.01	9.82E-01
regulation of apoptotic signaling pathway (GO:2001233)	1	0	.02	-	 < 0.01	9.82E-01
protein import into nucleus (GO:0006606)	27	0	.50	-	 < 0.01	6.09E-01
protein targeting (GO:0006605)	76	0	1.39	-	 < 0.01	2.47E-01
organic hydroxy compound biosynthetic process (GO:1901617)	32	0	.59	-	 < 0.01	5.55E-01
G2/M transition of mitotic cell cycle (GO:0000086)	12	0	.22	-	 < 0.01	8.02E-01
positive regulation of DNA-templated transcription, initiation (GO:2000144)	7	0	.13	-	 < 0.01	8.79E-01
G1/S transition of mitotic cell cycle (GO:0000082)	7	0	.13	-	 < 0.01	8.79E-01
regulation of DNA-templated transcription, initiation (GO:2000142)	7	0	.13	-	 < 0.01	8.79E-01
production of miRNAs involved in gene silencing by miRNA (GO:0035196)	1	0	.02	-	 < 0.01	9.82E-01
protein K48-linked deubiquitination (GO:0071108)	2	0	.04	-	 < 0.01	9.64E-01
gene silencing by miRNA (GO:0035195)	1	0	.02	-	 < 0.01	9.82E-01
post-transcriptional gene silencing by RNA (GO:0035194)	5	0	.09	-	 < 0.01	9.12E-01
regulation of GTPase activity (GO:0043087)	18	0	.33	-	 < 0.01	7.19E-01
positive regulation of catalytic activity (GO:0043085)	32	0	.59	-	 < 0.01	5.55E-01
RNA phosphodiester bond hydrolysis, endonucleolytic (GO:0090502)	20	0	.37	-	 < 0.01	6.93E-01
RNA phosphodiester bond hydrolysis (GO:0090501)	26	0	.48	-	 < 0.01	6.20E-01
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	12	0	.22	-	 < 0.01	8.02E-01
cell motility (GO:0048870)	3	0	.06	-	 < 0.01	9.46E-01
DNA damage checkpoint (GO:0000077)	16	0	.29	-	 < 0.01	7.45E-01
DNA replication checkpoint (GO:0000076)	9	0	.17	-	 < 0.01	8.48E-01
regulation of ERK1 and ERK2 cascade (GO:0070372)	1	0	.02	-	 < 0.01	9.82E-01
cell cycle checkpoint (GO:0000075)	29	0	.53	-	 < 0.01	5.87E-01
ERK1 and ERK2 cascade (GO:0070371)	1	0	.02	-	 < 0.01	9.82E-01
defense response (GO:0006952)	2	0	.04	-	 < 0.01	9.64E-01
mitotic sister chromatid segregation (GO:0000070)	35	0	.64	-	 < 0.01	5.26E-01
cellular response to hypoxia (GO:0071456)	1	0	.02	-	 < 0.01	9.82E-01
membrane fusion (GO:0061025)	60	0	1.10	-	 < 0.01	3.31E-01
membrane organization (GO:0061024)	150	0	2.75	-	 < 0.01	6.24E-02
negative regulation of programmed cell death (GO:0043069)	3	0	.06	-	 < 0.01	9.46E-01
regulation of programmed cell death (GO:0043067)	3	0	.06	-	 < 0.01	9.46E-01
negative regulation of apoptotic process (GO:0043066)	2	0	.04	-	 < 0.01	9.64E-01
sterol transport (GO:0015918)	1	0	.02	-	 < 0.01	9.82E-01
cell projection morphogenesis (GO:0048858)	1	0	.02	-	 < 0.01	9.82E-01
phospholipid transport (GO:0015914)	11	0	.20	-	 < 0.01	8.17E-01
anatomical structure development (GO:0048856)	11	0	.20	-	 < 0.01	8.17E-01
regulation of cell differentiation (GO:0045595)	2	0	.04	-	 < 0.01	9.64E-01
inorganic anion transmembrane transport (GO:0098661)	10	0	.18	-	 < 0.01	8.32E-01
regulation of mRNA catabolic process (GO:0061013)	4	0	.07	-	 < 0.01	9.29E-01
regulation of cell development (GO:0060284)	1	0	.02	-	 < 0.01	9.82E-01
long-chain fatty acid transport (GO:0015909)	1	0	.02	-	 < 0.01	9.82E-01
movement of cell or subcellular component (GO:0006928)	27	0	.50	-	 < 0.01	6.09E-01
regulation of signaling receptor activity (GO:0010469)	1	0	.02	-	 < 0.01	9.82E-01
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	20	0	.37	-	 < 0.01	6.93E-01
ATP-dependent chromatin remodeling (GO:0043044)	20	0	.37	-	 < 0.01	6.93E-01
centrosome duplication (GO:0051298)	2	0	.04	-	 < 0.01	9.64E-01
cilium assembly (GO:0060271)	1	0	.02	-	 < 0.01	9.82E-01
protein localization to Golgi apparatus (GO:0034067)	2	0	.04	-	 < 0.01	9.64E-01
establishment of spindle orientation (GO:0051294)	5	0	.09	-	 < 0.01	9.12E-01
establishment of spindle localization (GO:0051293)	7	0	.13	-	 < 0.01	8.79E-01
apoptotic process (GO:0006915)	5	0	.09	-	 < 0.01	9.12E-01
calcium ion transmembrane import into cytosol (GO:0097553)	1	0	.02	-	 < 0.01	9.82E-01
protein N-linked glycosylation via asparagine (GO:0018279)	5	0	.09	-	 < 0.01	9.12E-01
positive regulation of transcription initiation from RNA polymerase II promoter (GO:0060261)	7	0	.13	-	 < 0.01	8.79E-01
regulation of transcription initiation from RNA polymerase II promoter (GO:0060260)	7	0	.13	-	 < 0.01	8.79E-01
phagocytosis (GO:0006909)	1	0	.02	-	 < 0.01	9.82E-01
vesicle fusion (GO:0006906)	39	0	.72	-	 < 0.01	4.88E-01
ribosomal large subunit assembly (GO:0000027)	19	0	.35	-	 < 0.01	7.05E-01
chromatin organization involved in negative regulation of transcription (GO:0097549)	24	0	.44	-	 < 0.01	6.44E-01
spliceosomal snRNP assembly (GO:0000387)	8	0	.15	-	 < 0.01	8.63E-01
vesicle targeting (GO:0006903)	6	0	.11	-	 < 0.01	8.96E-01
vesicle budding from membrane (GO:0006900)	50	0	.92	-	 < 0.01	3.99E-01
regulation of alternative mRNA splicing, via spliceosome (GO:0000381)	8	0	.15	-	 < 0.01	8.63E-01
alternative mRNA splicing, via spliceosome (GO:0000380)	8	0	.15	-	 < 0.01	8.63E-01
beta-glucan biosynthetic process (GO:0051274)	6	0	.11	-	 < 0.01	8.96E-01
neuron projection morphogenesis (GO:0048812)	1	0	.02	-	 < 0.01	9.82E-01
regulation of DNA recombination (GO:0000018)	3	0	.06	-	 < 0.01	9.46E-01
cellular alcohol metabolic process (GO:0044107)	6	0	.11	-	 < 0.01	8.96E-01
anatomical structure homeostasis (GO:0060249)	16	0	.29	-	 < 0.01	7.45E-01
regulation of conjugation (GO:0046999)	2	0	.04	-	 < 0.01	9.64E-01
protein depolymerization (GO:0051261)	8	0	.15	-	 < 0.01	8.63E-01
protein localization to cell surface (GO:0034394)	3	0	.06	-	 < 0.01	9.46E-01
reproduction (GO:0000003)	51	0	.94	-	 < 0.01	3.91E-01
regulation of autophagosome assembly (GO:2000785)	2	0	.04	-	 < 0.01	9.64E-01
snRNA metabolic process (GO:0016073)	9	0	.17	-	 < 0.01	8.48E-01
centrosome cycle (GO:0007098)	3	0	.06	-	 < 0.01	9.46E-01
nuclear migration (GO:0007097)	8	0	.15	-	 < 0.01	8.63E-01
regulation of exit from mitosis (GO:0007096)	3	0	.06	-	 < 0.01	9.46E-01
mitotic G2 DNA damage checkpoint (GO:0007095)	3	0	.06	-	 < 0.01	9.46E-01
mitotic spindle assembly checkpoint (GO:0007094)	6	0	.11	-	 < 0.01	8.96E-01
regulation of mitotic spindle organization (GO:0060236)	1	0	.02	-	 < 0.01	9.82E-01
mitotic cell cycle checkpoint (GO:0007093)	22	0	.40	-	 < 0.01	6.68E-01
metaphase/anaphase transition of mitotic cell cycle (GO:0007091)	12	0	.22	-	 < 0.01	8.02E-01
protein polymerization (GO:0051258)	32	0	.59	-	 < 0.01	5.55E-01
Golgi to plasma membrane protein transport (GO:0043001)	4	0	.07	-	 < 0.01	9.29E-01
response to temperature stimulus (GO:0009266)	5	0	.09	-	 < 0.01	9.12E-01
positive regulation of RNA metabolic process (GO:0051254)	78	0	1.43	-	 < 0.01	2.38E-01
negative regulation of RNA metabolic process (GO:0051253)	48	0	.88	-	 < 0.01	4.14E-01
regulation of exocytosis (GO:0017157)	3	0	.06	-	 < 0.01	9.46E-01
positive regulation of RNA polymerase II transcription preinitiation complex assembly (GO:0045899)	6	0	.11	-	 < 0.01	8.96E-01
purine nucleoside metabolic process (GO:0042278)	9	0	.17	-	 < 0.01	8.48E-01
ribosomal large subunit biogenesis (GO:0042273)	51	0	.94	-	 < 0.01	3.91E-01
positive regulation of transcription, DNA-templated (GO:0045893)	77	0	1.41	-	 < 0.01	2.42E-01
negative regulation of transcription, DNA-templated (GO:0045892)	47	0	.86	-	 < 0.01	4.21E-01
regulation of double-strand break repair (GO:2000779)	1	0	.02	-	 < 0.01	9.82E-01
cell-cell fusion (GO:0140253)	12	0	.22	-	 < 0.01	8.02E-01
regulation of mitotic nuclear division (GO:0007088)	17	0	.31	-	 < 0.01	7.32E-01
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	11	0	.20	-	 < 0.01	8.17E-01
mitotic metaphase plate congression (GO:0007080)	6	0	.11	-	 < 0.01	8.96E-01
vitamin transmembrane transport (GO:0035461)	2	0	.04	-	 < 0.01	9.64E-01
positive regulation of protein metabolic process (GO:0051247)	40	0	.73	-	 < 0.01	4.79E-01
hemicellulose metabolic process (GO:0010410)	4	0	.07	-	 < 0.01	9.29E-01
peptidoglycan biosynthetic process (GO:0009252)	1	0	.02	-	 < 0.01	9.82E-01
protein modification by small protein removal (GO:0070646)	24	0	.44	-	 < 0.01	6.44E-01
hexose metabolic process (GO:0019318)	18	0	.33	-	 < 0.01	7.19E-01
Wnt signaling pathway (GO:0016055)	2	0	.04	-	 < 0.01	9.64E-01
organic acid catabolic process (GO:0016054)	59	0	1.08	-	 < 0.01	3.38E-01
ciliary transition zone assembly (GO:1905349)	1	0	.02	-	 < 0.01	9.82E-01
vesicle organization (GO:0016050)	92	0	1.69	-	 < 0.01	1.83E-01
mitotic chromosome condensation (GO:0007076)	5	0	.09	-	 < 0.01	9.12E-01
glycolipid biosynthetic process (GO:0009247)	22	0	.40	-	 < 0.01	6.68E-01
maintenance of location (GO:0051235)	11	0	.20	-	 < 0.01	8.17E-01
neuron death (GO:0070997)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of DNA replication (GO:0008156)	4	0	.07	-	 < 0.01	9.29E-01
cell growth (GO:0016049)	1	0	.02	-	 < 0.01	9.82E-01
actin polymerization or depolymerization (GO:0008154)	17	0	.31	-	 < 0.01	7.32E-01
cell cycle DNA replication (GO:0044786)	12	0	.22	-	 < 0.01	8.02E-01
metaphase/anaphase transition of cell cycle (GO:0044784)	12	0	.22	-	 < 0.01	8.02E-01
cilium organization (GO:0044782)	1	0	.02	-	 < 0.01	9.82E-01
mitotic sister chromatid cohesion (GO:0007064)	5	0	.09	-	 < 0.01	9.12E-01
peptidyl-arginine methylation (GO:0018216)	2	0	.04	-	 < 0.01	9.64E-01
sister chromatid cohesion (GO:0007062)	9	0	.17	-	 < 0.01	8.48E-01
septin cytoskeleton organization (GO:0032185)	3	0	.06	-	 < 0.01	9.46E-01
siderophore metabolic process (GO:0009237)	2	0	.04	-	 < 0.01	9.64E-01
spindle assembly (GO:0051225)	10	0	.18	-	 < 0.01	8.32E-01
stress-activated protein kinase signaling cascade (GO:0031098)	2	0	.04	-	 < 0.01	9.64E-01
regulation of protein transport (GO:0051223)	5	0	.09	-	 < 0.01	9.12E-01
demethylation (GO:0070988)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of proteolysis (GO:0045862)	6	0	.11	-	 < 0.01	8.96E-01
negative regulation of proteolysis (GO:0045861)	1	0	.02	-	 < 0.01	9.82E-01
positive regulation of protein kinase activity (GO:0045860)	10	0	.18	-	 < 0.01	8.32E-01
chromosome segregation (GO:0007059)	55	0	1.01	-	 < 0.01	3.64E-01
nuclear DNA replication (GO:0033260)	12	0	.22	-	 < 0.01	8.02E-01
mitotic DNA integrity checkpoint (GO:0044774)	14	0	.26	-	 < 0.01	7.73E-01
cytoskeleton-dependent cytokinesis (GO:0061640)	6	0	.11	-	 < 0.01	8.96E-01
peptidyl-serine modification (GO:0018209)	23	0	.42	-	 < 0.01	6.55E-01
mitotic DNA damage checkpoint (GO:0044773)	10	0	.18	-	 < 0.01	8.32E-01
mitotic cell cycle phase transition (GO:0044772)	35	0	.64	-	 < 0.01	5.26E-01
telomere-telomerase complex assembly (GO:1905324)	5	0	.09	-	 < 0.01	9.12E-01
cell cycle phase transition (GO:0044770)	35	0	.64	-	 < 0.01	5.26E-01
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043328)	6	0	.11	-	 < 0.01	8.96E-01
mitotic spindle organization (GO:0007052)	11	0	.20	-	 < 0.01	8.17E-01
spindle organization (GO:0007051)	19	0	.35	-	 < 0.01	7.05E-01
cell cycle arrest (GO:0007050)	1	0	.02	-	 < 0.01	9.82E-01
nucleotide-sugar metabolic process (GO:0009225)	8	0	.15	-	 < 0.01	8.63E-01
regulation of protein kinase activity (GO:0045859)	24	0	.44	-	 < 0.01	6.44E-01
protein K11-linked ubiquitination (GO:0070979)	4	0	.07	-	 < 0.01	9.29E-01
protein localization to endoplasmic reticulum (GO:0070972)	22	0	.40	-	 < 0.01	6.68E-01
aerobic electron transport chain (GO:0019646)	7	0	.13	-	 < 0.01	8.79E-01
cell cycle (GO:0007049)	161	0	2.95	-	 < 0.01	5.08E-02
multi-organism cellular process (GO:0044764)	12	0	.22	-	 < 0.01	8.02E-01
negative regulation of cell death (GO:0060548)	4	0	.07	-	 < 0.01	9.29E-01
histone H3-K4 methylation (GO:0051568)	7	0	.13	-	 < 0.01	8.79E-01
protein insertion into membrane (GO:0051205)	13	0	.24	-	 < 0.01	7.88E-01
mitochondrial calcium ion homeostasis (GO:0051560)	1	0	.02	-	 < 0.01	9.82E-01
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	6	0	.11	-	 < 0.01	8.96E-01
positive regulation of mitotic nuclear division (GO:0045840)	5	0	.09	-	 < 0.01	9.12E-01
ERAD pathway (GO:0036503)	25	0	.46	-	 < 0.01	6.32E-01
protein catabolic process in the vacuole (GO:0007039)	7	0	.13	-	 < 0.01	8.79E-01
meiosis I cell cycle process (GO:0061982)	18	0	.33	-	 < 0.01	7.19E-01
nervous system development (GO:0007399)	1	0	.02	-	 < 0.01	9.82E-01
vacuolar transport (GO:0007034)	38	0	.70	-	 < 0.01	4.97E-01
endosome organization (GO:0007032)	6	0	.11	-	 < 0.01	8.96E-01
peroxisome organization (GO:0007031)	30	0	.55	-	 < 0.01	5.76E-01
Golgi organization (GO:0007030)	11	0	.20	-	 < 0.01	8.17E-01
regulation of phosphoprotein phosphatase activity (GO:0043666)	3	0	.06	-	 < 0.01	9.46E-01
