




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	human_background.txt - REFLIST (16250)	upload_1 (1652)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
lipid modification (GO:0030258)	111	11	11.28	-	.97	5.45E-01
response to stimulus (GO:0050896)	2444	242	248.46	-	.97	3.43E-01
cellular protein modification process (GO:0006464)	1212	120	123.21	-	.97	4.05E-01
regulation of transferase activity (GO:0051338)	202	20	20.54	-	.97	5.11E-01
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	202	20	20.54	-	.97	5.11E-01
protein modification process (GO:0036211)	1212	120	123.21	-	.97	4.05E-01
organic substance catabolic process (GO:1901575)	677	67	68.82	-	.97	4.42E-01
cellular ion homeostasis (GO:0006873)	182	18	18.50	-	.97	5.15E-01
embryo development (GO:0009790)	81	8	8.23	-	.97	5.60E-01
sodium ion transport (GO:0006814)	81	8	8.23	-	.97	5.60E-01
protein metabolic process (GO:0019538)	1895	187	192.65	-	.97	3.50E-01
positive regulation of molecular function (GO:0044093)	375	37	38.12	-	.97	4.70E-01
regulation of translation (GO:0006417)	71	7	7.22	-	.97	5.66E-01
cation transport (GO:0006812)	396	39	40.26	-	.97	4.62E-01
multicellular organism reproduction (GO:0032504)	61	6	6.20	-	.97	5.74E-01
cell cycle process (GO:0022402)	346	34	35.17	-	.97	4.65E-01
gene expression (GO:0010467)	2640	259	268.39	-	.97	2.78E-01
defense response to bacterium (GO:0042742)	51	5	5.18	-	.96	5.84E-01
regulation of autophagy (GO:0010506)	51	5	5.18	-	.96	5.84E-01
organelle fusion (GO:0048284)	143	14	14.54	-	.96	5.13E-01
lipid metabolic process (GO:0006629)	378	37	38.43	-	.96	4.50E-01
response to endogenous stimulus (GO:0009719)	235	23	23.89	-	.96	4.81E-01
carbohydrate metabolic process (GO:0005975)	123	12	12.50	-	.96	5.18E-01
regulation of MAPK cascade (GO:0043408)	123	12	12.50	-	.96	5.18E-01
positive regulation of supramolecular fiber organization (GO:1902905)	41	4	4.17	-	.96	5.96E-01
histone acetylation (GO:0016573)	41	4	4.17	-	.96	5.96E-01
internal protein amino acid acetylation (GO:0006475)	41	4	4.17	-	.96	5.96E-01
regulation of DNA metabolic process (GO:0051052)	41	4	4.17	-	.96	5.96E-01
peptidyl-lysine acetylation (GO:0018394)	41	4	4.17	-	.96	5.96E-01
internal peptidyl-lysine acetylation (GO:0018393)	41	4	4.17	-	.96	5.96E-01
carbohydrate biosynthetic process (GO:0016051)	41	4	4.17	-	.96	5.96E-01
regulation of lipase activity (GO:0060191)	41	4	4.17	-	.96	5.96E-01
ion transmembrane transport (GO:0034220)	400	39	40.66	-	.96	4.36E-01
nucleic acid metabolic process (GO:0090304)	2513	245	255.48	-	.96	2.50E-01
cell projection organization (GO:0030030)	349	34	35.48	-	.96	4.44E-01
regulation of biological quality (GO:0065008)	811	79	82.45	-	.96	3.75E-01
covalent chromatin modification (GO:0016569)	113	11	11.49	-	.96	5.21E-01
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	72	7	7.32	-	.96	5.51E-01
regulation of cellular response to stress (GO:0080135)	72	7	7.32	-	.96	5.51E-01
secretion (GO:0046903)	144	14	14.64	-	.96	5.03E-01
regulation of catabolic process (GO:0009894)	144	14	14.64	-	.96	5.03E-01
nucleobase-containing compound metabolic process (GO:0006139)	2706	263	275.10	-	.96	2.23E-01
localization (GO:0051179)	2058	200	209.22	-	.96	2.61E-01
cellular component organization or biogenesis (GO:0071840)	2295	223	233.31	-	.96	2.45E-01
regulation of localization (GO:0032879)	381	37	38.73	-	.96	4.30E-01
microtubule bundle formation (GO:0001578)	103	10	10.47	-	.96	5.24E-01
second-messenger-mediated signaling (GO:0019932)	206	20	20.94	-	.96	4.75E-01
transport along microtubule (GO:0010970)	134	13	13.62	-	.95	5.05E-01
microtubule-based transport (GO:0099111)	134	13	13.62	-	.95	5.05E-01
defense response (GO:0006952)	258	25	26.23	-	.95	4.55E-01
positive regulation of cell communication (GO:0010647)	289	28	29.38	-	.95	4.47E-01
positive regulation of signaling (GO:0023056)	289	28	29.38	-	.95	4.47E-01
cellular biosynthetic process (GO:0044249)	2581	250	262.39	-	.95	2.13E-01
biosynthetic process (GO:0009058)	2623	254	266.66	-	.95	2.09E-01
nucleotide biosynthetic process (GO:0009165)	93	9	9.45	-	.95	5.28E-01
cellular response to transforming growth factor beta stimulus (GO:0071560)	31	3	3.15	-	.95	6.13E-01
response to transforming growth factor beta (GO:0071559)	31	3	3.15	-	.95	6.13E-01
transforming growth factor beta receptor signaling pathway (GO:0007179)	31	3	3.15	-	.95	6.13E-01
lymphocyte differentiation (GO:0030098)	31	3	3.15	-	.95	6.13E-01
telomere maintenance (GO:0000723)	31	3	3.15	-	.95	6.13E-01
telomere organization (GO:0032200)	31	3	3.15	-	.95	6.13E-01
positive regulation of lymphocyte activation (GO:0051251)	31	3	3.15	-	.95	6.13E-01
regulation of nitrogen compound metabolic process (GO:0051171)	2367	229	240.63	-	.95	2.20E-01
organic cyclic compound metabolic process (GO:1901360)	2812	272	285.87	-	.95	1.93E-01
regulation of cellular metabolic process (GO:0031323)	2472	239	251.31	-	.95	2.10E-01
cellular aromatic compound metabolic process (GO:0006725)	2766	267	281.20	-	.95	1.85E-01
mRNA metabolic process (GO:0016071)	259	25	26.33	-	.95	4.48E-01
negative regulation of biological process (GO:0048519)	1006	97	102.27	-	.95	3.17E-01
MAPK cascade (GO:0000165)	135	13	13.72	-	.95	4.94E-01
heterocycle metabolic process (GO:0046483)	2752	265	279.77	-	.95	1.75E-01
organic substance biosynthetic process (GO:1901576)	2617	252	266.05	-	.95	1.83E-01
regulation of metabolic process (GO:0019222)	2701	260	274.59	-	.95	1.76E-01
plasma membrane bounded cell projection organization (GO:0120036)	343	33	34.87	-	.95	4.17E-01
cellular response to stress (GO:0033554)	447	43	45.44	-	.95	3.93E-01
membrane lipid biosynthetic process (GO:0046467)	52	5	5.29	-	.95	5.66E-01
glycerolipid biosynthetic process (GO:0045017)	52	5	5.29	-	.95	5.66E-01
negative regulation of mitotic cell cycle (GO:0045930)	52	5	5.29	-	.95	5.66E-01
biological regulation (GO:0065007)	4924	473	500.58	-	.94	7.30E-02
metal ion homeostasis (GO:0055065)	177	17	17.99	-	.94	4.69E-01
regulation of macromolecule metabolic process (GO:0060255)	2551	245	259.34	-	.94	1.75E-01
regulation of primary metabolic process (GO:0080090)	2389	229	242.87	-	.94	1.77E-01
export from cell (GO:0140352)	157	15	15.96	-	.94	4.70E-01
anatomical structure development (GO:0048856)	1016	97	103.29	-	.94	2.81E-01
neuron development (GO:0048666)	220	21	22.37	-	.94	4.40E-01
cellular lipid metabolic process (GO:0044255)	325	31	33.04	-	.94	4.04E-01
cellular component organization (GO:0016043)	2181	208	221.72	-	.94	1.70E-01
RNA metabolic process (GO:0016070)	2297	219	233.52	-	.94	1.61E-01
nuclear division (GO:0000280)	273	26	27.75	-	.94	4.17E-01
embryo development ending in birth or egg hatching (GO:0009792)	21	2	2.13	-	.94	6.40E-01
negative regulation of intracellular signal transduction (GO:1902532)	84	8	8.54	-	.94	5.17E-01
positive regulation of nervous system development (GO:0051962)	42	4	4.27	-	.94	5.76E-01
protein targeting to membrane (GO:0006612)	42	4	4.27	-	.94	5.76E-01
response to molecule of bacterial origin (GO:0002237)	42	4	4.27	-	.94	5.76E-01
chordate embryonic development (GO:0043009)	21	2	2.13	-	.94	6.40E-01
mitotic DNA integrity checkpoint (GO:0044774)	21	2	2.13	-	.94	6.40E-01
negative regulation of cAMP-mediated signaling (GO:0043951)	21	2	2.13	-	.94	6.40E-01
secondary alcohol metabolic process (GO:1902652)	21	2	2.13	-	.94	6.40E-01
receptor internalization (GO:0031623)	21	2	2.13	-	.94	6.40E-01
positive regulation of signal transduction (GO:0009967)	263	25	26.74	-	.94	4.16E-01
intracellular signal transduction (GO:0035556)	705	67	71.67	-	.93	3.12E-01
cellular response to stimulus (GO:0051716)	2107	200	214.20	-	.93	1.58E-01
nucleoside phosphate biosynthetic process (GO:1901293)	95	9	9.66	-	.93	5.01E-01
macromolecule biosynthetic process (GO:0009059)	2260	214	229.76	-	.93	1.39E-01
organonitrogen compound catabolic process (GO:1901565)	433	41	44.02	-	.93	3.58E-01
transport (GO:0006810)	1627	154	165.40	-	.93	1.86E-01
cellular macromolecule biosynthetic process (GO:0034645)	2251	213	228.84	-	.93	1.37E-01
metal ion transport (GO:0030001)	296	28	30.09	-	.93	3.95E-01
regulation of molecular function (GO:0065009)	719	68	73.09	-	.93	2.96E-01
cellular catabolic process (GO:0044248)	730	69	74.21	-	.93	2.92E-01
regulation of intracellular signal transduction (GO:1902531)	392	37	39.85	-	.93	3.61E-01
mitotic sister chromatid segregation (GO:0000070)	53	5	5.39	-	.93	5.48E-01
regulation of cell development (GO:0060284)	106	10	10.78	-	.93	4.87E-01
establishment of localization (GO:0051234)	1654	156	168.15	-	.93	1.72E-01
regulation of multicellular organismal process (GO:0051239)	297	28	30.19	-	.93	3.88E-01
oxidation-reduction process (GO:0055114)	202	19	20.54	-	.93	4.23E-01
multicellular organism development (GO:0007275)	830	78	84.38	-	.92	2.59E-01
enzyme linked receptor protein signaling pathway (GO:0007167)	298	28	30.30	-	.92	3.81E-01
cellular nitrogen compound biosynthetic process (GO:0044271)	2247	211	228.43	-	.92	1.13E-01
positive regulation of cellular biosynthetic process (GO:0031328)	309	29	31.41	-	.92	3.75E-01
vesicle targeting, trans-Golgi to periciliary membrane compartment (GO:0097712)	96	9	9.76	-	.92	4.88E-01
cellular chemical homeostasis (GO:0055082)	192	18	19.52	-	.92	4.22E-01
cilium assembly (GO:0060271)	96	9	9.76	-	.92	4.88E-01
ciliary transition zone assembly (GO:1905349)	96	9	9.76	-	.92	4.88E-01
intraciliary transport involved in cilium assembly (GO:0035735)	96	9	9.76	-	.92	4.88E-01
axoneme assembly (GO:0035082)	96	9	9.76	-	.92	4.88E-01
DNA integrity checkpoint (GO:0031570)	32	3	3.25	-	.92	5.91E-01
wound healing (GO:0042060)	32	3	3.25	-	.92	5.91E-01
positive regulation of neuron differentiation (GO:0045666)	32	3	3.25	-	.92	5.91E-01
protein transmembrane transport (GO:0071806)	32	3	3.25	-	.92	5.91E-01
regulation of cation channel activity (GO:2001257)	32	3	3.25	-	.92	5.91E-01
nucleobase-containing compound transport (GO:0015931)	64	6	6.51	-	.92	5.25E-01
intracellular protein transmembrane transport (GO:0065002)	32	3	3.25	-	.92	5.91E-01
cytoskeleton-dependent intracellular transport (GO:0030705)	160	15	16.27	-	.92	4.40E-01
regulation of cellular process (GO:0050794)	4301	402	437.25	-	.92	2.56E-02
homeostatic process (GO:0042592)	332	31	33.75	-	.92	3.57E-01
regulation of mRNA metabolic process (GO:1903311)	75	7	7.62	-	.92	5.06E-01
monocarboxylic acid metabolic process (GO:0032787)	150	14	15.25	-	.92	4.40E-01
regulation of biological process (GO:0050789)	4501	420	457.58	-	.92	2.01E-02
regulation of kinase activity (GO:0043549)	193	18	19.62	-	.92	4.13E-01
cellular component morphogenesis (GO:0032989)	193	18	19.62	-	.92	4.13E-01
mitochondrial transmembrane transport (GO:1990542)	43	4	4.37	-	.92	5.57E-01
carbohydrate derivative catabolic process (GO:1901136)	43	4	4.37	-	.92	5.57E-01
positive regulation of cell development (GO:0010720)	43	4	4.37	-	.92	5.57E-01
positive regulation of biosynthetic process (GO:0009891)	312	29	31.72	-	.91	3.54E-01
establishment of protein localization (GO:0045184)	549	51	55.81	-	.91	2.83E-01
secretion by cell (GO:0032940)	140	13	14.23	-	.91	4.39E-01
nucleic acid-templated transcription (GO:0097659)	1778	165	180.75	-	.91	1.14E-01
transcription, DNA-templated (GO:0006351)	1778	165	180.75	-	.91	1.14E-01
regulation of macromolecule biosynthetic process (GO:0010556)	1843	171	187.36	-	.91	1.08E-01
posttranscriptional regulation of gene expression (GO:0010608)	97	9	9.86	-	.91	4.75E-01
regulation of cellular biosynthetic process (GO:0031326)	1854	172	188.48	-	.91	1.07E-01
protein transport (GO:0015031)	539	50	54.80	-	.91	2.82E-01
positive regulation of macromolecule biosynthetic process (GO:0010557)	302	28	30.70	-	.91	3.53E-01
signaling (GO:0023052)	1856	172	188.68	-	.91	1.04E-01
regulation of nervous system development (GO:0051960)	108	10	10.98	-	.91	4.62E-01
regulation of cellular macromolecule biosynthetic process (GO:2000112)	1836	170	186.65	-	.91	1.04E-01
regulation of gene expression (GO:0010468)	2086	193	212.07	-	.91	8.47E-02
system development (GO:0048731)	735	68	74.72	-	.91	2.33E-01
regulation of biosynthetic process (GO:0009889)	1860	172	189.09	-	.91	9.87E-02
RNA biosynthetic process (GO:0032774)	1785	165	181.47	-	.91	1.03E-01
chemical synaptic transmission (GO:0007268)	238	22	24.20	-	.91	3.75E-01
anterograde trans-synaptic signaling (GO:0098916)	238	22	24.20	-	.91	3.75E-01
ubiquitin-dependent protein catabolic process (GO:0006511)	260	24	26.43	-	.91	3.63E-01
signal transduction by protein phosphorylation (GO:0023014)	141	13	14.33	-	.91	4.29E-01
regulation of cellular amide metabolic process (GO:0034248)	76	7	7.73	-	.91	4.92E-01
regulation of trans-synaptic signaling (GO:0099177)	76	7	7.73	-	.91	4.92E-01
modulation of chemical synaptic transmission (GO:0050804)	76	7	7.73	-	.91	4.92E-01
cell junction assembly (GO:0034329)	76	7	7.73	-	.91	4.92E-01
DNA recombination (GO:0006310)	87	8	8.84	-	.90	4.76E-01
protein modification by small protein conjugation (GO:0032446)	261	24	26.53	-	.90	3.55E-01
developmental process (GO:0032502)	1142	105	116.10	-	.90	1.54E-01
peptide transport (GO:0015833)	544	50	55.30	-	.90	2.59E-01
amide transport (GO:0042886)	555	51	56.42	-	.90	2.56E-01
microtubule cytoskeleton organization (GO:0000226)	294	27	29.89	-	.90	3.38E-01
nucleobase-containing small molecule metabolic process (GO:0055086)	196	18	19.93	-	.90	3.87E-01
regulation of neurogenesis (GO:0050767)	98	9	9.96	-	.90	4.62E-01
signal transduction (GO:0007165)	1710	157	173.84	-	.90	9.37E-02
chromosome organization (GO:0051276)	327	30	33.24	-	.90	3.23E-01
trans-synaptic signaling (GO:0099537)	240	22	24.40	-	.90	3.60E-01
cell communication (GO:0007154)	1867	171	189.80	-	.90	7.74E-02
nucleobase-containing compound biosynthetic process (GO:0034654)	1988	182	202.10	-	.90	6.90E-02
protein localization to membrane (GO:0072657)	153	14	15.55	-	.90	4.09E-01
heterocycle biosynthetic process (GO:0018130)	2012	184	204.54	-	.90	6.56E-02
aromatic compound biosynthetic process (GO:0019438)	2013	184	204.64	-	.90	6.46E-02
regulation of transcription, DNA-templated (GO:0006355)	1731	158	175.98	-	.90	8.01E-02
regulation of nucleic acid-templated transcription (GO:1903506)	1731	158	175.98	-	.90	8.01E-02
regulation of RNA biosynthetic process (GO:2001141)	1731	158	175.98	-	.90	8.01E-02
organic cyclic compound biosynthetic process (GO:1901362)	2039	186	207.29	-	.90	5.97E-02
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1867	170	189.80	-	.90	6.65E-02
macromolecule localization (GO:0033036)	813	74	82.65	-	.90	1.79E-01
chromosome segregation (GO:0007059)	99	9	10.06	-	.89	4.49E-01
supramolecular fiber organization (GO:0097435)	253	23	25.72	-	.89	3.39E-01
positive regulation of ion transport (GO:0043270)	11	1	1.12	-	.89	6.92E-01
ribonucleoside monophosphate metabolic process (GO:0009161)	11	1	1.12	-	.89	6.92E-01
glycerolipid catabolic process (GO:0046503)	22	2	2.24	-	.89	6.13E-01
negative regulation of T cell proliferation (GO:0042130)	11	1	1.12	-	.89	6.92E-01
nucleobase metabolic process (GO:0009112)	22	2	2.24	-	.89	6.13E-01
blood circulation (GO:0008015)	44	4	4.47	-	.89	5.37E-01
positive regulation of leukocyte mediated immunity (GO:0002705)	22	2	2.24	-	.89	6.13E-01
tyrosine phosphorylation of STAT protein (GO:0007260)	11	1	1.12	-	.89	6.92E-01
RNA transport (GO:0050658)	55	5	5.59	-	.89	5.13E-01
nucleic acid transport (GO:0050657)	55	5	5.59	-	.89	5.13E-01
protein activation cascade (GO:0072376)	11	1	1.12	-	.89	6.92E-01
alcohol biosynthetic process (GO:0046165)	33	3	3.35	-	.89	5.68E-01
translational initiation (GO:0006413)	33	3	3.35	-	.89	5.68E-01
activin receptor signaling pathway (GO:0032924)	11	1	1.12	-	.89	6.92E-01
regulation of proteasomal protein catabolic process (GO:0061136)	33	3	3.35	-	.89	5.68E-01
positive regulation of leukocyte chemotaxis (GO:0002690)	11	1	1.12	-	.89	6.92E-01
response to ionizing radiation (GO:0010212)	11	1	1.12	-	.89	6.92E-01
cilium or flagellum-dependent cell motility (GO:0001539)	22	2	2.24	-	.89	6.13E-01
telomere maintenance via telomere lengthening (GO:0010833)	11	1	1.12	-	.89	6.92E-01
mesoderm development (GO:0007498)	11	1	1.12	-	.89	6.92E-01
regulation of dendritic spine development (GO:0060998)	11	1	1.12	-	.89	6.92E-01
positive regulation of transmembrane transport (GO:0034764)	11	1	1.12	-	.89	6.92E-01
regulation of gene silencing (GO:0060968)	11	1	1.12	-	.89	6.92E-01
L-alpha-amino acid transmembrane transport (GO:1902475)	11	1	1.12	-	.89	6.92E-01
mRNA splice site selection (GO:0006376)	11	1	1.12	-	.89	6.92E-01
response to virus (GO:0009615)	33	3	3.35	-	.89	5.68E-01
nuclear envelope organization (GO:0006998)	11	1	1.12	-	.89	6.92E-01
nucleus organization (GO:0006997)	22	2	2.24	-	.89	6.13E-01
mRNA cis splicing, via spliceosome (GO:0045292)	11	1	1.12	-	.89	6.92E-01
organelle organization (GO:0006996)	1617	147	164.39	-	.89	8.09E-02
blood vessel morphogenesis (GO:0048514)	44	4	4.47	-	.89	5.37E-01
DNA replication checkpoint (GO:0000076)	11	1	1.12	-	.89	6.92E-01
sterol transport (GO:0015918)	11	1	1.12	-	.89	6.92E-01
cilium-dependent cell motility (GO:0060285)	22	2	2.24	-	.89	6.13E-01
establishment of spindle localization (GO:0051293)	11	1	1.12	-	.89	6.92E-01
vesicle fusion (GO:0006906)	132	12	13.42	-	.89	4.17E-01
alternative mRNA splicing, via spliceosome (GO:0000380)	33	3	3.35	-	.89	5.68E-01
centrosome cycle (GO:0007098)	33	3	3.35	-	.89	5.68E-01
positive regulation of RNA metabolic process (GO:0051254)	286	26	29.08	-	.89	3.23E-01
establishment of RNA localization (GO:0051236)	55	5	5.59	-	.89	5.13E-01
neuron migration (GO:0001764)	11	1	1.12	-	.89	6.92E-01
DNA strand elongation involved in DNA replication (GO:0006271)	11	1	1.12	-	.89	6.92E-01
positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531)	11	1	1.12	-	.89	6.92E-01
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	22	2	2.24	-	.89	6.13E-01
regulation of cell junction assembly (GO:1901888)	11	1	1.12	-	.89	6.92E-01
cardiac muscle tissue development (GO:0048738)	11	1	1.12	-	.89	6.92E-01
catabolic process (GO:0009056)	826	75	83.97	-	.89	1.72E-01
regulation of RNA metabolic process (GO:0051252)	1829	166	185.94	-	.89	6.34E-02
nitrogen compound transport (GO:0071705)	663	60	67.40	-	.89	1.97E-01
cell surface receptor signaling pathway (GO:0007166)	796	72	80.92	-	.89	1.69E-01
small molecule metabolic process (GO:0044281)	576	52	58.56	-	.89	2.12E-01
organelle membrane fusion (GO:0090174)	133	12	13.52	-	.89	4.06E-01
cellular macromolecule catabolic process (GO:0044265)	399	36	40.56	-	.89	2.64E-01
multicellular organismal process (GO:0032501)	1220	110	124.03	-	.89	1.02E-01
intracellular transport (GO:0046907)	655	59	66.59	-	.89	1.89E-01
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	89	8	9.05	-	.88	4.49E-01
response to bacterium (GO:0009617)	89	8	9.05	-	.88	4.49E-01
modification-dependent protein catabolic process (GO:0019941)	267	24	27.14	-	.88	3.13E-01
transcription by RNA polymerase II (GO:0006366)	1437	129	146.09	-	.88	7.34E-02
cyclic-nucleotide-mediated signaling (GO:0019935)	156	14	15.86	-	.88	3.80E-01
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	123	11	12.50	-	.88	4.05E-01
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	179	16	18.20	-	.88	3.57E-01
cellular protein localization (GO:0034613)	638	57	64.86	-	.88	1.76E-01
histone modification (GO:0016570)	112	10	11.39	-	.88	4.14E-01
regulation of cell cycle phase transition (GO:1901987)	56	5	5.69	-	.88	4.96E-01
synaptic signaling (GO:0099536)	247	22	25.11	-	.88	3.08E-01
cellular macromolecule localization (GO:0070727)	640	57	65.06	-	.88	1.70E-01
positive regulation of cytoskeleton organization (GO:0051495)	45	4	4.57	-	.87	5.18E-01
regulation of mRNA splicing, via spliceosome (GO:0048024)	45	4	4.57	-	.87	5.18E-01
regulation of transmembrane transporter activity (GO:0022898)	45	4	4.57	-	.87	5.18E-01
protein-containing complex localization (GO:0031503)	180	16	18.30	-	.87	3.48E-01
ribosomal small subunit biogenesis (GO:0042274)	45	4	4.57	-	.87	5.18E-01
response to starvation (GO:0042594)	45	4	4.57	-	.87	5.18E-01
regulation of gene expression, epigenetic (GO:0040029)	45	4	4.57	-	.87	5.18E-01
regulation of ion transmembrane transporter activity (GO:0032412)	45	4	4.57	-	.87	5.18E-01
regulation of transporter activity (GO:0032409)	45	4	4.57	-	.87	5.18E-01
cell projection assembly (GO:0030031)	135	12	13.72	-	.87	3.85E-01
nervous system development (GO:0007399)	439	39	44.63	-	.87	2.21E-01
nucleobase-containing compound catabolic process (GO:0034655)	124	11	12.61	-	.87	3.94E-01
chromatin organization (GO:0006325)	203	18	20.64	-	.87	3.28E-01
protein acylation (GO:0043543)	79	7	8.03	-	.87	4.48E-01
regulation of response to external stimulus (GO:0032101)	79	7	8.03	-	.87	4.48E-01
animal organ development (GO:0048513)	350	31	35.58	-	.87	2.49E-01
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	305	27	31.01	-	.87	2.68E-01
cilium organization (GO:0044782)	113	10	11.49	-	.87	4.03E-01
phosphatidylinositol phosphorylation (GO:0046854)	34	3	3.46	-	.87	5.46E-01
cellular response to lipopolysaccharide (GO:0071222)	34	3	3.46	-	.87	5.46E-01
positive regulation of MAP kinase activity (GO:0043406)	34	3	3.46	-	.87	5.46E-01
positive regulation of protein kinase activity (GO:0045860)	68	6	6.91	-	.87	4.62E-01
modification-dependent macromolecule catabolic process (GO:0043632)	272	24	27.65	-	.87	2.79E-01
regulation of multicellular organismal development (GO:2000026)	170	15	17.28	-	.87	3.45E-01
regulation of transcription by RNA polymerase II (GO:0006357)	1407	124	143.04	-	.87	5.02E-02
RNA catabolic process (GO:0006401)	91	8	9.25	-	.86	4.23E-01
cellular protein catabolic process (GO:0044257)	296	26	30.09	-	.86	2.60E-01
response to extracellular stimulus (GO:0009991)	57	5	5.79	-	.86	4.79E-01
chromatin remodeling (GO:0006338)	57	5	5.79	-	.86	4.79E-01
response to nutrient levels (GO:0031667)	57	5	5.79	-	.86	4.79E-01
establishment of localization in cell (GO:0051649)	778	68	79.09	-	.86	1.09E-01
regulation of adenylate cyclase activity (GO:0045761)	126	11	12.81	-	.86	3.72E-01
macromolecule catabolic process (GO:0009057)	436	38	44.32	-	.86	1.89E-01
neuron differentiation (GO:0030182)	299	26	30.40	-	.86	2.42E-01
nuclear transport (GO:0051169)	92	8	9.35	-	.86	4.10E-01
pigment metabolic process (GO:0042440)	23	2	2.34	-	.86	5.86E-01
response to light stimulus (GO:0009416)	23	2	2.34	-	.86	5.86E-01
endomembrane system organization (GO:0010256)	115	10	11.69	-	.86	3.80E-01
blood vessel development (GO:0001568)	46	4	4.68	-	.86	4.99E-01
myeloid cell differentiation (GO:0030099)	23	2	2.34	-	.86	5.86E-01
positive regulation of stress-activated MAPK cascade (GO:0032874)	23	2	2.34	-	.86	5.86E-01
protein targeting to vacuole (GO:0006623)	23	2	2.34	-	.86	5.86E-01
positive regulation of cell-cell adhesion (GO:0022409)	23	2	2.34	-	.86	5.86E-01
inflammatory response (GO:0006954)	115	10	11.69	-	.86	3.80E-01
nucleocytoplasmic transport (GO:0006913)	92	8	9.35	-	.86	4.10E-01
positive regulation of stress-activated protein kinase signaling cascade (GO:0070304)	23	2	2.34	-	.86	5.86E-01
lysosomal transport (GO:0007041)	23	2	2.34	-	.86	5.86E-01
regulation of synaptic plasticity (GO:0048167)	23	2	2.34	-	.86	5.86E-01
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	23	2	2.34	-	.86	5.86E-01
regulation of developmental process (GO:0050793)	219	19	22.26	-	.85	2.85E-01
protein catabolic process (GO:0030163)	323	28	32.84	-	.85	2.26E-01
negative regulation of cell cycle (GO:0045786)	81	7	8.23	-	.85	4.20E-01
establishment of organelle localization (GO:0051656)	197	17	20.03	-	.85	2.94E-01
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	58	5	5.90	-	.85	4.62E-01
regulation of response to stress (GO:0080134)	116	10	11.79	-	.85	3.69E-01
establishment of vesicle localization (GO:0051650)	151	13	15.35	-	.85	3.29E-01
vesicle localization (GO:0051648)	151	13	15.35	-	.85	3.29E-01
dephosphorylation (GO:0016311)	128	11	13.01	-	.85	3.51E-01
lipid biosynthetic process (GO:0008610)	163	14	16.57	-	.84	3.15E-01
chromosome separation (GO:0051304)	35	3	3.56	-	.84	5.24E-01
response to radiation (GO:0009314)	35	3	3.56	-	.84	5.24E-01
autophagy (GO:0006914)	105	9	10.67	-	.84	3.76E-01
process utilizing autophagic mechanism (GO:0061919)	105	9	10.67	-	.84	3.76E-01
intrinsic apoptotic signaling pathway (GO:0097193)	35	3	3.56	-	.84	5.24E-01
cell development (GO:0048468)	339	29	34.46	-	.84	1.98E-01
regulation of cyclase activity (GO:0031279)	129	11	13.11	-	.84	3.41E-01
regulation of lyase activity (GO:0051339)	129	11	13.11	-	.84	3.41E-01
plasma membrane bounded cell projection assembly (GO:0120031)	129	11	13.11	-	.84	3.41E-01
protein localization (GO:0008104)	716	61	72.79	-	.84	8.53E-02
protein localization to organelle (GO:0033365)	317	27	32.23	-	.84	2.02E-01
endosomal transport (GO:0016197)	94	8	9.56	-	.84	3.84E-01
protein localization to cilium (GO:0061512)	106	9	10.78	-	.84	3.65E-01
intraciliary transport (GO:0042073)	106	9	10.78	-	.84	3.65E-01
peptidyl-serine modification (GO:0018209)	106	9	10.78	-	.84	3.65E-01
vesicle targeting, to, from or within Golgi (GO:0048199)	106	9	10.78	-	.84	3.65E-01
proteolysis involved in cellular protein catabolic process (GO:0051603)	295	25	29.99	-	.83	2.07E-01
mitotic cell cycle (GO:0000278)	236	20	23.99	-	.83	2.41E-01
mitotic cell cycle process (GO:1903047)	236	20	23.99	-	.83	2.41E-01
RNA localization (GO:0006403)	59	5	6.00	-	.83	4.46E-01
mitotic nuclear division (GO:0140014)	236	20	23.99	-	.83	2.41E-01
synapse organization (GO:0050808)	59	5	6.00	-	.83	4.46E-01
regulation of cAMP-mediated signaling (GO:0043949)	130	11	13.22	-	.83	3.31E-01
regulation of response to stimulus (GO:0048583)	818	69	83.16	-	.83	5.91E-02
proteasomal protein catabolic process (GO:0010498)	190	16	19.32	-	.83	2.67E-01
protein polyubiquitination (GO:0000209)	107	9	10.88	-	.83	3.53E-01
organophosphate metabolic process (GO:0019637)	333	28	33.85	-	.83	1.77E-01
regulation of cellular component organization (GO:0051128)	369	31	37.51	-	.83	1.60E-01
