




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	human_background.txt (Homo sapiens)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	human_background.txt - REFLIST (16250)	upload_1 (830)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
RNA modification (GO:0009451)	83	4	4.24	-	.94	5.82E-01
protein maturation (GO:0051604)	83	4	4.24	-	.94	5.82E-01
Unclassified (UNCLASSIFIED)	7104	339	362.85	-	.93	5.08E-02
protein phosphorylation (GO:0006468)	503	24	25.69	-	.93	4.17E-01
cell communication (GO:0007154)	1867	89	95.36	-	.93	2.64E-01
negative regulation of intracellular signal transduction (GO:1902532)	84	4	4.29	-	.93	5.72E-01
protein localization to plasma membrane (GO:0072659)	63	3	3.22	-	.93	5.98E-01
regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)	42	2	2.15	-	.93	6.37E-01
reciprocal meiotic recombination (GO:0007131)	21	1	1.07	-	.93	7.09E-01
cell cycle G2/M phase transition (GO:0044839)	21	1	1.07	-	.93	7.09E-01
homologous recombination (GO:0035825)	21	1	1.07	-	.93	7.09E-01
monovalent inorganic cation homeostasis (GO:0055067)	42	2	2.15	-	.93	6.37E-01
mitotic DNA integrity checkpoint (GO:0044774)	21	1	1.07	-	.93	7.09E-01
carboxylic acid transport (GO:0046942)	84	4	4.29	-	.93	5.72E-01
negative regulation of cAMP-mediated signaling (GO:0043951)	21	1	1.07	-	.93	7.09E-01
extrinsic apoptotic signaling pathway (GO:0097191)	42	2	2.15	-	.93	6.37E-01
organic acid transport (GO:0015849)	84	4	4.29	-	.93	5.72E-01
protein-containing complex assembly (GO:0065003)	358	17	18.29	-	.93	4.41E-01
signal transduction (GO:0007165)	1710	81	87.34	-	.93	2.57E-01
protein localization to organelle (GO:0033365)	317	15	16.19	-	.93	4.47E-01
cellular developmental process (GO:0048869)	723	34	36.93	-	.92	3.49E-01
regulation of cellular protein metabolic process (GO:0032268)	511	24	26.10	-	.92	3.86E-01
response to lipid (GO:0033993)	64	3	3.27	-	.92	5.87E-01
signaling (GO:0023052)	1856	87	94.80	-	.92	2.14E-01
regulation of biological quality (GO:0065008)	811	38	41.42	-	.92	3.27E-01
protein polyubiquitination (GO:0000209)	107	5	5.47	-	.91	5.35E-01
RNA phosphodiester bond hydrolysis (GO:0090501)	43	2	2.20	-	.91	6.24E-01
alpha-amino acid metabolic process (GO:1901605)	86	4	4.39	-	.91	5.52E-01
positive regulation of cell development (GO:0010720)	43	2	2.20	-	.91	6.24E-01
cell surface receptor signaling pathway (GO:0007166)	796	37	40.66	-	.91	3.12E-01
cell differentiation (GO:0030154)	719	33	36.72	-	.90	2.99E-01
regulation of protein metabolic process (GO:0051246)	548	25	27.99	-	.89	3.24E-01
Golgi vesicle transport (GO:0048193)	242	11	12.36	-	.89	4.20E-01
glycerolipid catabolic process (GO:0046503)	22	1	1.12	-	.89	6.90E-01
signal release (GO:0023061)	66	3	3.37	-	.89	5.65E-01
neurotransmitter secretion (GO:0007269)	44	2	2.25	-	.89	6.10E-01
regulation of DNA-binding transcription factor activity (GO:0051090)	88	4	4.49	-	.89	5.33E-01
DNA biosynthetic process (GO:0071897)	88	4	4.49	-	.89	5.33E-01
regulation of sister chromatid segregation (GO:0033045)	22	1	1.12	-	.89	6.90E-01
activation of adenylate cyclase activity (GO:0007190)	88	4	4.49	-	.89	5.33E-01
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	88	4	4.49	-	.89	5.33E-01
calcium-mediated signaling (GO:0019722)	22	1	1.12	-	.89	6.90E-01
regulation of body fluid levels (GO:0050878)	22	1	1.12	-	.89	6.90E-01
fatty acid beta-oxidation (GO:0006635)	22	1	1.12	-	.89	6.90E-01
ERBB signaling pathway (GO:0038127)	22	1	1.12	-	.89	6.90E-01
cellular response to organonitrogen compound (GO:0071417)	66	3	3.37	-	.89	5.65E-01
signal release from synapse (GO:0099643)	44	2	2.25	-	.89	6.10E-01
regulation of transport (GO:0051049)	222	10	11.34	-	.88	4.19E-01
carboxylic acid biosynthetic process (GO:0046394)	89	4	4.55	-	.88	5.23E-01
organic acid biosynthetic process (GO:0016053)	89	4	4.55	-	.88	5.23E-01
positive regulation of protein metabolic process (GO:0051247)	334	15	17.06	-	.88	3.64E-01
regulation of localization (GO:0032879)	381	17	19.46	-	.87	3.37E-01
negative regulation of protein metabolic process (GO:0051248)	157	7	8.02	-	.87	4.50E-01
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	202	9	10.32	-	.87	4.18E-01
positive regulation of cytoskeleton organization (GO:0051495)	45	2	2.30	-	.87	5.96E-01
cell projection assembly (GO:0030031)	135	6	6.90	-	.87	4.65E-01
purine ribonucleotide biosynthetic process (GO:0009152)	68	3	3.47	-	.86	5.42E-01
lipid localization (GO:0010876)	91	4	4.65	-	.86	5.04E-01
negative regulation of catalytic activity (GO:0043086)	137	6	7.00	-	.86	4.49E-01
organonitrogen compound biosynthetic process (GO:1901566)	575	25	29.37	-	.85	2.38E-01
histone deacetylation (GO:0016575)	23	1	1.17	-	.85	6.72E-01
negative regulation of protein phosphorylation (GO:0001933)	46	2	2.35	-	.85	5.83E-01
glutathione metabolic process (GO:0006749)	23	1	1.17	-	.85	6.72E-01
cellular amino acid catabolic process (GO:0009063)	46	2	2.35	-	.85	5.83E-01
regulation of chromosome segregation (GO:0051983)	23	1	1.17	-	.85	6.72E-01
endosome transport via multivesicular body sorting pathway (GO:0032509)	23	1	1.17	-	.85	6.72E-01
positive regulation of cell-cell adhesion (GO:0022409)	23	1	1.17	-	.85	6.72E-01
negative regulation of apoptotic signaling pathway (GO:2001234)	23	1	1.17	-	.85	6.72E-01
cell fate specification (GO:0001708)	23	1	1.17	-	.85	6.72E-01
cytoplasmic translation (GO:0002181)	46	2	2.35	-	.85	5.83E-01
negative regulation of signal transduction (GO:0009968)	186	8	9.50	-	.84	3.91E-01
anion transmembrane transport (GO:0098656)	93	4	4.75	-	.84	4.85E-01
response to cytokine (GO:0034097)	140	6	7.15	-	.84	4.27E-01
mitochondrial transport (GO:0006839)	70	3	3.58	-	.84	5.20E-01
response to organic cyclic compound (GO:0014070)	47	2	2.40	-	.83	5.69E-01
positive regulation of transport (GO:0051050)	47	2	2.40	-	.83	5.69E-01
regulation of cell cycle process (GO:0010564)	94	4	4.80	-	.83	4.76E-01
sphingolipid metabolic process (GO:0006665)	47	2	2.40	-	.83	5.69E-01
locomotion (GO:0040011)	355	15	18.13	-	.83	2.74E-01
chemical homeostasis (GO:0048878)	263	11	13.43	-	.82	3.09E-01
negative regulation of cell communication (GO:0010648)	192	8	9.81	-	.82	3.54E-01
negative regulation of signaling (GO:0023057)	192	8	9.81	-	.82	3.54E-01
mitochondrial respiratory chain complex assembly (GO:0033108)	24	1	1.23	-	.82	6.53E-01
cellular homeostasis (GO:0019725)	216	9	11.03	-	.82	3.36E-01
regulation of synapse structure or activity (GO:0050803)	24	1	1.23	-	.82	6.53E-01
camera-type eye development (GO:0043010)	24	1	1.23	-	.82	6.53E-01
Ras protein signal transduction (GO:0007265)	72	3	3.68	-	.82	4.99E-01
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	72	3	3.68	-	.82	4.99E-01
ribonucleotide biosynthetic process (GO:0009260)	72	3	3.68	-	.82	4.99E-01
positive regulation of kinase activity (GO:0033674)	121	5	6.18	-	.81	4.16E-01
regulation of cytokine production (GO:0001817)	73	3	3.73	-	.80	4.88E-01
interspecies interaction between organisms (GO:0044419)	219	9	11.19	-	.80	3.19E-01
vasculature development (GO:0001944)	49	2	2.50	-	.80	5.43E-01
cell cycle checkpoint (GO:0000075)	49	2	2.50	-	.80	5.43E-01
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	123	5	6.28	-	.80	4.01E-01
organic anion transport (GO:0015711)	149	6	7.61	-	.79	3.62E-01
protein deacetylation (GO:0006476)	25	1	1.28	-	.78	6.35E-01
protein acetylation (GO:0006473)	50	2	2.55	-	.78	5.30E-01
cellular respiration (GO:0045333)	50	2	2.55	-	.78	5.30E-01
chromatin assembly (GO:0031497)	25	1	1.28	-	.78	6.35E-01
positive regulation of synaptic transmission (GO:0050806)	25	1	1.28	-	.78	6.35E-01
fatty acid derivative metabolic process (GO:1901568)	25	1	1.28	-	.78	6.35E-01
cortical cytoskeleton organization (GO:0030865)	25	1	1.28	-	.78	6.35E-01
response to growth factor (GO:0070848)	125	5	6.38	-	.78	3.85E-01
protein dephosphorylation (GO:0006470)	75	3	3.83	-	.78	4.67E-01
cellular response to nitrogen compound (GO:1901699)	75	3	3.83	-	.78	4.67E-01
vesicle budding from membrane (GO:0006900)	175	7	8.94	-	.78	3.30E-01
endocytosis (GO:0006897)	150	6	7.66	-	.78	3.55E-01
positive regulation of molecular function (GO:0044093)	375	15	19.15	-	.78	2.02E-01
cellular response to growth factor stimulus (GO:0071363)	125	5	6.38	-	.78	3.85E-01
anatomical structure morphogenesis (GO:0009653)	452	18	23.09	-	.78	1.67E-01
multicellular organism development (GO:0007275)	830	33	42.39	-	.78	7.66E-02
negative regulation of cellular protein metabolic process (GO:0032269)	151	6	7.71	-	.78	3.49E-01
regulation of adenylate cyclase activity (GO:0045761)	126	5	6.44	-	.78	3.78E-01
membrane invagination (GO:0010324)	152	6	7.76	-	.77	3.42E-01
cellular lipid catabolic process (GO:0044242)	76	3	3.88	-	.77	4.56E-01
regulation of trans-synaptic signaling (GO:0099177)	76	3	3.88	-	.77	4.56E-01
modulation of chemical synaptic transmission (GO:0050804)	76	3	3.88	-	.77	4.56E-01
system development (GO:0048731)	735	29	37.54	-	.77	8.58E-02
cytokine-mediated signaling pathway (GO:0019221)	127	5	6.49	-	.77	3.70E-01
defense response to bacterium (GO:0042742)	51	2	2.60	-	.77	5.17E-01
inorganic anion transport (GO:0015698)	51	2	2.60	-	.77	5.17E-01
fatty acid metabolic process (GO:0006631)	102	4	5.21	-	.77	4.04E-01
regulation of response to stimulus (GO:0048583)	818	32	41.78	-	.77	6.61E-02
positive regulation of immune system process (GO:0002684)	128	5	6.54	-	.76	3.63E-01
regulation of cyclase activity (GO:0031279)	129	5	6.59	-	.76	3.55E-01
positive regulation of transferase activity (GO:0051347)	129	5	6.59	-	.76	3.55E-01
regulation of lyase activity (GO:0051339)	129	5	6.59	-	.76	3.55E-01
plasma membrane bounded cell projection assembly (GO:0120031)	129	5	6.59	-	.76	3.55E-01
movement of cell or subcellular component (GO:0006928)	542	21	27.68	-	.76	1.13E-01
regulation of endopeptidase activity (GO:0052548)	78	3	3.98	-	.75	4.36E-01
respiratory electron transport chain (GO:0022904)	26	1	1.33	-	.75	6.17E-01
electron transport chain (GO:0022900)	26	1	1.33	-	.75	6.17E-01
positive regulation of cellular component organization (GO:0051130)	130	5	6.64	-	.75	3.48E-01
regulated exocytosis (GO:0045055)	52	2	2.66	-	.75	5.04E-01
regulation of neurotransmitter levels (GO:0001505)	52	2	2.66	-	.75	5.04E-01
negative regulation of mitotic cell cycle (GO:0045930)	52	2	2.66	-	.75	5.04E-01
regulation of cell migration (GO:0030334)	104	4	5.31	-	.75	3.87E-01
DNA damage checkpoint (GO:0000077)	26	1	1.33	-	.75	6.17E-01
calcium-ion regulated exocytosis (GO:0017156)	26	1	1.33	-	.75	6.17E-01
regulation of cAMP-mediated signaling (GO:0043949)	130	5	6.64	-	.75	3.48E-01
cell-cell signaling (GO:0007267)	391	15	19.97	-	.75	1.55E-01
regulation of immune system process (GO:0002682)	183	7	9.35	-	.75	2.83E-01
positive regulation of cell communication (GO:0010647)	289	11	14.76	-	.75	1.99E-01
positive regulation of signaling (GO:0023056)	289	11	14.76	-	.75	1.99E-01
positive regulation of signal transduction (GO:0009967)	263	10	13.43	-	.74	2.14E-01
positive regulation of GTPase activity (GO:0043547)	79	3	4.04	-	.74	4.26E-01
positive regulation of response to stimulus (GO:0048584)	369	14	18.85	-	.74	1.55E-01
negative regulation of molecular function (GO:0044092)	159	6	8.12	-	.74	2.98E-01
defense response to other organism (GO:0098542)	159	6	8.12	-	.74	2.98E-01
neurotransmitter transport (GO:0006836)	53	2	2.71	-	.74	4.92E-01
regulation of peptidase activity (GO:0052547)	80	3	4.09	-	.73	4.16E-01
cytokine production (GO:0001816)	80	3	4.09	-	.73	4.16E-01
positive regulation of protein modification process (GO:0031401)	240	9	12.26	-	.73	2.19E-01
regulation of protein kinase activity (GO:0045859)	134	5	6.84	-	.73	3.20E-01
cAMP-mediated signaling (GO:0019933)	134	5	6.84	-	.73	3.20E-01
cellular response to cytokine stimulus (GO:0071345)	134	5	6.84	-	.73	3.20E-01
negative regulation of cell cycle (GO:0045786)	81	3	4.14	-	.73	4.07E-01
cell-cell adhesion (GO:0098609)	162	6	8.27	-	.73	2.80E-01
sodium ion transport (GO:0006814)	81	3	4.14	-	.73	4.07E-01
lipoprotein biosynthetic process (GO:0042158)	54	2	2.76	-	.73	4.79E-01
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	27	1	1.38	-	.73	5.99E-01
regulation of TOR signaling (GO:0032006)	27	1	1.38	-	.73	5.99E-01
protein lipidation (GO:0006497)	54	2	2.76	-	.73	4.79E-01
regulation of leukocyte activation (GO:0002694)	54	2	2.76	-	.73	4.79E-01
autophagy of mitochondrion (GO:0000422)	27	1	1.38	-	.73	5.99E-01
embryonic organ morphogenesis (GO:0048562)	27	1	1.38	-	.73	5.99E-01
cellular modified amino acid metabolic process (GO:0006575)	54	2	2.76	-	.73	4.79E-01
multicellular organismal process (GO:0032501)	1220	45	62.31	-	.72	1.08E-02
regulation of cell communication (GO:0010646)	734	27	37.49	-	.72	4.25E-02
regulation of signaling (GO:0023051)	734	27	37.49	-	.72	4.25E-02
regulation of signal transduction (GO:0009966)	654	24	33.40	-	.72	5.26E-02
cellular chemical homeostasis (GO:0055082)	192	7	9.81	-	.71	2.37E-01
positive regulation of intracellular signal transduction (GO:1902533)	165	6	8.43	-	.71	2.63E-01
innate immune response (GO:0045087)	110	4	5.62	-	.71	3.39E-01
tube morphogenesis (GO:0035239)	55	2	2.81	-	.71	4.67E-01
regulation of cell activation (GO:0050865)	55	2	2.81	-	.71	4.67E-01
DNA conformation change (GO:0071103)	55	2	2.81	-	.71	4.67E-01
regulation of kinase activity (GO:0043549)	193	7	9.86	-	.71	2.32E-01
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	138	5	7.05	-	.71	2.93E-01
regulation of protein serine/threonine kinase activity (GO:0071900)	83	3	4.24	-	.71	3.88E-01
regulation of cell motility (GO:2000145)	111	4	5.67	-	.71	3.31E-01
developmental process (GO:0032502)	1142	41	58.33	-	.70	8.63E-03
multivesicular body sorting pathway (GO:0071985)	28	1	1.43	-	.70	5.81E-01
germ cell development (GO:0007281)	28	1	1.43	-	.70	5.81E-01
regulation of leukocyte mediated immunity (GO:0002703)	28	1	1.43	-	.70	5.81E-01
small GTPase mediated signal transduction (GO:0007264)	84	3	4.29	-	.70	3.78E-01
leukocyte activation involved in immune response (GO:0002366)	28	1	1.43	-	.70	5.81E-01
vesicle cytoskeletal trafficking (GO:0099518)	28	1	1.43	-	.70	5.81E-01
positive regulation of apoptotic process (GO:0043065)	56	2	2.86	-	.70	4.55E-01
protein localization to endoplasmic reticulum (GO:0070972)	28	1	1.43	-	.70	5.81E-01
protein transmembrane import into intracellular organelle (GO:0044743)	28	1	1.43	-	.70	5.81E-01
anatomical structure development (GO:0048856)	1016	36	51.89	-	.69	1.07E-02
positive regulation of developmental process (GO:0051094)	85	3	4.34	-	.69	3.69E-01
positive regulation of catalytic activity (GO:0043085)	284	10	14.51	-	.69	1.42E-01
positive regulation of programmed cell death (GO:0043068)	57	2	2.91	-	.69	4.43E-01
regulation of protein modification process (GO:0031399)	342	12	17.47	-	.69	1.10E-01
mitochondrion organization (GO:0007005)	143	5	7.30	-	.68	2.62E-01
carbohydrate derivative metabolic process (GO:1901135)	373	13	19.05	-	.68	9.39E-02
anion transport (GO:0006820)	201	7	10.27	-	.68	1.95E-01
regulation of cellular component movement (GO:0051270)	115	4	5.87	-	.68	3.01E-01
regulation of locomotion (GO:0040012)	115	4	5.87	-	.68	3.01E-01
regulation of transferase activity (GO:0051338)	202	7	10.32	-	.68	1.91E-01
positive regulation of neuron projection development (GO:0010976)	29	1	1.48	-	.68	5.64E-01
regulation of response to DNA damage stimulus (GO:2001020)	29	1	1.48	-	.68	5.64E-01
negative regulation of cell population proliferation (GO:0008285)	29	1	1.48	-	.68	5.64E-01
lipid oxidation (GO:0034440)	29	1	1.48	-	.68	5.64E-01
protein processing (GO:0016485)	58	2	2.96	-	.68	4.31E-01
positive regulation of cytokine production (GO:0001819)	29	1	1.48	-	.68	5.64E-01
T cell receptor signaling pathway (GO:0050852)	29	1	1.48	-	.68	5.64E-01
cell activation involved in immune response (GO:0002263)	29	1	1.48	-	.68	5.64E-01
positive regulation of hydrolase activity (GO:0051345)	146	5	7.46	-	.67	2.45E-01
lipid catabolic process (GO:0016042)	88	3	4.49	-	.67	3.42E-01
positive regulation of cell death (GO:0010942)	59	2	3.01	-	.66	4.20E-01
synapse organization (GO:0050808)	59	2	3.01	-	.66	4.20E-01
response to external biotic stimulus (GO:0043207)	208	7	10.62	-	.66	1.67E-01
response to other organism (GO:0051707)	208	7	10.62	-	.66	1.67E-01
response to biotic stimulus (GO:0009607)	209	7	10.68	-	.66	1.64E-01
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	60	2	3.06	-	.65	4.08E-01
immune response-regulating signaling pathway (GO:0002764)	60	2	3.06	-	.65	4.08E-01
regulation of cell adhesion (GO:0030155)	60	2	3.06	-	.65	4.08E-01
tube development (GO:0035295)	60	2	3.06	-	.65	4.08E-01
G1/S transition of mitotic cell cycle (GO:0000082)	30	1	1.53	-	.65	5.47E-01
regulation of intracellular signal transduction (GO:1902531)	392	13	20.02	-	.65	6.32E-02
response to oxygen-containing compound (GO:1901700)	152	5	7.76	-	.64	2.13E-01
protein localization to membrane (GO:0072657)	153	5	7.81	-	.64	2.07E-01
ion homeostasis (GO:0050801)	216	7	11.03	-	.63	1.39E-01
carboxylic acid catabolic process (GO:0046395)	93	3	4.75	-	.63	3.01E-01
organic acid catabolic process (GO:0016054)	93	3	4.75	-	.63	3.01E-01
regulation of leukocyte cell-cell adhesion (GO:1903037)	31	1	1.58	-	.63	5.30E-01
protein deacylation (GO:0035601)	31	1	1.58	-	.63	5.30E-01
protein N-linked glycosylation (GO:0006487)	31	1	1.58	-	.63	5.30E-01
positive regulation of immune effector process (GO:0002699)	31	1	1.58	-	.63	5.30E-01
macromolecule deacylation (GO:0098732)	31	1	1.58	-	.63	5.30E-01
positive regulation of lymphocyte activation (GO:0051251)	31	1	1.58	-	.63	5.30E-01
endoplasmic reticulum organization (GO:0007029)	31	1	1.58	-	.63	5.30E-01
cytokinesis (GO:0000910)	31	1	1.58	-	.63	5.30E-01
cyclic-nucleotide-mediated signaling (GO:0019935)	156	5	7.97	-	.63	1.93E-01
regulation of molecular function (GO:0065009)	719	23	36.72	-	.63	9.22E-03
positive regulation of MAPK cascade (GO:0043410)	94	3	4.80	-	.62	2.93E-01
positive regulation of protein phosphorylation (GO:0001934)	220	7	11.24	-	.62	1.27E-01
positive regulation of cell differentiation (GO:0045597)	63	2	3.22	-	.62	3.76E-01
positive regulation of cellular component biogenesis (GO:0044089)	63	2	3.22	-	.62	3.76E-01
regulation of phosphorus metabolic process (GO:0051174)	380	12	19.41	-	.62	4.88E-02
regulation of phosphate metabolic process (GO:0019220)	380	12	19.41	-	.62	4.88E-02
regulation of GTPase activity (GO:0043087)	95	3	4.85	-	.62	2.86E-01
regulation of catalytic activity (GO:0050790)	575	18	29.37	-	.61	1.56E-02
lipoprotein metabolic process (GO:0042157)	64	2	3.27	-	.61	3.65E-01
vesicle targeting, trans-Golgi to periciliary membrane compartment (GO:0097712)	96	3	4.90	-	.61	2.78E-01
DNA integrity checkpoint (GO:0031570)	32	1	1.63	-	.61	5.14E-01
cellular response to oxygen-containing compound (GO:1901701)	128	4	6.54	-	.61	2.18E-01
cytoskeleton-dependent intracellular transport (GO:0030705)	160	5	8.17	-	.61	1.75E-01
negative regulation of immune system process (GO:0002683)	32	1	1.63	-	.61	5.14E-01
positive regulation of neuron differentiation (GO:0045666)	32	1	1.63	-	.61	5.14E-01
protein transmembrane transport (GO:0071806)	32	1	1.63	-	.61	5.14E-01
cell cycle G1/S phase transition (GO:0044843)	32	1	1.63	-	.61	5.14E-01
chloride transmembrane transport (GO:1902476)	32	1	1.63	-	.61	5.14E-01
activation of immune response (GO:0002253)	64	2	3.27	-	.61	3.65E-01
cilium assembly (GO:0060271)	96	3	4.90	-	.61	2.78E-01
synaptic vesicle exocytosis (GO:0016079)	32	1	1.63	-	.61	5.14E-01
ciliary transition zone assembly (GO:1905349)	96	3	4.90	-	.61	2.78E-01
intraciliary transport involved in cilium assembly (GO:0035735)	96	3	4.90	-	.61	2.78E-01
intracellular protein transmembrane transport (GO:0065002)	32	1	1.63	-	.61	5.14E-01
axoneme assembly (GO:0035082)	96	3	4.90	-	.61	2.78E-01
defense response (GO:0006952)	258	8	13.18	-	.61	9.01E-02
cell adhesion (GO:0007155)	325	10	16.60	-	.60	5.73E-02
biological adhesion (GO:0022610)	325	10	16.60	-	.60	5.73E-02
regulation of phosphorylation (GO:0042325)	360	11	18.39	-	.60	4.44E-02
microtubule-based movement (GO:0007018)	197	6	10.06	-	.60	1.25E-01
circulatory system development (GO:0072359)	99	3	5.06	-	.59	2.56E-01
sphingolipid biosynthetic process (GO:0030148)	33	1	1.69	-	.59	4.98E-01
lipid homeostasis (GO:0055088)	33	1	1.69	-	.59	4.98E-01
regulation of T cell activation (GO:0050863)	33	1	1.69	-	.59	4.98E-01
protein targeting to mitochondrion (GO:0006626)	33	1	1.69	-	.59	4.98E-01
regulation of apoptotic signaling pathway (GO:2001233)	33	1	1.69	-	.59	4.98E-01
DNA replication (GO:0006260)	66	2	3.37	-	.59	3.45E-01
regulation of protein phosphorylation (GO:0001932)	300	9	15.32	-	.59	5.84E-02
cation homeostasis (GO:0055080)	201	6	10.27	-	.58	1.13E-01
membrane lipid metabolic process (GO:0006643)	67	2	3.42	-	.58	3.35E-01
sodium ion transmembrane transport (GO:0035725)	67	2	3.42	-	.58	3.35E-01
positive regulation of phosphorylation (GO:0042327)	269	8	13.74	-	.58	6.88E-02
inorganic ion homeostasis (GO:0098771)	203	6	10.37	-	.58	1.07E-01
regulation of immune response (GO:0050776)	102	3	5.21	-	.58	2.36E-01
leukocyte mediated immunity (GO:0002443)	34	1	1.74	-	.58	4.82E-01
receptor signaling pathway via JAK-STAT (GO:0007259)	34	1	1.74	-	.58	4.82E-01
receptor signaling pathway via STAT (GO:0097696)	34	1	1.74	-	.58	4.82E-01
proteoglycan metabolic process (GO:0006029)	34	1	1.74	-	.58	4.82E-01
response to wounding (GO:0009611)	34	1	1.74	-	.58	4.82E-01
response to tumor necrosis factor (GO:0034612)	34	1	1.74	-	.58	4.82E-01
cellular response to tumor necrosis factor (GO:0071356)	34	1	1.74	-	.58	4.82E-01
positive regulation of phosphorus metabolic process (GO:0010562)	274	8	14.00	-	.57	6.07E-02
positive regulation of phosphate metabolic process (GO:0045937)	274	8	14.00	-	.57	6.07E-02
microtubule bundle formation (GO:0001578)	103	3	5.26	-	.57	2.29E-01
second-messenger-mediated signaling (GO:0019932)	206	6	10.52	-	.57	9.91E-02
divalent inorganic cation homeostasis (GO:0072507)	138	4	7.05	-	.57	1.67E-01
carbohydrate derivative biosynthetic process (GO:1901137)	243	7	12.41	-	.56	7.15E-02
cell migration (GO:0016477)	243	7	12.41	-	.56	7.15E-02
eye development (GO:0001654)	35	1	1.79	-	.56	4.66E-01
regulation of immune effector process (GO:0002697)	35	1	1.79	-	.56	4.66E-01
positive regulation of leukocyte activation (GO:0002696)	35	1	1.79	-	.56	4.66E-01
synaptic transmission, glutamatergic (GO:0035249)	35	1	1.79	-	.56	4.66E-01
leukocyte cell-cell adhesion (GO:0007159)	35	1	1.79	-	.56	4.66E-01
localization of cell (GO:0051674)	280	8	14.30	-	.56	5.20E-02
chromosome separation (GO:0051304)	35	1	1.79	-	.56	4.66E-01
positive regulation of cell activation (GO:0050867)	35	1	1.79	-	.56	4.66E-01
DNA packaging (GO:0006323)	35	1	1.79	-	.56	4.66E-01
visual system development (GO:0150063)	35	1	1.79	-	.56	4.66E-01
sensory system development (GO:0048880)	35	1	1.79	-	.56	4.66E-01
cell motility (GO:0048870)	280	8	14.30	-	.56	5.20E-02
signal transduction by protein phosphorylation (GO:0023014)	141	4	7.20	-	.56	1.54E-01
protein localization to cilium (GO:0061512)	106	3	5.41	-	.55	2.11E-01
intraciliary transport (GO:0042073)	106	3	5.41	-	.55	2.11E-01
vesicle targeting, to, from or within Golgi (GO:0048199)	106	3	5.41	-	.55	2.11E-01
cellular cation homeostasis (GO:0030003)	179	5	9.14	-	.55	1.06E-01
protein localization to mitochondrion (GO:0070585)	36	1	1.84	-	.54	4.51E-01
establishment of protein localization to mitochondrion (GO:0072655)	36	1	1.84	-	.54	4.51E-01
positive regulation of cell projection organization (GO:0031346)	36	1	1.84	-	.54	4.51E-01
chloride transport (GO:0006821)	36	1	1.84	-	.54	4.51E-01
protein transport along microtubule (GO:0098840)	109	3	5.57	-	.54	1.93E-01
microtubule-based protein transport (GO:0099118)	109	3	5.57	-	.54	1.93E-01
vesicle targeting (GO:0006903)	109	3	5.57	-	.54	1.93E-01
cellular calcium ion homeostasis (GO:0006874)	109	3	5.57	-	.54	1.93E-01
cellular ion homeostasis (GO:0006873)	182	5	9.30	-	.54	9.76E-02
calcium ion homeostasis (GO:0055074)	110	3	5.62	-	.53	1.88E-01
phagocytosis (GO:0006909)	37	1	1.89	-	.53	4.36E-01
positive regulation of multicellular organismal process (GO:0051240)	111	3	5.67	-	.53	1.82E-01
regulation of cell population proliferation (GO:0042127)	150	4	7.66	-	.52	1.20E-01
negative regulation of hydrolase activity (GO:0051346)	75	2	3.83	-	.52	2.63E-01
cilium organization (GO:0044782)	113	3	5.77	-	.52	1.72E-01
establishment of vesicle localization (GO:0051650)	151	4	7.71	-	.52	1.16E-01
vesicle localization (GO:0051648)	151	4	7.71	-	.52	1.16E-01
negative regulation of protein kinase activity (GO:0006469)	38	1	1.94	-	.52	4.22E-01
glycerophospholipid biosynthetic process (GO:0046474)	38	1	1.94	-	.52	4.22E-01
fatty acid catabolic process (GO:0009062)	38	1	1.94	-	.52	4.22E-01
cell division (GO:0051301)	38	1	1.94	-	.52	4.22E-01
gene silencing (GO:0016458)	38	1	1.94	-	.52	4.22E-01
embryonic organ development (GO:0048568)	38	1	1.94	-	.52	4.22E-01
positive regulation of neurogenesis (GO:0050769)	38	1	1.94	-	.52	4.22E-01
inflammatory response (GO:0006954)	115	3	5.87	-	.51	1.62E-01
animal organ development (GO:0048513)	350	9	17.88	-	.50	1.56E-02
angiogenesis (GO:0001525)	39	1	1.99	-	.50	4.08E-01
fatty acid biosynthetic process (GO:0006633)	39	1	1.99	-	.50	4.08E-01
regulation of cell-cell adhesion (GO:0022407)	39	1	1.99	-	.50	4.08E-01
protein targeting (GO:0006605)	117	3	5.98	-	.50	1.52E-01
mitotic cell cycle phase transition (GO:0044772)	78	2	3.98	-	.50	2.40E-01
protein autophosphorylation (GO:0046777)	40	1	2.04	-	.49	3.94E-01
maintenance of location in cell (GO:0051651)	40	1	2.04	-	.49	3.94E-01
