




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Arabidopsis thaliana)
Reference List:	arabidopsis_background.txt (Arabidopsis thaliana)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	arabidopsis_background.txt - REFLIST (14244)	upload_1 (1970)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
mRNA polyadenylation (GO:0006378)	17	2	2.35	-	.85	5.82E-01
RNA 3'-end processing (GO:0031123)	34	4	4.70	-	.85	4.94E-01
homologous recombination (GO:0035825)	17	2	2.35	-	.85	5.82E-01
sphingolipid metabolic process (GO:0006665)	17	2	2.35	-	.85	5.82E-01
organic acid transmembrane transport (GO:1903825)	17	2	2.35	-	.85	5.82E-01
autophagosome assembly (GO:0000045)	17	2	2.35	-	.85	5.82E-01
carboxylic acid transmembrane transport (GO:1905039)	17	2	2.35	-	.85	5.82E-01
autophagosome organization (GO:1905037)	17	2	2.35	-	.85	5.82E-01
negative regulation of protein metabolic process (GO:0051248)	34	4	4.70	-	.85	4.94E-01
protein-containing complex assembly (GO:0065003)	222	26	30.70	-	.85	2.26E-01
defense response to bacterium (GO:0042742)	77	9	10.65	-	.85	3.79E-01
response to bacterium (GO:0009617)	77	9	10.65	-	.85	3.79E-01
tRNA processing (GO:0008033)	43	5	5.95	-	.84	4.54E-01
regulation of protein kinase activity (GO:0045859)	43	5	5.95	-	.84	4.54E-01
regulation of cellular protein metabolic process (GO:0032268)	147	17	20.33	-	.84	2.71E-01
regulation of mRNA processing (GO:0050684)	35	4	4.84	-	.83	4.69E-01
regulation of RNA splicing (GO:0043484)	35	4	4.84	-	.83	4.69E-01
regulation of cyclin-dependent protein kinase activity (GO:1904029)	35	4	4.84	-	.83	4.69E-01
regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)	35	4	4.84	-	.83	4.69E-01
regulation of protein modification process (GO:0031399)	70	8	9.68	-	.83	3.69E-01
meiotic cell cycle process (GO:1903046)	44	5	6.09	-	.82	4.32E-01
regulation of kinase activity (GO:0043549)	44	5	6.09	-	.82	4.32E-01
meiotic nuclear division (GO:0140013)	44	5	6.09	-	.82	4.32E-01
meiotic cell cycle (GO:0051321)	44	5	6.09	-	.82	4.32E-01
cation transport (GO:0006812)	176	20	24.34	-	.82	2.20E-01
cellular component assembly (GO:0022607)	314	35	43.43	-	.81	1.09E-01
nucleoside monophosphate metabolic process (GO:0009123)	9	1	1.24	-	.80	6.46E-01
regulation of protein dephosphorylation (GO:0035304)	18	2	2.49	-	.80	5.46E-01
protein import into mitochondrial matrix (GO:0030150)	18	2	2.49	-	.80	5.46E-01
ATP biosynthetic process (GO:0006754)	36	4	4.98	-	.80	4.44E-01
regulation of chromosome organization (GO:0033044)	27	3	3.73	-	.80	4.87E-01
protein prenylation (GO:0018342)	9	1	1.24	-	.80	6.46E-01
chromosome separation (GO:0051304)	18	2	2.49	-	.80	5.46E-01
cytoplasmic microtubule organization (GO:0031122)	9	1	1.24	-	.80	6.46E-01
DNA-templated transcription, elongation (GO:0006354)	27	3	3.73	-	.80	4.87E-01
hormone transport (GO:0009914)	9	1	1.24	-	.80	6.46E-01
regulation of cellular response to stress (GO:0080135)	9	1	1.24	-	.80	6.46E-01
ATP synthesis coupled proton transport (GO:0015986)	36	4	4.98	-	.80	4.44E-01
energy coupled proton transport, down electrochemical gradient (GO:0015985)	36	4	4.98	-	.80	4.44E-01
positive regulation of protein modification process (GO:0031401)	9	1	1.24	-	.80	6.46E-01
DNA conformation change (GO:0071103)	54	6	7.47	-	.80	3.82E-01
inorganic anion transmembrane transport (GO:0098661)	9	1	1.24	-	.80	6.46E-01
snRNA metabolic process (GO:0016073)	9	1	1.24	-	.80	6.46E-01
mitotic cell cycle phase transition (GO:0044772)	54	6	7.47	-	.80	3.82E-01
cell cycle phase transition (GO:0044770)	54	6	7.47	-	.80	3.82E-01
Golgi vesicle budding (GO:0048194)	9	1	1.24	-	.80	6.46E-01
regulation of catalytic activity (GO:0050790)	99	11	13.69	-	.80	2.86E-01
mitochondrial RNA metabolic process (GO:0000959)	9	1	1.24	-	.80	6.46E-01
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	27	3	3.73	-	.80	4.87E-01
xylan metabolic process (GO:0045491)	27	3	3.73	-	.80	4.87E-01
cell wall macromolecule metabolic process (GO:0044036)	54	6	7.47	-	.80	3.82E-01
positive regulation of cellular protein metabolic process (GO:0032270)	45	5	6.22	-	.80	4.10E-01
cation transmembrane transport (GO:0098655)	109	12	15.08	-	.80	2.60E-01
regulation of molecular function (GO:0065009)	100	11	13.83	-	.80	2.74E-01
monovalent inorganic cation transport (GO:0015672)	101	11	13.97	-	.79	2.62E-01
lipid localization (GO:0010876)	46	5	6.36	-	.79	3.89E-01
response to unfolded protein (GO:0006986)	28	3	3.87	-	.77	4.59E-01
cellular response to unfolded protein (GO:0034620)	28	3	3.87	-	.77	4.59E-01
cellular component macromolecule biosynthetic process (GO:0070589)	47	5	6.50	-	.77	3.69E-01
cell wall macromolecule biosynthetic process (GO:0044038)	47	5	6.50	-	.77	3.69E-01
regulation of dephosphorylation (GO:0035303)	19	2	2.63	-	.76	5.11E-01
regulation of actin filament-based process (GO:0032970)	19	2	2.63	-	.76	5.11E-01
regulation of actin cytoskeleton organization (GO:0032956)	19	2	2.63	-	.76	5.11E-01
inorganic ion transmembrane transport (GO:0098660)	114	12	15.77	-	.76	2.08E-01
peroxisome organization (GO:0007031)	19	2	2.63	-	.76	5.11E-01
cell morphogenesis (GO:0000902)	19	2	2.63	-	.76	5.11E-01
regulation of transferase activity (GO:0051338)	48	5	6.64	-	.75	3.49E-01
inorganic cation transmembrane transport (GO:0098662)	106	11	14.66	-	.75	2.07E-01
vesicle fusion to plasma membrane (GO:0099500)	29	3	4.01	-	.75	4.31E-01
exocytic process (GO:0140029)	29	3	4.01	-	.75	4.31E-01
steroid biosynthetic process (GO:0006694)	29	3	4.01	-	.75	4.31E-01
exocytosis (GO:0006887)	29	3	4.01	-	.75	4.31E-01
mRNA processing (GO:0006397)	128	13	17.70	-	.73	1.57E-01
protein modification by small protein conjugation (GO:0032446)	179	18	24.76	-	.73	9.86E-02
cytoplasmic translation (GO:0002181)	50	5	6.92	-	.72	3.11E-01
cell wall polysaccharide metabolic process (GO:0010383)	50	5	6.92	-	.72	3.11E-01
vesicle-mediated transport to the plasma membrane (GO:0098876)	10	1	1.38	-	.72	5.98E-01
positive regulation of protein catabolic process (GO:0045732)	20	2	2.77	-	.72	4.77E-01
iron-sulfur cluster assembly (GO:0016226)	10	1	1.38	-	.72	5.98E-01
signal peptide processing (GO:0006465)	10	1	1.38	-	.72	5.98E-01
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	20	2	2.77	-	.72	4.77E-01
transcription elongation from RNA polymerase II promoter (GO:0006368)	20	2	2.77	-	.72	4.77E-01
autophagy of nucleus (GO:0044804)	10	1	1.38	-	.72	5.98E-01
ceramide metabolic process (GO:0006672)	10	1	1.38	-	.72	5.98E-01
chaperone-mediated protein folding (GO:0061077)	30	3	4.15	-	.72	4.05E-01
pyrimidine nucleotide biosynthetic process (GO:0006221)	10	1	1.38	-	.72	5.98E-01
pyrimidine nucleotide metabolic process (GO:0006220)	10	1	1.38	-	.72	5.98E-01
unidimensional cell growth (GO:0009826)	10	1	1.38	-	.72	5.98E-01
Golgi to plasma membrane transport (GO:0006893)	10	1	1.38	-	.72	5.98E-01
xylan biosynthetic process (GO:0045492)	20	2	2.77	-	.72	4.77E-01
secretion by cell (GO:0032940)	31	3	4.29	-	.70	3.79E-01
export from cell (GO:0140352)	31	3	4.29	-	.70	3.79E-01
secretion (GO:0046903)	31	3	4.29	-	.70	3.79E-01
M phase (GO:0000279)	21	2	2.90	-	.69	4.45E-01
negative regulation of cellular component organization (GO:0051129)	21	2	2.90	-	.69	4.45E-01
negative regulation of organelle organization (GO:0010639)	21	2	2.90	-	.69	4.45E-01
meiosis I cell cycle phase (GO:0098764)	21	2	2.90	-	.69	4.45E-01
meiotic cell cycle phase (GO:0098762)	21	2	2.90	-	.69	4.45E-01
telophase (GO:0051326)	21	2	2.90	-	.69	4.45E-01
meiotic telophase I (GO:0007134)	21	2	2.90	-	.69	4.45E-01
biological phase (GO:0044848)	21	2	2.90	-	.69	4.45E-01
meiosis I (GO:0007127)	21	2	2.90	-	.69	4.45E-01
double-strand break repair via homologous recombination (GO:0000724)	42	4	5.81	-	.69	3.11E-01
clathrin-dependent endocytosis (GO:0072583)	21	2	2.90	-	.69	4.45E-01
cell cycle phase (GO:0022403)	21	2	2.90	-	.69	4.45E-01
regulation of pH (GO:0006885)	42	4	5.81	-	.69	3.11E-01
protein ubiquitination (GO:0016567)	159	15	21.99	-	.68	7.60E-02
endomembrane system organization (GO:0010256)	53	5	7.33	-	.68	2.60E-01
proton transmembrane transport (GO:1902600)	53	5	7.33	-	.68	2.60E-01
recombinational repair (GO:0000725)	43	4	5.95	-	.67	2.92E-01
monovalent inorganic cation homeostasis (GO:0055067)	43	4	5.95	-	.67	2.92E-01
regulation of protein catabolic process (GO:0042176)	22	2	3.04	-	.66	4.14E-01
organelle disassembly (GO:1903008)	22	2	3.04	-	.66	4.14E-01
protein-containing complex disassembly (GO:0032984)	33	3	4.56	-	.66	3.31E-01
aromatic amino acid family biosynthetic process (GO:0009073)	33	3	4.56	-	.66	3.31E-01
autophagy of mitochondrion (GO:0000422)	11	1	1.52	-	.66	5.51E-01
sterol biosynthetic process (GO:0016126)	22	2	3.04	-	.66	4.14E-01
double-strand break repair (GO:0006302)	55	5	7.61	-	.66	2.29E-01
hemicellulose metabolic process (GO:0010410)	44	4	6.09	-	.66	2.73E-01
negative regulation of multicellular organismal process (GO:0051241)	11	1	1.52	-	.66	5.51E-01
ribosomal small subunit biogenesis (GO:0042274)	56	5	7.75	-	.65	2.15E-01
mRNA splicing, via spliceosome (GO:0000398)	101	9	13.97	-	.64	1.10E-01
RNA modification (GO:0009451)	146	13	20.19	-	.64	6.01E-02
protein modification by small protein conjugation or removal (GO:0070647)	226	20	31.26	-	.64	2.08E-02
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	103	9	14.25	-	.63	9.75E-02
RNA splicing, via transesterification reactions (GO:0000375)	103	9	14.25	-	.63	9.75E-02
response to heat (GO:0009408)	23	2	3.18	-	.63	3.84E-01
meiosis I cell cycle process (GO:0061982)	23	2	3.18	-	.63	3.84E-01
ribonucleoprotein complex assembly (GO:0022618)	94	8	13.00	-	.62	9.90E-02
lipid translocation (GO:0034204)	12	1	1.66	-	.60	5.06E-01
cell wall organization (GO:0071555)	12	1	1.66	-	.60	5.06E-01
phospholipid translocation (GO:0045332)	12	1	1.66	-	.60	5.06E-01
negative regulation of catalytic activity (GO:0043086)	24	2	3.32	-	.60	3.55E-01
external encapsulating structure organization (GO:0045229)	12	1	1.66	-	.60	5.06E-01
cellular protein complex disassembly (GO:0043624)	24	2	3.32	-	.60	3.55E-01
fatty acid derivative metabolic process (GO:1901568)	12	1	1.66	-	.60	5.06E-01
negative regulation of molecular function (GO:0044092)	24	2	3.32	-	.60	3.55E-01
ribonucleoprotein complex subunit organization (GO:0071826)	97	8	13.42	-	.60	8.15E-02
protein transmembrane import into intracellular organelle (GO:0044743)	25	2	3.46	-	.58	3.29E-01
RNA splicing (GO:0008380)	113	9	15.63	-	.58	5.12E-02
mitochondrial transmembrane transport (GO:1990542)	38	3	5.26	-	.57	2.31E-01
sphingolipid biosynthetic process (GO:0030148)	13	1	1.80	-	.56	4.63E-01
'de novo' protein folding (GO:0006458)	26	2	3.60	-	.56	3.03E-01
regulation of intracellular signal transduction (GO:1902531)	13	1	1.80	-	.56	4.63E-01
cellular component disassembly (GO:0022411)	52	4	7.19	-	.56	1.56E-01
phospholipid transport (GO:0015914)	13	1	1.80	-	.56	4.63E-01
centrosome cycle (GO:0007098)	13	1	1.80	-	.56	4.63E-01
actin polymerization or depolymerization (GO:0008154)	26	2	3.60	-	.56	3.03E-01
microtubule organizing center organization (GO:0031023)	13	1	1.80	-	.56	4.63E-01
DNA biosynthetic process (GO:0071897)	66	5	9.13	-	.55	1.08E-01
DNA recombination (GO:0006310)	66	5	9.13	-	.55	1.08E-01
regulation of actin filament polymerization (GO:0030833)	14	1	1.94	-	.52	4.23E-01
regulation of actin filament length (GO:0030832)	14	1	1.94	-	.52	4.23E-01
regulation of actin polymerization or depolymerization (GO:0008064)	14	1	1.94	-	.52	4.23E-01
regulation of chromatin organization (GO:1902275)	14	1	1.94	-	.52	4.23E-01
maturation of SSU-rRNA (GO:0030490)	28	2	3.87	-	.52	2.57E-01
DNA integrity checkpoint (GO:0031570)	14	1	1.94	-	.52	4.23E-01
regulation of membrane lipid distribution (GO:0097035)	14	1	1.94	-	.52	4.23E-01
actin filament depolymerization (GO:0030042)	14	1	1.94	-	.52	4.23E-01
actin filament polymerization (GO:0030041)	14	1	1.94	-	.52	4.23E-01
regulation of actin filament organization (GO:0110053)	14	1	1.94	-	.52	4.23E-01
protein autophosphorylation (GO:0046777)	85	6	11.76	-	.51	5.19E-02
DNA replication (GO:0006260)	57	4	7.88	-	.51	1.06E-01
protein dephosphorylation (GO:0006470)	30	2	4.15	-	.48	2.17E-01
carbohydrate derivative catabolic process (GO:1901136)	45	3	6.22	-	.48	1.32E-01
regulation of hydrolase activity (GO:0051336)	31	2	4.29	-	.47	1.99E-01
regulation of anatomical structure size (GO:0090066)	16	1	2.21	-	.45	3.51E-01
regulation of cellular component size (GO:0032535)	16	1	2.21	-	.45	3.51E-01
positive regulation of catalytic activity (GO:0043085)	16	1	2.21	-	.45	3.51E-01
protein depolymerization (GO:0051261)	16	1	2.21	-	.45	3.51E-01
positive regulation of proteasomal protein catabolic process (GO:1901800)	17	1	2.35	-	.43	3.19E-01
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	17	1	2.35	-	.43	3.19E-01
positive regulation of cellular protein catabolic process (GO:1903364)	17	1	2.35	-	.43	3.19E-01
regulation of DNA metabolic process (GO:0051052)	17	1	2.35	-	.43	3.19E-01
endoplasmic reticulum organization (GO:0007029)	17	1	2.35	-	.43	3.19E-01
DNA-dependent DNA replication (GO:0006261)	51	3	7.05	-	.43	7.87E-02
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	17	1	2.35	-	.43	3.19E-01
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	17	1	2.35	-	.43	3.19E-01
positive regulation of molecular function (GO:0044093)	17	1	2.35	-	.43	3.19E-01
organelle assembly (GO:0070925)	123	7	17.01	-	.41	5.25E-03
regulation of proteasomal protein catabolic process (GO:0061136)	18	1	2.49	-	.40	2.89E-01
positive regulation of proteolysis (GO:0045862)	18	1	2.49	-	.40	2.89E-01
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	18	1	2.49	-	.40	2.89E-01
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	19	1	2.63	-	.38	2.62E-01
regulation of cellular protein catabolic process (GO:1903362)	19	1	2.63	-	.38	2.62E-01
ribosomal large subunit assembly (GO:0000027)	38	2	5.26	-	.38	1.04E-01
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	19	1	2.63	-	.38	2.62E-01
response to temperature stimulus (GO:0009266)	39	2	5.39	-	.37	9.49E-02
response to osmotic stress (GO:0006970)	41	2	5.67	-	.35	7.81E-02
protein deubiquitination (GO:0016579)	42	2	5.81	-	.34	7.08E-02
spindle assembly (GO:0051225)	22	1	3.04	-	.33	1.93E-01
protein modification by small protein removal (GO:0070646)	47	2	6.50	-	.31	4.28E-02
mitochondrial gene expression (GO:0140053)	24	1	3.32	-	.30	1.56E-01
regulation of proteolysis (GO:0030162)	28	1	3.87	-	.26	1.01E-01
secondary metabolic process (GO:0019748)	61	2	8.44	-	.24	9.66E-03
negative regulation of actin filament polymerization (GO:0030837)	7	0	.97	-	 < 0.01	3.80E-01
peptidoglycan metabolic process (GO:0000270)	1	0	.14	-	 < 0.01	8.71E-01
regulation of lipid biosynthetic process (GO:0046890)	2	0	.28	-	 < 0.01	7.58E-01
programmed cell death (GO:0012501)	11	0	1.52	-	 < 0.01	2.18E-01
ceramide biosynthetic process (GO:0046513)	8	0	1.11	-	 < 0.01	3.31E-01
purine ribonucleotide catabolic process (GO:0009154)	2	0	.28	-	 < 0.01	7.58E-01
spliceosomal complex assembly (GO:0000245)	3	0	.41	-	 < 0.01	6.60E-01
regulation of lipid metabolic process (GO:0019216)	2	0	.28	-	 < 0.01	7.58E-01
glycerolipid catabolic process (GO:0046503)	3	0	.41	-	 < 0.01	6.60E-01
nucleoside triphosphate catabolic process (GO:0009143)	2	0	.28	-	 < 0.01	7.58E-01
long-chain fatty acid metabolic process (GO:0001676)	1	0	.14	-	 < 0.01	8.71E-01
regulation of chromatin assembly or disassembly (GO:0001672)	1	0	.14	-	 < 0.01	8.71E-01
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	1	0	.14	-	 < 0.01	8.71E-01
peptidyl-tyrosine dephosphorylation (GO:0035335)	2	0	.28	-	 < 0.01	7.58E-01
response to hypoxia (GO:0001666)	1	0	.14	-	 < 0.01	8.71E-01
meiotic DNA double-strand break formation (GO:0042138)	2	0	.28	-	 < 0.01	7.58E-01
purine nucleobase biosynthetic process (GO:0009113)	2	0	.28	-	 < 0.01	7.58E-01
calcium ion import (GO:0070509)	7	0	.97	-	 < 0.01	3.80E-01
positive regulation of DNA replication (GO:0045740)	1	0	.14	-	 < 0.01	8.71E-01
regulation of endopeptidase activity (GO:0052548)	6	0	.83	-	 < 0.01	4.36E-01
regulation of peptidase activity (GO:0052547)	6	0	.83	-	 < 0.01	4.36E-01
negative regulation of protein dephosphorylation (GO:0035308)	1	0	.14	-	 < 0.01	8.71E-01
negative regulation of dephosphorylation (GO:0035305)	1	0	.14	-	 < 0.01	8.71E-01
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	7	0	.97	-	 < 0.01	3.80E-01
positive regulation of GTPase activity (GO:0043547)	2	0	.28	-	 < 0.01	7.58E-01
DNA geometric change (GO:0032392)	17	0	2.35	-	 < 0.01	9.51E-02
Rho protein signal transduction (GO:0007266)	2	0	.28	-	 < 0.01	7.58E-01
Ras protein signal transduction (GO:0007265)	3	0	.41	-	 < 0.01	6.60E-01
small GTPase mediated signal transduction (GO:0007264)	3	0	.41	-	 < 0.01	6.60E-01
cytosolic calcium ion transport (GO:0060401)	7	0	.97	-	 < 0.01	3.80E-01
negative regulation of endopeptidase activity (GO:0010951)	6	0	.83	-	 < 0.01	4.36E-01
replication fork processing (GO:0031297)	2	0	.28	-	 < 0.01	7.58E-01
mitochondrial respiratory chain complex II assembly (GO:0034553)	1	0	.14	-	 < 0.01	8.71E-01
positive regulation of cell division (GO:0051781)	1	0	.14	-	 < 0.01	8.71E-01
mitochondrial respiratory chain complex III assembly (GO:0034551)	4	0	.55	-	 < 0.01	5.75E-01
lysosomal microautophagy (GO:0016237)	5	0	.69	-	 < 0.01	5.01E-01
telomere capping (GO:0016233)	6	0	.83	-	 < 0.01	4.36E-01
positive regulation of cell death (GO:0010942)	2	0	.28	-	 < 0.01	7.58E-01
regulation of cell death (GO:0010941)	3	0	.41	-	 < 0.01	6.60E-01
endosome to lysosome transport (GO:0008333)	1	0	.14	-	 < 0.01	8.71E-01
extracellular matrix organization (GO:0030198)	4	0	.55	-	 < 0.01	5.75E-01
intracellular sterol transport (GO:0032366)	2	0	.28	-	 < 0.01	7.58E-01
response to UV (GO:0009411)	5	0	.69	-	 < 0.01	5.01E-01
histone deubiquitination (GO:0016578)	1	0	.14	-	 < 0.01	8.71E-01
histone methylation (GO:0016571)	8	0	1.11	-	 < 0.01	3.31E-01
response to cold (GO:0009409)	16	0	2.21	-	 < 0.01	1.09E-01
negative regulation of phosphatase activity (GO:0010923)	1	0	.14	-	 < 0.01	8.71E-01
signal transduction by protein phosphorylation (GO:0023014)	4	0	.55	-	 < 0.01	5.75E-01
signal transduction in response to DNA damage (GO:0042770)	3	0	.41	-	 < 0.01	6.60E-01
negative regulation of protein phosphorylation (GO:0001933)	3	0	.41	-	 < 0.01	6.60E-01
protein import into peroxisome matrix (GO:0016558)	6	0	.83	-	 < 0.01	4.36E-01
regulation of glucose metabolic process (GO:0010906)	1	0	.14	-	 < 0.01	8.71E-01
mitochondrial electron transport, succinate to ubiquinone (GO:0006121)	2	0	.28	-	 < 0.01	7.58E-01
protein localization to kinetochore (GO:0034501)	2	0	.28	-	 < 0.01	7.58E-01
negative regulation of protein kinase activity (GO:0006469)	3	0	.41	-	 < 0.01	6.60E-01
apoptotic mitochondrial changes (GO:0008637)	1	0	.14	-	 < 0.01	8.71E-01
intra-S DNA damage checkpoint (GO:0031573)	1	0	.14	-	 < 0.01	8.71E-01
G2 DNA damage checkpoint (GO:0031572)	3	0	.41	-	 < 0.01	6.60E-01
tRNA wobble uridine modification (GO:0002098)	5	0	.69	-	 < 0.01	5.01E-01
positive regulation of intracellular signal transduction (GO:1902533)	1	0	.14	-	 < 0.01	8.71E-01
negative regulation of intracellular signal transduction (GO:1902532)	4	0	.55	-	 < 0.01	5.75E-01
positive regulation of innate immune response (GO:0045089)	4	0	.55	-	 < 0.01	5.75E-01
chromosome organization involved in meiotic cell cycle (GO:0070192)	9	0	1.24	-	 < 0.01	2.88E-01
C4-dicarboxylate transport (GO:0015740)	4	0	.55	-	 < 0.01	5.75E-01
mitotic spindle assembly (GO:0090307)	1	0	.14	-	 < 0.01	8.71E-01
monocarboxylic acid transport (GO:0015718)	4	0	.55	-	 < 0.01	5.75E-01
glycerophospholipid catabolic process (GO:0046475)	3	0	.41	-	 < 0.01	6.60E-01
activation of MAPK activity (GO:0000187)	1	0	.14	-	 < 0.01	8.71E-01
response to oxygen levels (GO:0070482)	1	0	.14	-	 < 0.01	8.71E-01
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	8	0	1.11	-	 < 0.01	3.31E-01
MAPK cascade (GO:0000165)	4	0	.55	-	 < 0.01	5.75E-01
vegetative to reproductive phase transition of meristem (GO:0010228)	8	0	1.11	-	 < 0.01	3.31E-01
regulation of small GTPase mediated signal transduction (GO:0051056)	1	0	.14	-	 < 0.01	8.71E-01
negative regulation of DNA metabolic process (GO:0051053)	9	0	1.24	-	 < 0.01	2.88E-01
anaerobic respiration (GO:0009061)	1	0	.14	-	 < 0.01	8.71E-01
positive regulation of transport (GO:0051050)	3	0	.41	-	 < 0.01	6.60E-01
positive regulation of immune system process (GO:0002684)	4	0	.55	-	 < 0.01	5.75E-01
response to ionizing radiation (GO:0010212)	3	0	.41	-	 < 0.01	6.60E-01
negative regulation of phosphorus metabolic process (GO:0010563)	4	0	.55	-	 < 0.01	5.75E-01
folic acid-containing compound biosynthetic process (GO:0009396)	6	0	.83	-	 < 0.01	4.36E-01
kinetochore organization (GO:0051383)	2	0	.28	-	 < 0.01	7.58E-01
kinetochore assembly (GO:0051382)	1	0	.14	-	 < 0.01	8.71E-01
histone exchange (GO:0043486)	4	0	.55	-	 < 0.01	5.75E-01
regulation of membrane potential (GO:0042391)	5	0	.69	-	 < 0.01	5.01E-01
snRNA processing (GO:0016180)	4	0	.55	-	 < 0.01	5.75E-01
triglyceride biosynthetic process (GO:0019432)	6	0	.83	-	 < 0.01	4.36E-01
secondary metabolite biosynthetic process (GO:0044550)	15	0	2.07	-	 < 0.01	1.25E-01
negative regulation of transferase activity (GO:0051348)	6	0	.83	-	 < 0.01	4.36E-01
negative regulation of hydrolase activity (GO:0051346)	7	0	.97	-	 < 0.01	3.80E-01
positive regulation of hydrolase activity (GO:0051345)	9	0	1.24	-	 < 0.01	2.88E-01
snRNA 3'-end processing (GO:0034472)	4	0	.55	-	 < 0.01	5.75E-01
regulation of telomere maintenance via telomere lengthening (GO:1904356)	3	0	.41	-	 < 0.01	6.60E-01
regulation of autophagosome maturation (GO:1901096)	1	0	.14	-	 < 0.01	8.71E-01
potassium ion transmembrane transport (GO:0071805)	6	0	.83	-	 < 0.01	4.36E-01
localization of cell (GO:0051674)	1	0	.14	-	 < 0.01	8.71E-01
meiotic chromosome separation (GO:0051307)	9	0	1.24	-	 < 0.01	2.88E-01
telomere maintenance via telomere lengthening (GO:0010833)	9	0	1.24	-	 < 0.01	2.88E-01
positive regulation of MAPK cascade (GO:0043410)	1	0	.14	-	 < 0.01	8.71E-01
negative regulation of phosphorylation (GO:0042326)	3	0	.41	-	 < 0.01	6.60E-01
cell migration (GO:0016477)	1	0	.14	-	 < 0.01	8.71E-01
negative regulation of MAPK cascade (GO:0043409)	3	0	.41	-	 < 0.01	6.60E-01
regulation of MAPK cascade (GO:0043408)	4	0	.55	-	 < 0.01	5.75E-01
negative regulation of MAP kinase activity (GO:0043407)	3	0	.41	-	 < 0.01	6.60E-01
positive regulation of MAP kinase activity (GO:0043406)	1	0	.14	-	 < 0.01	8.71E-01
regulation of MAP kinase activity (GO:0043405)	4	0	.55	-	 < 0.01	5.75E-01
regulation of mitochondrion organization (GO:0010821)	3	0	.41	-	 < 0.01	6.60E-01
negative regulation of phosphate metabolic process (GO:0045936)	4	0	.55	-	 < 0.01	5.75E-01
cell death (GO:0008219)	11	0	1.52	-	 < 0.01	2.18E-01
homologous chromosome pairing at meiosis (GO:0007129)	4	0	.55	-	 < 0.01	5.75E-01
mitochondrial transcription (GO:0006390)	3	0	.41	-	 < 0.01	6.60E-01
cell cycle G2/M phase transition (GO:0044839)	12	0	1.66	-	 < 0.01	1.90E-01
tRNA splicing, via endonucleolytic cleavage and ligation (GO:0006388)	4	0	.55	-	 < 0.01	5.75E-01
transcription by RNA polymerase III (GO:0006383)	3	0	.41	-	 < 0.01	6.60E-01
negative regulation of DNA recombination (GO:0045910)	5	0	.69	-	 < 0.01	5.01E-01
mitotic DNA replication checkpoint (GO:0033314)	4	0	.55	-	 < 0.01	5.75E-01
negative regulation of kinase activity (GO:0033673)	3	0	.41	-	 < 0.01	6.60E-01
chloride transmembrane transport (GO:1902476)	2	0	.28	-	 < 0.01	7.58E-01
L-alpha-amino acid transmembrane transport (GO:1902475)	1	0	.14	-	 < 0.01	8.71E-01
mRNA splice site selection (GO:0006376)	2	0	.28	-	 < 0.01	7.58E-01
iron ion transmembrane transport (GO:0034755)	1	0	.14	-	 < 0.01	8.71E-01
DNA double-strand break processing (GO:0000729)	3	0	.41	-	 < 0.01	6.60E-01
double-strand break repair via break-induced replication (GO:0000727)	6	0	.83	-	 < 0.01	4.36E-01
non-recombinational repair (GO:0000726)	5	0	.69	-	 < 0.01	5.01E-01
mitotic G2/M transition checkpoint (GO:0044818)	7	0	.97	-	 < 0.01	3.80E-01
telomere maintenance (GO:0000723)	16	0	2.21	-	 < 0.01	1.09E-01
regulation of telomere maintenance via telomerase (GO:0032210)	3	0	.41	-	 < 0.01	6.60E-01
transcription by RNA polymerase I (GO:0006360)	7	0	.97	-	 < 0.01	3.80E-01
resolution of meiotic recombination intermediates (GO:0000712)	7	0	.97	-	 < 0.01	3.80E-01
cell projection assembly (GO:0030031)	1	0	.14	-	 < 0.01	8.71E-01
cell projection organization (GO:0030030)	1	0	.14	-	 < 0.01	8.71E-01
regulation of telomere maintenance (GO:0032204)	3	0	.41	-	 < 0.01	6.60E-01
quaternary ammonium group transport (GO:0015697)	1	0	.14	-	 < 0.01	8.71E-01
telomere organization (GO:0032200)	16	0	2.21	-	 < 0.01	1.09E-01
regulation of apoptotic process (GO:0042981)	1	0	.14	-	 < 0.01	8.71E-01
