




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	PANTHER version 16.0 Released 2020-12-01
Analyzed List:	upload_1 (Saccharomyces cerevisiae)
Reference List:	yeast_background.txt (Saccharomyces cerevisiae)
Test Type:	BINOMIAL
Correction:	NONE
PANTHER GO-Slim Biological Process	yeast_background.txt - REFLIST (4661)	upload_1 (3776)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
double-strand break repair (GO:0006302)	41	29	33.22	-	.87	2.64E-01
lipid transport (GO:0006869)	17	12	13.77	-	.87	3.81E-01
inorganic cation transmembrane transport (GO:0098662)	61	43	49.42	-	.87	2.00E-01
regulation of chromosome organization (GO:0033044)	27	19	21.87	-	.87	3.15E-01
membrane fusion (GO:0061025)	50	35	40.51	-	.86	2.17E-01
lysosomal microautophagy (GO:0016237)	10	7	8.10	-	.86	4.39E-01
phospholipid biosynthetic process (GO:0008654)	40	28	32.41	-	.86	2.50E-01
regulation of actin filament-based process (GO:0032970)	20	14	16.20	-	.86	3.49E-01
regulation of actin cytoskeleton organization (GO:0032956)	20	14	16.20	-	.86	3.49E-01
organophosphate catabolic process (GO:0046434)	20	14	16.20	-	.86	3.49E-01
cytoskeleton-dependent intracellular transport (GO:0030705)	10	7	8.10	-	.86	4.39E-01
positive regulation of mitotic cell cycle (GO:0045931)	10	7	8.10	-	.86	4.39E-01
protein modification by small protein removal (GO:0070646)	20	14	16.20	-	.86	3.49E-01
meiosis I cell cycle process (GO:0061982)	20	14	16.20	-	.86	3.49E-01
cortical actin cytoskeleton organization (GO:0030866)	10	7	8.10	-	.86	4.39E-01
macromolecule catabolic process (GO:0009057)	194	135	157.16	-	.86	3.64E-02
mitotic cell cycle phase transition (GO:0044772)	46	32	37.27	-	.86	2.19E-01
cell cycle phase transition (GO:0044770)	46	32	37.27	-	.86	2.19E-01
phospholipid metabolic process (GO:0006644)	62	43	50.23	-	.86	1.70E-01
establishment of protein localization to peroxisome (GO:0072663)	13	9	10.53	-	.85	3.93E-01
protein localization to peroxisome (GO:0072662)	13	9	10.53	-	.85	3.93E-01
reciprocal meiotic recombination (GO:0007131)	13	9	10.53	-	.85	3.93E-01
cell cycle G2/M phase transition (GO:0044839)	13	9	10.53	-	.85	3.93E-01
homologous recombination (GO:0035825)	13	9	10.53	-	.85	3.93E-01
cellular response to chemical stress (GO:0062197)	26	18	21.06	-	.85	2.96E-01
protein targeting to peroxisome (GO:0006625)	13	9	10.53	-	.85	3.93E-01
G2/M transition of mitotic cell cycle (GO:0000086)	13	9	10.53	-	.85	3.93E-01
DNA damage checkpoint (GO:0000077)	13	9	10.53	-	.85	3.93E-01
phospholipid transport (GO:0015914)	13	9	10.53	-	.85	3.93E-01
movement of cell or subcellular component (GO:0006928)	13	9	10.53	-	.85	3.93E-01
protein catabolic process in the vacuole (GO:0007039)	13	9	10.53	-	.85	3.93E-01
actin filament organization (GO:0007015)	26	18	21.06	-	.85	2.96E-01
regulation of organelle organization (GO:0033043)	68	47	55.09	-	.85	1.51E-01
actin cytoskeleton organization (GO:0030036)	42	29	34.03	-	.85	2.21E-01
actin filament-based process (GO:0030029)	42	29	34.03	-	.85	2.21E-01
cellular macromolecule catabolic process (GO:0044265)	184	127	149.06	-	.85	3.34E-02
nucleoside triphosphate metabolic process (GO:0009141)	45	31	36.46	-	.85	2.07E-01
retrograde transport, endosome to Golgi (GO:0042147)	16	11	12.96	-	.85	3.57E-01
positive regulation of phosphorylation (GO:0042327)	16	11	12.96	-	.85	3.57E-01
cellular protein complex disassembly (GO:0043624)	16	11	12.96	-	.85	3.57E-01
meiotic chromosome segregation (GO:0045132)	16	11	12.96	-	.85	3.57E-01
regulation of cell cycle (GO:0051726)	73	50	59.14	-	.85	1.27E-01
DNA integrity checkpoint (GO:0031570)	19	13	15.39	-	.84	3.26E-01
cytosolic transport (GO:0016482)	22	15	17.82	-	.84	3.00E-01
ATP-dependent chromatin remodeling (GO:0043044)	22	15	17.82	-	.84	3.00E-01
organonitrogen compound catabolic process (GO:1901565)	168	114	136.10	-	.84	2.72E-02
glycerophospholipid biosynthetic process (GO:0046474)	28	19	22.68	-	.84	2.57E-01
peroxisome organization (GO:0007031)	28	19	22.68	-	.84	2.57E-01
vesicle-mediated transport (GO:0016192)	223	151	180.66	-	.84	1.15E-02
nucleoside triphosphate biosynthetic process (GO:0009142)	43	29	34.84	-	.83	1.83E-01
monovalent inorganic cation transport (GO:0015672)	43	29	34.84	-	.83	1.83E-01
glycerophospholipid metabolic process (GO:0006650)	46	31	37.27	-	.83	1.72E-01
vesicle budding from membrane (GO:0006900)	64	43	51.85	-	.83	1.20E-01
ribonucleoside triphosphate metabolic process (GO:0009199)	42	28	34.03	-	.82	1.71E-01
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	21	14	17.01	-	.82	2.79E-01
purine nucleoside triphosphate biosynthetic process (GO:0009145)	39	26	31.59	-	.82	1.82E-01
purine nucleoside triphosphate metabolic process (GO:0009144)	39	26	31.59	-	.82	1.82E-01
secretion by cell (GO:0032940)	27	18	21.87	-	.82	2.40E-01
positive regulation of cellular protein metabolic process (GO:0032270)	39	26	31.59	-	.82	1.82E-01
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	39	26	31.59	-	.82	1.82E-01
purine ribonucleoside triphosphate metabolic process (GO:0009205)	39	26	31.59	-	.82	1.82E-01
ribonucleoside triphosphate biosynthetic process (GO:0009201)	42	28	34.03	-	.82	1.71E-01
secretion (GO:0046903)	27	18	21.87	-	.82	2.40E-01
nucleotide-excision repair (GO:0006289)	21	14	17.01	-	.82	2.79E-01
proton transmembrane transport (GO:1902600)	39	26	31.59	-	.82	1.82E-01
phosphatidylinositol phosphorylation (GO:0046854)	6	4	4.86	-	.82	4.65E-01
vacuole fusion, non-autophagic (GO:0042144)	9	6	7.29	-	.82	4.07E-01
phospholipid dephosphorylation (GO:0046839)	6	4	4.86	-	.82	4.65E-01
negative regulation of protein dephosphorylation (GO:0035308)	3	2	2.43	-	.82	5.62E-01
negative regulation of dephosphorylation (GO:0035305)	3	2	2.43	-	.82	5.62E-01
C-terminal protein amino acid modification (GO:0018410)	3	2	2.43	-	.82	5.62E-01
positive regulation of cell division (GO:0051781)	3	2	2.43	-	.82	5.62E-01
telomere capping (GO:0016233)	3	2	2.43	-	.82	5.62E-01
protein localization to kinetochore (GO:0034501)	3	2	2.43	-	.82	5.62E-01
intra-S DNA damage checkpoint (GO:0031573)	3	2	2.43	-	.82	5.62E-01
regulation of membrane lipid distribution (GO:0097035)	9	6	7.29	-	.82	4.07E-01
rDNA heterochromatin assembly (GO:0000183)	3	2	2.43	-	.82	5.62E-01
regulation of reproductive process (GO:2000241)	6	4	4.86	-	.82	4.65E-01
vesicle cytoskeletal trafficking (GO:0099518)	6	4	4.86	-	.82	4.65E-01
regulation of small GTPase mediated signal transduction (GO:0051056)	3	2	2.43	-	.82	5.62E-01
kinetochore organization (GO:0051383)	3	2	2.43	-	.82	5.62E-01
meiotic chromosome separation (GO:0051307)	9	6	7.29	-	.82	4.07E-01
positive regulation of translational initiation (GO:0045948)	3	2	2.43	-	.82	5.62E-01
cell division (GO:0051301)	18	12	14.58	-	.82	3.03E-01
calcium-mediated signaling (GO:0019722)	3	2	2.43	-	.82	5.62E-01
piecemeal microautophagy of the nucleus (GO:0034727)	9	6	7.29	-	.82	4.07E-01
mitotic recombination (GO:0006312)	9	6	7.29	-	.82	4.07E-01
protein stabilization (GO:0050821)	6	4	4.86	-	.82	4.65E-01
clathrin-dependent endocytosis (GO:0072583)	6	4	4.86	-	.82	4.65E-01
stress-activated protein kinase signaling cascade (GO:0031098)	3	2	2.43	-	.82	5.62E-01
glucose homeostasis (GO:0042593)	6	4	4.86	-	.82	4.65E-01
activation of protein kinase activity (GO:0032147)	9	6	7.29	-	.82	4.07E-01
negative regulation of catabolic process (GO:0009895)	3	2	2.43	-	.82	5.62E-01
positive regulation of cytokinesis (GO:0032467)	3	2	2.43	-	.82	5.62E-01
regulation of cAMP-mediated signaling (GO:0043949)	3	2	2.43	-	.82	5.62E-01
negative regulation of cellular catabolic process (GO:0031330)	3	2	2.43	-	.82	5.62E-01
poly(A)+ mRNA export from nucleus (GO:0016973)	9	6	7.29	-	.82	4.07E-01
receptor-mediated endocytosis (GO:0006898)	9	6	7.29	-	.82	4.07E-01
cellular zinc ion homeostasis (GO:0006882)	3	2	2.43	-	.82	5.62E-01
regulation of Ras protein signal transduction (GO:0046578)	3	2	2.43	-	.82	5.62E-01
negative regulation of chromatin silencing (GO:0031936)	3	2	2.43	-	.82	5.62E-01
deadenylation-dependent decapping of nuclear-transcribed mRNA (GO:0000290)	6	4	4.86	-	.82	4.65E-01
nuclear chromosome segregation (GO:0098813)	47	31	38.08	-	.81	1.41E-01
glycerolipid metabolic process (GO:0046486)	47	31	38.08	-	.81	1.41E-01
glycerolipid biosynthetic process (GO:0045017)	29	19	23.49	-	.81	2.07E-01
response to abiotic stimulus (GO:0009628)	26	17	21.06	-	.81	2.22E-01
carbohydrate transport (GO:0008643)	23	15	18.63	-	.81	2.39E-01
mRNA export from nucleus (GO:0006406)	20	13	16.20	-	.80	2.58E-01
mRNA transport (GO:0051028)	20	13	16.20	-	.80	2.58E-01
lipid localization (GO:0010876)	20	13	16.20	-	.80	2.58E-01
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	20	13	16.20	-	.80	2.58E-01
positive regulation of phosphorus metabolic process (GO:0010562)	17	11	13.77	-	.80	2.79E-01
protein processing (GO:0016485)	17	11	13.77	-	.80	2.79E-01
positive regulation of phosphate metabolic process (GO:0045937)	17	11	13.77	-	.80	2.79E-01
positive regulation of molecular function (GO:0044093)	34	22	27.54	-	.80	1.68E-01
proteasomal protein catabolic process (GO:0010498)	79	51	64.00	-	.80	5.37E-02
protein catabolic process (GO:0030163)	124	80	100.46	-	.80	1.91E-02
positive regulation of cell cycle (GO:0045787)	14	9	11.34	-	.79	3.04E-01
positive regulation of protein phosphorylation (GO:0001934)	14	9	11.34	-	.79	3.04E-01
post-Golgi vesicle-mediated transport (GO:0006892)	28	18	22.68	-	.79	1.91E-01
vesicle organization (GO:0016050)	106	68	85.87	-	.79	2.58E-02
autophagy (GO:0006914)	39	25	31.59	-	.79	1.36E-01
process utilizing autophagic mechanism (GO:0061919)	39	25	31.59	-	.79	1.36E-01
organelle fusion (GO:0048284)	50	32	40.51	-	.79	9.97E-02
cellular protein catabolic process (GO:0044257)	122	78	98.84	-	.79	1.65E-02
ATP biosynthetic process (GO:0006754)	36	23	29.16	-	.79	1.45E-01
ATP synthesis coupled proton transport (GO:0015986)	36	23	29.16	-	.79	1.45E-01
energy coupled proton transport, down electrochemical gradient (GO:0015985)	36	23	29.16	-	.79	1.45E-01
protein import into peroxisome matrix (GO:0016558)	11	7	8.91	-	.79	3.34E-01
regulation of cell cycle G2/M phase transition (GO:1902749)	11	7	8.91	-	.79	3.34E-01
mitotic DNA integrity checkpoint (GO:0044774)	11	7	8.91	-	.79	3.34E-01
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	11	7	8.91	-	.79	3.34E-01
positive regulation of protein metabolic process (GO:0051247)	41	26	33.22	-	.78	1.18E-01
chromosome segregation (GO:0007059)	49	31	39.70	-	.78	9.18E-02
proteolysis involved in cellular protein catabolic process (GO:0051603)	117	74	94.78	-	.78	1.49E-02
modification-dependent macromolecule catabolic process (GO:0043632)	114	72	92.35	-	.78	1.56E-02
sister chromatid segregation (GO:0000819)	38	24	30.78	-	.78	1.25E-01
positive regulation of protein modification process (GO:0031401)	19	12	15.39	-	.78	2.36E-01
proteolysis (GO:0006508)	175	110	141.77	-	.78	2.82E-03
negative regulation of cell cycle (GO:0045786)	32	20	25.92	-	.77	1.41E-01
respiratory electron transport chain (GO:0022904)	24	15	19.44	-	.77	1.87E-01
electron transport chain (GO:0022900)	24	15	19.44	-	.77	1.87E-01
carbohydrate derivative catabolic process (GO:1901136)	8	5	6.48	-	.77	3.72E-01
protein palmitoylation (GO:0018345)	8	5	6.48	-	.77	3.72E-01
positive regulation of hydrolase activity (GO:0051345)	16	10	12.96	-	.77	2.55E-01
autophagy of mitochondrion (GO:0000422)	16	10	12.96	-	.77	2.55E-01
iron ion transmembrane transport (GO:0034755)	8	5	6.48	-	.77	3.72E-01
lipid homeostasis (GO:0055088)	8	5	6.48	-	.77	3.72E-01
cellular component disassembly (GO:0022411)	48	30	38.89	-	.77	8.42E-02
positive regulation of catalytic activity (GO:0043085)	32	20	25.92	-	.77	1.41E-01
DNA replication checkpoint (GO:0000076)	8	5	6.48	-	.77	3.72E-01
protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043328)	8	5	6.48	-	.77	3.72E-01
organelle membrane fusion (GO:0090174)	40	25	32.41	-	.77	1.08E-01
regulation of protein stability (GO:0031647)	8	5	6.48	-	.77	3.72E-01
cell cycle checkpoint (GO:0000075)	29	18	23.49	-	.77	1.50E-01
negative regulation of mitotic cell cycle (GO:0045930)	21	13	17.01	-	.76	1.99E-01
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	73	45	59.14	-	.76	3.28E-02
vesicle fusion (GO:0006906)	39	24	31.59	-	.76	9.87E-02
positive regulation of kinase activity (GO:0033674)	13	8	10.53	-	.76	2.76E-01
Golgi vesicle budding (GO:0048194)	13	8	10.53	-	.76	2.76E-01
modification-dependent protein catabolic process (GO:0019941)	109	67	88.30	-	.76	1.02E-02
regulation of cellular catabolic process (GO:0031329)	18	11	14.58	-	.75	2.13E-01
oxidative phosphorylation (GO:0006119)	23	14	18.63	-	.75	1.69E-01
endosomal transport (GO:0016197)	46	28	37.27	-	.75	6.98E-02
negative regulation of actin filament polymerization (GO:0030837)	5	3	4.05	-	.74	4.24E-01
mitochondrial fission (GO:0000266)	5	3	4.05	-	.74	4.24E-01
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	5	3	4.05	-	.74	4.24E-01
histone deacetylation (GO:0016575)	5	3	4.05	-	.74	4.24E-01
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	20	12	16.20	-	.74	1.79E-01
protein deacylation (GO:0035601)	5	3	4.05	-	.74	4.24E-01
protein deacetylation (GO:0006476)	5	3	4.05	-	.74	4.24E-01
mitochondrion distribution (GO:0048311)	5	3	4.05	-	.74	4.24E-01
vesicle fusion to plasma membrane (GO:0099500)	20	12	16.20	-	.74	1.79E-01
macromolecule deacylation (GO:0098732)	5	3	4.05	-	.74	4.24E-01
exocytic process (GO:0140029)	20	12	16.20	-	.74	1.79E-01
positive regulation of transferase activity (GO:0051347)	15	9	12.15	-	.74	2.29E-01
regulation of cell division (GO:0051302)	5	3	4.05	-	.74	4.24E-01
developmental process (GO:0032502)	10	6	8.10	-	.74	3.01E-01
interstrand cross-link repair (GO:0036297)	5	3	4.05	-	.74	4.24E-01
regulation of exit from mitosis (GO:0007096)	5	3	4.05	-	.74	4.24E-01
mitotic cell cycle checkpoint (GO:0007093)	20	12	16.20	-	.74	1.79E-01
regulation of cytokinesis (GO:0032465)	5	3	4.05	-	.74	4.24E-01
histone H3 acetylation (GO:0043966)	5	3	4.05	-	.74	4.24E-01
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	15	9	12.15	-	.74	2.29E-01
exocytosis (GO:0006887)	20	12	16.20	-	.74	1.79E-01
ubiquitin-dependent protein catabolic process (GO:0006511)	104	62	84.25	-	.74	6.35E-03
regulation of mitotic cell cycle (GO:0007346)	37	22	29.97	-	.73	8.04E-02
chromosome separation (GO:0051304)	22	13	17.82	-	.73	1.51E-01
regulation of GTPase activity (GO:0043087)	17	10	13.77	-	.73	1.91E-01
mitotic sister chromatid segregation (GO:0000070)	34	20	27.54	-	.73	8.41E-02
regulation of mitotic cell cycle phase transition (GO:1901990)	29	17	23.49	-	.72	1.03E-01
regulation of cell cycle phase transition (GO:1901987)	29	17	23.49	-	.72	1.03E-01
protein modification by small protein conjugation or removal (GO:0070647)	84	49	68.05	-	.72	9.05E-03
positive regulation of protein kinase activity (GO:0045860)	12	7	9.72	-	.72	2.46E-01
negative regulation of organelle organization (GO:0010639)	19	11	15.39	-	.71	1.60E-01
negative regulation of cellular component organization (GO:0051129)	21	12	17.01	-	.71	1.34E-01
chromosome localization (GO:0050000)	7	4	5.67	-	.71	3.31E-01
positive regulation of protein serine/threonine kinase activity (GO:0071902)	7	4	5.67	-	.71	3.31E-01
ATP synthesis coupled electron transport (GO:0042773)	21	12	17.01	-	.71	1.34E-01
attachment of spindle microtubules to kinetochore (GO:0008608)	7	4	5.67	-	.71	3.31E-01
regulation of cell cycle process (GO:0010564)	35	20	28.35	-	.71	6.36E-02
nucleotide-excision repair, DNA incision (GO:0033683)	7	4	5.67	-	.71	3.31E-01
vacuolar transport (GO:0007034)	42	24	34.03	-	.71	4.49E-02
protein monoubiquitination (GO:0006513)	7	4	5.67	-	.71	3.31E-01
establishment of protein localization to vacuole (GO:0072666)	23	13	18.63	-	.70	1.13E-01
telomere maintenance (GO:0000723)	16	9	12.96	-	.69	1.68E-01
autophagy of nucleus (GO:0044804)	16	9	12.96	-	.69	1.68E-01
telomere organization (GO:0032200)	16	9	12.96	-	.69	1.68E-01
anatomical structure homeostasis (GO:0060249)	16	9	12.96	-	.69	1.68E-01
vacuole organization (GO:0007033)	32	18	25.92	-	.69	6.58E-02
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162)	9	5	7.29	-	.69	2.65E-01
negative regulation of mitotic nuclear division (GO:0045839)	9	5	7.29	-	.69	2.65E-01
base-excision repair (GO:0006284)	9	5	7.29	-	.69	2.65E-01
endosome transport via multivesicular body sorting pathway (GO:0032509)	20	11	16.20	-	.68	1.17E-01
regulation of catabolic process (GO:0009894)	20	11	16.20	-	.68	1.17E-01
protein modification by small protein conjugation (GO:0032446)	64	35	51.85	-	.68	8.21E-03
negative regulation of chromosome organization (GO:2001251)	11	6	8.91	-	.67	2.15E-01
COPII-coated vesicle budding (GO:0090114)	11	6	8.91	-	.67	2.15E-01
protein localization to vacuole (GO:0072665)	24	13	19.44	-	.67	8.22E-02
regulation of chromosome segregation (GO:0051983)	15	8	12.15	-	.66	1.45E-01
negative regulation of mitotic cell cycle phase transition (GO:1901991)	15	8	12.15	-	.66	1.45E-01
negative regulation of cell cycle phase transition (GO:1901988)	15	8	12.15	-	.66	1.45E-01
autophagosome assembly (GO:0000045)	19	10	15.39	-	.65	1.00E-01
autophagosome organization (GO:1905037)	19	10	15.39	-	.65	1.00E-01
regulation of mitotic nuclear division (GO:0007088)	19	10	15.39	-	.65	1.00E-01
multivesicular body sorting pathway (GO:0071985)	21	11	17.01	-	.65	8.37E-02
organelle disassembly (GO:1903008)	27	14	21.87	-	.64	4.98E-02
cyclic nucleotide metabolic process (GO:0009187)	2	1	1.62	-	.62	5.18E-01
programmed cell death (GO:0012501)	4	2	3.24	-	.62	3.71E-01
actin filament bundle organization (GO:0061572)	2	1	1.62	-	.62	5.18E-01
purine ribonucleotide catabolic process (GO:0009154)	2	1	1.62	-	.62	5.18E-01
glycerolipid catabolic process (GO:0046503)	6	3	4.86	-	.62	2.85E-01
protein K63-linked ubiquitination (GO:0070534)	2	1	1.62	-	.62	5.18E-01
regulation of cytosolic calcium ion concentration (GO:0051480)	2	1	1.62	-	.62	5.18E-01
tRNA threonylcarbamoyladenosine metabolic process (GO:0070525)	2	1	1.62	-	.62	5.18E-01
calcium ion import (GO:0070509)	2	1	1.62	-	.62	5.18E-01
regulation of cell population proliferation (GO:0042127)	2	1	1.62	-	.62	5.18E-01
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	6	3	4.86	-	.62	2.85E-01
positive regulation of GTPase activity (GO:0043547)	12	6	9.72	-	.62	1.48E-01
negative regulation of macroautophagy (GO:0016242)	2	1	1.62	-	.62	5.18E-01
regulation of macroautophagy (GO:0016241)	4	2	3.24	-	.62	3.71E-01
calcium ion transport into cytosol (GO:0060402)	2	1	1.62	-	.62	5.18E-01
cytosolic calcium ion transport (GO:0060401)	2	1	1.62	-	.62	5.18E-01
negative regulation of nuclear division (GO:0051784)	10	5	8.10	-	.62	1.82E-01
replication fork processing (GO:0031297)	4	2	3.24	-	.62	3.71E-01
regulation of nuclear division (GO:0051783)	20	10	16.20	-	.62	7.03E-02
negative regulation of TOR signaling (GO:0032007)	4	2	3.24	-	.62	3.71E-01
response to light stimulus (GO:0009416)	4	2	3.24	-	.62	3.71E-01
response to UV (GO:0009411)	4	2	3.24	-	.62	3.71E-01
histone ubiquitination (GO:0016574)	2	1	1.62	-	.62	5.18E-01
protein demethylation (GO:0006482)	2	1	1.62	-	.62	5.18E-01
positive regulation of cytosolic calcium ion concentration (GO:0007204)	2	1	1.62	-	.62	5.18E-01
basic amino acid transmembrane transport (GO:1990822)	2	1	1.62	-	.62	5.18E-01
signal peptide processing (GO:0006465)	4	2	3.24	-	.62	3.71E-01
apoptotic mitochondrial changes (GO:0008637)	2	1	1.62	-	.62	5.18E-01
negative regulation of chromosome separation (GO:1905819)	8	4	6.48	-	.62	2.26E-01
negative regulation of intracellular signal transduction (GO:1902532)	6	3	4.86	-	.62	2.85E-01
glycerophospholipid catabolic process (GO:0046475)	6	3	4.86	-	.62	2.85E-01
TORC1 signaling (GO:0038202)	6	3	4.86	-	.62	2.85E-01
negative regulation of small GTPase mediated signal transduction (GO:0051058)	2	1	1.62	-	.62	5.18E-01
phospholipid catabolic process (GO:0009395)	6	3	4.86	-	.62	2.85E-01
retrograde transport, endosome to plasma membrane (GO:1990126)	2	1	1.62	-	.62	5.18E-01
actin filament bundle assembly (GO:0051017)	2	1	1.62	-	.62	5.18E-01
negative regulation of mitotic sister chromatid segregation (GO:0033048)	8	4	6.48	-	.62	2.26E-01
regulation of mitotic sister chromatid segregation (GO:0033047)	14	7	11.34	-	.62	1.22E-01
negative regulation of sister chromatid segregation (GO:0033046)	8	4	6.48	-	.62	2.26E-01
regulation of sister chromatid segregation (GO:0033045)	14	7	11.34	-	.62	1.22E-01
positive regulation of cell population proliferation (GO:0008284)	2	1	1.62	-	.62	5.18E-01
cell population proliferation (GO:0008283)	2	1	1.62	-	.62	5.18E-01
negative regulation of autophagy (GO:0010507)	2	1	1.62	-	.62	5.18E-01
attachment of mitotic spindle microtubules to kinetochore (GO:0051315)	6	3	4.86	-	.62	2.85E-01
metaphase plate congression (GO:0051310)	6	3	4.86	-	.62	2.85E-01
establishment of chromosome localization (GO:0051303)	6	3	4.86	-	.62	2.85E-01
negative regulation of mitotic sister chromatid separation (GO:2000816)	8	4	6.48	-	.62	2.26E-01
regulation of mitotic metaphase/anaphase transition (GO:0030071)	12	6	9.72	-	.62	1.48E-01
negative regulation of chromosome segregation (GO:0051985)	8	4	6.48	-	.62	2.26E-01
mitotic G2/M transition checkpoint (GO:0044818)	6	3	4.86	-	.62	2.85E-01
actin filament depolymerization (GO:0030042)	6	3	4.86	-	.62	2.85E-01
negative regulation of metaphase/anaphase transition of cell cycle (GO:1902100)	8	4	6.48	-	.62	2.26E-01
mitochondrial outer membrane translocase complex assembly (GO:0070096)	6	3	4.86	-	.62	2.85E-01
negative regulation of cell cycle G2/M phase transition (GO:1902750)	6	3	4.86	-	.62	2.85E-01
protein targeting to vacuole (GO:0006623)	16	8	12.96	-	.62	1.01E-01
sterol transport (GO:0015918)	2	1	1.62	-	.62	5.18E-01
protein localization to Golgi apparatus (GO:0034067)	2	1	1.62	-	.62	5.18E-01
apoptotic process (GO:0006915)	4	2	3.24	-	.62	3.71E-01
calcium ion transmembrane import into cytosol (GO:0097553)	2	1	1.62	-	.62	5.18E-01
protein depolymerization (GO:0051261)	8	4	6.48	-	.62	2.26E-01
regulation of autophagosome assembly (GO:2000785)	2	1	1.62	-	.62	5.18E-01
mitotic spindle assembly checkpoint (GO:0007094)	8	4	6.48	-	.62	2.26E-01
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	12	6	9.72	-	.62	1.48E-01
mitotic metaphase plate congression (GO:0007080)	6	3	4.86	-	.62	2.85E-01
demethylation (GO:0070988)	2	1	1.62	-	.62	5.18E-01
protein K11-linked ubiquitination (GO:0070979)	4	2	3.24	-	.62	3.71E-01
negative regulation of mitotic metaphase/anaphase transition (GO:0045841)	8	4	6.48	-	.62	2.26E-01
positive regulation of mitotic nuclear division (GO:0045840)	4	2	3.24	-	.62	3.71E-01
growth (GO:0040007)	2	1	1.62	-	.62	5.18E-01
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	6	3	4.86	-	.62	2.85E-01
mitochondrial RNA processing (GO:0000963)	4	2	3.24	-	.62	3.71E-01
endocytic recycling (GO:0032456)	2	1	1.62	-	.62	5.18E-01
chromosome condensation (GO:0030261)	6	3	4.86	-	.62	2.85E-01
intrinsic apoptotic signaling pathway (GO:0097193)	2	1	1.62	-	.62	5.18E-01
apoptotic signaling pathway (GO:0097190)	2	1	1.62	-	.62	5.18E-01
Golgi to plasma membrane transport (GO:0006893)	16	8	12.96	-	.62	1.01E-01
negative regulation of Ras protein signal transduction (GO:0046580)	2	1	1.62	-	.62	5.18E-01
vesicle-mediated transport to the plasma membrane (GO:0098876)	18	9	14.58	-	.62	8.42E-02
negative regulation of cell cycle process (GO:0010948)	18	9	14.58	-	.62	8.42E-02
protein ubiquitination (GO:0016567)	53	26	42.94	-	.61	3.60E-03
macroautophagy (GO:0016236)	25	12	20.25	-	.59	3.44E-02
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	15	7	12.15	-	.58	8.27E-02
regulation of mitotic sister chromatid separation (GO:0010965)	13	6	10.53	-	.57	9.97E-02
regulation of chromosome separation (GO:1905818)	13	6	10.53	-	.57	9.97E-02
mitotic sister chromatid separation (GO:0051306)	13	6	10.53	-	.57	9.97E-02
metaphase/anaphase transition of mitotic cell cycle (GO:0007091)	13	6	10.53	-	.57	9.97E-02
metaphase/anaphase transition of cell cycle (GO:0044784)	13	6	10.53	-	.57	9.97E-02
response to radiation (GO:0009314)	11	5	8.91	-	.56	1.21E-01
late endosome to vacuole transport (GO:0045324)	20	9	16.20	-	.56	3.89E-02
negative regulation of cell communication (GO:0010648)	7	3	5.67	-	.53	1.83E-01
negative regulation of signaling (GO:0023057)	7	3	5.67	-	.53	1.83E-01
negative regulation of signal transduction (GO:0009968)	7	3	5.67	-	.53	1.83E-01
protein polyubiquitination (GO:0000209)	30	12	24.30	-	.49	4.49E-03
cell death (GO:0008219)	5	2	4.05	-	.49	2.31E-01
mitotic DNA replication checkpoint (GO:0033314)	5	2	4.05	-	.49	2.31E-01
cellular developmental process (GO:0048869)	5	2	4.05	-	.49	2.31E-01
mitotic chromosome condensation (GO:0007076)	5	2	4.05	-	.49	2.31E-01
cytoplasmic mRNA processing body assembly (GO:0033962)	8	3	6.48	-	.46	1.13E-01
negative regulation of response to stimulus (GO:0048585)	8	3	6.48	-	.46	1.13E-01
mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)	11	4	8.91	-	.45	5.78E-02
aerobic electron transport chain (GO:0019646)	11	4	8.91	-	.45	5.78E-02
regulation of lipid biosynthetic process (GO:0046890)	3	1	2.43	-	.41	3.02E-01
regulation of lipid metabolic process (GO:0019216)	3	1	2.43	-	.41	3.02E-01
regulation of meiotic cell cycle (GO:0051445)	3	1	2.43	-	.41	3.02E-01
regulation of proteolysis (GO:0030162)	6	2	4.86	-	.41	1.37E-01
response to ionizing radiation (GO:0010212)	6	2	4.86	-	.41	1.37E-01
plasma membrane organization (GO:0007009)	3	1	2.43	-	.41	3.02E-01
lipid storage (GO:0019915)	3	1	2.43	-	.41	3.02E-01
